ML Catalog #,Format,Scientific Name,Common Name,Background Species,Subtitle,Recordist,Year,Month,Day,Time,Country,State,County,Locality,Latitude,Longitude,Elevation (m),AgeSex,Behavior,Stimulus,Confidence In ID,How Identified,Captive,Specimen,Quality,Audio Quality For Video,Cut Length (s),Recorder,Microphone,Accessory,Channels,eBird Checklist ID,Air Temp (C),Water Temp (C),Habitat,Regional Habitat,Physical Feature,Public Note,Subject Note,Equipment Note,Class,Order,Family,Taxonomic Sort
100710,Audio,Corvus brachyrhynchos,American Crow,,,"Hershberger, Wilbur L",1999,3,13,604,United States,Maryland,Frederick,6.0 km S of Libertytown; Audrey Carroll Wildlife Sanctuary,39.4166667,-77.2083333,180,Adult Male (1),advertise; mechanical sound; scold; song,Natural,Certain,Sight and Sound,,,5,0,17,SONY TCD-D10 PRO II,Sennheiser ME 62,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,, NOTES: Add note at 2411-2420 (10s),,,Aves,Passeriformes,Corvidae,188780
100700,Audio,Corvus brachyrhynchos,American Crow,,,"Hershberger, Wilbur L",1998,11,22,758,United States,Maryland,Frederick,6.0 km S of Libertytown; Audrey Carroll Wildlife Sanctuary,39.4166667,-77.2083333,180,Adult Male (1),call; mob,Natural,Certain,Sight and Sound,,,5,0,134,SONY TCD-D10 PRO II,Sennheiser ME 62,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Pond,,,,,,Aves,Passeriformes,Corvidae,188780
50118,Audio,Corvus brachyrhynchos,American Crow,,,"Keller, Geoffrey A",1990,3,25,1200,United States,Oregon,Coos,13.0 km SW of Coos Bay; South Slough Sanctuary,,,10,Adult Unknown Sex (1),call,Natural,Certain,Sight and Sound,,,5,0,211,UHER 4200 REPORT MONITOR,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Evergreen Forest; Coniferous Forest; Deciduous Forest; Suburban; Yard,,," NOTES: noon +0.0hrs; species cut number 44; for weather light mist   BNA: Rattle and another call, but type not determined. JN 20May2005",,,Aves,Passeriformes,Corvidae,188780
50111,Audio,Corvus brachyrhynchos,American Crow,,,"Keller, Geoffrey A",1990,3,25,600,United States,Oregon,Coos,13.0 km SW of Coos Bay; South Slough Sanctuary,,,10,Adult Unknown Sex (1),call,Natural,Certain,Sight and Sound,,,5,0,402,UHER 4200 REPORT MONITOR,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Evergreen Forest; Coniferous Forest; Deciduous Forest; Suburban; Yard,,,Dawn +0.0hrs,,,Aves,Passeriformes,Corvidae,188780
13120,Audio,Corvus brachyrhynchos,American Crow,Branta canadensis -- Canada Goose,,"Stein, Robert C; Little, Randolph S",1963,6,14,1225,United States,Michigan,,SENEY REFUGE; HEADQUARTERS,,,,Juvenile Unknown Sex (1),beg; call,,Not Provided,Sight and Sound,,,5,0,32,NAGRA III-B,,,Mono,,,,Yard,,," NOTES: TAME YOUNG CROW WITH BLUE EYES SITTING ON A RAIL.   CAW.  1 IMMATURE(S)    BNA: Call, probably Begging Call of young bird.  JN 18May2005",,,Aves,Passeriformes,Corvidae,188780
187004,Audio,Corvus brachyrhynchos,American Crow,,,"McGuire, Bob ",2013,7,9,932,Canada,Quebec,,Forillon National Park,48.8052,-64.245,,Juvenile Unknown Sex (2); Adult Unknown Sex (1),,Natural,Certain,Sight and Sound,,,4,0,179,SOUND DEVICES 702,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,,,,Begging calls from 2-3 presumed juvenile birds; also one adult.,,,Aves,Passeriformes,Corvidae,188780
140335,Audio,Corvus brachyrhynchos,American Crow,,,"Batcheller, Hope J",2008,7,24,720,United States,New Hampshire,Carroll,"Hanson Rd., near Ossipee",43.6782528,-71.2967222,157,Immature Unknown Sex (1),beg; call; establish parent young contact,Natural,Certain,Sight and Sound,,,4,0,243,MARANTZ PMD 670,,Dan Gibson Parabola 45.7cm/11cm (18in/4.3in),Mono,,,,,,,,,,Aves,Passeriformes,Corvidae,188780
136251,Audio,Corvus brachyrhynchos,American Crow,,,"Fischer, Martha J",2007,3,7,816,United States,Florida,Miami-Dade,Everglades National Park; Sweet Bay Pond,25.32735,-80.7989,,Unknown Age Unknown Sex (1),call,Natural,Certain,Sight and Sound,,,4,0,109,NAGRA ARES-BB+,,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,Grassland; Wetland; Pond,,,,,,Aves,Passeriformes,Corvidae,188780
135436,Audio,Corvus brachyrhynchos,American Crow,,,"Andersen, Michael J",2007,3,8,1845,United States,Florida,Monroe,Big Cypress National Preserve; Sweetwater Strand,25.7885667,-81.0999333,,Adult Unknown Sex (1),call,Natural,Certain,Sight and Sound,,,4,0,330,NAGRA ARES-BB+,,,Mono,,,,Forest; Freshwater; Deciduous Forest,,, NOTES: Calls from atop a tall bald cypress tree.,,,Aves,Passeriformes,Corvidae,188780
135405,Audio,Corvus brachyrhynchos,American Crow,Buteo lineatus -- Red-shouldered Hawk; Corvus brachyrhynchos -- American Crow; Quiscalus major -- Boat-tailed Grackle,,"Andersen, Michael J",2007,3,4,750,United States,Florida,Sarasota,Myakka River State Park; Upper Myakka Lake,27.2526833,-82.2914333,,Adult Unknown Sex (1),call,Natural,Certain,Sight and Sound,,,4,0,195,NAGRA ARES-BB+,,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,Freshwater; Lake,,, NOTES: Telinga Pro5B in cut.,,,Aves,Passeriformes,Corvidae,188780
