ML Catalog #,Format,Scientific Name,Common Name,Background Species,Subtitle,Recordist,Year,Month,Day,Time,Country,State,County,Locality,Latitude,Longitude,Elevation (m),AgeSex,Behavior,Stimulus,Confidence In ID,How Identified,Captive,Specimen,Quality,Audio Quality For Video,Cut Length (s),Recorder,Microphone,Accessory,Channels,eBird Checklist ID,Air Temp (C),Water Temp (C),Habitat,Regional Habitat,Physical Feature,Public Note,Subject Note,Equipment Note,Class,Order,Family,Taxonomic Sort
94457,Audio,Spinus tristis,American Goldfinch,,,"Hershberger, Wilbur L",1998,7,18,603,United States,West Virginia,Jefferson,2.0 km W of Bardane; USDA Lab,39.3627778,-77.8655556,150,Adult Male (1),advertise; fly; song,Natural,Certain,Sight and Sound,,,5,0,92,SONY TCD-D10 PRO II,Sennheiser ME 62,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Rural; Orchard,,," NOTES: Filtered at 250 Hz.   Flight calls ""potato chip""",,,Aves,Passeriformes,Fringillidae,307460
94301,Audio,Spinus tristis,American Goldfinch,,,"Hershberger, Wilbur L",1998,5,3,630,United States,Maryland,Frederick,6.0 km S of Libertytown; Audrey Carroll Wildlife Sanctuary,39.4166667,-77.2083333,180,Adult Male (1),call; fly,Natural,Certain,Sight and Sound,,,5,0,64,SONY TCD-D10 PRO II,Sennheiser ME 62,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Deciduous Forest; Field,,Hedgerow; Edge," NOTES: ""Potato-chip"" flight calls from perched bird.",,,Aves,Passeriformes,Fringillidae,307460
94300,Audio,Spinus tristis,American Goldfinch,,,"Hershberger, Wilbur L",1998,5,3,630,United States,Maryland,Frederick,6.0 km S of Libertytown; Audrey Carroll Wildlife Sanctuary,39.4166667,-77.2083333,180,Adult Male (1),mate; song; whisper,Natural,Certain,Sight and Sound,,,5,0,341,SONY TCD-D10 PRO II,Sennheiser ME 62,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Deciduous Forest; Field,,Hedgerow; Edge, NOTES: Quiet vocalization accompanied by wing flicking.,,,Aves,Passeriformes,Fringillidae,307460
94299,Audio,Spinus tristis,American Goldfinch,,,"Hershberger, Wilbur L",1998,5,3,618,United States,Maryland,Frederick,6.0 km S of Libertytown; Audrey Carroll Wildlife Sanctuary,39.4166667,-77.2083333,180,Adult Male (1),mate; song; whisper,Natural,Certain,Sight and Sound,,,5,0,39,SONY TCD-D10 PRO II,Sennheiser ME 62,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Deciduous Forest; Field,,Hedgerow; Edge, NOTES: Quiet vocalization accompanied by wing flicking.,,,Aves,Passeriformes,Fringillidae,307460
195066,Audio,Spinus tristis,American Goldfinch,,,"McGuire, Bob ",2012,5,6,621,United States,Washington,,Douglas; Slack Canyon Road,47.4886,-119.9009,,Adult Male (1),song,Natural,Certain,Sight and Sound,,,4,0,117,SOUND DEVICES 702,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,,,,,,,Aves,Passeriformes,Fringillidae,307460
188889,Audio,Spinus tristis,American Goldfinch,,,"McGuire, Bob ",2013,8,8,1151,United States,New York,,Town of Dryden; 46 Whitted Rd.,42.41824,-76.43267,,Adult Male (1),song,Natural,Certain,Sight and Sound,,,4,0,62,SOUND DEVICES 702,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,,,,,,,Aves,Passeriformes,Fringillidae,307460
176158,Audio,Spinus tristis,American Goldfinch,,,"Keller, Geoffrey A",2008,11,16,"",United States,Indiana,Brown,"3.0 km NE of Nashville; ""Frog Ranch""",39.2132295,-86.2079573,,Adult Unknown Sex (1),call,,Certain,,,,4,0,248,HHB PORTADAT PDR 1000,Sennheiser MKH 106,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,,,"""po-ta-to chip"" call",,Aves,Passeriformes,Fringillidae,307460
172979,Audio,Spinus tristis,American Goldfinch,,,"Mundinger, Paul C",1970,,,"",,,,"",,,,,,,Not Provided,,,,4,0,1980,,,,Mono,,,,,,,"70-29 Amer Gold. Side A.  Box notes: 70-29. American Goldfinch. Male LGreen/Red (1st side). Male LBl-LBl/- (end 1st side, 2nd side). More on LtGreen/Red at end of tape.",,,Aves,Passeriformes,Fringillidae,307460
166601,Audio,Spinus tristis,American Goldfinch,Spizella pusilla -- Field Sparrow; Agelaius phoeniceus -- Red-winged Blackbird; Corvus brachyrhynchos -- American Crow; Sturnella magna -- Eastern Meadowlark,,"Bethel, Robert A",2011,4,13,820,United States,Georgia,Whitfield,Rocky Rill Farm; Black Walnut Grove,34.74978,-85.13228,285,Adult Male (1),advertise; song,,Certain,Sight and Sound,,,4,0,120,MARANTZ PMD 661,Sennheiser ME 62,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Mono,,,,Orchard,,,,,,Aves,Passeriformes,Fringillidae,307460
140083,Audio,Spinus tristis,American Goldfinch,,,"Medler, Matthew D",2010,5,12,2007,United States,New York,Cayuga,Town of Summerhill; Hoag Ave.,42.669646,-76.3388658,504,Adult Male (1),song,Natural,Certain,Sight and Sound,,,4,0,99,NAGRA ARES-BB+,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,,,,,,,Aves,Passeriformes,Fringillidae,307460
111088,Audio,Spinus tristis,American Goldfinch,,,"Sander, Thomas G",1988,4,18,0,United States,California,Marin,Drakes Bay parking lot,,,,,song,,Not Provided,,,,4,0,205,NAGRA IV-S,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,, NOTES: (AOU #529. NM: Y.) BNA: Song.,,,Aves,Passeriformes,Fringillidae,307460
111057,Audio,Spinus tristis,American Goldfinch,,,"Sander, Thomas G",1988,5,13,0,United States,California,Marin,Point Reyes National Seashore; Drakes Bay,,,,,,,Not Provided,,,,4,0,56,NAGRA IV-S,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,," NOTES: (AOU #530. NM: Y.) BNA: Calls. LNS NOTE: This was originally identified as Carduelis psaltria by the recordist.  It sounds like Carduelis tristis.  I changed the ID accordingly.  MJA, 29 September 2005.",,,Aves,Passeriformes,Fringillidae,307460
111054,Audio,Spinus tristis,American Goldfinch,,,"Sander, Thomas G",1988,5,10,0,United States,California,Marin,Point Reyes National Seashore; Estero Trail,38.081655,-122.91424,,,song,,Not Provided,,,,4,0,151,NAGRA IV-S,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,, NOTES: (AOU #529. NM: Y.) BNA: Song.,,,Aves,Passeriformes,Fringillidae,307460
107440,Audio,Spinus tristis,American Goldfinch,,,"Hershberger, Wilbur L",2000,7,20,712,United States,West Virginia,Berkeley,5.0 km S of Shanghi; Stauffer Miller's Marsh,39.432,-78.1364,80,Adult Male (1),advertise; fly; song,Natural,Certain,Sight and Sound,,,4,0,46,SONY TCD-D10 PRO II,Sennheiser ME 66,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Pond,,," NOTES: ""Potato-chip"" flight calls.",,,Aves,Passeriformes,Fringillidae,307460
