ML Catalog #,Format,Scientific Name,Common Name,Background Species,Subtitle,Recordist,Year,Month,Day,Time,Country,State,County,Locality,Latitude,Longitude,Elevation (m),AgeSex,Behavior,Stimulus,Confidence In ID,How Identified,Captive,Specimen,Quality,Audio Quality For Video,Cut Length (s),Recorder,Microphone,Accessory,Channels,eBird Checklist ID,Air Temp (C),Water Temp (C),Habitat,Regional Habitat,Physical Feature,Public Note,Subject Note,Equipment Note,Class,Order,Family,Taxonomic Sort
206448,Audio,Turdus migratorius,American Robin,,,"McGuire, Bob ",2015,6,2,614,United States,Alaska,,Deadman Lake. Tetlin NWR.,62.8906001,-141.5481949,,Adult Male (1),song,Natural,Certain,Sight and Sound,,,5,0,165,SOUND DEVICES 702,Telinga Pro 7,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Mono,,,,,,,,,Telinga Pro 7 set on mono mode.,Aves,Passeriformes,Turdidae,24903
204805,Audio,Turdus migratorius,American Robin,,,"McGowan, Jay W",2015,6,27,759,United States,Montana,Sanders,Lolo National Forest; Siegel Creek access road,47.282547,-114.753828,,Adult Female (1); Adult Male (1),call; mob,Natural,Certain,Sight and Sound,,,5,0,269,MARANTZ PMD 661,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,S24075876,,,,,,Pair agitated at presence of recordists.,,Telinga filter engaged.,Aves,Passeriformes,Turdidae,273300
193531,Audio,Turdus migratorius,American Robin,Ixoreus naevius -- Varied Thrush,,"Nelson, Richard ",2013,6,19,2143,United States,Alaska,,Gustavus Forelands,58.52025,-136.10226,,,song,,Not Provided,,,,5,0,335,MARANTZ PMD 661,Sennheiser MKH 20,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Mono,,,,,,,Habitat: ﻿﻿Open Coniferous,,,Aves,Passeriformes,Turdidae,261040
168314,Audio,Turdus migratorius,American Robin,,,"Hershberger, Wilbur L",2010,5,16,930,United States,West Virginia,Berkeley,Hedgesville; 170 Stallion Ct.,39.575258,-78.056649,185,Adult Male (1),advertise; call; song,Natural,Certain,Sight and Sound,,,5,0,201,SOUND DEVICES 702,Telinga Pro 7,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,Mixed Coniferous/Deciduous,,,slight breeze now and then,,,Aves,Passeriformes,Turdidae,261040
168300,Audio,Turdus migratorius,American Robin,,,"Hershberger, Wilbur L",2010,5,16,930,United States,West Virginia,Berkeley,Hedgesville; 170 Stallion Ct.,39.575258,-78.056649,185,Adult Male (1),advertise; song,Natural,Certain,Sight and Sound,,,5,0,272,SOUND DEVICES 702,Telinga Pro 7,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,Mixed Coniferous/Deciduous,,,slight breeze now and then,,,Aves,Passeriformes,Turdidae,261040
136583,Audio,Turdus migratorius,American Robin,,,"O'Brien, Sean ",2011,7,5,634,United States,New York,Franklin,Town of Santa Clara; Ross Park,,,,Adult Unknown Sex (1),song,Natural,Certain,Sound,,,5,0,210,FOSTEX FR-2,Sennheiser MKH 40,Parabola 81.3cm (32in),Mono,,,,,,,,,,Aves,Passeriformes,Turdidae,261040
136402,Audio,Turdus migratorius,American Robin,Aythya marila -- Greater Scaup,,"Andersen, Michael J",2007,6,4,1914,United States,Alaska,Nome,Pilgrim Hot Springs,65.0868667,-164.9221667,,Adult Male (1),advertise; song,Natural,Certain,Sight and Sound,,,5,0,539,SOUND DEVICES 744T,,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,Forest; Deciduous Forest; Swamp,,Thicket/Brush, NOTES: Song from one male perched in a balsam poplar.  Recorded at Pilgrim Hot Springs north of the Kigluaik Mountains on the Seward Peninsula.  Sound Devices 744T with 160Hz HPF and Telinga Pro5B in flat.,,,Aves,Passeriformes,Turdidae,261040
133356,Audio,Turdus migratorius,American Robin,,,"Keller, Geoffrey A",2007,7,2,922,Canada,Newfoundland and Labrador,,15.0 km S of Plum Point; Newfoundland,,,,Unknown Age Unknown Sex (1),call,,Certain,Sight and Sound,,,5,0,83,HHB PORTADAT PDR 1000,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Coniferous Forest; Deciduous Forest,,Second-growth,,,,Aves,Passeriformes,Turdidae,261040
106628,Audio,Turdus migratorius,American Robin,Haemorhous cassinii -- Cassin's Finch; Poecile gambeli -- Mountain Chickadee,,"Little, Randolph S",1994,6,4,805,United States,California,,6.0 km SW of Sattley; Lincoln Meadow,39.5833333,-120.4833333,1900,Adult Female (1),call; emit alarm; scold,Natural,Certain,Sight and Sound,,,5,0,139,NAGRA IV-D,,Parabola 91.4cm/30.5cm (36in/12in),Mono,,,,Forest; Evergreen Forest; Coniferous Forest; Deciduous Forest; Meadow; Stream,,Thicket/Brush; Second-growth; Edge," NOTES: (Species Sound: frequent; Breeding Status: territorial paired, breeding; Sound Delivery Rate: agitated; General Climate: arid; Cover Density: medium; Strata in Habitat: song perch)",,,Aves,Passeriformes,Turdidae,261040
94383,Audio,Turdus migratorius,American Robin,,,"Hershberger, Wilbur L",1998,5,31,505,United States,Maryland,Frederick,3.0 km E of Libertytown,39.3833333,-77.25,150,Adult Male (1),advertise; dawn song; song,Natural,Certain,Sight and Sound,,,5,0,112,SONY TCD-D10 PRO II,Sennheiser ME 62,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Rural; Yard,,, NOTES:  Very quiet vocalization at close range.  Dawn song.,,,Aves,Passeriformes,Turdidae,261040
