ML Catalog #,Format,Scientific Name,Common Name,Background Species,Subtitle,Recordist,Year,Month,Day,Time,Country,State,County,Locality,Latitude,Longitude,Elevation (m),AgeSex,Behavior,Stimulus,Confidence In ID,How Identified,Captive,Specimen,Quality,Audio Quality For Video,Cut Length (s),Recorder,Microphone,Accessory,Channels,eBird Checklist ID,Air Temp (C),Water Temp (C),Habitat,Regional Habitat,Physical Feature,Public Note,Subject Note,Equipment Note,Class,Order,Family,Taxonomic Sort
197952,Audio,Calypte anna,Anna's Hummingbird,,,"McGuire, Bob ",2010,3,13,710,United States,Arizona,Santa Cruz,Peña Blanca Lake,31.401854,-111.0878277,,Unknown Age Unknown Sex (1),song,Natural,Certain,Sight and Sound,,,4,0,94,SOUND DEVICES 702,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,,,,,,,Aves,Apodiformes,Trochilidae,81870
121985,Audio,Calypte anna,Anna's Hummingbird,Chamaea fasciata -- Wrentit,,"Marantz, Curtis A",2005,6,7,857,United States,California,San Luis Obispo,"Montana de Oro State Park, Rattlesnake Flats Trail",,,,Adult Female (1),advertise; song,Natural,Certain,Sight and Sound,,,4,0,170,HHB PORTADAT PDR 1000,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Evergreen Forest,,Canyon," NOTES: Apparently a female, though possibly a young male, about 15-18 m away and 3 m up in partly dead branch of live Morro Manzanita (Arctostaphylos morroensis) with dead twigs at top; this bush was at edge of a deep ravine in an area with a dense stand of manzanita and Sticky Monkey Flower (Mimulus aurantiacus); I moved up on bird, but it never returned; clear, consistent breeze from northwest, low 60s.",,,Aves,Apodiformes,Trochilidae,87490
111006,Audio,Calypte anna,Anna's Hummingbird,,,"Sander, Thomas G",1988,3,30,0,United States,California,Marin,Point Reyes National Seashore; Mt. Vision (south side),,,,,,,Not Provided,,,,4,0,62,NAGRA IV-S,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,, NOTES: BNA: Song.,,,Aves,Apodiformes,Trochilidae,87490
43704,Audio,Calypte anna,Anna's Hummingbird,,,"Budney, Gregory F",1988,6,9,1420,United States,California,Monterey,Carmel Valley; Hastings Reserve; White buildings below the red schoolhouse,,,,,call; fly,Natural,Certain,Sight and Sound,,,4,0,78,NAGRA IV-S,Sennheiser MKH 106,Roché Parabola 60cm/14.5cm (23.6in/5.7in),Mono,,,,,,,"Wing whir and intermittent ""Chip"" calls of this species.",Several males.,,Aves,Apodiformes,Trochilidae,87490
6122,Audio,Calypte anna,Anna's Hummingbird,Cyanocitta stelleri -- Steller's Jay,,"Sutherland, Charles A; Tramer, Elliot ",1961,6,22,800,United States,California,,BIG SUR,,,610,Adult Male (1),song,,Not Provided,,,,4,0,170,NAGRA III,,Parabola 91.4cm (36in),Mono,,,,Montane Grassland,,Scrub," NOTES: MALE SINGING FROM PERCH.  [This is exclusively song, apparently by a perched individual (though it moved around a bit, based on voice announcement).  Quality unchanged (2-1, good signal but with a bit of hiss) - CAM - 9 December 2004]",,,Aves,Apodiformes,Trochilidae,87490
6121,Audio,Calypte anna,Anna's Hummingbird,,,"Allen, David G",1959,3,22,0,United States,California,,MOJESKA CANYON,,,,,call; mechanical sound,,Not Provided,,,,4,0,198,MAGNEMITE UNSPECIFIED MODEL,,Parabola (Unknown Diameter/Focal Length),Mono,,,,,,," NOTES: [The first part contains ""Song"" (with the first rendition decapitated) followed by a series of sharp ""Chip"" calls, apparently by a perched bird.  The second part is mostly wing ""whirring"" but also with chipping (apparently from a second bird in the background).  The third part has only wing whirr, the fourth is mostly wing whirr but with one Chip at the beginning, and the fifth part has primarily softer Chip calls from a flying bird in addition to some wing whirr.  Quality changed from 2-1 to 2-1, 1-2 - CAM - 9 December 2004]",,,Aves,Apodiformes,Trochilidae,87490
197950,Audio,Calypte anna,Anna's Hummingbird,,,"McGuire, Bob ",2010,3,13,649,United States,Arizona,Santa Cruz,Peña Blanca Lake,31.401854,-111.0878277,,Unknown Age Unknown Sex (1),call; song,Natural,Certain,Sight and Sound,,,3,0,111,SOUND DEVICES 702,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,,,,,,,Aves,Apodiformes,Trochilidae,81870
197184,Audio,Calypte anna,Anna's Hummingbird,,,"McGuire, Bob ",2010,2,21,1430,United States,Arizona,,Catalina,32.512,-110.9663,,Adult Male (1),song,,Certain,Sight and Sound,,,3,0,259,SOUND DEVICES 702,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,,,,,,,Aves,Apodiformes,Trochilidae,87490
189280,Audio,Calypte anna,Anna's Hummingbird,,,"McGuire, Bob ",2012,3,24,718,United States,Arizona,,Bill Williams National Wildlife Refuge,34.2837,-114.0728,,Unknown Age Unknown Sex (2),song,Natural,Certain,Sight and Sound,,,3,0,128,SOUND DEVICES 702,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,,,,,,,Aves,Apodiformes,Trochilidae,87490
171963,Audio,Calypte anna,Anna's Hummingbird,Vireo gilvus [swainsoni Group] -- Warbling Vireo (Western); Sphyrapicus ruber -- Red-breasted Sapsucker,,"Budney, Gregory F",2010,6,20,714,United States,California,Sierra,Carman Valley,39.69374,-120.44527,,Adult Female (2),fly; mechanical sound,Natural,Certain,Sight and Sound,,,3,0,1204,NAGRA ARES-BB+,Sennheiser MKH 20; Sennheiser MKH 30,,Stereo,,,,,,,Collecting ash from the floor of an oven. MS-Stereo recording.,,,Aves,Apodiformes,Trochilidae,87490
