ML Catalog #,Format,Scientific Name,Common Name,Background Species,Subtitle,Recordist,Year,Month,Day,Time,Country,State,County,Locality,Latitude,Longitude,Elevation (m),AgeSex,Behavior,Stimulus,Confidence In ID,How Identified,Captive,Specimen,Quality,Audio Quality For Video,Cut Length (s),Recorder,Microphone,Accessory,Channels,eBird Checklist ID,Air Temp (C),Water Temp (C),Habitat,Regional Habitat,Physical Feature,Public Note,Subject Note,Equipment Note,Class,Order,Family,Taxonomic Sort
137879,Audio,Haliaeetus leucocephalus,Bald Eagle,,,"Vyn, Gerrit ",2007,6,18,725,United States,Alaska,,Saint Lazaria National Wildlife Refuge; around the cabin,,,,Adult Unknown Sex (1),call,Natural,Certain,Sight and Sound,,,5,0,162,NAGRA ARES-BB+,,,Stereo,,,,Forest; Marine; Coniferous Forest,,Burrow; Island,,,,Aves,Accipitriformes,Accipitridae,23730
137878,Audio,Haliaeetus leucocephalus,Bald Eagle,,,"Vyn, Gerrit ",2007,6,18,725,United States,Alaska,,Saint Lazaria National Wildlife Refuge; around the cabin,56.9861494,-135.7108498,,Adult Unknown Sex (1),call,Natural,Certain,Sight and Sound,,,5,0,83,NAGRA ARES-BB+,,,Mono,,,,Forest; Marine; Coniferous Forest,,Burrow; Island," NOTES: ""Nagra ARES BB+ set on 'mono' by mistake.""",,,Aves,Accipitriformes,Accipitridae,23730
46835,Audio,Haliaeetus leucocephalus,Bald Eagle,,,"Reeves, Clayton ",1990,1,31,1500,United States,Colorado,,Denver,,,,Adult Unknown Sex (2),,,Certain,Sight and Sound,,,5,0,1002,NAGRA IV-S,,,Mono,,,,,,," NOTES: captive bird.  cries on roost.      NOTES ON DATA FORM: Captive bald eagle cries, followed by interview with U.S. Fish & Wildlife personnel working with bald eagles, then bald eagle cries from roost. Rocky Mtn Arsenal (Denver)    @1:09- wing sounds  @1:39-1:49- calls   Good calls (timed from beginning of person talking):   2:12-2:29   2:38-2:53   3:06-3:21   3:30-3:43",,,Aves,Accipitriformes,Accipitridae,23730
42555,Audio,Haliaeetus leucocephalus,Bald Eagle,,,"Budney, Gregory F",1988,5,14,0,United States,Maryland,,Taylor's Island,,,,,,,Not Provided,,,,5,0,428,NAGRA IV-SD,,Roché Parabola 52cm (20.5in),Mono,,,,,,,Feeding sequence referred to in notes is LNS cut #42557., Number of individuals=JU1+; ,,Aves,Accipitriformes,Accipitridae,23730
206443,Audio,Haliaeetus leucocephalus,Bald Eagle,,,"McGuire, Bob ",2015,6,2,444,United States,Alaska,,Deadman Lake. Tetlin NWR.,62.889896,-141.5608978,,Adult Unknown Sex (2),call,Natural,Certain,Sound,,,4,0,352,SOUND DEVICES 702,Telinga Pro 7,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Mono,,,,,,,,,Telinga Pro 7 set on mono mode.,Aves,Accipitriformes,Accipitridae,2881
200954,Audio,Haliaeetus leucocephalus,Bald Eagle,,,"Vyn, Gerrit ",2014,12,8,830,United States,Alaska,Haines,Haines; The Council Grounds,,,,,call,,Not Provided,,,,4,0,952,MARANTZ PMD 661,Sennheiser MKH 20; Sennheiser MKH 30,,Stereo,,,,,,,,,Decoded MS Stereo,Aves,Accipitriformes,Accipitridae,30420
200953,Audio,Haliaeetus leucocephalus,Bald Eagle,,,"Vyn, Gerrit ",2014,12,8,812,United States,Alaska,Haines,Haines; The Council Grounds,,,,,call,,Not Provided,,,,4,0,1091,MARANTZ PMD 661,Sennheiser MKH 20; Sennheiser MKH 30,,Stereo,,,,,,,,,Decoded MS Stereo,Aves,Accipitriformes,Accipitridae,30420
200951,Audio,Haliaeetus leucocephalus,Bald Eagle,,,"Vyn, Gerrit ",2014,12,7,906,United States,Alaska,Haines,Haines; The Council Grounds,,,,,call,,Not Provided,,,,4,0,173,MARANTZ PMD 661,Sennheiser MKH 20; Sennheiser MKH 30,,Stereo,,,,,,,,,Decoded MS Stereo,Aves,Accipitriformes,Accipitridae,30420
200950,Audio,Haliaeetus leucocephalus,Bald Eagle,,,"Vyn, Gerrit ",2014,12,7,900,United States,Alaska,Haines,Haines; The Council Grounds,,,,,call,,Not Provided,,,,4,0,29,MARANTZ PMD 661,Sennheiser MKH 20; Sennheiser MKH 30,,Stereo,,,,,,,,,Decoded MS Stereo,Aves,Accipitriformes,Accipitridae,30420
200949,Audio,Haliaeetus leucocephalus,Bald Eagle,,,"Vyn, Gerrit ",2014,12,7,854,United States,Alaska,Haines,Haines; The Council Grounds,,,,,call,,Not Provided,,,,4,0,15,MARANTZ PMD 661,Sennheiser MKH 20; Sennheiser MKH 30,,Stereo,,,,,,,,,Decoded MS Stereo,Aves,Accipitriformes,Accipitridae,30420
200948,Audio,Haliaeetus leucocephalus,Bald Eagle,,,"Vyn, Gerrit ",2014,12,7,853,United States,Alaska,Haines,Haines; The Council Grounds,,,,,call,,Not Provided,,,,4,0,444,MARANTZ PMD 661,Sennheiser MKH 20; Sennheiser MKH 30,,Stereo,,,,,,,,,Decoded MS Stereo,Aves,Accipitriformes,Accipitridae,30420
200947,Audio,Haliaeetus leucocephalus,Bald Eagle,,,"Vyn, Gerrit ",2014,12,7,843,United States,Alaska,Haines,Haines; The Council Grounds,,,,,call,,Not Provided,,,,4,0,55,MARANTZ PMD 661,Sennheiser MKH 20; Sennheiser MKH 30,,Stereo,,,,,,,,,Decoded MS Stereo,Aves,Accipitriformes,Accipitridae,30420
176141,Audio,Haliaeetus leucocephalus,Bald Eagle,,,"Keller, Geoffrey A",2007,5,14,730,United States,Indiana,Brown,Hoosier National Forest; near Robertson Cemetery,39.1098658,-86.1951256,,Adult Unknown Sex (1),call,,Certain,,,,4,0,390,HHB PORTADAT PDR 1000,Sennheiser MKH 106,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,,,Alarm calls near presumed nest site.,,Aves,Accipitriformes,Accipitridae,23730
51279,Audio,Haliaeetus leucocephalus,Bald Eagle,,,"Morton, Eugene S",1978,5,3,1545,,,,"",,,,,call,,Not Provided,,Captive,,4,0,240,NAGRA 4.2,,,Mono,,,,,,,,,,Aves,Accipitriformes,Accipitridae,30420
42559,Audio,Haliaeetus leucocephalus,Bald Eagle,,,"Budney, Gregory F",1988,5,14,1505,United States,Maryland,,Taylor's Island,,,,Immature Unknown Sex (1),,,Not Provided,,,,4,0,297,NAGRA IV-SD,,Roché Parabola 52cm (20.5in),Mono,,,,,,,NOTES: Juvenile flapping wings while standing in nest.,,,Aves,Accipitriformes,Accipitridae,23730
42557,Audio,Haliaeetus leucocephalus,Bald Eagle,,,"Budney, Gregory F",1988,5,14,"",United States,Maryland,,Taylor's Island,,,,,,,Not Provided,,,,4,0,969,NAGRA IV-SD,,Roché Parabola 52cm (20.5in),Mono,,,,,,,,,,Aves,Accipitriformes,Accipitridae,23730
