ML Catalog #,Format,Scientific Name,Common Name,Background Species,Subtitle,Recordist,Year,Month,Day,Time,Country,State,County,Locality,Latitude,Longitude,Elevation (m),AgeSex,Behavior,Stimulus,Confidence In ID,How Identified,Captive,Specimen,Quality,Audio Quality For Video,Cut Length (s),Recorder,Microphone,Accessory,Channels,eBird Checklist ID,Air Temp (C),Water Temp (C),Habitat,Regional Habitat,Physical Feature,Public Note,Subject Note,Equipment Note,Class,Order,Family,Taxonomic Sort
106593,Audio,Hirundo rustica,Barn Swallow,Melospiza melodia -- Song Sparrow,,"Little, Randolph S",1994,5,30,1320,United States,Oregon,,15.0 km N of Frenchglen; Benson Pond,42.9333333,-119.0,1250,Adult Male (3),Social context: colony; call; establish flock contact; perform visual display,Natural,Certain,Sight and Sound,,,5,0,21,NAGRA IV-D,,Parabola 91.4cm/30.5cm (36in/12in),Mono,,,,Wetland; Freshwater; Deciduous Forest; Creek; Riparian; Pond,,Hedgerow, NOTES: (Species Sound: constant; Breeding Status: breeding; Sound Delivery Rate: high; General Climate: arid; Cover Density: sparse; Strata in Habiat: song perch) Several male Barn Swallows at a puddle on the dirt road.,,,Aves,Passeriformes,Hirundinidae,208500
66813,Audio,Hirundo rustica,Barn Swallow,,,"Gunn, William W. H. ",1969,5,21,0,Canada,Alberta,,Fort Chipewyan,,,,Unknown Age Unknown Sex (1),song,,Certain,Sight and Sound,,,5,0,45,,,,,,,,,,, NOTES: song from one bird  Q 2,,,Aves,Passeriformes,Hirundinidae,208500
181618,Audio,Hirundo rustica rustica,Barn Swallow (White-bellied),,,"Budney, Gregory F",2013,7,15,440,Ireland,Connaught,Galway,Shanbolard Hall,53.562292,-10.0588256,,Adult Unknown Sex (1),call,Natural,Certain,Sound,,,4,0,358,NAGRA ARES-BB+,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,,,,Pre-dawn.    Telinga Pro 6 filter was enabled.,,,Aves,Passeriformes,Hirundinidae,198430
106591,Audio,Hirundo rustica,Barn Swallow,Agelaius phoeniceus -- Red-winged Blackbird; Setophaga petechia -- Yellow Warbler; Melospiza melodia -- Song Sparrow,,"Little, Randolph S",1994,5,30,0,United States,Oregon,,15.0 km N of Frenchglen; Benson Pond,42.9333333,-119.0,1250,Adult Unknown Sex (6),call; fly; perform visual display,Natural,Certain,Sight and Sound,,,4,0,50,NAGRA IV-D,,Parabola 91.4cm/30.5cm (36in/12in),Mono,,,,Freshwater; Deciduous Forest; Creek; Pond,,Hedgerow,"NOTES: (Species Sound: constant; Breeding Status: not territorial, breeding?; Behavioral context: courship?; General Climate: arid; General Habitat: gravel road; Cover Density: sparse)",,,Aves,Passeriformes,Hirundinidae,208500
105740,Audio,Hirundo rustica,Barn Swallow,Rallus crepitans -- Clapper Rail; Zenaida macroura -- Mourning Dove,,"Keller, Geoffrey A",1996,5,8,640,United States,Florida,Dixie,16.0 km S of Steinhatchee; Jena Wildlife Management Area,,,1,,Social context: colony; advertise; call; court; fly; song,Natural,Certain,Sight,,,4,0,135,UHER 4200 REPORT MONITOR,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Swamp,,, NOTES: song and calls at nesting site under concrete bridge; same colony and location as 96-05-08, Number of individuals=AUc10-20; ,,Aves,Passeriformes,Hirundinidae,198420
105739,Audio,Hirundo rustica,Barn Swallow,Agelaius phoeniceus -- Red-winged Blackbird; Ammodramus maritimus -- Seaside Sparrow; Chordeiles minor -- Common Nighthawk; Colinus virginianus -- Northern Bobwhite,,"Keller, Geoffrey A",1996,5,7,735,United States,Florida,Dixie,16.0 km S of Steinhatchee; Jena Wildlife Management Area,,,1,,Social context: colony; advertise; call; court; fly; song,Natural,Certain,Sight,,,4,0,86,UHER 4200 REPORT MONITOR,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Swamp,,, NOTES: flight song and calls plus other vocalizations at nesting site under concrete bridge near wooded swampland, Number of individuals=AUc10-20; ,,Aves,Passeriformes,Hirundinidae,198420
105655,Audio,Hirundo rustica,Barn Swallow,Cyanocitta stelleri -- Steller's Jay; Geothlypis trichas -- Common Yellowthroat; Melospiza melodia -- Song Sparrow; Tachycineta thalassina -- Violet-green Swallow; Turdus migratorius -- American Robin; Zonotrichia leucophrys -- White-crowned Sparrow,,"Keller, Geoffrey A",1995,6,4,518,United States,Oregon,Coos,Riverton,,,10,Adult Male (1),advertise; court; dawn song; song,Natural,Certain,Sound,,,4,0,254,UHER 4200 REPORT MONITOR,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Grassland; Pasture,,, NOTES: song at dawn from unknown location in pasture near fence row,,,Aves,Passeriformes,Hirundinidae,198420
66810,Audio,Hirundo rustica,Barn Swallow,,,"Gunn, William W. H. ",,,,0,Canada,Ontario,,Point Pelee   Yard Of Aviation Inn,,,,,song,,Certain,Sight and Sound,,,4,0,60,,,,Mono,,,,,,,NOTES: No exact date - probably May 1950-55  Time: 1.00 + 1.00 (copy)  Song: almost continuous  safety copy follows original  Also: fox terrier barking  edited out  Q 1-2,,,Aves,Passeriformes,Hirundinidae,198420
63124,Audio,Hirundo rustica,Barn Swallow,,,"Herr, David S",1992,7,4,600,United States,Washington,Walla Walla,8.0 km E of Walla Walla; Frog Hollow,46.0166667,-117.4333333,335,Adult Unknown Sex (1),advertise; court; song,Natural,Certain,Sight,,,4,0,336,NAGRA IV-S,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Rural; Active Agricultural,,, NOTES: Breeding ststus: breeding  Notes: Birds are building nest on my back porch - one bird was singing from perch - mkh20 at approx 20m from bird. several different cuts. dh on data form,,,Aves,Passeriformes,Hirundinidae,198420
38824,Audio,Hirundo rustica,Barn Swallow,,,"Elliott, A. Lang L",1987,6,18,430,United States,New York,Tompkins,24.0 km SW of Ithaca; Cornell Laboratory of Ornithology,,,,Adult Male (1),advertise; dawn song; song,Natural,Certain,Sight,,,4,0,231,,,,Mono,,,,,,,NOTES: (Species Sound: Constant. Breeding Status: Territorial. Sou Delivery Rate: High.),,,Aves,Passeriformes,Hirundinidae,198420
