ML Catalog #,Format,Scientific Name,Common Name,Background Species,Subtitle,Recordist,Year,Month,Day,Time,Country,State,County,Locality,Latitude,Longitude,Elevation (m),AgeSex,Behavior,Stimulus,Confidence In ID,How Identified,Captive,Specimen,Quality,Audio Quality For Video,Cut Length (s),Recorder,Microphone,Accessory,Channels,eBird Checklist ID,Air Temp (C),Water Temp (C),Habitat,Regional Habitat,Physical Feature,Public Note,Subject Note,Equipment Note,Class,Order,Family,Taxonomic Sort
49701,Audio,Strix varia,Barred Owl,,,"Evans, William R",1989,4,22,2030,United States,Florida,,Mereritt Island National Wildlife Refuge,,,5,Immature Unknown Sex (1),Social context: family; call; establish parent young contact,Natural,Certain,Sight and Sound,,,5,0,221,SONY TCD-D10,,,Mono,,,,Brackish Marsh; Estuary,,Grove, NOTES: (General Climate: Humid. Gen. Habitat: Mangrove hammock.) BP-2 (odB pad) in cut.  ML Notes: The calls heard do not seem to be described in the BNA. CZ 14/01/2004.,,,Aves,Strigiformes,Strigidae,73310
191186,Audio,Strix varia,Barred Owl,,,"Hershberger, Wilbur L",2012,6,10,2059,United States,West Virginia,Berkeley,Burnt Mill Road,39.643212,-78.086306,204,Immature Unknown Sex (2),call,Natural,Certain,Sight and Sound,,,4,0,406,SOUND DEVICES 702,Telinga Pro 7,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,23.0,,,,,Habitat: Deciduous forest,Young Barred Owls calling for food from nearby adults.,Telinga Stereo HPF on,Aves,Strigiformes,Strigidae,67120
188896,Audio,Strix varia,Barred Owl,,,"McGuire, Bob ",2013,9,28,2041,United States,New York,,Hammond Hill State Forest,42.4408,-76.3085,,Adult Unknown Sex (1),call,Playback Same Species,Certain,,,,4,0,187,SOUND DEVICES 702,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,,,,,,,Aves,Strigiformes,Strigidae,73310
187078,Audio,Strix varia,Barred Owl,Vireo olivaceus -- Red-eyed Vireo,,"McGuire, Bob ",2013,7,28,2022,United States,New York,,Chenango Valley State Park,42.21393,-75.83495,,,beg; call,Natural,Certain,Sight and Sound,,,4,0,2314,SOUND DEVICES 702,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,,,,"A series of recordings of fledgling Barred Owls recorded between 7:30 and 8:22 pm. Most vocalizations are typical raspy begging calls, but note the variation in the calls at 10:58 and 27:33 of recording. Note also the chatter call at 17:41 and again at 17:52 of the recording, given while the two birds were in close proximity to each other.",,,Aves,Strigiformes,Strigidae,73310
175898,Audio,Strix varia,Barred Owl,Seiurus aurocapilla -- Ovenbird; Hylocichla mustelina -- Wood Thrush; Vireo olivaceus -- Red-eyed Vireo,,"Budney, Gregory F",1993,5,23,545,United States,New York,Tompkins,Newfield Township; Connecticut Hill Wildlife Management Area; Van Lone Road,,,,Adult Unknown Sex (2),call; duet,Natural,Certain,Sound,,,4,0,477,NAGRA IV-SD,Telinga Pro III,Parabola (Unknown Diameter/Focal Length),Mono,,,,,,,,Several times a third bird can be heard in the distance.,Telinga Pro III was in cut.,Aves,Strigiformes,Strigidae,73310
135413,Audio,Strix varia,Barred Owl,,,"Andersen, Michael J",2007,3,6,430,United States,Florida,Miami-Dade,Everglades National Park; Mahogany Hammock,25.3411333,-80.81425,,Adult Unknown Sex (1),call,Natural,Certain,Sight and Sound,,,4,0,143,NAGRA ARES-BB+,,,Stereo,,,,,,," NOTES: 4 single ""woo-ah"" call notes given by one bird perched over the boardwalk trail at Mahogany Hammock in Everglads National Park.  Seen well under bright moonlight.  All under natural conditions.  Announcement for this cut comes from comes from disc MJA201.  Note that this is a different individual than that recorded at Paurotis Pond (LNS 135412).",,,Aves,Strigiformes,Strigidae,73310
135412,Audio,Strix varia,Barred Owl,,,"Andersen, Michael J",2007,3,6,140,United States,Florida,Miami-Dade,Everglades National Park; Paurotis Pond,25.28305,-80.7983833,,Adult Female (1); Adult Male (1),call,Natural,Certain,Sight and Sound,,,4,0,665,NAGRA ARES-BB+,,,Stereo,,,,,,," NOTES: 21 single ""woo-ah"" call notes given by one bird of a pair of birds present in low trees in the parking lot at Paurotis Pond in Everglads National Park.  All under natural conditions.  Note the soft four notes starting at 8:00.  Unsure if these soft calls were given by the same individual as was giving the main vocs in this cut.  Note that this is a different individual than that recorded at Mahogany Hammock (LNS 135413).",,,Aves,Strigiformes,Strigidae,73310
128933,Audio,Strix varia,Barred Owl,Pseudacris crucifer -- Spring Peeper,,"Vyn, Gerrit ; Clock, Benjamin M",2005,3,23,0,United States,Arkansas,Desha,"N of Sugarberry Natural Area, White River NWR",,,,,,,Certain,Sight and Sound,,,4,0,332,ZAXCOM DEVA II,,,Stereo,,,,Forest; Deciduous Forest; Swamp,,, NOTES: Deva Drive 11 Partition 2 Segment 1,,,Aves,Strigiformes,Strigidae,73310
125371,Audio,Strix varia,Barred Owl,,,"Sander, Thomas G",1992,5,30,2344,United States,Oregon,Lane,H. J. Andrews Experimental Forest; Blue River Reservoir,,,,Adult Female (1); Adult Male (1),,,Certain,,,,4,0,154,NAGRA IV-S,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,," NOTES: BNA: Dueting Male + Female.  Ascending Hoots and Two-Phrase Hoots. -MJA, 28 July 2005. LNS NOTE: It is likely that these birds are the same as LNS 125370. -MJA, 28 July 2005.",,,Aves,Strigiformes,Strigidae,73310
125364,Audio,Strix varia,Barred Owl,,,"Sander, Thomas G",1992,5,28,0,United States,Oregon,Lane,H. J. Andrews Experimental Forest; Blue River Reservoir,,,,Adult Unknown Sex (1),,,Certain,,,,4,0,469,NAGRA IV-S,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,," NOTES: BNA: Ascending Hoots throughout with two Two-Phrase Hoots at 3:38.  The last Ascending Hoot (7:01) is atypical, and is noted by the recordist in his announcement.",,,Aves,Strigiformes,Strigidae,73310
