ML Catalog #,Format,Scientific Name,Common Name,Background Species,Subtitle,Recordist,Year,Month,Day,Time,Country,State,County,Locality,Latitude,Longitude,Elevation (m),AgeSex,Behavior,Stimulus,Confidence In ID,How Identified,Captive,Specimen,Quality,Audio Quality For Video,Cut Length (s),Recorder,Microphone,Accessory,Channels,eBird Checklist ID,Air Temp (C),Water Temp (C),Habitat,Regional Habitat,Physical Feature,Public Note,Subject Note,Equipment Note,Class,Order,Family,Taxonomic Sort
100770,Audio,Megaceryle alcyon,Belted Kingfisher,,,"Hershberger, Wilbur L",1999,4,10,1938,United States,Maryland,Frederick,6.0 km S of Libertytown; Audrey Carroll Wildlife Sanctuary,39.4166667,-77.2083333,180,Adult Unknown Sex (1),advertise; dusk song; roost; song,Natural,Certain,Sight and Sound,,,5,0,149,SONY TCD-D10 PRO II,Sennheiser ME 62,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Deciduous Forest; Pond,,,NOTES: Roosting calls of Belted kingfisher perched  in a tree over the edge of the pond., Response to playback: No response.,,Aves,Coraciiformes,Alcedinidae,97320
105632,Audio,Megaceryle alcyon,Belted Kingfisher,Agelaius phoeniceus -- Red-winged Blackbird; Ammodramus savannarum -- Grasshopper Sparrow; Colinus virginianus -- Northern Bobwhite; Eremophila alpestris -- Horned Lark; Spiza americana -- Dickcissel; Sturnella magna -- Eastern Meadowlark; Tyrannus tyrannus -- Eastern Kingbird; Vireo olivaceus -- Red-eyed Vireo,,"Keller, Geoffrey A",1995,5,25,1045,United States,Indiana,Sullivan,10.0 km NE of Sullivan; Minnehaha Wildlife Management Area,,,170,Adult Female (1); Adult Male (1),call,Natural,Certain,Sound,,,4,0,67,UHER 4200 REPORT MONITOR,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,River; Riparian,,, NOTES: regular call given in low flight near nest site on steep dirt bank,,,Aves,Coraciiformes,Alcedinidae,97320
100769,Audio,Megaceryle alcyon,Belted Kingfisher,,,"Hershberger, Wilbur L",1999,4,10,1938,United States,Maryland,Frederick,6.0 km S of Libertytown; Audrey Carroll Wildlife Sanctuary,39.4166667,-77.2083333,180,Adult Unknown Sex (1),advertise; dusk song; roost; song,Natural,Certain,Sight and Sound,,,4,0,169,SONY TCD-D10 PRO II,Sennheiser ME 62,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Deciduous Forest; Pond,,, NOTES: Roosting calls of Belted kingfisher perched  in a tree over the edge of the pond., Response to playback: No response.,,Aves,Coraciiformes,Alcedinidae,97320
6562,Audio,Megaceryle alcyon,Belted Kingfisher,,,"Michener, Martin C",1958,6,25,615,United States,Washington,,FIDALGO ISLAND; DECEPTION PASS STATE PARK,,,,,call,,Not Provided,,,,4,0,57,MAGNEMITE UNSPECIFIED MODEL,,Parabola 101.6cm (40in),Mono,,,,,,Beach,Rattle call.,,,Aves,Coraciiformes,Alcedinidae,97320
197041,Audio,Megaceryle alcyon,Belted Kingfisher,Corvus brachyrhynchos -- American Crow,,"McGuire, Bob ",2011,5,4,1154,Canada,Ontario,,Algonquin Provincial Park; Lake Opeongo,45.70724,-78.40742,,Adult Unknown Sex (1),call; fly,Natural,Certain,Sight and Sound,,,3,,171,SOUND DEVICES 702,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,,,,,,,Aves,Coraciiformes,Alcedinidae,97320
107283,Audio,Megaceryle alcyon,Belted Kingfisher,,,"Hershberger, Wilbur L",2000,3,25,551,United States,West Virginia,Jefferson,"8.0 km W of Charles Town, Altona Piedmont Marsh Complex",39.3333333,-77.8666667,150,Unknown Age Unknown Sex (1),advertise; fly; song,Natural,Certain,Sight and Sound,,,3,0,35,SONY TCD-D10 PRO II,Sennheiser ME 62,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Creek,,,, Response to playback: No response.,,Aves,Coraciiformes,Alcedinidae,97320
59894,Audio,Megaceryle alcyon,Belted Kingfisher,Sphyrapicus varius -- Yellow-bellied Sapsucker; Turdus migratorius -- American Robin,,"Gunn, William W. H. ",1983,4,29,0,Canada,Ontario,,Bobeaygeon; Mcgregor Drive,,,,Unknown Age Unknown Sex (3),fly,,Certain,Sight and Sound,,,3,0,150,,,,,,,,,,,"NOTES: 3 birds in aerial chases  Also: traffic, hammering, machinery, sapsucker, robin at end.  Q 2",,,Aves,Coraciiformes,Alcedinidae,97320
59892,Audio,Megaceryle alcyon,Belted Kingfisher,Colaptes auratus -- Northern Flicker; Corvus brachyrhynchos -- American Crow; Setophaga coronata -- Yellow-rumped Warbler; Regulus calendula -- Ruby-crowned Kinglet; Turdus migratorius -- American Robin,,"Gunn, William W. H. ",1958,5,8,0,Canada,Ontario,,Algonquin Park; Lake Of 2 Rivers,,,,Unknown Age Unknown Sex (3),,,Certain,Sight and Sound,,,3,0,235,MAGNECORDER UNSPECIFIED MODEL,,,,,,,,,,"NOTES: same birds as in cut 3  wind, reflector, magnemite, best at end.  hand reflector  Q 2",,,Aves,Coraciiformes,Alcedinidae,97320
59889,Audio,Megaceryle alcyon,Belted Kingfisher,Setophaga fusca -- Blackburnian Warbler; Setophaga virens -- Black-throated Green Warbler; Pheucticus ludovicianus -- Rose-breasted Grosbeak; Vireo olivaceus -- Red-eyed Vireo; Cardellina canadensis -- Canada Warbler,,"Gunn, William W. H. ",1956,6,12,0,Canada,Ontario,,Sinclair Twp.; Solitaire Lake   (limberlost),,,,Unknown Age Unknown Sex (2),call; fly,,Certain,Sight and Sound,,,3,0,145,MAGNACORDA UNSPECIFIED MODEL,,,,,,,,,," NOTES: pair calling in flight.Also heard: red-eyed vireo, canada warbler, mosquito, rose-breasted grosbeak, ovenbird, wl.thr.green warbler, blackburnian w.1 mil.",,,Aves,Coraciiformes,Alcedinidae,97320
37747,Audio,Megaceryle alcyon,Belted Kingfisher,,,"Minis, Dolly ",1986,9,21,1600,United States,Massachusetts,Dukes,10.0 km E of Martha's Vineyard; Chilmark; Tisbury Great Park,41.3333333,-70.75,5,Adult Female (1),call; flush; forage,Natural,Certain,Sight and Sound,,,3,0,124,NAGRA E,,,Mono,,,,Brackish Marsh; Riparian; Bay/Harbor; Estuary,,Dune; Sand, NOTES: (Sp. Sound: isolated; Sound: ?song; Behav. Context: annoyance; Cover Den: open; Filtering: yes-Roll Off III),,,Aves,Coraciiformes,Alcedinidae,97320
