ML Catalog #,Format,Scientific Name,Common Name,Background Species,Subtitle,Recordist,Year,Month,Day,Time,Country,State,County,Locality,Latitude,Longitude,Elevation (m),AgeSex,Behavior,Stimulus,Confidence In ID,How Identified,Captive,Specimen,Quality,Audio Quality For Video,Cut Length (s),Recorder,Microphone,Accessory,Channels,eBird Checklist ID,Air Temp (C),Water Temp (C),Habitat,Regional Habitat,Physical Feature,Public Note,Subject Note,Equipment Note,Class,Order,Family,Taxonomic Sort
191106,Audio,Thryomanes bewickii,Bewick's Wren,,,"Hershberger, Wilbur L",2012,4,6,740,United States,Oklahoma,Cimarron,Black Mesa Campground,36.84352,-102.8827,1341,Adult Female (1); Adult Male (1),advertise; song,Natural,Not Provided,,,,5,0,267,SOUND DEVICES 702,Telinga Pro 7,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,13.0,,,,,Habitat:  grassland,Bird was in the campground in a canyon that is vegetated with deciduous trees and shrubs. ,HPF used on SOUND DEVICES 702,Aves,Passeriformes,Troglodytidae,218380
188253,Audio,Thryomanes bewickii,Bewick's Wren,,,"McGuire, Bob ",2013,5,6,639,United States,Arizona,,Coronado National Forest; Cave Creek Canyon; South Fork area; outside of restricted area ,31.8725,-109.2352,,Adult Unknown Sex (1),song,Natural,Uncertain,Sound,,,5,0,124,SOUND DEVICES 702,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,,,,,,,Aves,Passeriformes,Troglodytidae,208140
188241,Audio,Thryomanes bewickii,Bewick's Wren,,,"McGuire, Bob ",2013,5,4,1002,United States,Texas,,Big Bend National Park; Laguna Meadows Trail,29.24628,-103.31163,,Adult Male (1),song,Natural,Certain,Sound,,,5,0,134,SOUND DEVICES 702,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,,,,,,,Aves,Passeriformes,Troglodytidae,208140
187044,Audio,Thryomanes bewickii,Bewick's Wren,,,"McGuire, Bob ",2013,5,6,503,United States,Arizona,,Coronado National Forest; Cave Creek Canyon; Sunny Flat Campground,31.88525,-109.17565,,Adult Unknown Sex (1),call; song,Natural,Certain,Sound,,,5,0,95,SOUND DEVICES 702,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,,,,Songs with calls consistently interspersed.,,,Aves,Passeriformes,Troglodytidae,208140
176419,Audio,Thryomanes bewickii,Bewick's Wren,,,"Pegan, Teresa M",2013,3,18,634,United States,California,San Bernardino,Mojave Preserve; Midhills Campground,35.13194,-115.43555,,Adult Unknown Sex (1),song,Natural,Certain,Sight and Sound,,,5,0,825,NAGRA ARES-BB+,Telinga Pro 8,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,,,,,,,Aves,Passeriformes,Troglodytidae,208140
112658,Audio,Thryomanes bewickii,Bewick's Wren,Auriparus flaviceps -- Verdin; Catherpes mexicanus -- Canyon Wren; Passerina caerulea -- Blue Grosbeak; Icteria virens -- Yellow-breasted Chat; Myiarchus cinerascens -- Ash-throated Flycatcher; Oreothlypis luciae -- Lucy's Warbler,,"Marantz, Curtis A",1998,6,27,644,United States,Arizona,La Paz,Bill Williams National Wildlife Refuge,34.2726667,-114.0533333,,Unknown Age Unknown Sex (1),song,,Certain,Sight and Sound,,,5,0,261,HHB PORTADAT PDR 1000,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,," NOTES: Notes: ""Song, possibly subsong. same spot as Song Sparrow cuts; this bird was 10-12 m away, 6-7 m (2/3) up in open, dead willow snag over tamarisk and live willows; this was a very dingy bird that could well have been in immature.  Recorded with HHb PDR-1000, Sennheiser MKH-20 microphone inside a 30"" Roche fiberglass parabole, HHb filters in cut position and attenuators off unless noted otherwise."" HPF@180. -SBA 04/11/02",,,Aves,Passeriformes,Troglodytidae,208140
112626,Audio,Thryomanes bewickii,Bewick's Wren,Aphelocoma wollweberi -- Mexican Jay; Contopus sordidulus -- Western Wood-Pewee; Pipilo maculatus -- Spotted Towhee; Thryomanes bewickii -- Bewick's Wren,,"Marantz, Curtis A",1998,6,12,726,United States,New Mexico,Hidalgo,"Coronado National Forest, Clanton Canyon",,,,,call; song,,Certain,Sight and Sound,,,5,0,283,HHB PORTADAT PDR 1000,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,," NOTES: Notes:""bird well seen as it began in low bush near ground, but eventually moved to top of nearby juniper and began singing; followed minimal spishing as a result of which bird popped up.  no filters in recording."" Recorded with HHb PDR-1000, Sennheiser MKH-20 microphone inside a 30"" Roche fiberglass parabole, HHb filters in cut position and attenuators off unless noted otherwise HPF @ 180. -SBA 04/11/02",,,Aves,Passeriformes,Troglodytidae,208140
111044,Audio,Thryomanes bewickii,Bewick's Wren,,,"Sander, Thomas G",1988,4,26,0,United States,California,Marin,Marin Municipal Water District; Lagunitas Lake,,,,,song,,Not Provided,,,,5,0,419,NAGRA IV-S,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,, NOTES: (AOU #719. NM: Y.) Continuous song. Contains 2/3 variations. BNA: Song.,,,Aves,Passeriformes,Troglodytidae,208140
109087,Audio,Thryomanes bewickii,Bewick's Wren,Campylorhynchus brunneicapillus -- Cactus Wren,,"Keller, Geoffrey A",1999,5,26,703,United States,Arizona,Cochise,5.0 km W of Portal,,,1450,Adult Male (1),advertise; song,Natural,Certain,Sound,,,5,0,67,NAGRA E,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Coniferous Forest; Deciduous Forest; Mixed Coniferous/Deciduous,,, NOTES:           ,,,Aves,Passeriformes,Troglodytidae,208140
109030,Audio,Thryomanes bewickii,Bewick's Wren,Baeolophus wollweberi -- Bridled Titmouse; Myiarchus tuberculifer -- Dusky-capped Flycatcher; Zenaida asiatica -- White-winged Dove,,"Keller, Geoffrey A",1999,5,20,515,United States,Arizona,Cochise,"11.0 km S of Sierra Vista, Carr Canyon",,,,Adult Male (1),advertise; song,Natural,Certain,Sound,,,5,0,50,NAGRA E,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,, NOTES:           ,,,Aves,Passeriformes,Troglodytidae,208140
