ML Catalog #,Format,Scientific Name,Common Name,Background Species,Subtitle,Recordist,Year,Month,Day,Time,Country,State,County,Locality,Latitude,Longitude,Elevation (m),AgeSex,Behavior,Stimulus,Confidence In ID,How Identified,Captive,Specimen,Quality,Audio Quality For Video,Cut Length (s),Recorder,Microphone,Accessory,Channels,eBird Checklist ID,Air Temp (C),Water Temp (C),Habitat,Regional Habitat,Physical Feature,Public Note,Subject Note,Equipment Note,Class,Order,Family,Taxonomic Sort
202239,Audio,Poecile atricapillus,Black-capped Chickadee,Setophaga pensylvanica -- Chestnut-sided Warbler,,"McGowan, Jay W",2015,6,7,647,United States,New York,Schuyler,Arnot Forest; Banfield Road,42.2728314,-76.6578126,,Adult Unknown Sex (2),call; forage,Pish,Certain,Sight and Sound,,,5,0,295,MARANTZ PMD 661,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,S23811572,,,,,,Annoyed calls from two birds in response to brief pishing.,,Telinga filter engaged.,Aves,Passeriformes,Paridae,210730
199076,Audio,Poecile atricapillus,Black-capped Chickadee,,,"McGuire, Bob ",2010,5,13,555,United States,New York,Tompkins,Danby State Forest; Michigan Hollow,42.3166701,-76.4787912,,Adult Unknown Sex (1),call,Natural,Certain,Sight and Sound,,,5,0,65,SOUND DEVICES 702,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,,,,,,,Aves,Passeriformes,Paridae,210730
117803,Audio,Poecile atricapillus,Black-capped Chickadee,,,"Pantle, Steven R",2003,10,9,0,United States,New York,Tioga,2.0 km N of Candor,,,,,call,Natural,Certain,Sight and Sound,,,5,0,47,HHB PORTADAT PDR 1000,,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,,,," NOTES: Very typical calls, high quality, including ""high zees""",,,Aves,Passeriformes,Paridae,200500
98802,Audio,Poecile atricapillus,Black-capped Chickadee,Setophaga pinus -- Pine Warbler; Poecile atricapillus -- Black-capped Chickadee; Oreothlypis ruficapilla -- Nashville Warbler,,"Keller, Geoffrey A",1992,5,31,0,United States,Michigan,,15.0 km SW of Mio; Huron National Forest,,,,,call; song,Natural,Certain,Sound,,,5,0,206,,,,Mono,,,,,,," NOTES: BNA: Chick-a-dee call complex. Loud Fee-bee. Contact note ""tseet"". mf",,,Aves,Passeriformes,Paridae,200500
58113,Audio,Poecile atricapillus,Black-capped Chickadee,Haemorhous purpureus -- Purple Finch; Melospiza melodia -- Song Sparrow,,"Gunn, William W. H. ",1957,4,23,0,Canada,Ontario,,"Algonquin Park, Picnic Beach, Lake Of Two Rivers",,,,,call,,Not Provided,,,,5,0,72,,,,,,,,,,," NOTES: 5706; ""fee-bee calls; good quality;Also heard: song sp. 'chip', purple finch; (WWHG)",,,Aves,Passeriformes,Paridae,200500
49751,Audio,Poecile atricapillus,Black-capped Chickadee,,,"Colver, Kevin J",1990,7,2,647,United States,Utah,,1.0 km S of Payson Golf Course,40.0,-111.75,1500,,call; establish flock contact; forage,Natural,Certain,Sight and Sound,,,5,0,360,SONY TCD-D10,,Roché Parabola 60cm/14.5cm (23.6in/5.7in),Mono,,,,Forest; Deciduous Forest,,Scrub," NOTES: (Background Sounds: wind; Number of Animals: adult?; Species Sound: constant; Social Contact: family?; Sound Delivery Rate: high; General Climate: cyclic wet-dry; Cover Density: medium; Filtering: no) *** Windy, otherwise good chattering foraging flock.                        BNA: Chick-a-dee call complex. Gargle. Contact note ""tseet"". mf", Number of individuals=UU8-10; ,,Aves,Passeriformes,Paridae,200500
197114,Audio,Poecile atricapillus,Black-capped Chickadee,,,"McGuire, Bob ",2011,7,5,655,Canada,Quebec,,Parc d'Aiguebelle,48.4490162,-78.6998749,,Adult Male (1),song,Natural,Certain,Sight and Sound,,,4,0,53,SOUND DEVICES 702,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,,,,,,,Aves,Passeriformes,Paridae,200500
197112,Audio,Poecile atricapillus,Black-capped Chickadee,Setophaga fusca -- Blackburnian Warbler; Catharus ustulatus -- Swainson's Thrush; Oreothlypis ruficapilla -- Nashville Warbler; Setophaga magnolia -- Magnolia Warbler; Setophaga ruticilla -- American Redstart; Regulus calendula -- Ruby-crowned Kinglet,,"McGuire, Bob ",2011,7,5,639,Canada,Quebec,,Parc d'Aiguebelle,48.4490162,-78.6998749,,Adult Male (1),call,,Certain,Sight and Sound,,,4,0,100,SOUND DEVICES 702,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,,,,,,,Aves,Passeriformes,Paridae,200500
195523,Audio,Poecile atricapillus,Black-capped Chickadee,Sitta canadensis -- Red-breasted Nuthatch,,"McGowan, Jay W",2014,11,23,1056,United States,New York,Cayuga,Summer Hill State Forest; Dresser Road,42.6689156,-76.3260877,,Unknown Age Unknown Sex (5),call; forage; mob,Pish,Certain,Sight and Sound,,,4,0,186,Roland R-26,Telinga Pro 8,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,S20657546,,,,,,Small group of chickadees calling in response to pishing.,,High-pass filter engaged on Telinga Pro.,Aves,Passeriformes,Paridae,210730
191262,Audio,Poecile atricapillus,Black-capped Chickadee,Corvus brachyrhynchos -- American Crow,,"Little, Randolph S",2003,5,22,610,United States,New Jersey,Somerset,3.0 km SW of Gladstone; Fairview Farm,40.7108333,-74.7022222,90,Adult Unknown Sex (1),advertise; song,Human; Natural,Certain,Sight and Sound,,,4,0,82,NAGRA IV-D,Sennheiser MKH 404,Parabola 91.4cm (36in),Mono,,,,,,,"Habitat: Deciduous/coniferous forest, Grassland, Red maple, Red cedar, Pin oak",,,Aves,Passeriformes,Paridae,200500
