ML Catalog #,Format,Scientific Name,Common Name,Background Species,Subtitle,Recordist,Year,Month,Day,Time,Country,State,County,Locality,Latitude,Longitude,Elevation (m),AgeSex,Behavior,Stimulus,Confidence In ID,How Identified,Captive,Specimen,Quality,Audio Quality For Video,Cut Length (s),Recorder,Microphone,Accessory,Channels,eBird Checklist ID,Air Temp (C),Water Temp (C),Habitat,Regional Habitat,Physical Feature,Public Note,Subject Note,Equipment Note,Class,Order,Family,Taxonomic Sort
121940,Audio,Pheucticus melanocephalus,Black-headed Grosbeak,Contopus sordidulus -- Western Wood-Pewee; Myiarchus tuberculifer -- Dusky-capped Flycatcher; Myioborus pictus -- Painted Redstart; Pipilo maculatus -- Spotted Towhee; Thryomanes bewickii -- Bewick's Wren,,"Marantz, Curtis A",2005,6,4,710,United States,Arizona,Cochise,"Coronado National Forest; Miller Canyon, Miller Peak Trail",,,,Adult Female (1); Adult Male (1),Social context: family; advertise; beg; call; mate; perform nest relief; song,Natural,Certain,Sight and Sound,,,5,0,425,HHB PORTADAT PDR 1000,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Evergreen Forest,,Canyon," NOTES: Singing bird was a male that was sitting on nest for most of recording, but near the end, the female called several times, followed by a nest exchange and some soft peeping that appeared to represent begging by small nestlings; nest was 12 m away and about 3 m up (ca. three-quarters of the way up a 5 m-tall oak) on slope above trail about 200 m above spur trail to stream and house foundation; cup nest was in crotch in horizontal branch 30-35 cm out from large vertical trunk / branch; male was seen poorly on nest during recording, female seen better following recording; clear, calm, low 60s.",,,Aves,Passeriformes,Cardinalidae,300150
111076,Audio,Pheucticus melanocephalus,Black-headed Grosbeak,,,"Sander, Thomas G",1988,5,20,0,United States,California,Marin,Mt. Hamilton; Mines Rd.; Livermore Hills,,,,,song,,Certain,,,,5,0,437,NAGRA IV-S,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,, NOTES: (AOU #596. NM: Y.),,,Aves,Passeriformes,Cardinalidae,300150
111069,Audio,Pheucticus melanocephalus,Black-headed Grosbeak,,,"Sander, Thomas G",1988,5,18,0,United States,California,Marin,Mt. Hamilton; Mines Rd.,,,,,,,Not Provided,,,,5,0,254,NAGRA IV-S,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,, NOTES: (Aou #596. NM: Y.),,,Aves,Passeriformes,Cardinalidae,300150
106598,Audio,Pheucticus melanocephalus,Black-headed Grosbeak,Agelaius phoeniceus -- Red-winged Blackbird; Setophaga petechia -- Yellow Warbler; Melospiza melodia -- Song Sparrow,,"Little, Randolph S",1994,5,31,600,United States,Oregon,,3.0 km E of Frenchglen; P Ranch,42.8333333,-119.0,1250,Adult Male (1),advertise; song,Natural,Certain,Sight and Sound,,,5,0,128,NAGRA IV-D,,Parabola 91.4cm/30.5cm (36in/12in),Mono,,,,Grassland; Freshwater; Deciduous Forest; Swamp; Creek; Riparian,,Hedgerow; Bank," NOTES: (Species Sound: constant; Breeding Status: territorial paired, breeding?; Behavioral Context: courtship?, mate contact?, nest invitation?; General Climate: arid; Cover Density: medium; Strata in Habitat: song perch)",,,Aves,Passeriformes,Cardinalidae,300150
56842,Audio,Pheucticus melanocephalus,Black-headed Grosbeak,Baeolophus inornatus -- Oak Titmouse; Oreortyx pictus -- Mountain Quail,,"Keller, Geoffrey A",1991,4,30,649,United States,California,,18.0 km S of Maricopa; Valle Vista Camp,,,600,Adult Male (1),song,Natural,Certain,Sound,,,5,0,100,UHER REPORT 4200,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Evergreen Forest; Coniferous Forest; Montane Grassland,,Edge, NOTES: (Breeding status: Territorial; Sp. sound: freq;  Gen. Climate: cyclic wet-dry; cover den: sparse)          BNA: Song. mf,,,Aves,Passeriformes,Cardinalidae,313990
50572,Audio,Pheucticus melanocephalus,Black-headed Grosbeak,Contopus sordidulus -- Western Wood-Pewee; Cyanocitta stelleri -- Steller's Jay; Setophaga nigrescens -- Black-throated Gray Warbler; Oreothlypis ruficapilla -- Nashville Warbler; Vireo gilvus -- Warbling Vireo; Zenaida macroura -- Mourning Dove,,"Little, Randolph S",1990,6,4,815,United States,California,,1.0 km NE of Sierra City; Lewis Lane,39.5666667,-120.6166667,1550,Adult Male (1),call; song,Natural,Uncertain,Sight and Sound,,,5,0,129,NAGRA IV-D,,Parabola 91.4cm/30.5cm (36in/12in),Mono,,,,Forest; Evergreen Forest; Coniferous Forest; Deciduous Forest,,Second-growth; Canyon," NOTES: (Background Sounds: airplane, stream; Species Sound: constant; Breeding Status: territorial paired, breeding; Behavioral Context: advertising?, mate contact?, incubating on nest; Sound Delivery Rate: low; General Climate: arid; Cover Density: medium; weather: calm; Filtering: yes - Nagra at 4) Copied at LNS onto AGFA PEM468, then edited by RSL.            BNA: Call. Song. mf",,,Aves,Passeriformes,Cardinalidae,300150
40614,Audio,Pheucticus melanocephalus,Black-headed Grosbeak,Icterus parisorum -- Scott's Oriole; Thryomanes bewickii -- Bewick's Wren,,"Keller, Geoffrey A",1987,5,18,730,United States,Arizona,Santa Cruz,"7.0 km SE of Patagonia, Harshaw Road",,,1700,Adult Male (1),advertise; song,Natural,Certain,Sound,,,5,0,27,UHER 4200,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Evergreen Forest; Riparian,,, NOTES: BNA: Song. mf,,,Aves,Passeriformes,Cardinalidae,300150
22822,Audio,Pheucticus melanocephalus,Black-headed Grosbeak,,,"Fish, William R",1961,5,13,0,United States,California,El Dorado,NEAR BALDERSTON STA.; EL DORADO CO.,,,,Adult Male (1),song,Natural,Certain,Sight and Sound,,,5,0,46,NAGRA UNSPECIFIED MODEL,,Parabola 61cm (24in),Mono,,,,Forest; Coniferous Forest; Deciduous Forest,,, NOTES:  Range status: NORMAL;  Breeding status: UNKNOWN;  Beh. context: UNKNOWN; General climate: CYCLIC WET-DRY;  Cover density: MEDIUM; NEAR GEORGETOWN.      BNA: Song. mf,,,Aves,Passeriformes,Cardinalidae,300150
22821,Audio,Pheucticus melanocephalus,Black-headed Grosbeak,,,"Fish, William R",1957,6,19,0,United States,Arizona,,SOUTHWEST RESEARCH STATION; PORTAL,,,,Adult Male (1),song,,Certain,Sight and Sound,,,5,0,26,MAGNEMITE UNSPECIFIED MODEL,,Parabola 61cm (24in),Mono,,,,Forest; Deciduous Forest,,, NOTES:  Range status: NORMAL;  Breeding status: UNKNOWN;  Beh. context: UNKNOWN; General climate: CYCLIC WET-DRY;       BNA: Song. mf,,,Aves,Passeriformes,Cardinalidae,300150
22819,Audio,Pheucticus melanocephalus,Black-headed Grosbeak,,,"Fish, William R",1954,4,16,0,United States,California,Monterey,HASTINGS RESERVATION; MONTEREY CO.,,,,Adult Male (1),call; song,Natural,Certain,Sight,,,5,0,40,MAGNECORDER UNSPECIFIED MODEL,,Parabola 61cm (24in),Mono,,,,,,, NOTES:  Range status: NORMAL;  Breeding status: UNKNOWN;  Beh. context: UNKNOWN; General climate: CYCLIC WET-DRY; N. OF N. BARN.        BNA: Call. Song. mf,,,Aves,Passeriformes,Cardinalidae,300150
