ML Catalog #,Format,Scientific Name,Common Name,Background Species,Subtitle,Recordist,Year,Month,Day,Time,Country,State,County,Locality,Latitude,Longitude,Elevation (m),AgeSex,Behavior,Stimulus,Confidence In ID,How Identified,Captive,Specimen,Quality,Audio Quality For Video,Cut Length (s),Recorder,Microphone,Accessory,Channels,eBird Checklist ID,Air Temp (C),Water Temp (C),Habitat,Regional Habitat,Physical Feature,Public Note,Subject Note,Equipment Note,Class,Order,Family,Taxonomic Sort
176489,Audio,Setophaga nigrescens,Black-throated Gray Warbler,,,"McGuire, Bob ",2013,5,6,1043,United States,Arizona,,Coronado National Forest; near Herb Martyr campground,31.8711,-109.2356,,Adult Unknown Sex (1),song,Natural,Certain,Sight and Sound,,,5,0,187,SOUND DEVICES 702,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,,,,First-category Type 2 song as per BNA.,,,Aves,Passeriformes,Parulidae,277660
120215,Audio,Setophaga nigrescens,Black-throated Gray Warbler,,,"Keller, Geoffrey A",2002,5,8,659,United States,California,,White Mountains; Inyo National Forest,,,2290,,song,,Certain,Sight,,,5,0,77,HHB PORTADAT PDR 1000,,,Mono,,,,,,," NOTES: ""Bird was vocalizing from canopy of Pinyon Pine tree... Sunrise was at about 0600hr.""",,,Aves,Passeriformes,Parulidae,277660
112642,Audio,Setophaga nigrescens,Black-throated Gray Warbler,Baeolophus wollweberi -- Bridled Titmouse; Icterus parisorum -- Scott's Oriole; Pheucticus melanocephalus -- Black-headed Grosbeak; Troglodytes aedon -- House Wren,,"Marantz, Curtis A",1998,6,14,853,United States,Arizona,Santa Cruz,"Coronado NF, Madera Canyon Recreation Area, Madera trail",,,,Adult Male (1),song,,Certain,Sight and Sound,,,5,0,71,HHB PORTADAT PDR 1000,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,," NOTES: Notes: ""songs of adult male.  Adult male bird initially attracted to my spishing, was foraging and carrying food through oak-juniper woodland slopes above Bog Springs Campground; 3-6m up, 5-25m away.  Recorded with HHb PDR-1000, Sennheiser MKH-20 microphone inside a 30"" Roche fiberglass parabole, HHb filters in cut position and attenuators off unless noted otherwise."" HPF@180. -SBA 04/11/02 ",,,Aves,Passeriformes,Parulidae,277660
110926,Audio,Setophaga nigrescens,Black-throated Gray Warbler,,,"Sander, Thomas G",1986,4,14,0,United States,California,Marin,Bolinas; Carson Ridge; Fairfax Road,,,,,,,Not Provided,,,,5,0,167,NAGRA IV-S,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,, NOTES: (AOU #665. NM: NN.),,,Aves,Passeriformes,Parulidae,277660
109033,Audio,Setophaga nigrescens,Black-throated Gray Warbler,Zenaida asiatica -- White-winged Dove,,"Keller, Geoffrey A",1999,5,20,647,United States,Arizona,Cochise,"15.0 km S of Sierra Vista, Miller Canyon",,,1760,Adult Male (1),advertise; song,Natural,Certain,Sight,,,5,0,102,NAGRA E,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,, NOTES:           ,,,Aves,Passeriformes,Parulidae,277660
50127,Audio,Setophaga nigrescens,Black-throated Gray Warbler,,,"Keller, Geoffrey A",1990,4,15,830,United States,Oregon,Douglas,55.0 km SW of Eugene; West Fork Smith River,,,200,Adult Male (1),advertise; song,Natural,Certain,Sight and Sound,,,5,0,358,UHER 4200 REPORT MONITOR,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Evergreen Forest; Coniferous Forest; Deciduous Forest; Stream,,Second-growth; Canyon, NOTES: dawn +1.75; species cut number 40,,,Aves,Passeriformes,Parulidae,277660
22811,Audio,Setophaga nigrescens,Black-throated Gray Warbler,,,"Fish, William R",1956,4,13,0,United States,California,Monterey,HASTINGS RESERVATION; MONTEREY CO.,,,,Adult Male (1),song,Natural,Certain,Sight,,,5,0,52,MAGNEMITE UNSPECIFIED MODEL,,Parabola 61cm (24in),Mono,,,,,,, NOTES:  Range status: NORMAL;  Breeding status: UNKNOWN;  Beh. context: UNKNOWN; General climate: CYCLIC WET-DRY; EAST OF UPPER BARN.  (MLNS Notes: HPF@225 hz when digitized. CZ 25/09/03),,,Aves,Passeriformes,Parulidae,277660
22810,Audio,Setophaga nigrescens,Black-throated Gray Warbler,,,"Fish, William R",1956,4,15,0,United States,California,Monterey,HASTINGS RESERVATION; MONTEREY CO.,,,,Adult Male (1),song,Natural,Certain,Sight,,,5,0,41,MAGNEMITE UNSPECIFIED MODEL,,Parabola 61cm (24in),Mono,,,,Forest; Deciduous Forest,,, NOTES:  Range status: NORMAL;  Breeding status: UNKNOWN;  Beh. context: UNKNOWN; General climate: CYCLIC WET-DRY;  Cover density: MEDIUM; CARMEL RD. W. RESERVATION GATE.  (MLNS Notes: HPF@225 hz when digitized. CZ 25/09/03),,,Aves,Passeriformes,Parulidae,277660
22809,Audio,Setophaga nigrescens,Black-throated Gray Warbler,,,"Fish, William R",1955,4,13,0,United States,California,Monterey,HASTINGS RESERVATION; MONTEREY CO.,,,,Adult Male (1),song,Natural,Certain,Sight,,,5,0,58,MAGNEMITE UNSPECIFIED MODEL,,Parabola 61cm (24in),Mono,,,,Forest; Deciduous Forest; Creek,,, NOTES:  Range status: NORMAL;  Breeding status: UNKNOWN;  Beh. context: UNKNOWN; General climate: CYCLIC WET-DRY;  Cover density: MEDIUM; BETWEEN GATE AND FIRST CROSSING.  ORIGINAL AND FIRST GENERATION COPY.  (MLNS Notes: HPF@225 hz when digitized. CZ 25/09/03)  ,,,Aves,Passeriformes,Parulidae,277660
189351,Audio,Setophaga nigrescens,Black-throated Gray Warbler,,,"McGuire, Bob ",2012,4,7,702,United States,California,Santa Barbara,Los Padres National Forest; Figeuroa Mountain Road,34.7336,-119.9871,,Adult Male (1),song,Natural,Uncertain,Sound,,,4,0,145,SOUND DEVICES 702,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,,,,,,,Aves,Passeriformes,Parulidae,277660
