ML Catalog #,Format,Scientific Name,Common Name,Background Species,Subtitle,Recordist,Year,Month,Day,Time,Country,State,County,Locality,Latitude,Longitude,Elevation (m),AgeSex,Behavior,Stimulus,Confidence In ID,How Identified,Captive,Specimen,Quality,Audio Quality For Video,Cut Length (s),Recorder,Microphone,Accessory,Channels,eBird Checklist ID,Air Temp (C),Water Temp (C),Habitat,Regional Habitat,Physical Feature,Public Note,Subject Note,Equipment Note,Class,Order,Family,Taxonomic Sort
120237,Audio,Euphagus cyanocephalus,Brewer's Blackbird,,,"Keller, Geoffrey A",2002,5,26,1811,United States,Oregon,,11.3 km N of Adell [sp?],,,,,call; song,,Certain,Sight,,,5,0,309,HHB PORTADAT PDR 1000,,,Mono,,,,,,," NOTES: ""Bird was vocalizing from bare ground... Area appeared to be some sort of gravelpit with sagebrush.""",,,Aves,Passeriformes,Icteridae,301540
120233,Audio,Euphagus cyanocephalus,Brewer's Blackbird,,,"Keller, Geoffrey A",2002,5,12,1227,United States,California,,Tule Lake National Wildlife Refuge,,,,,call,,Certain,Sight,,,5,0,416,HHB PORTADAT PDR 1000,,,Mono,,,,,,," NOTES: ""Bird was vocalizing from telephone wire... The area was at the base of [sounds like sheepy] ridge containing decidious trees; above that was rim rock, and to the east was agricultural land.""",,,Aves,Passeriformes,Icteridae,301540
73820,Audio,Euphagus cyanocephalus,Brewer's Blackbird,,,"Hershberger, Wilbur L",1995,6,4,1040,United States,California,,20.0 km N of Sierraville,39.75,-120.35,1200,Adult Male (1),advertise; call; song,Natural,Certain,Sight and Sound,,,5,0,197,MARANTZ PMD 222,Sennheiser ME 62,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Wetland; Freshwater; Creek,,," NOTES: Breeding status: TerritorialNotes: The bird clucks, buzzes and sings throughout the cut. A female was nearby in the reeds. This male was on top of a telephone pole.",,,Aves,Passeriformes,Icteridae,301540
44977,Audio,Euphagus cyanocephalus,Brewer's Blackbird,,,"Keller, Geoffrey A",1989,6,20,625,United States,Oregon,Crook,22.0 km NE of Redmond; Crooked River National Grassland,,,1200,Adult Female (1),advertise; call,Natural,Certain,Sight and Sound,,,5,0,102,UHER 4200 REPORT MONITOR,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Rural; Orchard,,, NOTES: BNA: Calls.  dawn +1.0hrs; species cut number 9,,,Aves,Passeriformes,Icteridae,301540
205427,Audio,Euphagus cyanocephalus,Brewer's Blackbird,,,"Budney, Gregory F",2000,6,6,713,United States,California,Sierra,Tahoe National Forest; Carman Valley,39.6976081,-120.4448587,,Unknown Age Unknown Sex (1),call; emit alarm,,Not Provided,Sound,,,4,0,103,HHB PORTADAT PDR 1000,Sennheiser MKH 20,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Mono,,,,,,,,,,Aves,Passeriformes,Icteridae,30419
188804,Audio,Euphagus cyanocephalus,Brewer's Blackbird,,,"McGuire, Bob ",2013,5,19,2052,United States,Utah,,Antelope Island State Park; Bridger Bay Campground,41.0392,-112.2618,,Adult Female (1); Adult Male (1); Adult Unknown Sex (2),call,Natural,Certain,Sight and Sound,,,4,0,91,SOUND DEVICES 702,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,,,,,,,Aves,Passeriformes,Icteridae,301540
188802,Audio,Euphagus cyanocephalus,Brewer's Blackbird,,,"McGuire, Bob ",2013,5,19,2013,United States,Utah,,Antelope Island State Park; Bridger Bay Campground,41.0392,-112.2618,,Adult Unknown Sex (1),song,Natural,Certain,Sight and Sound,,,4,0,164,SOUND DEVICES 702,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,,,,,,,Aves,Passeriformes,Icteridae,301540
179929,Audio,Euphagus cyanocephalus,Brewer's Blackbird,,,"Walker, Bradley M",2013,6,2,842,United States,California,Sierra,12.0 km S of Portola; Carman Valley; Tahoe National Forest,39.6961616,-120.4440165,,Adult Male (1),call,Natural,Certain,Sight and Sound,,,4,0,197,NAGRA ARES-BB+,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Mono,,,,,,,Appeared to be patrolling a nesting area and giving alarm calls at the presence of the recordist.,,Telinga Hipass filter was in place during this recording.,Aves,Passeriformes,Icteridae,301540
179913,Audio,Euphagus cyanocephalus,Brewer's Blackbird,Spizella passerina -- Chipping Sparrow; Melospiza melodia -- Song Sparrow; Sturnella neglecta -- Western Meadowlark,,"Walker, Bradley M",2013,6,2,555,United States,California,Sierra,12.0 km S of Portola; Carman Valley; Tahoe National Forest,39.6954171,-120.4444617,,Adult Male (1),call,Natural,Certain,Sight and Sound,,,4,0,84,NAGRA ARES-BB+,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Mono,,,,,,,,,Telinga Hipass filter was in place during this recording.,Aves,Passeriformes,Icteridae,301540
168979,Audio,Euphagus cyanocephalus,Brewer's Blackbird,,,"Little, Randolph S",2012,6,15,540,United States,California,Sierra,12.0 km S of Portola (Carman Valley),39.716666,-120.46666,1550,Adult Female (1),Syrinx; call; perch; scold,Natural,Certain,Sight and Sound,,,4,0,86,NAGRA LB,Sennheiser ME 67,,Mono,,10.0,,Meadow,,,Same individual as LNS 168978.,Female scolding with food for young.,,Aves,Passeriformes,Icteridae,301540
168978,Audio,Euphagus cyanocephalus,Brewer's Blackbird,,,"Little, Randolph S",2012,6,15,536,United States,California,Sierra,12.0 km S of Portola (Carman Valley),39.716666,-120.46666,1550,Adult Female (1); Adult Male (1),Syrinx; advertise; call; fly; perch; scold; song,Natural,Certain,Sight and Sound,,,4,0,107,NAGRA LB,Sennheiser ME 67,,Mono,,10.0,,Meadow,,,Same individual as LNS 168979.,"Initially a female scolding, followed by a male scolding and singing.",,Aves,Passeriformes,Icteridae,301540
144006,Audio,Euphagus cyanocephalus,Brewer's Blackbird,Piranga ludoviciana -- Western Tanager; Troglodytes aedon -- House Wren; Turdus migratorius -- American Robin; Zenaida macroura -- Mourning Dove,,"Little, Randolph S",2001,5,30,1005,United States,California,Sierra,6.0 km S of Loyalton; Antelope Valley - East across saddle,39.6222222,-120.2469444,1713,Adult Male (1),advertise; call; mate; song,Natural,Certain,Sight and Sound,,,4,0,207,NAGRA IV-D,Sennheiser MKH 404,Parabola 91.4cm/30.5cm (36in/12in),Mono,,,,Forest; Grassland; Park/Campus/Cemetery; Evergreen Forest; Coniferous Forest; Deciduous Forest,,Second-growth; Scrub,,,,Aves,Passeriformes,Icteridae,301540
138590,Audio,Euphagus cyanocephalus,Brewer's Blackbird,,,"Budney, Gregory F",1996,6,2,830,United States,California,Plumas,Marble Hot Springs Road [aka Dyson Lane]; just west of structural steel bridge.,39.7628505,-120.3389304,1508,Adult Female (1),call; emit alarm,Natural,Certain,Sight and Sound,,,4,0,84,HHB PORTADAT PDR 1000,Telinga Pro III,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,Pasture,,,,,Telinga Pro III with stereo mic capsule in flat.,Aves,Passeriformes,Icteridae,301540
138589,Audio,Euphagus cyanocephalus,Brewer's Blackbird,,,"Budney, Gregory F",1996,6,2,830,United States,California,Plumas,Marble Hot Springs Road [aka Dyson Lane]; just west of structural steel bridge.,39.7628505,-120.3389304,1508,Adult Female (1),call; emit alarm,Natural,Certain,Sight and Sound,,,4,0,155,HHB PORTADAT PDR 1000,Telinga Pro III,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,Pasture,,,,,,Aves,Passeriformes,Icteridae,301540
129020,Audio,Euphagus cyanocephalus,Brewer's Blackbird,,,"Andersen, Michael J",2005,6,15,0,United States,Oregon,Harney,"2.6 km S of Field Station on Center Patrol Road, Malheur NWR",,,1330,,call; establish flock contact,Natural,Certain,Sight and Sound,,,4,0,342,HHB PORTADAT PDR 1000,,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,Wetland; Freshwater,,Thicket/Brush; Hedgerow, NOTES: High-pass filter engaged on microphone.  These blackbirds flew in as I was recording X. xanthocephalus (LNS 129019).  This cut continues where LNS 129019 leaves off.  There are about two seconds of overlap.  ,,,Aves,Passeriformes,Icteridae,301540
129010,Audio,Euphagus cyanocephalus,Brewer's Blackbird,Melospiza melodia -- Song Sparrow,,"Andersen, Michael J",2005,6,15,508,United States,Oregon,Harney,"2.0 km S of Field Station on Center Patrol Road, Malheur NWR",,,1330,,call,Natural,Certain,Sight and Sound,,,4,0,154,HHB PORTADAT PDR 1000,,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,Wetland; Freshwater,,, NOTES: Melospiza melodia song at 0:14 is from same individual as LNS 129009.  High-pass filter engaged on microphone.,,,Aves,Passeriformes,Icteridae,301540
