ML Catalog #,Format,Scientific Name,Common Name,Background Species,Subtitle,Recordist,Year,Month,Day,Time,Country,State,County,Locality,Latitude,Longitude,Elevation (m),AgeSex,Behavior,Stimulus,Confidence In ID,How Identified,Captive,Specimen,Quality,Audio Quality For Video,Cut Length (s),Recorder,Microphone,Accessory,Channels,eBird Checklist ID,Air Temp (C),Water Temp (C),Habitat,Regional Habitat,Physical Feature,Public Note,Subject Note,Equipment Note,Class,Order,Family,Taxonomic Sort
126422,Audio,Molothrus ater,Brown-headed Cowbird,,,"Sander, Thomas G",1988,4,6,0,United States,California,,"",,,,,call; song,,Not Provided,,,,5,0,119,NAGRA IV-S,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,, NOTES: BNA: Song and call notes.,,,Aves,Passeriformes,Icteridae,302530
120254,Audio,Molothrus ater,Brown-headed Cowbird,,,"Keller, Geoffrey A",2002,5,29,548,United States,California,Modoc,Lava Beds National Monument,,,1310,,song,,Certain,Sight,,,5,0,414,HHB PORTADAT PDR 1000,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,," NOTES: ""Bird was vocalizing from very top of juniper tree...""",,,Aves,Passeriformes,Icteridae,302530
109046,Audio,Molothrus ater,Brown-headed Cowbird,Myiarchus tuberculifer -- Dusky-capped Flycatcher,,"Keller, Geoffrey A",1999,5,21,609,United States,Arizona,Cochise,"15.0 km S of Sierra Vista, Miller Canyon",,,1760,Adult Female (1); Adult Male (1),advertise; song,Natural,Certain,Sight and Sound,,,5,0,165,NAGRA E,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Creek; Riparian,,, NOTES:           ,,,Aves,Passeriformes,Icteridae,302530
107305,Audio,Molothrus ater,Brown-headed Cowbird,,,"Hershberger, Wilbur L",2000,4,23,753,United States,Maryland,Frederick,"6.0 km S of Libertytown , Audrey Carroll Wildlife Sanctu",39.4166667,-77.2083333,180,Adult Female (1); Adult Male (1),court; duet; song,Natural,Certain,Sight and Sound,,,5,0,130,SONY TCD-D10 PRO II,Sennheiser ME 62,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Pond,,,, Response to playback: No response.,,Aves,Passeriformes,Icteridae,302530
107304,Audio,Molothrus ater,Brown-headed Cowbird,,,"Hershberger, Wilbur L",2000,4,23,0,United States,Maryland,Frederick,"6.0 km S of Libertytown , Audrey Carroll Wildlife Sanctu",39.4166667,-77.2083333,180,Adult Male (1),advertise; song,Natural,Certain,Sight and Sound,,,5,0,110,SONY TCD-D10 PRO II,Sennheiser ME 62,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Pond,,,, Response to playback: No response.,,Aves,Passeriformes,Icteridae,302530
106745,Audio,Molothrus ater,Brown-headed Cowbird,Contopus cooperi -- Olive-sided Flycatcher; Melospiza lincolnii -- Lincoln's Sparrow; Oreortyx pictus -- Mountain Quail,,"Little, Randolph S",1996,6,5,1303,United States,California,Sierra,12.0 km S of Portola,39.7166667,-120.4666667,1550,Adult Male (1),advertise; call; song,Natural,Certain,Sight and Sound,,,5,0,190,NAGRA IV-D,,Parabola 91.4cm/30.5cm (36in/12in),Mono,,,,Forest; Grassland; Park/Campus/Cemetery; Evergreen Forest; Coniferous Forest; Montane Grassland,,,,,,Aves,Passeriformes,Icteridae,316530
94276,Audio,Molothrus ater,Brown-headed Cowbird,,,"Hershberger, Wilbur L",1998,4,12,1215,United States,West Virginia,Jefferson,5.0 km W of Shannondale; Shannondale Springs WMA,39.2333333,-77.8166667,160,Adult Male (1),advertise; song,Natural,Certain,Sight and Sound,,,5,0,103,SONY TCD-D10 PRO II,Sennheiser ME 62,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Coniferous Forest; Deciduous Forest; Field,,Edge, NOTES:  ,,,Aves,Passeriformes,Icteridae,302530
94275,Audio,Molothrus ater,Brown-headed Cowbird,,,"Hershberger, Wilbur L",1998,4,12,1215,United States,West Virginia,Jefferson,5.0 km W of Shannondale; Shannondale Springs WMA,39.2333333,-77.8166667,160,Adult Male (1),advertise; song,Natural,Certain,Sight and Sound,,,5,0,223,SONY TCD-D10 PRO II,Sennheiser ME 62,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Coniferous Forest; Deciduous Forest; Field,,Edge, NOTES: Nice long sequence of single male Brown-headed cowbird singing from exposed perch.,,,Aves,Passeriformes,Icteridae,302530
94273,Audio,Molothrus ater,Brown-headed Cowbird,,,"Hershberger, Wilbur L",1998,4,12,1200,United States,West Virginia,Jefferson,5.0 km W of Shannondale; Shannondale Springs WMA,39.2333333,-77.8166667,160,Adult Male (1),advertise; song,Natural,Certain,Sight and Sound,,,5,0,13,SONY TCD-D10 PRO II,Sennheiser ME 62,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Coniferous Forest; Deciduous Forest; Field,,Edge, NOTES: One vocalization ,,,Aves,Passeriformes,Icteridae,302530
94262,Audio,Molothrus ater,Brown-headed Cowbird,,,"Hershberger, Wilbur L",1998,3,31,552,United States,Maryland,Frederick,6.0 km S of Libertytown; Audrey Carroll Wildlife Sanctuary,39.4166667,-77.2083333,180,Adult Female (1); Adult Male (1),advertise; court; song,Natural,Certain,Sight and Sound,,,5,0,101,SONY TCD-D10 PRO II,Sennheiser ME 62,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Grassland; Deciduous Forest; Pond; Rural; Field,,Hedgerow; Edge, NOTES:  ,,,Aves,Passeriformes,Icteridae,302530
