ML Catalog #,Format,Scientific Name,Common Name,Background Species,Subtitle,Recordist,Year,Month,Day,Time,Country,State,County,Locality,Latitude,Longitude,Elevation (m),AgeSex,Behavior,Stimulus,Confidence In ID,How Identified,Captive,Specimen,Quality,Audio Quality For Video,Cut Length (s),Recorder,Microphone,Accessory,Channels,eBird Checklist ID,Air Temp (C),Water Temp (C),Habitat,Regional Habitat,Physical Feature,Public Note,Subject Note,Equipment Note,Class,Order,Family,Taxonomic Sort
100884,Audio,Certhia americana,Brown Creeper,,,"Hershberger, Wilbur L",1999,5,31,630,United States,New York,Hamilton,Ferd's Bog,43.7669444,-74.8172222,200,Adult Male (1),advertise; song,Natural,Certain,Sight and Sound,,,5,0,45,SONY TCD-D10 PRO II,Sennheiser ME 62,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Lake,,, NOTES: Try to start cut at 0630., Response to playback: No response.,,Aves,Passeriformes,Certhiidae,205390
87111,Audio,Certhia americana,Brown Creeper,,,"Budney, Gregory F",1992,4,28,900,United States,New York,Tompkins,"Connecticut Hill Wildlife Management Area, intersection of Ridge Road and Hunt [Cabin] roads",42.3467459,-76.6790771,,Adult Male (1),advertise; forage; song,Natural,Certain,Sight and Sound,,,5,0,320,NAGRA IV-S,,,Mono,,,,Forest; Deciduous Forest,,,,,,Aves,Passeriformes,Certhiidae,205390
84787,Audio,Certhia americana,Brown Creeper,,,"Hershberger, Wilbur L",1997,4,27,700,United States,West Virginia,Berkeley,12.0 km NW of Shanghi; Sleepy Creek Wildlife Management Area,39.508,-78.156,420,Adult Male (1),advertise; song,Natural,Certain,Sight and Sound,,,5,0,153,SONY TCD-D10 PRO II,Sennheiser ME 62,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Freshwater; Coniferous Forest; Deciduous Forest; Lake,,, NOTES: Sony TCD-D10 Pro II HPF on.,,,Aves,Passeriformes,Certhiidae,205390
54814,Audio,Certhia americana,Brown Creeper,,,"Fischer, Martha J",2009,3,21,1056,United States,New York,Tompkins,Yellow Barn State Forest. on Signal Tower Rd.,42.4658647,-76.3331763,,Adult Unknown Sex (2),emit alarm,Natural,Certain,Sight and Sound,,,5,0,192,NAGRA ARES-BB+,Sennheiser MKH 20,,Mono,,,,Deciduous Forest,,,,"I was probably near a nest cavity, but I did not find one.","30"" parabola.",Aves,Passeriformes,Certhiidae,205390
50194,Audio,Certhia americana,Brown Creeper,,,"Keller, Geoffrey A",1990,5,26,542,United States,Oregon,Klamath,20.0 km SW of Beaver Marsh; east of Crater Lake NP,,,,Adult Unknown Sex (1),advertise; call; song,Natural,Certain,Sound,,,5,0,176,UHER 4200 REPORT MONITOR,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Evergreen Forest; Coniferous Forest; Montane Grassland; Meadow,,, NOTES: dawn +0.25hrs; species cut number 22,,,Aves,Passeriformes,Certhiidae,205390
195783,Audio,Certhia americana,Brown Creeper,Vireo solitarius -- Blue-headed Vireo,,"McGuire, Bob ",2014,6,4,515,United States,Michigan,,Trout Lake; Forest Road 3344,46.2255716,-85.0525475,,Adult Male (1),call; song,Natural,Certain,Sight and Sound,,,4,0,438,SOUND DEVICES 702,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,,,,,,,Aves,Passeriformes,Certhiidae,205390
192499,Audio,Certhia americana,Brown Creeper,,,"McGuire, Bob ",2012,4,24,545,United States,Oregon,,Bend; Skyliner Road,44.03152,-101.5151,,Adult Male (1),song,Natural,Certain,Sight and Sound,,,4,0,279,SOUND DEVICES 702,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,,,,,,,Aves,Passeriformes,Certhiidae,205390
179947,Audio,Certhia americana,Brown Creeper,,,"Walker, Bradley M",2013,6,3,730,United States,California,Sierra,Yuba Pass; Tahoe National Forest,39.6235999,-120.4889381,,Adult Male (1),song,Natural,Certain,Sight and Sound,,,4,0,52,NAGRA ARES-BB+,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Mono,,,,,,,,,Telinga Hipass filter was in place during this recording.,Aves,Passeriformes,Certhiidae,205390
174211,Audio,Certhia americana,Brown Creeper,Ixoreus naevius -- Varied Thrush,,"DeCicco, Luke ",2011,9,18,1046,United States,Alaska,Valdez-Cordova,Middleton Island,59.42523,-146.35182,10,,call; emit distress calls,Natural,Certain,Sight,Captive,,4,0,70,MARANTZ PMD 660,Sennheiser ME 66,,Mono,,,,,,,Habitat: Deciduous forest,,,Aves,Passeriformes,Certhiidae,205390
133327,Audio,Certhia americana,Brown Creeper,,,"Keller, Geoffrey A",2007,6,28,550,Canada,Nova Scotia,,Cape Breton; Cape Breton Highlands National Park; trail to Lake Benjies,,,,Adult Male (1),advertise; song,Natural,Certain,Sound,,,4,0,190,NAGRA ARES-BB+,Sennheiser MKH 20,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Coniferous Forest,,,,,,Aves,Passeriformes,Certhiidae,205390
119459,Audio,Certhia americana,Brown Creeper,,,"Keller, Geoffrey A",2002,3,23,847,United States,Oregon,,South Slough Marine Estuarine Research Reserve,,,,,call,,Certain,Sight,,,4,0,136,HHB PORTADAT PDR 1000,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,," NOTES: ""Bird was vocalizing from trunk of Douglas Fir tree...""",,,Aves,Passeriformes,Certhiidae,205390
119458,Audio,Certhia americana,Brown Creeper,,,"Keller, Geoffrey A",2002,3,23,841,United States,Oregon,,South Slough Marine Estuarine Research Reserve,,,,,song,,Certain,Sight,,,4,0,222,HHB PORTADAT PDR 1000,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,," NOTES: ""Bird was vocalizing from upper fourth of canopy of about 70 foot Douglas Fir trees... Area also contained Western Red Cedar and Red Alder trees.""",,,Aves,Passeriformes,Certhiidae,205390
118895,Audio,Certhia americana,Brown Creeper,,,"Keller, Geoffrey A",2001,5,28,1752,United States,California,,32.0 km S of Onyx; Piute Mountains,,,1620,,call,,Certain,Sight,,,4,0,142,HHB PORTADAT PDR 1000,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,," NOTES: ""Bird was vocalizing from trunk of Ponderosa Pine tree, working its way up the tree...""",,,Aves,Passeriformes,Certhiidae,205390
99337,Audio,Certhia americana,Brown Creeper,Contopus sordidulus -- Western Wood-Pewee; Setophaga nigrescens -- Black-throated Gray Warbler; Melozone/Pipilo sp. -- towhee sp.; Vireo solitarius -- Blue-headed Vireo,,"Little, Randolph S",1992,6,3,750,United States,California,Sierra,10.0 km NW of Quincy; Butterfly Valley,40.0166667,-121.0,1250,Adult Female (1),beg; call; care for young; establish parent young contact; mechanical sound; perform visual display,Natural,Certain,Sight and Sound,,,4,0,82,NAGRA IV-D,,Parabola 91.4cm/30.5cm (36in/12in),Mono,,,,Forest; Evergreen Forest; Coniferous Forest; Deciduous Forest,,,"NOTES: Female entering nest and feeding nestlings at very start of cut, then emerging from nest and calling as she climbed fruther up the trunk of the nest tree.  Nestlings made the weak, thin peeps at 0.05 of cut. The male was singing, out of microphone range.",,,Aves,Passeriformes,Certhiidae,20846
84786,Audio,Certhia americana,Brown Creeper,,,"Hershberger, Wilbur L",1997,4,27,700,United States,West Virginia,Berkeley,12.0 km NW of Shanghi; Sleepy Creek Wildlife Management Area,39.508,-78.156,420,Adult Male (1),advertise; song,Natural,Certain,Sight and Sound,,,4,0,53,SONY TCD-D10 PRO II,Sennheiser ME 62,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Freshwater; Coniferous Forest; Deciduous Forest; Lake,,, NOTES: Sony TCD-D10 Pro II HPF on.,,,Aves,Passeriformes,Certhiidae,205390
76538,Audio,Certhia americana,Brown Creeper,,,"Marantz, Curtis A",1994,6,13,1211,United States,Michigan,Baraga,"Copper Country State Forest; Old Mi 28; south of new Hwy, 28.",,,,Unknown Age Unknown Sex (1),advertise; song,Natural,Uncertain,Sound,,,4,0,192,NAGRA IV-D,,,Mono,,,,Forest; Coniferous Forest; Deciduous Forest; Boreal/Taiga,,, NOTES: (Bkground sounds: Dendroica virens? Sound or Soc. Contact: Isolated. Climate: Cyclic Wet-Dry. Env. Zone: Boreal +/-.  Hab. Types: Alder swamp. Cov. Density: Med. Temp: 21-24¡C.) I am not at all sure of the identification of this bird.,,,Aves,Passeriformes,Certhiidae,205390
58158,Audio,Certhia americana,Brown Creeper,Oporornis agilis -- Connecticut Warbler,,"Gunn, William W. H. ",1956,6,30,0,Canada,Manitoba,,N of Riding Mountain National Park; Clear Lake,,,,,,,Not Provided,,,,4,0,170,,,,,,,,,,," NOTES: Background noise: Connecticut Warbler (Oporornis agilis), reflector, fly, wind, car; Notes: Singing from near top of tall spruce; No. songs: IIIII-/(1:30)I(2.00)faint chip notes/(2.30)",,,Aves,Passeriformes,Certhiidae,205390
50598,Audio,Certhia americana,Brown Creeper,Setophaga nigrescens -- Black-throated Gray Warbler; Setophaga occidentalis -- Hermit Warbler; Regulus satrapa -- Golden-crowned Kinglet; Sitta canadensis -- Red-breasted Nuthatch; Oreothlypis ruficapilla -- Nashville Warbler; Vireo solitarius -- Blue-headed Vireo,,"Little, Randolph S",1990,6,5,1005,United States,California,,10.0 km N of Quincy; Butterfly Valley Area,40.0166667,-121.0,1250,Adult Male (1),advertise; forage; song,Natural,Certain,Sight and Sound,,,4,0,128,NAGRA IV-D,,Parabola 91.4cm/30.5cm (36in/12in),Mono,,,,Forest; Evergreen Forest; Coniferous Forest; Deciduous Forest,,Second-growth," NOTES: (Species Sound: constant; Breeding Status: territorial?, territorial paired?, breeding?; General Climate: arid; Cover Density: medium; Filtering: yes - Nagra on step 2) Copied at LNS onto AGFA PEM468, then edited by RSL.",,,Aves,Passeriformes,Certhiidae,205390
50337,Audio,Certhia americana,Brown Creeper,,,"Keller, Geoffrey A",1990,7,1,531,United States,Oregon,Coos,17.0 km SE of Powers; Eden Valley,,,1000,Adult Unknown Sex (6),advertise; call; song,Natural,Certain,Sound,,,4,0,87,UHER 4200 REPORT MONITOR,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Evergreen Forest; Coniferous Forest; Deciduous Forest; Stream,,Second-growth, NOTES: dawn -0.25hrs; species cut number 23,,,Aves,Passeriformes,Certhiidae,205390
27062,Audio,Certhia americana,Brown Creeper,,,"Plymire, Margery R",1981,8,28,815,United States,Maine,Knox,Port Clyde,43.8333333,-69.1666667,7,Juvenile Female (1),call; emit distress calls; mechanical sound,Natural,Not Provided,,Captive,,4,0,53,NAGRA E,,,Mono,,,,Forest; Coniferous Forest; Riparian,,,Hand-held bird during banding operation.,,,Aves,Passeriformes,Certhiidae,215800
14779,Audio,Certhia americana,Brown Creeper,Catharus guttatus -- Hermit Thrush; Seiurus aurocapilla -- Ovenbird; Oreothlypis ruficapilla -- Nashville Warbler; Vireo olivaceus -- Red-eyed Vireo; Zonotrichia albicollis -- White-throated Sparrow,,"Stein, Robert C; Little, Randolph S",1963,6,25,630,Canada,Ontario,,Esker Lakes Prov. Park; E Of Kirkland,,,,Adult Male (1),advertise; forage; song,,Not Provided,Sight and Sound,,,4,0,210,NAGRA III-B,,Parabola 91.4cm/30.5cm (36in/12in),Mono,,,,Forest; Evergreen Forest; Coniferous Forest,,," NOTES: BIRD CAN BE HEARD SPIRALING UP THE TRUNK OF A JACKPINE, AND EVEN DARTING OUT AFTER AN OCCASIONAL INSECT.",,,Aves,Passeriformes,Certhiidae,205390
14777,Audio,Certhia americana,Brown Creeper,Seiurus aurocapilla -- Ovenbird; Spizella passerina -- Chipping Sparrow; Oreothlypis ruficapilla -- Nashville Warbler; Zonotrichia albicollis -- White-throated Sparrow,,"Stein, Robert C; Little, Randolph S",1963,6,23,735,Canada,Ontario,,156.8 km S of Chapleau; Chapleau-thessalon Rd.,,,,Adult Male (1),advertise; call; forage; song,,Not Provided,Sight and Sound,,,4,0,146,NAGRA III-B,,Parabola 91.4cm/30.5cm (36in/12in),Mono,,,,Forest; Evergreen Forest; Coniferous Forest,,, NOTES:  Weather: WIND; ,,,Aves,Passeriformes,Certhiidae,205390
