ML Catalog #,Format,Scientific Name,Common Name,Background Species,Subtitle,Recordist,Year,Month,Day,Time,Country,State,County,Locality,Latitude,Longitude,Elevation (m),AgeSex,Behavior,Stimulus,Confidence In ID,How Identified,Captive,Specimen,Quality,Audio Quality For Video,Cut Length (s),Recorder,Microphone,Accessory,Channels,eBird Checklist ID,Air Temp (C),Water Temp (C),Habitat,Regional Habitat,Physical Feature,Public Note,Subject Note,Equipment Note,Class,Order,Family,Taxonomic Sort
167824,Audio,Psaltriparus minimus,Bushtit,,,"Batcheller, Hope J",2012,3,20,741,United States,California,San Bernardino,Mojave National Preserve; Mid Hills Campground,35.131176,-115.43524,1650,Unknown Age Unknown Sex (4),call,Natural,Certain,Sight and Sound,,,4,0,121,MARANTZ PMD 661,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,,,,Group of foraging birds,,,Aves,Passeriformes,Aegithalidae,203990
141359,Audio,Psaltriparus minimus,Bushtit,,,"Barry, Jessie H",2009,11,30,"",United States,Colorado,,Roxborough Park,39.438639,-105.073008,,,,,Not Provided,,,,4,0,148,NAGRA ARES-BB,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Mono,,,,,,,,,,Aves,Passeriformes,Aegithalidae,203990
121969,Audio,Psaltriparus minimus,Bushtit,Aphelocoma californica -- Western Scrub-Jay; Chamaea fasciata -- Wrentit; Empidonax difficilis -- Pacific-slope Flycatcher; Poecile rufescens -- Chestnut-backed Chickadee; Toxostoma redivivum -- California Thrasher; Oreothlypis ruficapilla -- Nashville Warbler,,"Marantz, Curtis A",2005,6,6,1044,United States,California,San Luis Obispo,"Montana de Oro State Park, Coon Creek",35.2333333,-120.8813889,25,,advertise; call; establish flock contact; forage,Pish,Certain,Sight and Sound,,,4,0,140,HHB PORTADAT PDR 1000,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Deciduous Forest; Creek; Riparian,,Thicket/Brush," NOTES: Apparently two members of a flock of 8-10 birds foraging in riparian corridor along Coon Creek Trail just below second bridge; birds were seen 6-8 m away and 5-7 m up; these birds were in the mid- to upper branches of the Arroyo Willow (Salix lasiolepis) along the trail with Coffeeberry (Rhamnus californica), Stinging Nettle (Urtica dioica), and blackberry (Ribes sp.) brambles as the understory; I ÒspishedÓ at the birds before I recorded this, but it had no apparent effect.                   [This represents primarily the ""Long-distance Contact Call"" but there are also examples of ""Contact Calls,"" most of which are quite soft (0:13, 0:14, 0:15, 0:295, 0:30, 0:315, 0:355, 0:435, 0:46-0:47, 0:535, 0:575, 1:01, and 1:10). Also evident are various calls by Poecile rufescens (e.g., 0:155, 0:195).  Quality unchanged (2-1) - CAM - 21 October 2005]", Number of individuals=UU8-10; ,,Aves,Passeriformes,Aegithalidae,203990
120213,Audio,Psaltriparus minimus,Bushtit,,,"Keller, Geoffrey A",2002,5,7,1220,United States,California,,White Mountains; Inyo National Forest near Nevada state line,,,2290,,call; forage,,Certain,Sight,,,4,0,80,HHB PORTADAT PDR 1000,,,Mono,,,,,,," NOTES: ""Vocalizations from a pair of Bushtits... Birds were vocalizing while foraging in Pinyon Pine and Juniper trees on the banks of wash.""               [This represents exclusively the ""Contact Call"" of BNA, but there seem to be examples here of all three types of this call (soft, louder, and loudest).  Quality changed from 2-1 to 1-2 - CAM - 17 December 2004]",,,Aves,Passeriformes,Aegithalidae,203990
118813,Audio,Psaltriparus minimus,Bushtit,,,"Keller, Geoffrey A",2001,5,19,953,United States,California,Del Norte,4.8 km NW of Crescent City; Lake Earl Wildlife Area,,,5,Unknown Age Unknown Sex (15),,,Certain,Sight,,,4,0,171,HHB PORTADAT PDR 1000,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,Thicket/Brush," NOTES: ""Birds were moving through brushy area...  Area contained Cascara saplings and other brushy vegetation.""            [These appear to be mostly ""Long-distance Contact Calls,"" but with the standard ""Contact Calls"" in the background in the early part and in the foreground in the later part of the recording (beginning about 1:22).  Quality changed from 2 to 2-1 - CAM - 17 December 2004]",,,Aves,Passeriformes,Aegithalidae,203990
118676,Audio,Psaltriparus minimus,Bushtit,,,"Keller, Geoffrey A",2001,4,19,944,United States,California,Kern,1.6 km W of Weldon; Kern River Preserve,,,823,,,,Certain,Sight,,,4,0,171,HHB PORTADAT PDR 1000,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,," NOTES: ""Bird was vocalizing from numerous locations in willow trees...""                  [This recording highlights both the ""Long-distance Contact Call"" and the standard ""Contact Call"" (including both the softer and louder renditions of this particular call).  Quality changed from 2 to 2-1, 2 - CAM - 17 December 2004]",,,Aves,Passeriformes,Aegithalidae,203990
45169,Audio,Psaltriparus minimus,Bushtit,Icterus parisorum -- Scott's Oriole; Zenaida asiatica -- White-winged Dove,,"Keller, Geoffrey A",1987,5,15,915,United States,Arizona,,28.0 km NE of Tucson; Mt. Lemmon; Molino Basin,,,1500,,call,Natural,Certain,Sight and Sound,,,4,0,119,UHER 4200,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Evergreen Forest,,Thicket/Brush; Scrub," NOTES: (Breeding Stat: ?territorial, ?breeding; Gen Climate: arid, Strata: song perch; Cover Den: open)                      [This appears to represent mostly the ""Begging Calls"" (though possibly ""Long-distance Contact Calls"" instead) of BNA, but there are also some soft ""Contact Calls"" scattered throughout the cut.  Quality unchanged (1-2) - CAM - 17 December 2004]", Number of individuals=AU1+; ,,Aves,Passeriformes,Aegithalidae,203990
197888,Audio,Psaltriparus minimus,Bushtit,,,"McGuire, Bob ",2010,3,6,1236,United States,Arizona,Cochise,Portal; Cave Creek Road,31.9081645,-109.2513084,,,call; song,Natural,Certain,Sight and Sound,,,3,0,132,SOUND DEVICES 702,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,,,,,,,Aves,Passeriformes,Aegithalidae,214410
197833,Audio,Psaltriparus minimus [plumbeus Group],Bushtit (Interior),Baeolophus wollweberi -- Bridled Titmouse; Aphelocoma wollweberi -- Mexican Jay,,"McGuire, Bob ",2010,2,26,901,United States,Arizona,Cochise,Coronado National Monument,31.4167656,-110.4311922,,Unknown Age Unknown Sex (20),call; song,Natural,Certain,Sight and Sound,,,3,0,502,SOUND DEVICES 702,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,,,,,,,Aves,Passeriformes,Aegithalidae,204050
186475,Audio,Cyanocitta stelleri; Psaltriparus minimus,Steller's Jay; Bushtit,,,"Hite, Justin M",2013,6,20,1005,United States,California,Mono,Log Cabin Mine Rd,37.943724,-119.129663,2315,Unknown Age Unknown Sex (2); Adult Unknown Sex (4),call; mob,Natural,Certain,Sight and Sound,,,3,0,56,MARANTZ PMD 661,Sennheiser MKH 20,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Mono,,,,,,,,,,Aves,Passeriformes,Corvidae,186160
164310,Audio,Psaltriparus minimusEnvironmental Recording,Bushtit,,Mixed species flock,"Clock, Benjamin M",2008,10,30,"",United States,California,,Point Reyes Bird Observatory,37.92975,-122.735939,,,,Natural,Certain,Sight and Sound,,,3,0,367,NAGRA ARES-BB+,Telinga Pro 5W,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,S4481778,,,,,,"Mixed species foraging flock with Ruby-crowned Kinglet, Bewick's Wren, Bushtit and Chestnut-backed Chickadee.  View entire eBird checklist for this location here: http://ebird.org/ebird/view/checklist?subID=S4481778",,,Aves,Passeriformes,Aegithalidae,203990
161715,Audio,Psaltriparus minimus [minimus Group],Bushtit (Pacific),Aphelocoma californica [californica Group] -- Western Scrub-Jay (Coastal); Melozone crissalis -- California Towhee,,"Iliff, Marshall J",2006,5,22,"",Mexico,Baja California Sur,,Sierra las Pirras,23.6141713,-109.9279976,,,call,,Certain,,,,3,0,51,SONY TCM-5000,Sennheiser ME 66,,Mono,,,,Deciduous Forest,,,"ML: Background subject changed from recordist's original identification of Aphelocoma californica hypoleuca to Aphelocoma californica [californica Group] to conform to eBird Taxonomy (v. 1.55). -Jay McGowan/Matt Medler, July 2015.    ML: Subject changed from recordist's original identification of Psaltriparus minimus grindae to Psaltriparus minimus [minimus Group] to conform to eBird Taxonomy (v. 1.55). -Jay McGowan/Matt Medler, July 2015.",,,Aves,Passeriformes,Aegithalidae,214420
125347,Audio,Psaltriparus minimus,Bushtit,Melospiza melodia -- Song Sparrow; Passerella iliaca -- Fox Sparrow; Regulus calendula -- Ruby-crowned Kinglet,,"Sander, Thomas G",1989,2,14,0,United States,California,Marin,Palo Marin Trailhead,,,,,,,Certain,,,,3,0,139,UHER UNSPECIFIED MODEL,,Sony PBR-330 Parabola 32.8cm/6.5cm(12.9in/2.6in),Mono,,,,,,," NOTES: [This contains both the standard ""Contact Calls"" and the ""Long-distance Contact Calls"" of BNA.  Both call types are scattered throughout the recording.  Quality unchanged (2) - CAM - 17 December 2004]",,,Aves,Passeriformes,Aegithalidae,203990
56826,Audio,Psaltriparus minimus,Bushtit,,,"Keller, Geoffrey A",1991,4,27,920,United States,Oregon,,3.5 km E of Wolf Creek; King Mountain,,,100,,,Natural,Certain,Sight and Sound,,,3,0,61,UHER REPORT 4200,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Stream,,Edge," NOTES: (Breeding status: ?territorial; Sp. sound: constant; Sound catgegory: ?call;   Behavior context: ?flock contact; Sp. Sound : constant; Gen. Climate: cyclic wet-dry; Cover den: open)                        [The Bushtit calls here represent exclusively the ""Contact Calls"" (relatively loud ones) of BNA.  Note that the ""tinny"" calls are those of Selasphorus rufus and that there are also a few calls here of Oporornis tolmiei.  Quality added (2) - CAM - 17 December 2004]", Number of individuals=AUc12; ,,Aves,Passeriformes,Aegithalidae,203990
50168,Audio,Psaltriparus minimus,Bushtit,,,"Keller, Geoffrey A",1990,5,17,1112,United States,California,Kern,3.0 km NW of Weldon; Kern River Preserve,,,900,,call; forage,Natural,Certain,Sound,,,3,0,93,UHER 4200 REPORT MONITOR,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Riparian,,," NOTES: noon -0.75hrs.         [Most of this sounds like ""Begging"" Calls (if not ""Long-distance Contact Calls""), but with ""Contact Calls"" (both soft and louder) also included.  Twittering Calls? Quality unchanged (2-3, 2) - CAM - 17 December 2004]", Number of individuals=AU5+; ,,Aves,Passeriformes,Aegithalidae,203990
44349,Audio,Psaltriparus minimus,Bushtit,,,"Hostottle, Freda ; Roe, Bill ",1977,5,22,700,United States,Arizona,,Portal,,,,,mechanical sound,Natural; Pish,Not Provided,,,,3,0,51,UHER UNSPECIFIED MODEL,,Dan Gibson Parabola 45.7cm/11cm (18in/4.3in),Mono,,,,Forest; Coniferous Forest; Deciduous Forest,,," NOTES: (Gen. Climate: Dry. Cover Density: Thick.) Response to spishing.                        [This recording contains both the ""Contact Call"" and the ""Long-distance Contact Call"" of BNA.  Quality added (2) - CAM - 17 December 2004]", Number of individuals=AU1-2;  Response to playback: No response.,,Aves,Passeriformes,Aegithalidae,203990
18762,Audio,Psaltriparus minimus,Bushtit,Zenaida asiatica -- White-winged Dove; Zenaida macroura -- Mourning Dove,,"Gulledge, James L; Tippins, Deborah ",1977,5,21,545,United States,Arizona,Cochise,Sulfur Draw,,,,Adult Unknown Sex (20),advertise; forage; song,Playback Self,Certain,Sight and Sound,,,3,0,126,NAGRA III,,,Mono,,,,Forest; Grassland,,Thicket/Brush; Rocky," NOTES: (Background Sounds: White-tailed Dove [recordist or editor noted ""can't find this common name listed"" = White-winged Dove (Zenaida asiatica) - also Geococcyx californianus, Zenaida macroura, Wilsonia pusilla - CAM]; Breeding Status: territorial unknown; Behavioral Context: flock contact?; General Climate: dry; Cover Density: medium)                     [These are the agonistic ""Contact Calls"" of BNA (both soft and louder).  There is a ""cryptic"" stop-start at 0:16. Quality changed from 2 to 2-1 (some handling noise) - CAM - 17 December 2004]", Response to playback: Orient.,,Aves,Passeriformes,Aegithalidae,203990
14624,Audio,Psaltriparus minimus,Bushtit,Ixoreus naevius -- Varied Thrush,,"Sutherland, Charles A",1961,7,13,630,United States,Washington,,MT. RAINIER NAT. PARK; BOX CANYON,,,915,,,,Not Provided,,,,3,0,34,NAGRA III,,Parabola 91.4cm (36in),Mono,,,,Evergreen Forest; Coniferous Forest,,," NOTES: A GROUP OF A DOZEN BIRDS MOVING THROUGH THE TREES AT A HEIGHT OF 2-6M.  Sex: 12 UNKNOWN                  [These are probably the soft ""Contact Calls"" of BNA, but they do not sound quite like those in other recordings, or my recollection of this species' calls from California (possibly due to geographic variation?)  Although I believe this is correctly identified, I cannot be absolutely certain that this does not represent calls of a begging juvenile warbler.  Quality unchanged (2, some rumble/wind) - CAM - 17 December 2004]",,,Aves,Passeriformes,Aegithalidae,203990
14620,Audio,Psaltriparus minimus,Bushtit,,,"Davis, L. Irby ; Guion, William ",1961,6,3,0,Mexico,Tlaxcala,,Near Calpulalpan,,,2650,,call,,Not Provided,,,,3,0,40,NAGRA III,,Parabola 101.6cm (40in),Mono,,,,,,," NOTES: [These represent exclusively ""Contact Calls"" (both the softer and the louder, more emphatic ones of BNA).  Quality changed from to 2 to 2, 2-1 - CAM - 17 December 2004]",,,Aves,Passeriformes,Aegithalidae,203990
197818,Audio,Psaltriparus minimus [plumbeus Group],Bushtit (Interior),,,"McGuire, Bob ",2010,2,25,1445,United States,Arizona,Santa Cruz,Canelo Pass,31.5006511,-110.5586944,,Unknown Age Unknown Sex (4),call,Natural,Certain,Sight and Sound,,,2,0,63,SOUND DEVICES 702,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,,,,,,,Aves,Passeriformes,Aegithalidae,204050
192414,Audio,Psaltriparus minimus,Bushtit,,,"McGuire, Bob ",2012,4,14,750,United States,California,,Point Reyes National Seashore,38.0628,-122.8175,,Adult Unknown Sex (1),call,Natural,Certain,Sight and Sound,,,2,0,55,SOUND DEVICES 702,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,,,,,,,Aves,Passeriformes,Aegithalidae,203990
189390,Audio,Psaltriparus minimus,Bushtit,,,"McGuire, Bob ",2012,4,10,938,United States,California,,Sequoia National Forest; Kennedy Meadows Campground,36.0413,-118.133,,Adult Unknown Sex (1),call; flight sound; fly,Natural,Certain,Sight and Sound,,,2,0,95,SOUND DEVICES 702,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,,,,ML: 150 Hz AUHipass filter applied in soundBlade HD.,,,Aves,Passeriformes,Aegithalidae,203990
188264,Audio,Psaltriparus minimus,Bushtit,,,"McGuire, Bob ",2013,5,6,"",United States,Arizona,,Coronado National Forest; Cave Creek Canyon; South Fork area; outside of restricted area ,31.8725,-109.2352,,Adult Unknown Sex (2),call,Natural,Certain,Sight and Sound,,,2,0,39,SOUND DEVICES 702,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,,,,,,,Aves,Passeriformes,Aegithalidae,203990
172136,Audio,Psaltriparus minimus,Bushtit,,,"Robbins, Mark B",2010,6,4,720,United States,Colorado,Las Animas,"Comache National Grasslands, SW Kim, Mesa de Maya",37.18,-103.6183333,1700,Adult Male (1); Unknown Age Unknown Sex (4),call; establish flock contact,Natural,Certain,Sight and Sound,,,2,0,51,NAGRA ARES-BB+,Sennheiser ME 67,,Mono,,,,,,,Habitat: Pinyon-juniper with few small oaks  Weather: Clear    KUMNH specimen 115984 (MBR # 7701)    LNS: 125 Hz AUHipass filter applied in soundBlade,,,Aves,Passeriformes,Aegithalidae,203990
169712,Audio,Psaltriparus minimus,Bushtit,Oreortyx pictus -- Mountain Quail; Passerella iliaca [megarhyncha Group] -- Fox Sparrow (Thick-billed); Empidonax oberholseri -- Dusky Flycatcher; Piranga ludoviciana -- Western Tanager; Poecile gambeli -- Mountain Chickadee; Setophaga petechia -- Yellow Warbler; Pipilo maculatus -- Spotted Towhee,,"McGowan, Jay W",2012,6,13,812,United States,California,Sierra,6.0 km SE of Loyalton; Antelope Valley,39.6166676,-120.2724624,,Unknown Age Unknown Sex (8),call,Natural,Certain,Sight and Sound,,,2,0,99,NAGRA ARES-BB+,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,,,,Family group moving by in low bushes.,,,Aves,Passeriformes,Aegithalidae,214410
110939,Audio,Psaltriparus minimus,Bushtit,,,"Sander, Thomas G",1986,4,25,0,United States,California,,Carmel Valley; Hasting's Reserve,,,,,scold,,Not Provided,,,,2,0,215,NAGRA IV-S,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,," NOTES: (AOU #743. NM: N.)       This cut was recorded in half-track mono.            [These are the ""Contact Calls"" of BNA.  Quality added (2-3) - CAM - 17 December 2004]",,,Aves,Passeriformes,Aegithalidae,203990
25135,Audio,Psaltriparus minimus,Bushtit,,,"Barker, Harriette ",1977,7,17,0,United States,Arizona,Cochise,5.0 km SW of Portal,31.9,-109.1666667,1720,Unknown Age Unknown Sex (1),call; establish flock contact,Natural,Certain,Sight and Sound,,,2,0,103,MARANTZ SUPERSCOPE SUPERSCOPE UNSPECIFIED MODEL,,Dan Gibson Parabola 45.7cm/11cm (18in/4.3in),Mono,,,,Evergreen Forest; Deciduous Forest; Creek; Riparian,,," NOTES: (Breeding Status: Unknown. Gen. Climate: Arid. Cover Density: Medium.) Counter 006-026 - pretty squeaky. From a small flock of foraging birds in the nearby trees, I am recording one of the bushtits. The nesting activity for the season is over, but there are probably family groups in the flock. This bird was calling between hunting efforts in the oak tree. I wonder if the call is flock contact, feeding or both.",,,Aves,Passeriformes,Aegithalidae,203990
14622,Audio,Psaltriparus minimus,Bushtit,,,"Allen, David G",1959,4,7,0,United States,California,,MILLBROOK CANYON NEAR REDLANDS,,,,,call,,Not Provided,,,,2,0,48,MAGNEMITE UNSPECIFIED MODEL,,Parabola (Unknown Diameter/Focal Length),Mono,,,,,,Canyon," NOTES: P.M. CALIFORNICUS. OAKS ON HILLSIDE.                    [This represents exclusively the ""Contact Calls"" (apparently both softer and louder ones) of BNA.  Quality unchanged (3-2 - rumble and handling noise) - CAM - 17 December 2004]",,,Aves,Passeriformes,Aegithalidae,203990
