ML Catalog #,Format,Scientific Name,Common Name,Background Species,Subtitle,Recordist,Year,Month,Day,Time,Country,State,County,Locality,Latitude,Longitude,Elevation (m),AgeSex,Behavior,Stimulus,Confidence In ID,How Identified,Captive,Specimen,Quality,Audio Quality For Video,Cut Length (s),Recorder,Microphone,Accessory,Channels,eBird Checklist ID,Air Temp (C),Water Temp (C),Habitat,Regional Habitat,Physical Feature,Public Note,Subject Note,Equipment Note,Class,Order,Family,Taxonomic Sort
137826,Audio,Branta hutchinsii,Cackling Goose,Cygnus columbianus -- Tundra Swan,,"Vyn, Gerrit ",2007,6,5,248,United States,Alaska,Nome,"Pilgrim Hot Springs Rd, off Kougarok Rd.",,,,Adult Female (1); Adult Male (1),call,,Certain,Sight and Sound,,,5,0,146,NAGRA ARES-BB+,,,Stereo,,,,Lake,,,,,,Aves,Anseriformes,Anatidae,2560
119465,Audio,Branta hutchinsii leucopareia,Cackling Goose (Aleutian),,,"Keller, Geoffrey A",2002,3,31,600,United States,California,Del Norte,8.0 km N of Crescent City; Lake Earl Wildlife Management Area,,,3,,call; fly,,Certain,Sight,,,5,0,880,HHB PORTADAT PDR 1000,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,," NOTES: ""Numerous waves of presumed Aleutian Canada Geese... Birds were on the wing in huge flocks containing a total of thousands of geese.""  [This becomes Branta hutchinsii leucopareia following split of these two species by AOU (45th supplement to AOU Checklist, 2004) - CAM - 18 November 2004]", Number of individuals=UU1000+; ,,Aves,Anseriformes,Anatidae,2570
179517,Audio,Branta hutchinsii,Cackling Goose,,,"Vyn, Gerrit ",2012,6,29,"",United States,Alaska,,Yukon Delta National Wildlife Refuge; Wishbone Lake,61.3798616,-163.7745667,,Adult Female (1),call; emit alarm,,Certain,,,,4,0,245,MARANTZ PMD 661,Telinga Pro 6,,Stereo,,,,,,,Habitat: Tundra,Alarm calls of adult female and calls of newly hatched chicks still in nest bowl.,,Aves,Anseriformes,Anatidae,2560
147559,Audio,Branta hutchinsii,Cackling Goose,,,"Johnson, Thomas B",2009,6,3,830,Canada,Manitoba,,"20.0 km E of Churchill, on Launch Rd. near Camp Nanuq",58.743876,-93.882605,,,,,Certain,,,,4,0,31,MARANTZ PMD 661,Sennheiser MKH 60,,Mono,,,,Arctic Tundra; Coastal Tundra,,,,,,Aves,Anseriformes,Anatidae,2560
147558,Audio,Branta hutchinsii,Cackling Goose,Anser albifrons -- Greater White-fronted Goose,,"Johnson, Thomas B",2009,6,3,830,Canada,Manitoba,,"20.0 km E of Churchill, on Launch Rd. near Camp Nanuq",58.743876,-93.882605,,,,,Certain,,,,4,0,36,MARANTZ PMD 661,Sennheiser MKH 60,,Mono,,,,Arctic Tundra; Coastal Tundra,,,flock of Cackling Geese in flight (presumed hutchinsii) with 2 Greater White-fronted Geese,,,Aves,Anseriformes,Anatidae,2560
147555,Audio,Branta canadensis; Branta hutchinsii; Chen caerulescens; Chen rossii; Anser albifrons,Canada Goose; Cackling Goose; Snow Goose; Ross's Goose; Greater White-fronted Goose,,,"Johnson, Thomas B",2009,6,3,830,Canada,Manitoba,,"20.0 km E of Churchill, on Launch Rd. near Camp Nanuq",58.743876,-93.882605,,,,,Certain,,,,4,0,98,MARANTZ PMD 661,Sennheiser MKH 60,,Mono,,,,Arctic Tundra; Coastal Tundra,,,"flock of 500-600 geese (mixed species), all taking off during recording",,,Aves,Anseriformes,Anatidae,2610
141358,Audio,Branta hutchinsii hutchinsii,Cackling Goose (Richardson's),,,"Barry, Jessie H",2009,11,30,"",United States,Colorado,Morgan,"Riverside Park, Fort Morgan",40.2656752,-103.7987852,,,call,Natural,Certain,Sight and Sound,,,4,0,703,NAGRA ARES-BB,Telinga Pro 6,,Mono,,,,,,,Lots of domestic waterfowl on the other side of the pond that can be heard in the background. Also took many photos of these birds.,,,Aves,Anseriformes,Anatidae,2580
141352,Audio,Branta hutchinsii hutchinsii,Cackling Goose (Richardson's),,,"Barry, Jessie H",2009,11,26,"",United States,Colorado,Jefferson,Mt. Olivet Cemetery,39.780487,-105.148608,,Unknown Age Unknown Sex (75),call; fly; perch,Natural,Certain,Sight and Sound,,,4,0,236,NAGRA ARES-BB,Telinga Pro 6,,Mono,,,,Cemetery,,,,,,Aves,Anseriformes,Anatidae,2580
136391,Audio,Branta hutchinsii taverneri,Cackling Goose (Taverner's),,,"Andersen, Michael J",2007,6,3,130,United States,Alaska,Nome,1.7 km S of Council; Council Road,64.8803167,-163.68735,,,call; fly,Natural,Certain,Sight and Sound,,,4,0,59,SOUND DEVICES 744T,,,Stereo,,,,Tundra; Arctic Tundra; Pond,,, NOTES: Recorded in MS stereo of two birds calling in flight.  Recorded along the shore of a pond on an open expanse of tundra surrounded by spruce trees near the limit of boreal forest on the Seward Peninsula.  This was pulled from 31:25 of the long ambient recording LNS 136388.  Sound  Devices 744T with MP2 in flat and Sennheiser MKH20 and MKH30 microphones. ,,,Aves,Anseriformes,Anatidae,2600
135491,Audio,Branta hutchinsii minima,Cackling Goose (minima),,,"Gunn, William W. H. ",1982,6,9,0,United States,Alaska,Wade Hampton,Yukon-Kuskowkim Delta; Tutakoke River mouth,61.2462667,-165.6192667,,,mechanical sound,,Certain,Sight and Sound,,,4,0,26,,,,Mono,,,,,,, NOTES: Calls in flight of a single individual,,,Aves,Anseriformes,Anatidae,2590
