ML Catalog #,Format,Scientific Name,Common Name,Background Species,Subtitle,Recordist,Year,Month,Day,Time,Country,State,County,Locality,Latitude,Longitude,Elevation (m),AgeSex,Behavior,Stimulus,Confidence In ID,How Identified,Captive,Specimen,Quality,Audio Quality For Video,Cut Length (s),Recorder,Microphone,Accessory,Channels,eBird Checklist ID,Air Temp (C),Water Temp (C),Habitat,Regional Habitat,Physical Feature,Public Note,Subject Note,Equipment Note,Class,Order,Family,Taxonomic Sort
138586,Audio,Branta canadensis,Canada Goose,Agelaius phoeniceus -- Red-winged Blackbird,,"Budney, Gregory F",1996,3,3,709,United States,New York,Tompkins,Connecticut Hill Wildlife Management Area. Large pond near intersection of Conn Hill and Boylan Rds,42.3745752,-76.6568899,,Adult Unknown Sex (4),Syrinx; arrive; call,Natural,Certain,Sight and Sound,,,5,0,2197,HHB PORTADAT PDR 1000,Sennheiser MKH 30; Sennheiser MKH 20,,Stereo,,-1.0,,Deciduous Forest; Pond,,,,"Several different vocalization types given in this recording from what are probably two mated pairs having a territorial interaction.  At start of recording two birds were present on the small area of open water, relatively silent. A second pair of birds arrives shortly into the recording and can be heard to land on the open water.  Most of the pond was frozen and the geese can be heard coming into contact with the thin ice.",MS stereo original was decoded via SoundBlade when archived.,Aves,Anseriformes,Anatidae,2610
60875,Audio,Branta canadensis,Canada Goose,,,"Gunn, William W. H. ",1966,5,2,0,Canada,Alberta,,Alberta Game Farm,,,,,,,Not Provided,,,,5,0,155,,,Parabola 61cm (24in),,,,,,,," NOTES: ""Excited calling from 3+ of  flock of 15-20 on take near house (name?)"" (WWHG)",,,Aves,Anseriformes,Anatidae,2610
33577,Audio,Branta canadensis,Canada Goose,,,"Budney, Gregory F; Gulledge, James L",1983,3,10,730,United States,New York,Cayuga,"Aurora, across from Wells College",,,,,,,Not Provided,,,,5,0,111,,,,,,,,,,,,,,Aves,Anseriformes,Anatidae,2610
3578,Audio,Branta canadensis,Canada Goose,,,"Priori, Andrea L",1972,1,6,0,United States,New York,Tompkins,ITHACA; LABORATORY OF ORNITHOLOGY,,,,Unknown Age Unknown Sex (1),call,,Not Provided,,Captive,,5,0,50,NAGRA III-B,,,Mono,,,,,,,Hand-held injured bird.,,,Aves,Anseriformes,Anatidae,2610
3546,Audio,Branta canadensis,Canada Goose,,,"Allen, Arthur A; Allen, David G",1956,3,26,"",United States,New York,Tompkins,Ithaca; Stewart Park; Fuertes Sanctuary,,,,,call; depart; fly,,Not Provided,,,,5,0,21,,,,Mono,,,,Pond,,,Other recordist(s): STEIN R.C.        Two birds taking off from pond. Last three notes given in flight.,,,Aves,Anseriformes,Anatidae,2610
197040,Audio,Branta canadensis,Canada Goose,Gavia immer -- Common Loon; Corvus brachyrhynchos -- American Crow; Setophaga coronata coronata -- Yellow-rumped Warbler (Myrtle),,"McGuire, Bob ",2011,5,3,607,Canada,Ontario,,Algonquin Provincial Park; Lake Opeongo,45.70724,-78.40742,,Adult Unknown Sex (2),call,Natural,Certain,Sight and Sound,,,4,,146,SOUND DEVICES 702,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,,,,,,,Aves,Anseriformes,Anatidae,2610
191247,Audio,Branta canadensis,Canada Goose,Agelaius phoeniceus -- Red-winged Blackbird; Corvus brachyrhynchos -- American Crow; Dumetella carolinensis -- Gray Catbird; Anas platyrhynchos -- Mallard,,"Little, Randolph S",2003,5,5,910,United States,New Jersey,Morris,9.0 km S of Morristown; Great Swamp National Wildlife Refuge,40.7183333,-74.4641667,73,Adult Female (1); Adult Male (1),call,Natural,Certain,Sight and Sound,,,4,0,242,NAGRA IV-D,Sennheiser MKH 404,Parabola 91.4cm (36in),Mono,,,,,,,"Habitat: Deciduous forest, swamp, Red maple",,,Aves,Anseriformes,Anatidae,2610
176133,Audio,Branta canadensis,Canada Goose,,,"Keller, Geoffrey A",2007,5,9,944,United States,Indiana,Brown,Hoosier National Forest; near Robertson Cemetery,39.1098658,-86.1951256,,,,,Certain,Sight,,,4,0,74,HHB PORTADAT PDR 1000,Sennheiser MKH 106,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,,,,,Aves,Anseriformes,Anatidae,2610
147555,Audio,Branta canadensis; Branta hutchinsii; Chen caerulescens; Chen rossii; Anser albifrons,Canada Goose; Cackling Goose; Snow Goose; Ross's Goose; Greater White-fronted Goose,,,"Johnson, Thomas B",2009,6,3,830,Canada,Manitoba,,"20.0 km E of Churchill, on Launch Rd. near Camp Nanuq",58.743876,-93.882605,,,,,Certain,,,,4,0,98,MARANTZ PMD 661,Sennheiser MKH 60,,Mono,,,,Arctic Tundra; Coastal Tundra,,,"flock of 500-600 geese (mixed species), all taking off during recording",,,Aves,Anseriformes,Anatidae,2610
139666,Audio,Branta canadensis,Canada Goose,,,"Barry, Jessie H",2009,3,7,0,United States,New York,Monroe,Braddock Bay,43.321369,-77.737107,,Adult Female (1); Adult Male (1),,Natural,Certain,Sight and Sound,,,4,0,10,NAGRA ARES-BB+,,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,Wetland; Bay/Harbor,,,,,,Aves,Anseriformes,Anatidae,2610
125878,Audio,Branta canadensis,Canada Goose,,,"Little, Randolph S",2006,10,19,1700,United States,New Jersey,Middlesex,3.0 km NE of Plainsboro,40.3496361,-74.5607889,20,Unknown Age Unknown Sex (80),call; depart; establish flock contact; fly; mechanical sound,Natural,Certain,Sight and Sound,,,4,0,44,TASCAM UNSPECIFIED MODEL,,,Mono,,,,Freshwater; Coniferous Forest; Deciduous Forest; Lake,,Thicket/Brush; Edge,,,,Aves,Anseriformes,Anatidae,2610
125352,Audio,Branta canadensis,Canada Goose,,,"Sander, Thomas G",1990,5,15,0,United States,Oregon,,Dike road to P ranch,,,,,,,Not Provided,,,,4,0,38,NAGRA IV-S,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,,,,,Aves,Anseriformes,Anatidae,2610
125351,Audio,Branta canadensis,Canada Goose,,,"Sander, Thomas G",1990,5,15,0,United States,Oregon,,Dike road to P ranch,,,,,,,Not Provided,,,,4,0,79,NAGRA IV-S,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,,,,,Aves,Anseriformes,Anatidae,2610
125350,Audio,Branta canadensis,Canada Goose,,,"Sander, Thomas G",1990,5,15,0,United States,Oregon,,Dike road to P ranch,,,,,,,Not Provided,,,,4,0,210,NAGRA IV-S,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,,,,,Aves,Anseriformes,Anatidae,2610
125228,Audio,Branta canadensis,Canada Goose,,,"Andersen, Michael J",2005,5,8,655,United States,New York,Cayuga,Town of Conquest: Howland Island Wildlife Management Area,43.075,-76.675,,Adult Unknown Sex (2),call; fly; mechanical sound,Natural,Certain,Sound,,,4,0,339,HHB PORTADAT PDR 1000,,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,Forest; Freshwater; Deciduous Forest; Pond,,, NOTES: BNA: Calls. These birds were flying about the corner of a pond chasing one another and calling.  At times they landed and the spash is audible.,,,Aves,Anseriformes,Anatidae,2610
125215,Audio,Branta canadensis,Canada Goose,,,"Andersen, Michael J",2005,5,7,806,United States,New York,Schuyler,Town of Catharine: South end of Cayuta Lake,42.3505556,-76.7384444,375,Unknown Age Unknown Sex (4),call; fly; mechanical sound,,Certain,Sight and Sound,,,4,0,140,HHB PORTADAT PDR 1000,,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,Forest; Coniferous Forest; Deciduous Forest; Meadow,,," NOTES: BNA: ""Honk"" calls in flight plus wing flapping sounds. High-pass filter engaged on microphone. Same 4 individuals as LNS 125211.", Sound stimulation was (other): Flushed.. ,,Aves,Anseriformes,Anatidae,2610
105818,Audio,Branta canadensis,Canada Goose,,,"Keller, Geoffrey A",1996,6,16,652,Canada,Manitoba,,14.0 km SE of Churchill;  Goose Creek Road,,,5,Unknown Age Unknown Sex (1),call; emit alarm,Natural,Certain,Sight,,,4,0,94,UHER 4200 REPORT MONITOR,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Freshwater; Pond,,, NOTES: alarm calls from 1 bird on small pond in open tundra,,,Aves,Anseriformes,Anatidae,2610
