ML Catalog #,Format,Scientific Name,Common Name,Background Species,Subtitle,Recordist,Year,Month,Day,Time,Country,State,County,Locality,Latitude,Longitude,Elevation (m),AgeSex,Behavior,Stimulus,Confidence In ID,How Identified,Captive,Specimen,Quality,Audio Quality For Video,Cut Length (s),Recorder,Microphone,Accessory,Channels,eBird Checklist ID,Air Temp (C),Water Temp (C),Habitat,Regional Habitat,Physical Feature,Public Note,Subject Note,Equipment Note,Class,Order,Family,Taxonomic Sort
46355,Audio,Bombycilla cedrorum,Cedar Waxwing,,,"Plymire, Margery R",1984,,,0,United States,Maine,,Port Clyde,,,,Adult Unknown Sex (1),,,Not Provided,Sight,Captive,,5,0,138,NAGRA E,,,Mono,,,,,,,NOTES: (Behav. Context: Complaint.),,,Aves,Passeriformes,Bombycillidae,275370
138313,Audio,Bombycilla cedrorum,Cedar Waxwing,,,"Goetz, James E",2006,8,6,911,United States,New York,Madison,"Muller Hill Rd., Muller Hill State Forest",42.7696,-75.7865833,595,,,,Certain,Sound,,,4,0,33,NAGRA ARES-BB+,,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Mono,,,,Forest; Coniferous Forest,,, NOTES: The original sound file is stored on CD1 of Greg Budney's ACC1999. mf,,,Aves,Passeriformes,Bombycillidae,275370
138301,Audio,Bombycilla cedrorum,Cedar Waxwing,,,"Budney, Gregory F",2006,8,6,545,United States,New York,Madison,Muller Hill Rd.,42.7696,-75.7865833,595,Unknown Age Unknown Sex (1),call,Natural,Certain,Sound,,,4,0,102,NAGRA ARES-BB+,,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Mono,,,,Forest; Coniferous Forest,,,,,,Aves,Passeriformes,Bombycillidae,275370
107511,Audio,Bombycilla cedrorum,Cedar Waxwing,,,"Hershberger, Wilbur L",2000,12,10,835,United States,West Virginia,Berkeley,14.0 km W of Shanghi; Sleepy Creek WMA; Big Cove trailhead,39.43278,-78.16365,180,Adult Unknown Sex (18),call; establish flock contact; forage,Natural,Certain,Sight and Sound,,,4,0,135,SONY TCD-D10 PRO II,Sennheiser ME 66,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,,,,,Aves,Passeriformes,Bombycillidae,275370
107228,Audio,Bombycilla cedrorum,Cedar Waxwing,,,"Hershberger, Wilbur L",1999,11,21,722,United States,Maryland,Frederick,"6.0 km S of Libertytown , Audrey Carroll Wildlife Sanctu",39.4166667,-77.2083333,180,Adult Male (1),call; establish flock contact,Natural,Certain,Sight and Sound,,,4,0,283,SONY TCD-D10 PRO II,Sennheiser ME 62,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Pond,,,, Number of individuals=AU3+;  Response to playback: No response.,,Aves,Passeriformes,Bombycillidae,275370
105499,Audio,Bombycilla cedrorum,Cedar Waxwing,Coccothraustes vespertinus -- Evening Grosbeak; Corvus brachyrhynchos -- American Crow; Cyanocitta stelleri -- Steller's Jay; Zonotrichia leucophrys -- White-crowned Sparrow,,"Keller, Geoffrey A",1994,9,25,905,United States,Oregon,Coos,6.0 km S of Charleston; South Slough Reserve,,,50,,call,Natural,Certain,Sound,,,4,0,97,UHER 4200 REPORT MONITOR,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Coniferous Forest,,, NOTES: calls of a flock of ca.30 from the top of large Sitka Spruce, Number of individuals=UUc30; ,,Aves,Passeriformes,Bombycillidae,275370
105217,Audio,Bombycilla cedrorum,Cedar Waxwing,Cardinalis cardinalis -- Northern Cardinal; Spinus psaltria -- Lesser Goldfinch; Passerina caerulea -- Blue Grosbeak; Mimus polyglottos -- Northern Mockingbird; Molothrus ater -- Brown-headed Cowbird; Spizella pusilla -- Field Sparrow; Thryothorus ludovicianus -- Carolina Wren; Zenaida macroura -- Mourning Dove,,"Keller, Geoffrey A",1993,5,5,843,United States,Texas,Edwards,35.0 km N of Brackettville; Kickapoo Cavern State Natural Area,,,100,,call; establish flock contact,Natural,Certain,Sight and Sound,,,4,0,162,UHER 4200 REPORT MONITOR,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Coniferous Forest; Deciduous Forest; Mixed Coniferous/Deciduous,,, NOTES: calls of a large flock from the canopy of a large Oak, Number of individuals=UUc20-50; ,,Aves,Passeriformes,Bombycillidae,275370
62714,Audio,Bombycilla cedrorum,Cedar Waxwing,Setophaga pensylvanica -- Chestnut-sided Warbler; Cardellina pusilla -- Wilson's Warbler,,"Gunn, William W. H. ",1957,6,22,0,Canada,New Brunswick,,S of Campbelltown; Hwy 17,,,,,call,Natural,Certain,Sight and Sound,,,4,0,112,,,,,,,,,,," NOTES: cut 3, 5741; a.m.;  No. calls: 9",,,Aves,Passeriformes,Bombycillidae,288110
8963,Audio,Bombycilla cedrorum,Cedar Waxwing,,,"Hoyt, Sally F",1953,8,8,0,United States,New York,Tompkins,ETNA,,,,Immature Unknown Sex (1),call,,Not Provided,,,,4,0,110,,,,Mono,,,,,,," NOTES: FOOD CALL.USED IN PART ON 'FIELD GUIDE TO BIRD SONGS', 1959.  1 JUVENILE(S); Sex: UNKNOWN",,,Aves,Passeriformes,Bombycillidae,275370
164529,Audio,Bombycilla cedrorum,Cedar Waxwing,,,"Fischer, Martha J",2011,6,9,"",United States,New York,Orange,5.0 km S of Cornwall; Black Rock Forest Preserve. Exclosure near Stone House.,41.3970524,-74.0220165,400,Adult Unknown Sex (6),,Natural,Certain,Sight and Sound,,,3,0,57,NAGRA ARES-BB+,Telinga Pro 6,,Stereo,,,,Deciduous Forest,,,,,,Aves,Passeriformes,Bombycillidae,275370
