ML Catalog #,Format,Scientific Name,Common Name,Background Species,Subtitle,Recordist,Year,Month,Day,Time,Country,State,County,Locality,Latitude,Longitude,Elevation (m),AgeSex,Behavior,Stimulus,Confidence In ID,How Identified,Captive,Specimen,Quality,Audio Quality For Video,Cut Length (s),Recorder,Microphone,Accessory,Channels,eBird Checklist ID,Air Temp (C),Water Temp (C),Habitat,Regional Habitat,Physical Feature,Public Note,Subject Note,Equipment Note,Class,Order,Family,Taxonomic Sort
109119,Audio,Poecile rufescens,Chestnut-backed Chickadee,Regulus satrapa -- Golden-crowned Kinglet,,"Keller, Geoffrey A",2000,3,12,1010,United States,Oregon,Coos,"8.0 km N of Charleston, South Slough Sanctuary",,,5,Adult Female (1); Adult Male (1),call,Natural,Certain,Sight,,,5,0,140,HHB PORTADAT PDR 1000,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Coniferous Forest,,, NOTES:           ,,,Aves,Passeriformes,Paridae,200760
44911,Audio,Poecile rufescens,Chestnut-backed Chickadee,,,"Keller, Geoffrey A",1989,5,7,1038,United States,Oregon,Coos,18.0 km SE of Powers; Eden Valley,,,500,Adult Unknown Sex (2),call,Natural,Certain,Sight and Sound,,,5,0,46,UHER 4200 REPORT MONITOR,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Coniferous Forest; Deciduous Forest,,, NOTES: dawn +4.5hrs; species cut number 5; only background sound is wind        BNA: single call notes. I do not know what category these calls belong in. mf   ,,,Aves,Passeriformes,Paridae,200760
121970,Audio,Poecile rufescens,Chestnut-backed Chickadee,Aphelocoma californica -- Western Scrub-Jay; Chamaea fasciata -- Wrentit; Thryomanes bewickii -- Bewick's Wren; Toxostoma redivivum -- California Thrasher; Cardellina pusilla -- Wilson's Warbler,,"Marantz, Curtis A",2005,6,6,1051,United States,California,San Luis Obispo,"Montana de Oro State Park, Coon Creek",35.2333333,-120.8813889,25,,call; establish flock contact; forage,Natural,Certain,Sight and Sound,,,4,0,133,HHB PORTADAT PDR 1000,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Deciduous Forest; Creek; Riparian,,Thicket/Brush," NOTES: Birds were seen briefly, 4 1/2-5 m up and 12-18 m away in Arroyo Willow (Salix lasiolepis) among same flock as Bushtits recorded in previous cut; understory here was blackberries (Ribes sp.) and Coffeeberry (Rhamnus californica); intermittent breeze but not too bad here because canyon bottom was sheltered a bit.", Number of individuals=UU2+; ,,Aves,Passeriformes,Paridae,211020
118805,Audio,Poecile rufescens,Chestnut-backed Chickadee,,,"Keller, Geoffrey A",2001,5,13,1101,United States,California,Del Norte,4.8 km NW of Crescent City; Lake Earl Wildlife Viewing Area,,,5,Unknown Age Unknown Sex (3),,,Certain,Sight,,,4,0,367,HHB PORTADAT PDR 1000,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,," NOTES: ""Three birds were vocalizing, at various times, in Lodgepole Pine trees...""",,,Aves,Passeriformes,Paridae,200760
44906,Audio,Poecile rufescens,Chestnut-backed Chickadee,,,"Keller, Geoffrey A",1989,5,7,729,United States,Oregon,Coos,18.0 km SE of Powers; Eden Valley,,,500,Adult Unknown Sex (1),advertise; call,Natural,Certain,Sound,,,4,0,167,UHER 4200 REPORT MONITOR,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Coniferous Forest,,, NOTES: dawn +1.25hrs.         BNA: Chick-a-dee call complex. mf   ,,,Aves,Passeriformes,Paridae,200760
193581,Audio,Poecile rufescens; Oreothlypis celata; Setophaga coronata,Chestnut-backed Chickadee; Orange-crowned Warbler; Yellow-rumped Warbler,Larus glaucescens -- Glaucous-winged Gull,,"Nelson, Richard ",2013,6,24,437,United States,Alaska,,Glacier Bay National Park and Preserve; Beardslee Islands,58.52259,-135.88507,,,song,,Not Provided,,,,3,0,506,MARANTZ PMD 661,Sennheiser MKH 20,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Mono,,,,,,,Habitat: Marine,all birds are on the outter edge of forest facing beach; all birds are on the outter edge of forest facing beach; all birds are on the outter edge of forest facing beach,,Aves,Passeriformes,Paridae,200760
193535,Audio,Poecile rufescens,Chestnut-backed Chickadee,Setophaga townsendi -- Townsend's Warbler; Ixoreus naevius -- Varied Thrush; Turdus migratorius -- American Robin,,"Nelson, Richard ",2013,6,20,820,United States,Alaska,,Glacier Bay National Park and Preserve; Bartlett Cove,58.45343,-135.84442,,,call,,Not Provided,,,,3,0,319,MARANTZ PMD 661,Sennheiser MKH 20,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Mono,,,,,,,Habitat: ﻿﻿Closed Coniferous,,,Aves,Passeriformes,Paridae,200760
193534,Audio,Poecile rufescens,Chestnut-backed Chickadee,Setophaga townsendi -- Townsend's Warbler; Ixoreus naevius -- Varied Thrush,,"Nelson, Richard ",2013,6,20,806,United States,Alaska,,Glacier Bay National Park and Preserve; Bartlett Cove,58.45272,-135.84402,,,call,,Not Provided,,,,3,0,403,MARANTZ PMD 661,Sennheiser MKH 20,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Mono,,,,,,,Habitat: ﻿﻿Closed Coniferous,,,Aves,Passeriformes,Paridae,200760
192430,Audio,Poecile rufescens,Chestnut-backed Chickadee,,,"McGuire, Bob ",2012,4,14,850,United States,California,,Point Reyes National Seashore,37.9301,-122.7362,,Adult Unknown Sex (1),call,Natural,Certain,Sight and Sound,,,3,0,449,SOUND DEVICES 702,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,,,,,,,Aves,Passeriformes,Paridae,200760
192424,Audio,Poecile rufescens,Chestnut-backed Chickadee,,,"McGuire, Bob ",2012,4,14,738,United States,California,,Point Reyes National Seashore,37.9301,-122.7362,,Adult Unknown Sex (3),call,Natural,Certain,Sight and Sound,,,3,0,259,SOUND DEVICES 702,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,,,,,,,Aves,Passeriformes,Paridae,200760
