ML Catalog #,Format,Scientific Name,Common Name,Background Species,Subtitle,Recordist,Year,Month,Day,Time,Country,State,County,Locality,Latitude,Longitude,Elevation (m),AgeSex,Behavior,Stimulus,Confidence In ID,How Identified,Captive,Specimen,Quality,Audio Quality For Video,Cut Length (s),Recorder,Microphone,Accessory,Channels,eBird Checklist ID,Air Temp (C),Water Temp (C),Habitat,Regional Habitat,Physical Feature,Public Note,Subject Note,Equipment Note,Class,Order,Family,Taxonomic Sort
137574,Audio,Corvus corax,Common Raven,,,"Vyn, Gerrit ",2007,6,2,0,United States,Alaska,Nome,"at the quarry, east of Nome",,,,,,,Certain,Sound,,,5,0,90,NAGRA ARES-BB+,,,Stereo,,,,,,,,,,Aves,Passeriformes,Corvidae,189390
132203,Audio,Corvus corax,Common Raven,,,"Andersen, Michael J",2006,6,22,1418,United States,Alaska,North Slope,Dalton Highway: Happy Valley,69.1501833,-148.82705,290,,call; fly; mob,,Certain,Sight and Sound,,,5,0,854,SOUND DEVICES 744T,,,Mono,,,,Tundra; Arctic Tundra,,," NOTES: Recorded simultaneously by Gerrit Vyn.  We found a pair of Corvus corax at a nest with two large nestlings.  The nest was placed in the antlers of a moose, which was hung on the side of a building in the ghost town, Happy Valley.  One of the adults alternated flying and perching on the house that the nest was on, vocalizing all the while. Photos of the nest are on file on a CD in the LNS edited cuts file under MJA.  We came back later to this nest and recorded the adults in MS stereo.  Never did we hear the nestlings vocalize.  Same pair/individual(s) as LNS 132204 (MS stereo recording).", Sound stimulation was (other): Human presence near nest. ,,Aves,Passeriformes,Corvidae,189390
132161,Audio,Corvus corax,Common Raven,,,"Vyn, Gerrit ",2006,6,22,1236,United States,Alaska,,Dalton Highway: Sagawam Bluffs,65.577,-148.9435667,239,,,Natural,Certain,Sight and Sound,,,5,5,688,NAGRA ARES-BB+,,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,Tundra; Arctic Tundra,,, NOTES: Adult recorded at nest on the side of a cabin. Young silent. Same nest recorded ML 132204.,,,Aves,Passeriformes,Corvidae,189390
62386,Audio,Corvus corax,Common Raven,,,"Gunn, William W. H. ",1956,6,8,0,Canada,Ontario,,Algonquin Park Museum,,,,Juvenile Unknown Sex (2),call,,Certain,Sight and Sound,,,5,0,580,,,,,,,,,,, NOTES: many calls CU adn ECU2 yg. ravens reared at Museum (fully feathered)Note: some print-thruQ 1-2,,,Aves,Passeriformes,Corvidae,199190
203157,Audio,Corvus corax,Common Raven,,,"Sebastianelli, Laura ",2013,6,10,553,United States,California,Sierra,Tahoe National Forest; Yuba Pass,39.6172462,-120.4907084,,Adult Male (1),call,Natural,Certain,Sound,,,4,0,262,FOSTEX FR-2,Sennheiser ME 66,,Mono,,,,,,,Includes an extended sequence of guttural croaking calls.,,,Aves,Passeriformes,Corvidae,199190
193423,Audio,Corvus corax,Common Raven,,,"Nelson, Richard ",2013,5,31,750,United States,Alaska,,Gustavus Forelands,58.4098833,-135.7662333,,,,,Not Provided,,,,4,0,436,MARANTZ PMD 661,Sennheiser ME 66,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Mono,,,,,,,,,,Aves,Passeriformes,Corvidae,189390
167847,Audio,Corvus corax,Common Raven,,,"Batcheller, Hope J",2012,3,23,811,United States,California,Ventura,Los Padres National Forest; Valle Vista Campground,34.877747,-119.34148,1470,Unknown Age Unknown Sex (1),call,Natural,Certain,Sight and Sound,,,4,0,101,MARANTZ PMD 661,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,,,,,,,Aves,Passeriformes,Corvidae,189390
163906,Audio,Corvus corax,Common Raven,,,"Gerwe, Vincent ",2003,4,2,1200,United States,California,Ventura,10.0 km N of Fillmore; Hopper Mountain National Wildlife Refuge,34.4612903,-118.8500977,,Unknown Age Unknown Sex (1),call,Natural,Certain,Sound,,,4,0,27,HHB PORTADAT PDR 1000,Sennheiser MKH 30; Sennheiser MKH 20,,Stereo,,,,,,,"Recordist removed the MS pair of microphones from the zeppelin and placed them inside a constructed rock pile in close proximity to the carcass that released condors were feeding upon.  The rocks were used to protect the microphones which the condors would have otherwise ""explored.""  A long microphone cable was then run back to the recorder (and recordist) that was some distance away from the microphones in order not to disturb the condors as they fed.",,"MS Stereo, decoded in soundBlade.",Aves,Passeriformes,Corvidae,189390
163390,Audio,Corvus corax,Common Raven,,,"Medler, Matthew D",2012,5,20,814,United States,New York,Tompkins,Shindagin Hollow State Forest; Shindagin Hollow Rd.,42.32329,-76.335595,360,,call; fly,Natural,Certain,Sight and Sound,,,4,0,114,NAGRA ARES-BB+,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,,,,Calls given in flight by a family group of Common Ravens.,,,Aves,Passeriformes,Corvidae,189390
140071,Audio,Corvus corax,Common Raven,Ardea herodias -- Great Blue Heron,,"Medler, Matthew D",2009,6,14,1158,United States,New York,Cayuga,Summer Hill State Forest; Erron Hill Rd.,42.66642,-76.36873,476,,call,Natural,Certain,Sound,,,4,0,136,MARANTZ PMD 670,,Roché Parabola 60cm/14.5cm (23.6in/5.7in),Mono,,,,Forest; Coniferous Forest,,,,,,Aves,Passeriformes,Corvidae,189390
138261,Audio,Corvus corax,Common Raven,Calidris maritima -- Purple Sandpiper,,"Vyn, Gerrit ",2008,6,11,1813,Canada,Nunavut,,"Cornwallis Island; Resolute, old town dump near airport",,,,Unknown Age Unknown Sex (1),call; fly; mechanical sound,Natural,Certain,Sight and Sound,,,4,0,68,NAGRA ARES-BB+,,,Stereo,,,,Tundra; Wetland; Arctic Tundra; Creek,,,,,,Aves,Passeriformes,Corvidae,189390
137570,Audio,Corvus corax,Common Raven,,,"Vyn, Gerrit ",2007,6,2,340,United States,Alaska,Nome,Safety Sound bridge,,,,Unknown Age Unknown Sex (1),,,Certain,Sound,,,4,0,129,NAGRA ARES-BB+,,,Stereo,,,,Bay/Harbor,,," NOTES: Recordist notes: ""Birds probably have a nest under the bridge.""",,,Aves,Passeriformes,Corvidae,189390
136354,Audio,Corvus corax,Common Raven,,,"Andersen, Michael J",2007,5,31,1855,United States,Alaska,Nome,Teller Road: Mile 65,65.1802333,-166.30375,220,Adult Female (1); Adult Male (1),call; fly; mechanical sound,Natural,Certain,Sight and Sound,,,4,0,26,SOUND DEVICES 744T,,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,Tundra; Arctic Tundra,,," NOTES: Calls in flight with audible windbeats, recorded on tundra south of Teller on the Seward Peninsula.   Sound Devices 744T with 240Hz HPF, Telinga Pro6 in flat.",,,Aves,Passeriformes,Corvidae,189390
