ML Catalog #,Format,Scientific Name,Common Name,Background Species,Subtitle,Recordist,Year,Month,Day,Time,Country,State,County,Locality,Latitude,Longitude,Elevation (m),AgeSex,Behavior,Stimulus,Confidence In ID,How Identified,Captive,Specimen,Quality,Audio Quality For Video,Cut Length (s),Recorder,Microphone,Accessory,Channels,eBird Checklist ID,Air Temp (C),Water Temp (C),Habitat,Regional Habitat,Physical Feature,Public Note,Subject Note,Equipment Note,Class,Order,Family,Taxonomic Sort
167826,Audio,Accipiter cooperii,Cooper's Hawk,,,"Batcheller, Hope J",2012,3,20,915,United States,California,San Bernardino,Mojave National Preserve; Mid Hills Campground,35.131176,-115.43524,1650,Unknown Age Unknown Sex (1),call,Natural,Certain,Sight and Sound,,,5,0,189,MARANTZ PMD 661,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,,,,"Scraping off bark from a pinyon branch, then flew to nest close to recordist and added material to nest.",,,Aves,Accipitriformes,Accipitridae,26580
140257,Audio,Accipiter cooperii,Cooper's Hawk,,,"Vyn, Gerrit ",2008,5,26,0,United States,Arizona,,N of Cave Creek Canyon,31.8852285,-109.17421,1488,Adult Female (1); Adult Male (1),advertise; call; mate,Natural,Certain,Sight and Sound,,,5,0,159,NAGRA ARES-BB+,,,Stereo,,,,,,,,,,Aves,Accipitriformes,Accipitridae,26580
109074,Audio,Accipiter cooperii,Cooper's Hawk,Auriparus flaviceps -- Verdin; Icteria virens -- Yellow-breasted Chat; Vireo bellii -- Bell's Vireo,,"Keller, Geoffrey A",1999,5,24,921,United States,Arizona,Pima,"15.0 km W of Arivaca, Arivaca Creek",,,,Adult Unknown Sex (1),call; emit alarm,Natural,Certain,Sight,,,5,0,86,NAGRA E,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Creek; Riparian,,, NOTES:           ,,,Aves,Accipitriformes,Accipitridae,26580
203212,Audio,Accipiter cooperii,Cooper's Hawk,,,"Robbins, Mark B",2013,6,17,800,United States,Arizona,Gila,Tonto National Forest; Pinal Mountains,33.293,-110.866,1700,Adult Male (1),call; emit alarm,Natural,Certain,Sight and Sound,,,4,0,228,NAGRA ARES-BB+,Sennheiser ME 67,,Mono,,,,,,,Male near presumed nest (which was not located).    Weather: Clear.   Habitat: Pine-oak dominated forest.    ML: 100 Hz AUHipass filter applied in soundBlade HD to all segments.,,,Aves,Accipitriformes,Accipitridae,29810
195709,Audio,Accipiter cooperii,Cooper's Hawk,,,"McGuire, Bob ",2012,6,8,515,United States,New York,Tompkins,Town of Caroline; South Hammond Hill Road,42.3949387,-76.3007355,,Adult Female (1); Adult Male (1),call,Natural,Certain,Sight and Sound,,,4,0,1433,SOUND DEVICES 702,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,,,,,,,Aves,Accipitriformes,Accipitridae,26580
195708,Audio,Accipiter cooperii,Cooper's Hawk,,,"McGuire, Bob ",2012,6,7,504,United States,New York,Tompkins,Town of Caroline; South Hammond Hill Road,42.3949387,-76.3007355,,Adult Female (1); Adult Male (1),call,Natural,Certain,Sight and Sound,,,4,0,1254,SOUND DEVICES 702,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,,,,,,,Aves,Accipitriformes,Accipitridae,26580
107972,Audio,Accipiter cooperii,Cooper's Hawk,,,"Pantle, Steven R",1992,10,12,855,United States,New Jersey,Cape May,Cape May Point,38.94,-74.97,,Juvenile Female (1),emit alarm,Natural,Certain,Sight and Sound,,,4,0,213,NAGRA IV-S,,Research Applications Inc. Clark prototype 36,Mono,,,,Forest; Deciduous Forest,,, NOTES: This individual is hand held and is distressed.,,,Aves,Accipitriformes,Accipitridae,26580
94518,Audio,Accipiter cooperii,Cooper's Hawk,,,"Hershberger, Wilbur L",1998,10,25,710,United States,Maryland,Frederick,6.0 km S of Libertytown; Audrey Carroll Wildlife Sanctuary,39.4166667,-77.2083333,180,Adult Female (1); Adult Male (1),call; mate,Playback Self,Certain,Sight and Sound,,,4,0,114,SONY TCD-D10 PRO II,Sennheiser ME 62,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Coniferous Forest; Deciduous Forest; Rural; Field,,, NOTES: Couldn't see the pair of birds as they were in a dense stand of White pine.  , Response to playback: Approach.,,Aves,Accipitriformes,Accipitridae,26580
59286,Audio,Accipiter cooperii,Cooper's Hawk,,,"Gunn, William W. H. ; Gunn, Lucie R",1981,8,6,0,Canada,Alberta,,"Lot 24, Rolling Hills",,,,,beg; call; emit alarm,,Certain,Sight and Sound,,,4,0,720,,,,,,,,,,,"NOTES: A pair of Cooper's Hawks nested in our bush and raised 3 yg. This recording first presents rather distant food cries from 2-3 yg. in nest, then loud alarm calls from parent returning with food (yg. silent) then 1 yg and then 2 yg calling and parent brings food in amidst a flurry of food cries. Then leaves and yg. continue to call.  Also: wind in poplar trees.  Alarm notes from passerines while adult is calling.  Q 2, 1-2", Number of individuals=NF2-3AU1; ,,Aves,Accipitriformes,Accipitridae,26580
40579,Audio,Accipiter cooperii,Cooper's Hawk,Haemorhous mexicanus -- House Finch; Thryomanes bewickii -- Bewick's Wren; Vireo bellii -- Bell's Vireo,,"Keller, Geoffrey A",1987,6,2,800,United States,Arizona,Cochise,"45.0 km E of Douglas, Guadalupe Canyon",,,1300,Adult Unknown Sex (1),advertise,Natural,Certain,Sight and Sound,,,4,0,70,UHER 4200,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Deciduous Forest; Riparian; Desert,,, NOTES:           ,,,Aves,Accipitriformes,Accipitridae,26580
