ML Catalog #,Format,Scientific Name,Common Name,Background Species,Subtitle,Recordist,Year,Month,Day,Time,Country,State,County,Locality,Latitude,Longitude,Elevation (m),AgeSex,Behavior,Stimulus,Confidence In ID,How Identified,Captive,Specimen,Quality,Audio Quality For Video,Cut Length (s),Recorder,Microphone,Accessory,Channels,eBird Checklist ID,Air Temp (C),Water Temp (C),Habitat,Regional Habitat,Physical Feature,Public Note,Subject Note,Equipment Note,Class,Order,Family,Taxonomic Sort
169731,Audio,Junco hyemalis [oreganus Group],Dark-eyed Junco (Oregon),,,"McGowan, Jay W",2012,6,15,800,United States,California,Sierra,12.0 km S of Portola; Carman Valley,39.7032307,-120.4392743,,Adult Female (1); Adult Male (1),call,Natural; Other,Certain,Sight and Sound,,,5,0,399,NAGRA ARES-BB+,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,,,,,Chipping at my presence,,Aves,Passeriformes,Emberizidae,296690
169037,Audio,Junco hyemalis hyemalis/carolinensis,Dark-eyed Junco (Slate-colored),,,"Medler, Matthew D",2012,6,9,848,United States,New York,Franklin,Town of Santa Clara; Blue Mountain Rd.,44.50867,-74.43751,480,Adult Male (1),song,Natural,Certain,Sight and Sound,,,5,0,65,NAGRA ARES-BB+,Telinga Pro 8,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,,,,,,,Aves,Passeriformes,Emberizidae,296650
138596,Audio,Junco hyemalis,Dark-eyed Junco,,,"Budney, Gregory F",1997,6,15,711,United States,California,Sierra,"Yuba Pass. In the meadow on the north side of the highway, in a stand of aspen",39.6167583,-120.4892989,,Adult Female (1); Adult Male (1),emit alert call; song,Natural,Certain,Sight and Sound,,,5,0,107,HHB PORTADAT PDR 1000,Telinga Pro III,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Mono,,8.0,,,,,,Calls are mostly from female.,,Aves,Passeriformes,Emberizidae,310320
138202,Audio,Junco hyemalis,Dark-eyed Junco,,,"Vyn, Gerrit ",2007,7,9,947,United States,Alaska,,Ester;Mile 12 of Standard Creek Road,,,,Adult Male (1),song,,Certain,Sight and Sound,,,5,0,407,NAGRA ARES-BB+,,,Stereo,,,,Coniferous Forest,,, NOTES: Late season song, Response to playback: Different song.,,Aves,Passeriformes,Emberizidae,296640
126436,Audio,Junco hyemalis [oreganus Group],Dark-eyed Junco (Oregon),,,"Sander, Thomas G",1987,4,28,0,United States,California,Santa Cruz,Big Basin Redwoods State Park,,,,,,,Not Provided,,,,5,0,216,NAGRA IV-S,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,," NOTES: BNA: Song.    ML: Subject changed from recordist's original identification of Junco hyemalis oreganus to Junco hyemalis [oreganus Group] to conform to eBird Taxonomy (v. 1.55). -Jay McGowan/Matt Medler, July 2015.",,,Aves,Passeriformes,Emberizidae,310380
125299,Audio,Junco hyemalis [oreganus Group],Dark-eyed Junco (Oregon),,,"Sander, Thomas G",1987,4,28,0,United States,California,,Big Basin Redwoods State Park,,,,,,,Not Provided,,,,5,0,127,NAGRA IV-S,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,," NOTES: BNA: Song. This cut was recorded in half-track mono.    ML: Subject changed from recordist's original identification of Junco hyemalis oreganus to Junco hyemalis [oreganus Group] to conform to eBird Taxonomy (v. 1.55). -Jay McGowan/Matt Medler, July 2015.",,,Aves,Passeriformes,Emberizidae,310380
110987,Audio,Junco hyemalis [oreganus Group],Dark-eyed Junco (Oregon),,,"Sander, Thomas G",1987,4,28,0,United States,California,Santa Cruz,Big Basin Redwoods State Park,,,,,,,Not Provided,,,,5,0,262,NAGRA IV-S,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,," NOTES: (AOU #567.1.) BNA: Song.    ML: Subject changed from recordist's original identification of Junco hyemalis oreganus to Junco hyemalis [oreganus Group] to conform to eBird Taxonomy (v. 1.55). -Jay McGowan/Matt Medler, July 2015.",,,Aves,Passeriformes,Emberizidae,310380
110986,Audio,Junco hyemalis [oreganus Group],Dark-eyed Junco (Oregon),,,"Sander, Thomas G",1987,4,28,0,United States,California,Santa Cruz,Big Basin Redwoods State Park,,,,,,,Not Provided,,,,5,0,252,NAGRA IV-S,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,," NOTES: (AOU #567.1.) BNA: Song.    ML: Subject changed from recordist's original identification of Junco hyemalis oreganus to Junco hyemalis [oreganus Group] to conform to eBird Taxonomy (v. 1.55). -Jay McGowan/Matt Medler, July 2015.",,,Aves,Passeriformes,Emberizidae,310380
110985,Audio,Junco hyemalis [oreganus Group],Dark-eyed Junco (Oregon),,,"Sander, Thomas G",1987,4,28,0,United States,California,Santa Cruz,Big Basin Redwoods State Park,,,,,,,Not Provided,,,,5,0,97,NAGRA IV-S,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,," NOTES: (AOU #567.1.) BNA: Song.    ML: Subject changed from recordist's original identification of Junco hyemalis oreganus to Junco hyemalis [oreganus Group] to conform to eBird Taxonomy (v. 1.55). -Jay McGowan/Matt Medler, July 2015.",,,Aves,Passeriformes,Emberizidae,310380
100750,Audio,Junco hyemalis,Dark-eyed Junco,,,"Hershberger, Wilbur L",1999,4,4,619,United States,Maryland,Frederick,6.0 km S of Libertytown; Audrey Carroll Wildlife Sanctuary,39.4166667,-77.2083333,180,Adult Male (1),call; scold,Natural,Certain,Sight and Sound,,,5,0,88,SONY TCD-D10 PRO II,Sennheiser ME 62,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Deciduous Forest,,," NOTES: Changed to Eastern Daylight Savings Time (EDT).""Smack"" calls.BNA: Probably the Chack call is heard.  CZ  11/06/04.", Response to playback: No response.,,Aves,Passeriformes,Emberizidae,296640
