ML Catalog #,Format,Scientific Name,Common Name,Background Species,Subtitle,Recordist,Year,Month,Day,Time,Country,State,County,Locality,Latitude,Longitude,Elevation (m),AgeSex,Behavior,Stimulus,Confidence In ID,How Identified,Captive,Specimen,Quality,Audio Quality For Video,Cut Length (s),Recorder,Microphone,Accessory,Channels,eBird Checklist ID,Air Temp (C),Water Temp (C),Habitat,Regional Habitat,Physical Feature,Public Note,Subject Note,Equipment Note,Class,Order,Family,Taxonomic Sort
107289,Audio,Picoides pubescens,Downy Woodpecker,,,"Hershberger, Wilbur L",2000,3,26,632,United States,Maryland,Frederick,"6.0 km S of Libertytown , Audrey Carroll Wildlife Sanctu",39.4166667,-77.2083333,180,Adult Male (1),advertise; bill drumming; mechanical sound,Natural,Certain,Sight and Sound,,,5,0,143,SONY TCD-D10 PRO II,Sennheiser ME 62,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Pond,,,, Response to playback: No response.,,Aves,Piciformes,Picidae,109450
107288,Audio,Picoides pubescens,Downy Woodpecker,,,"Hershberger, Wilbur L",2000,3,26,621,United States,Maryland,Frederick,"6.0 km S of Libertytown , Audrey Carroll Wildlife Sanctu",39.4166667,-77.2083333,180,Adult Male (1),advertise; bill drumming; mechanical sound,Natural,Certain,Sight and Sound,,,5,0,55,SONY TCD-D10 PRO II,Sennheiser ME 62,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Pond,,, NOTES: Male now on different limb.,Same subject(s) as LNS 107287.  Response to playback: No response.,,Aves,Piciformes,Picidae,109450
107281,Audio,Picoides pubescens,Downy Woodpecker,,,"Hershberger, Wilbur L",2000,3,19,831,United States,Maryland,Frederick,"6.0 km S of Libertytown , Audrey Carroll Wildlife Sanctu",39.4166667,-77.2083333,180,Adult Female (1),call; mate,Natural,Certain,Sight and Sound,,,5,0,271,SONY TCD-D10 PRO II,Sennheiser ME 62,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Pond,,, NOTES: No red on back of head.  No other P. pubescens nearby., Response to playback: No response.,,Aves,Piciformes,Picidae,109450
107232,Audio,Picoides pubescens,Downy Woodpecker,,,"Hershberger, Wilbur L",1999,11,21,755,United States,Maryland,Frederick,"6.0 km S of Libertytown , Audrey Carroll Wildlife Sanctu",39.4166667,-77.2083333,180,Unknown Age Female (1),call; emit alarm,Natural,Certain,Sight and Sound,,,5,0,83,SONY TCD-D10 PRO II,Sennheiser ME 62,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Pond,,, NOTES: Female Downy woodpecker calling from trunck of tree., Response to playback: No response.,,Aves,Piciformes,Picidae,109450
94232,Audio,Picoides pubescens,Downy Woodpecker,,,"Hershberger, Wilbur L",1998,3,7,1712,United States,Maryland,Frederick,6.0 km S of Libertytown; Audrey Carroll Wildlife Sanctuary,39.4166667,-77.2083333,180,Adult Male (1),advertise; call,Natural,Certain,Sight and Sound,,,5,0,220,SONY TCD-D10 PRO II,Sennheiser ME 62,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Deciduous Forest; Rural; Field,,Hedgerow, NOTES: Add announcement at 1457 - 1540.,,,Aves,Piciformes,Picidae,109450
54829,Audio,Picoides pubescens,Downy Woodpecker,,,"Fischer, Martha J",2009,3,21,1005,United States,New York,Tompkins,Yellow Barn State Forest.,42.4674622,-76.3346815,,Adult Female (1); Adult Male (1),call; peck,Natural,Certain,Sight and Sound,,,5,0,284,NAGRA ARES-BB+,Sennheiser MKH 20,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,4.0,,Deciduous Forest,,,,Male was excavating cavity.,,Aves,Piciformes,Picidae,109450
44905,Audio,Picoides pubescens,Downy Woodpecker,,,"Keller, Geoffrey A",1989,5,7,720,United States,Oregon,Coos,18.0 km SE of Powers; Eden Valley,,,500,Adult Unknown Sex (1),advertise; bill drumming; mechanical sound,Natural,Certain,Sound,,,5,0,256,UHER 4200 REPORT MONITOR,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Coniferous Forest,,, NOTES: dawn +1.0hrs; species cut number 19  BNA: Drumming is heard throughout the recoording. CZ  26/02/2004.,,,Aves,Piciformes,Picidae,109450
27054,Audio,Picoides pubescens,Downy Woodpecker,,,"Plymire, Margery R",1981,8,23,940,United States,Maine,Knox,Port Clyde,43.8333333,-69.1666667,7,Juvenile Male (1),call; emit distress calls,Natural,Not Provided,,Captive,,5,0,34,NAGRA E,,,Mono,,,,Forest; Coniferous Forest; Riparian,,,Hand-held bird during banding operation.,,,Aves,Piciformes,Picidae,104510
201158,Audio,Picoides pubescens pubescens/medianus,Downy Woodpecker (Eastern),,,"McGowan, Jay W",2015,4,28,649,United States,New York,Tompkins,Shindagin Hollow State Forest; Shindagin Hollow Road,42.3379912,-76.338501,,Unknown Age Unknown Sex (1),bill drumming; mechanical sound,Natural,Certain,Sound,,,4,0,148,Roland R-26,Telinga Pro 8,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,S23106958,,,,,,,,Telinga filter engaged.,Aves,Piciformes,Picidae,104520
174138,Audio,Picoides pubescens,Downy Woodpecker,,,"DeCicco, Luke ",2011,9,12,933,United States,Alaska,Valdez-Cordova,Middleton Island,59.42523,-146.35182,10,,call; emit distress calls,Natural,Certain,Sight,Captive,,4,0,22,MARANTZ PMD 660,Sennheiser ME 66,,Mono,,,,,,,Habitat: Deciduous forest,Distress calls in hand,,Aves,Piciformes,Picidae,109450
174122,Audio,Picoides pubescens,Downy Woodpecker,,,"DeCicco, Luke ",2011,9,12,745,United States,Alaska,Valdez-Cordova,Middleton Island,59.42523,-146.35182,10,,call; emit distress calls,Natural,Certain,Sight,Captive,,4,0,32,MARANTZ PMD 660,Sennheiser ME 66,,Mono,,,,,,,Habitat: Deciduous forest,Distress calls in hand,,Aves,Piciformes,Picidae,109450
148976,Audio,Picoides pubescens,Downy Woodpecker,,,"Sly, Nicholas D",2010,2,12,825,United States,Florida,Polk,Avon Park Air Force Range,27.663475,-81.280274,,Adult Unknown Sex (1),bill drumming; mechanical sound,Natural,Certain,,,,4,0,257,MARANTZ PMD 660,Sennheiser ME 67,,Mono,,,,Coniferous Forest,,Scrub,,,,Aves,Piciformes,Picidae,109450
138379,Audio,Picoides pubescens,Downy Woodpecker,,,"Budney, Gregory F",1996,4,8,0,United States,Florida,Highlands,"Archbold Biological Station, S of intersection of Rd 23 and W. boundary",,,,Adult Male (1),advertise; bill drumming; mechanical sound,,Certain,Sight and Sound,,,4,0,119,HHB PORTADAT PDR 1000,,Roché Parabola 60cm/14.5cm (23.6in/5.7in),Mono,,,,,,Scrub,,,,Aves,Piciformes,Picidae,109450
107287,Audio,Picoides pubescens,Downy Woodpecker,,,"Hershberger, Wilbur L",2000,3,26,621,United States,Maryland,Frederick,"6.0 km S of Libertytown , Audrey Carroll Wildlife Sanctu",39.4166667,-77.2083333,180,Adult Male (1),advertise; bill drumming; mechanical sound,Natural,Certain,Sight and Sound,,,4,0,502,SONY TCD-D10 PRO II,Sennheiser ME 62,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Pond,,, NOTES: Female arrives near middle of cut and male stops drumming., Response to playback: No response.,,Aves,Piciformes,Picidae,109450
