ML Catalog #,Format,Scientific Name,Common Name,Background Species,Subtitle,Recordist,Year,Month,Day,Time,Country,State,County,Locality,Latitude,Longitude,Elevation (m),AgeSex,Behavior,Stimulus,Confidence In ID,How Identified,Captive,Specimen,Quality,Audio Quality For Video,Cut Length (s),Recorder,Microphone,Accessory,Channels,eBird Checklist ID,Air Temp (C),Water Temp (C),Habitat,Regional Habitat,Physical Feature,Public Note,Subject Note,Equipment Note,Class,Order,Family,Taxonomic Sort
107248,Audio,Sturnus vulgaris,European Starling,,,"Hershberger, Wilbur L",1999,12,5,810,United States,Maryland,Frederick,"6.0 km S of Libertytown , Audrey Carroll Wildlife Sanctu",39.4166667,-77.2083333,180,Adult Male (2),advertise; call; song,Natural,Certain,Sight and Sound,,,5,0,520,SONY TCD-D10 PRO II,Sennheiser ME 62,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Pond,,,, Response to playback: No response.,,Aves,Passeriformes,Sturnidae,264130
100730,Audio,Sturnus vulgaris,European Starling,,,"Hershberger, Wilbur L",1999,3,20,731,United States,Maryland,Frederick,6.0 km S of Libertytown; Audrey Carroll Wildlife Sanctuary,39.4166667,-77.2083333,180,Adult Male (1); Unknown Age Unknown Sex (1),advertise; song,Natural,Certain,Sight and Sound,,,5,0,151,SONY TCD-D10 PRO II,Sennheiser ME 62,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Grassland; Creek,,," NOTES: One bird ""singing.""", Response to playback: No response.,,Aves,Passeriformes,Sturnidae,264130
53177,Audio,Sturnus vulgaris,European Starling,,,"Pantle, Steven R; Budney, Gregory F",1991,7,9,0,United States,New York,Tompkins,Sapsucker Woods,,,,Juvenile Unknown Sex (1),beg; call,,Certain,Sight and Sound,,,5,0,303,AMPEX 800,,,Mono,,,,Forest; Deciduous Forest,,,"NOTES: (Third recordist: Grotke, Robert. Breeding Status: Not breeding. Cover Density: Medium. Full track mono.) This fledgling was recorded in the studio. G. Budney held a worm close to it and it would beg. B. Grotke recorded the sequences.", Sound stimulation was (other): Food. ,,Aves,Passeriformes,Sturnidae,264130
50154,Audio,Sturnus vulgaris,European Starling,,,"Keller, Geoffrey A",1990,5,14,617,United States,California,San Luis Obispo,"13.0 km SE of Pozo; Los Padres Nat. Forest; American Canyon Campground,",,,300,Adult Unknown Sex (2),call; court,Natural,Certain,Sight,,,5,0,135,UHER 4200 REPORT MONITOR,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Evergreen Forest; Coniferous Forest; Deciduous Forest,,Canyon, NOTES: dawn -0.18hrs; species cut number 23,,,Aves,Passeriformes,Sturnidae,264130
14863,Audio,Sturnus vulgaris,European Starling,,,"Kellogg, Peter Paul ; Hewitt, Oliver H",1961,2,2,1130,United States,New York,Tompkins,Ithaca; Cornell Laboratory of Ornithology,,,,,call,Other,Not Provided,,Captive,,5,0,257,NAGRA III-B,,,Mono,,,,,,,Same subject(s) as ML 14862. ,,,Aves,Passeriformes,Sturnidae,276510
206992,Audio,Sturnus vulgaris,European Starling,,,"Budney, Gregory F",2000,5,14,655,United States,Pennsylvania,Crawford,Cambridge Springs; North Richmond Road,41.726872,-79.975339,,Adult Unknown Sex (1),song,,Not Provided,,,,4,0,612,HHB PORTADAT PDR 1000,Sennheiser MKH 40,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,,,,,Aves,Passeriformes,Sturnidae,26621
204821,Audio,Sturnus vulgaris,European Starling,,,"McGowan, Jay W",2015,6,28,1648,United States,Montana,Lake,Moiese Valley Road,47.486432,-114.283593,,Juvenile Unknown Sex (1),beg; call,Natural,Certain,Sight and Sound,Captive,,4,0,141,MARANTZ PMD 661,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,,,,"Same subject as ML 204813. Begging calls from a nestling found in a barn, recorded in the house. Most calls in response to movement near the bird.",,Telinga filter engaged.,Aves,Passeriformes,Sturnidae,276510
204813,Audio,Sturnus vulgaris,European Starling,,,"McGowan, Jay W",2015,6,27,1727,United States,Montana,Lake,Moiese Valley Road,47.486432,-114.283593,,Juvenile Unknown Sex (1),beg; call,Natural,Certain,Sight and Sound,Captive,,4,0,277,MARANTZ PMD 661,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,,,,"Begging calls from a nestling found in a barn, recorded in the house. Most calls in response to movement near the bird.",,Telinga filter engaged.,Aves,Passeriformes,Sturnidae,276510
144010,Audio,Sturnus vulgaris,European Starling,Troglodytes aedon -- House Wren; Zenaida macroura -- Mourning Dove,,"Little, Randolph S",2001,5,30,1104,United States,California,Sierra,6.0 km S of Loyalton; Antelope Valley - East across saddle,39.6222222,-120.2469444,1713,,beg; call; establish parent young contact,Natural,Certain,Sight and Sound,,,4,0,112,NAGRA IV-D,Sennheiser MKH 404,Parabola 91.4cm/30.5cm (36in/12in),Mono,,,,Forest; Grassland; Park/Campus/Cemetery; Evergreen Forest; Coniferous Forest; Deciduous Forest,,Second-growth; Scrub,,Same subject(s) as LNS 144007.  Number of individuals=NU2-5AU1; ,,Aves,Passeriformes,Sturnidae,264130
144007,Audio,Sturnus vulgaris,European Starling,Corvus corax -- Common Raven; Euphagus cyanocephalus -- Brewer's Blackbird; Zenaida macroura -- Mourning Dove,,"Little, Randolph S",2001,5,30,1010,United States,California,Sierra,6.0 km S of Loyalton; Antelope Valley - East across saddle,39.6222222,-120.2469444,1713,,beg; call; establish parent young contact,Natural,Certain,Sight and Sound,,,4,0,73,NAGRA IV-D,Sennheiser MKH 404,Parabola 91.4cm/30.5cm (36in/12in),Mono,,,,Forest; Grassland; Park/Campus/Cemetery; Evergreen Forest; Coniferous Forest; Deciduous Forest,,Second-growth; Scrub,, Number of individuals=NU2-5AU1; ,,Aves,Passeriformes,Sturnidae,264130
