ML Catalog #,Format,Scientific Name,Common Name,Background Species,Subtitle,Recordist,Year,Month,Day,Time,Country,State,County,Locality,Latitude,Longitude,Elevation (m),AgeSex,Behavior,Stimulus,Confidence In ID,How Identified,Captive,Specimen,Quality,Audio Quality For Video,Cut Length (s),Recorder,Microphone,Accessory,Channels,eBird Checklist ID,Air Temp (C),Water Temp (C),Habitat,Regional Habitat,Physical Feature,Public Note,Subject Note,Equipment Note,Class,Order,Family,Taxonomic Sort
206481,Audio,Passerella iliaca,Fox Sparrow,,,"McGuire, Bob ",2015,6,5,"",United States,Alaska,,Dalton Highway nr Coldfoot,67.18093,-150.30659,,Adult Male (1),song,Natural,Certain,Sight and Sound,,,5,0,120,SOUND DEVICES 702,Telinga Pro 7,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Mono,,,,,,,,,Telinga Pro 7 set on mono mode.,Aves,Passeriformes,Emberizidae,29840
191299,Audio,Passerella iliaca,Fox Sparrow,,,"Little, Randolph S",2005,6,2,645,United States,California,Sierra,6.5 km S of Loyalton; at Antelope Valley saddle,39.6225,-120.2716667,1750,Adult Male (1),advertise; song,Natural,Certain,Sight and Sound,,,5,0,134,NAGRA IV-D,Sennheiser MKH 404,Parabola 91.4cm (36in),Mono,,,,,,,"Habitat: Forest, coniferous, evergreen, second growth, under growth, scrub, burn",,,Aves,Passeriformes,Emberizidae,295530
189898,Audio,Passerella iliaca,Fox Sparrow,Oreortyx pictus -- Mountain Quail; Turdus migratorius -- American Robin,,"Little, Randolph S",2013,6,4,520,United States,California,Sierra,"1.0 km NE of Arctic Mine, below Haskell Peak Road",39.64033,-120.61016,2000,Adult Male (1),advertise; song,Natural,Certain,Sight and Sound,,,5,0,48,NAGRA LB,Sennheiser ME 67,,Mono,,,,,,,Habitat: Brushy edge of logging road in second growth fir forest.,,,Aves,Passeriformes,Emberizidae,309190
163326,Audio,Passerella iliaca,Fox Sparrow,,,"Medler, Matthew D",2010,6,30,1657,United States,Alaska,Matanuska-Susitna,Denali Highway,63.04433,-147.05858,1017,Adult Unknown Sex (1),song,Natural,Certain,Sight and Sound,,,5,0,81,NAGRA ARES-BB+,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,,,,,,,Aves,Passeriformes,Emberizidae,295530
143988,Audio,Passerella iliaca,Fox Sparrow,Empidonax hammondii -- Hammond's Flycatcher,,"Little, Randolph S",2001,5,28,735,United States,California,Sierra,7.0 km NW of Sattley; Beartrap Meadow,39.6416667,-120.5058333,1687,Adult Male (1),advertise; call; scold; song,Natural,Certain,Sight and Sound,,,5,0,132,NAGRA IV-D,Sennheiser MKH 404,Parabola 91.4cm/30.5cm (36in/12in),Mono,,,,Forest; Evergreen Forest; Coniferous Forest; Montane Grassland,,Second-growth,,,,Aves,Passeriformes,Emberizidae,295530
143985,Audio,Passerella iliaca,Fox Sparrow,Geothlypis tolmiei -- MacGillivray's Warbler; Pinicola enucleator -- Pine Grosbeak,,"Little, Randolph S",2001,5,28,645,United States,California,Sierra,7.0 km NW of Sattley; Beartrap Meadow,39.6416667,-120.5058333,1687,Adult Male (1),advertise; song,Natural,Certain,Sight and Sound,,,5,0,119,NAGRA IV-D,Sennheiser MKH 404,Parabola 91.4cm/30.5cm (36in/12in),Mono,,,,Forest; Freshwater; Evergreen Forest; Coniferous Forest; Deciduous Forest; Montane Grassland,,Second-growth,,,,Aves,Passeriformes,Emberizidae,295530
138598,Audio,Passerella iliaca,Fox Sparrow,,,"Budney, Gregory F",1997,6,15,1030,United States,California,Sierra,"Road into Bear Trap Meadow, on a hillside, across the Forest Service rd from the picnic area.",39.6167583,-120.4892989,,Adult Female (1); Adult Male (1),call; emit alarm; song,Natural,Certain,Sound,,,5,0,573,HHB PORTADAT PDR 1000,Telinga Pro III,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Mono,,17.0,,,,,,,,Aves,Passeriformes,Emberizidae,295530
137891,Audio,Passerella iliaca,Fox Sparrow,,,"Vyn, Gerrit ",2007,6,30,0,United States,Alaska,,Duck Island,,,,Unknown Age Unknown Sex (2),call,Natural; Pish,Certain,Sight and Sound,,,5,0,1151,NAGRA ARES-BB+,,,Stereo,,,,Deciduous Forest,,, NOTES: Habitat: Dense alder; thick understory about 12 feet high.,,,Aves,Passeriformes,Emberizidae,295530
137588,Audio,Passerella iliaca,Fox Sparrow,,,"Vyn, Gerrit ",2007,6,3,1426,United States,Alaska,Nome,1.6 km Council,,,,Adult Male (1),advertise; call; song,Playback Same Species,Certain,Sight and Sound,,,5,0,537,NAGRA ARES-BB+,,,Stereo,,,,Creek,,,, Response to playback: Approach.,,Aves,Passeriformes,Emberizidae,295530
136496,Audio,Passerella iliaca,Fox Sparrow,,,"Andersen, Michael J",2007,7,3,1950,United States,Alaska,Kenai Peninsula,28.0 km NE of Homer,59.8197,-151.16175,510,Adult Male (1),advertise; song,Natural,Certain,Sound,,,5,0,189,SOUND DEVICES 744T,,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,Bog,,Thicket/Brush, NOTES: Songs recorded in a boggy area lined with dense willows with scattered short spruce trees using a Sound Devices 744T and Telinga Pro5B in cut.,,,Aves,Passeriformes,Emberizidae,295530
