ML Catalog #,Format,Scientific Name,Common Name,Background Species,Subtitle,Recordist,Year,Month,Day,Time,Country,State,County,Locality,Latitude,Longitude,Elevation (m),AgeSex,Behavior,Stimulus,Confidence In ID,How Identified,Captive,Specimen,Quality,Audio Quality For Video,Cut Length (s),Recorder,Microphone,Accessory,Channels,eBird Checklist ID,Air Temp (C),Water Temp (C),Habitat,Regional Habitat,Physical Feature,Public Note,Subject Note,Equipment Note,Class,Order,Family,Taxonomic Sort
3349,Audio,Larus glaucescens,Glaucous-winged Gull,,,"Stein, Robert C; Michener, Martin C",1958,6,25,1600,United States,Washington,,WILLIAMSON ROCKS; W OF FIDALGO IS.,,,,,call; fly,,Not Provided,,,,5,0,413,MAGNEMITE UNSPECIFIED MODEL,,Parabola 101.6cm (40in),,,,,,,Rocky, NOTES: NESTING ON TOP OF ROCKS IN PUGET SOUND. SITTING BIRD--'CHUP-CHUP'. SCREAMS--BIRDS FLYING OVER. CALL OF WET DOWNY YOUNG--NO PARABOLA USED. EGGS PRESENT.  NESTLING(S); ADULT(S),,,Aves,Charadriiformes,Laridae,41970
3348,Audio,Larus glaucescens,Glaucous-winged Gull,,,"Booth, Ernest S",1954,8,4,"",United States,Washington,,WILLIAMSON ROCKS,,,,,,,Not Provided,,,,5,0,399,,,,,,,,,,,,,,Aves,Charadriiformes,Laridae,41970
136445,Audio,Larus glaucescens,Glaucous-winged Gull,Catharus ustulatus -- Swainson's Thrush; Corvus caurinus -- Northwestern Crow; Larus glaucescens -- Glaucous-winged Gull; Synthliboramphus antiquus -- Ancient Murrelet,,"Andersen, Michael J",2007,6,15,2056,United States,Alaska,Sitka,Saint Lazaria Island,56.9868,-135.71255,,,Social context: colony; call; song,Natural,Certain,Sight and Sound,,,4,0,1695,SOUND DEVICES 744T,,,Stereo,,,,,,Rocky," NOTES: Recorded in Sitka Spruce forest at the north end of Saint Lazaria Island in Sitka Sound, Alaska.  Recorded in 4-channel surround with a Sound Devices 744T and Sennheiser MKH20/MKH30 MS pair in the front channels and MKH20s in channels 3-4 arranged in XY stereo.  This is archived in decoded MS stereo from the front two channels.  Microphones placed amonst a breeding colony of about 200 birds in the low rocky intertidal in the middle of the island.  This cut includes many examples of various vocalizations types along with the distant drone of surf.",,,Aves,Charadriiformes,Laridae,41970
3350,Audio,Larus glaucescens,Glaucous-winged Gull,,,"Allen, Arthur A; Allen, David G",1959,5,5,0,Canada,British Columbia,,Chain Islands; near Victoria,,,,,,,Not Provided,,,,4,0,285,,,,,,,,,,,HCLASS: * HSUBCLASS: * HGROUP: *RoNOTES: BIRDS JUST BEGINNING TO NEST--NO EGGS YET.,,,Aves,Charadriiformes,Laridae,41970
3347,Audio,Larus glaucescens,Glaucous-winged Gull,,,"Booth, Ernest S",1952,7,,0,United States,Washington,,WILLIAMSON ROCKS,,,,,call,,Not Provided,,,,4,0,114,,,,,,,,,,, NOTES: YOUNG--ONE DAY OLD. AND 'ANNOYANCE' NOTE.  NESTLING(S); ADULT(S),,,Aves,Charadriiformes,Laridae,41970
3346,Audio,Larus glaucescens,Glaucous-winged Gull,Phalacrocorax sp. -- cormorant sp.,,"Booth, Ernest S",1954,8,5,0,United States,Washington,,WILLIAMSON ROCKS,,,,,,,Not Provided,,,,4,0,255,MAGNEMITE UNSPECIFIED MODEL,,,,,,,,,,,,,Aves,Charadriiformes,Laridae,4363
193584,Audio,Larus glaucescens,Glaucous-winged Gull,Brachyramphus marmoratus -- Marbled Murrelet,,"Nelson, Richard ",2013,6,24,712,United States,Alaska,,Glacier Bay National Park and Preserve; Beardslee Islands,58.53194,-135.90469,,,forage,,Not Provided,,,,3,0,279,MARANTZ PMD 661,Sennheiser MKH 20,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Mono,,,,,,,Habitat: Marine,gulls are feeding,,Aves,Charadriiformes,Laridae,41970
193452,Audio,Larus glaucescens,Glaucous-winged Gull,Corvus caurinus -- Northwestern Crow; Haematopus bachmani -- Black Oystercatcher,,"Nelson, Richard ",2013,6,11,1220,United States,Alaska,,Glacier Bay National Park and Preserve; Boulder Island,58.55934,-136.01976,,,,,Not Provided,,,,3,0,581,MARANTZ PMD 661,Sennheiser MKH 20,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Mono,,,,,,,Habitat: Beach Rye,,,Aves,Charadriiformes,Laridae,41970
174609,Audio,Larus glaucescens,Glaucous-winged Gull,,,"DeCicco, Luke ",2012,4,21,1714,United States,Alaska,Valdez-Cordova,Valdez; Head of bay,61.12783,-146.3372,0,Adult Unknown Sex (2),call; emit alarm; fly,Natural,Certain,Sight,,,3,0,111,MARANTZ PMD 661,Sennheiser MKH 20,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Mono,,5.0,,,,,Habitat: Marine shoreline,,,Aves,Charadriiformes,Laridae,41970
137881,Audio,Larus glaucescens,Glaucous-winged Gull,,,"Vyn, Gerrit ",2007,6,18,0,United States,Alaska,,Saint Lazaria National Wildlife Refuge; around the cabin,,,,,,,Certain,Sight and Sound,,,3,0,46,NAGRA ARES-BB+,,,Stereo,,,,Forest; Marine; Coniferous Forest,,Burrow; Island," NOTES: ""...in pursuit of an immature Bald Eagle.""", Number of individuals=UU1+; ,,Aves,Charadriiformes,Laridae,41970
