ML Catalog #,Format,Scientific Name,Common Name,Background Species,Subtitle,Recordist,Year,Month,Day,Time,Country,State,County,Locality,Latitude,Longitude,Elevation (m),AgeSex,Behavior,Stimulus,Confidence In ID,How Identified,Captive,Specimen,Quality,Audio Quality For Video,Cut Length (s),Recorder,Microphone,Accessory,Channels,eBird Checklist ID,Air Temp (C),Water Temp (C),Habitat,Regional Habitat,Physical Feature,Public Note,Subject Note,Equipment Note,Class,Order,Family,Taxonomic Sort
50331,Audio,Regulus satrapa,Golden-crowned Kinglet,,,"Keller, Geoffrey A",1990,6,23,803,United States,Oregon,Hood River,35.0 km S of Hood River; Mt. Hood Nat. Forest,,,1700,Adult Male (1),advertise; call; song,Natural,Certain,Sound,,,5,0,203,UHER 4200 REPORT MONITOR,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Evergreen Forest; Coniferous Forest; Montane Grassland,,, NOTES: dawn +2.25hrs. BNA: Song. Contact call. Alarm call. mf,,,Aves,Passeriformes,Regulidae,216380
50128,Audio,Regulus satrapa,Golden-crowned Kinglet,,,"Keller, Geoffrey A",1990,4,28,910,United States,Oregon,Coos,40.0 km NE of Coos Bay; Marlo Creek Rd,,,150,Adult Male (1),call,Natural,Certain,Sound,,,5,0,85,UHER 4200 REPORT MONITOR,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Evergreen Forest; Coniferous Forest; Deciduous Forest; Stream,,Second-growth; Canyon, NOTES: dawn +2.5;      BNA: Alarm call. mf,,,Aves,Passeriformes,Regulidae,216380
197096,Audio,Regulus satrapa,Golden-crowned Kinglet,,,"McGuire, Bob ",2011,7,4,454,Canada,Quebec,,Parc d'Aiguebelle,48.4490162,-78.6998749,,Adult Male (1),song,Natural,Certain,Sight and Sound,,,4,0,107,SOUND DEVICES 702,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,,,,,,,Aves,Passeriformes,Regulidae,216380
195531,Audio,Regulus satrapa,Golden-crowned Kinglet,,,"McGowan, Jay W",2014,12,14,855,United States,New York,Tompkins,Town of Dryden; Roy H. Park Preserve,42.4245138,-76.3314253,,Unknown Age Unknown Sex (4),call; forage,Pish,Certain,Sight and Sound,,,4,0,523,Roland R-26,Telinga Pro 8,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,S20899748,,,,,,,,High-pass filter engaged on Telinga Pro.,Aves,Passeriformes,Regulidae,226920
174333,Audio,Regulus satrapa,Golden-crowned Kinglet,,,"DeCicco, Luke ",2011,9,25,1202,United States,Alaska,Valdez-Cordova,Middleton Island,59.42523,-146.35182,10,,call; emit distress calls,Natural,Certain,Sight,Captive,,4,0,16,MARANTZ PMD 660,Sennheiser ME 66,,Mono,,,,,,,Habitat: Deciduous forest,,,Aves,Passeriformes,Regulidae,216380
136184,Audio,Regulus satrapa,Golden-crowned Kinglet,,,"Medler, Matthew D",2007,6,21,757,Canada,Quebec,,Parc d'Aiguebelle,48.53584,-78.63442,,Adult Unknown Sex (1),song,Natural,Certain,Sound,,,4,0,268,MARANTZ PMD 670,,Roché Parabola 60cm/14.5cm (23.6in/5.7in),Mono,,,,Forest; Coniferous Forest; Deciduous Forest,,,,,,Aves,Passeriformes,Regulidae,216380
125294,Audio,Regulus satrapa,Golden-crowned Kinglet,,,"Sander, Thomas G",1986,6,6,0,United States,California,,Yosemite; near Gin Flat,,,,,,,Not Provided,,,,4,0,195,NAGRA IV-S,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,, NOTES: BNA: Song. This cut is half-track mono.,,,Aves,Passeriformes,Regulidae,216380
125292,Audio,Regulus satrapa,Golden-crowned Kinglet,,,"Sander, Thomas G",1986,6,5,0,United States,California,,Yosemite; near Gin Flat,,,,,,,Not Provided,,,,4,0,141,NAGRA IV-S,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,, NOTES: BNA: Song. This cut is half-track mono.,,,Aves,Passeriformes,Regulidae,216380
119422,Audio,Regulus satrapa,Golden-crowned Kinglet,,,"Keller, Geoffrey A",2001,5,30,727,United States,California,Tulare,30.6 km NW of Kernville; Sequoia National Forest; Trail of One Hundred Giants,,,2070,,song,,Certain,Sight,,,4,0,151,HHB PORTADAT PDR 1000,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,," NOTES: ""Bird was vocalizing in Sequoia Tree....""",,,Aves,Passeriformes,Regulidae,216380
118808,Audio,Regulus satrapa,Golden-crowned Kinglet,Catharus ustulatus -- Swainson's Thrush,,"Keller, Geoffrey A",2001,5,19,558,United States,California,Del Norte,4.8 km NW of Crescent City; Lake Earl Wildlife Viewing Area,,,5,,,,Certain,Sound,,,4,0,239,HHB PORTADAT PDR 1000,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,," NOTES: ""Bird was vocalizing from unknown location in canopy of Douglas Fir trees..."" [These are songs - CAM - 10 November 2004]",,,Aves,Passeriformes,Regulidae,216380
