ML Catalog #,Format,Scientific Name,Common Name,Background Species,Subtitle,Recordist,Year,Month,Day,Time,Country,State,County,Locality,Latitude,Longitude,Elevation (m),AgeSex,Behavior,Stimulus,Confidence In ID,How Identified,Captive,Specimen,Quality,Audio Quality For Video,Cut Length (s),Recorder,Microphone,Accessory,Channels,eBird Checklist ID,Air Temp (C),Water Temp (C),Habitat,Regional Habitat,Physical Feature,Public Note,Subject Note,Equipment Note,Class,Order,Family,Taxonomic Sort
174200,Audio,Zonotrichia atricapilla,Golden-crowned Sparrow,,,"DeCicco, Luke ",2011,9,18,751,United States,Alaska,Valdez-Cordova,Middleton Island,59.42523,-146.35182,10,,call; emit distress calls,Natural,Certain,Sight,Captive,,5,0,42,MARANTZ PMD 660,Sennheiser ME 66,,Mono,,,,,,,Habitat: Deciduous forest,Distress calls in hand.,,Aves,Passeriformes,Emberizidae,296620
137896,Audio,Zonotrichia atricapilla,Golden-crowned Sparrow,,,"Vyn, Gerrit ",2007,7,3,1908,United States,Alaska,,E of Homer,,,,Adult Unknown Sex (1),call; emit alarm; song,Playback Same Species,Certain,Sight and Sound,,,5,0,165,NAGRA ARES-BB+,,,Stereo,,,,Bog,,,,,,Aves,Passeriformes,Emberizidae,296620
137589,Audio,Zonotrichia atricapilla,Golden-crowned Sparrow,,,"Vyn, Gerrit ",2007,6,4,0,United States,Alaska,Nome,"24.0 km Nome, on the Kougarok Rd",64.706,-165.29543,,Adult Male (1),advertise; call; song,Playback Same Species,Certain,Sight and Sound,,,5,0,721,NAGRA ARES-BB+,,,Stereo,,,,,,,,,,Aves,Passeriformes,Emberizidae,296620
136493,Audio,Zonotrichia atricapilla,Golden-crowned Sparrow,,,"Andersen, Michael J",2007,7,3,1855,United States,Alaska,Kenai Peninsula,28.0 km NE of Homer,59.8197,-151.16175,510,Adult Female (1); Adult Male (1),advertise; call; song,Natural,Certain,Sight and Sound,,,5,0,628,SOUND DEVICES 744T,,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,Bog,,Thicket/Brush,NOTES: Songs followed by a long series of calls recorded in a boggy area lined with dense willows with scattered short spruce trees using a Sound Devices 744T and Telinga Pro5B.,,,Aves,Passeriformes,Emberizidae,296620
136492,Audio,Zonotrichia atricapilla,Golden-crowned Sparrow,,,"Andersen, Michael J",2007,7,3,1815,United States,Alaska,Kenai Peninsula,28.0 km NE of Homer,59.8197,-151.16175,510,Adult Female (1); Adult Male (1),call,Natural,Certain,Sight and Sound,,,5,0,637,SOUND DEVICES 744T,,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,Bog,,Thicket/Brush,NOTES: Calls from a pair of birds.  Recorded in a boggy area lined with dense willows with scattered short spruce trees using a Sound Devices 744T and Telinga Pro5B.,,,Aves,Passeriformes,Emberizidae,296620
77079,Audio,Zonotrichia atricapilla,Golden-crowned Sparrow,,,"Marantz, Curtis A",1993,6,19,630,United States,Alaska,Anchorage,Anchorage; Chugach State Park; upper Huffman Entrance,,,609,Unknown Age Unknown Sex (1),call; mechanical sound,Pish,Uncertain,Sound,,,5,0,48,NAGRA IV-D,,,Mono,,,,Forest,,Second-growth; Scrub," NOTES: (Species Sound:  Isolated? Breeding Status:  Breeding? Context: Alarm? Distress? Sound Delivery Rate: High. General Climate:  Cyclic wet-dry. Cov. Density: Med.) HPF @ 250 Hz.  BNA: Probably the Aarm Call (loud ""chink"") is heard.  CZ 22/06/2004.",,,Aves,Passeriformes,Emberizidae,296620
49976,Audio,Zonotrichia atricapilla,Golden-crowned Sparrow,,,"Peyton, Leonard J",1976,6,26,1030,United States,Alaska,,Dextor Creek Drainage-5.75 miles North by Northeast from Nome,64.5666667,-165.1833333,168,Adult Male (1),song,Playback Self,Certain,Sight and Sound,,,5,0,60,NAGRA III,,Parabola 99.1cm/30.5cm (39in/12in),Mono,,,,Tundra,,Thicket/Brush,Purpose of sound: singing in defense of nesting territory; Behavior accompanying vocalization: perched 18ft. above the tundra on the top of a Willow bush.    BNA: The Song is heard.  CZ 22/06/2004.,,,Aves,Passeriformes,Emberizidae,296620
176357,Audio,Zonotrichia atricapilla,Golden-crowned Sparrow,,,"DeCicco, Luke ",2012,6,1,1935,United States,Alaska,Nome,Nome; Snake River,64.6586,-165.43533,55,Adult Male (1),advertise; song,Natural,Certain,Sight and Sound,,AMNH LHDs_191,4,0,701,MARANTZ PMD 661,Sennheiser MKH 20,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Mono,,,,,,,"Habitat: Willow/dwarf birch thickets    Recordist Note: ""Breaks between songs spent foraging on willow flowers.""",,,Aves,Passeriformes,Emberizidae,296620
176317,Audio,Zonotrichia atricapilla,Golden-crowned Sparrow,Pluvialis dominica -- American Golden-Plover,,"DeCicco, Luke ",2012,5,21,1225,United States,Alaska,Nome,Nome; Teller Road; Mile 34 ridge,64.85048,-166.09227,290,Adult Male (1),advertise; call; fly; perform visual display; song,Natural; Playback Same Species,Certain,Sight and Sound,,,4,0,168,MARANTZ PMD 661,Sennheiser MKH 20,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Mono,,12.0,,,,,"Habitat: Tundra    Recordist Note: ""First cut: Calls of an individual after it came in with repsonse to playback. Second cut: Calls of same individual as above, including chattering call produces while tail up and wings fluttered, looked like a copulation display.""",,,Aves,Passeriformes,Emberizidae,296620
137556,Audio,Zonotrichia atricapilla,Golden-crowned Sparrow,,,"Vyn, Gerrit ",2007,6,1,1926,United States,Alaska,Nome,"24.0 km N of Nome, Kougarok Road",,,,Adult Male (1),advertise; song,Playback Same Species,Certain,Sight and Sound,,,4,0,189,NAGRA ARES-BB+,,,Stereo,,,,,,,, Response to playback: Approach.,,Aves,Passeriformes,Emberizidae,296620
