ML Catalog #,Format,Scientific Name,Common Name,Background Species,Subtitle,Recordist,Year,Month,Day,Time,Country,State,County,Locality,Latitude,Longitude,Elevation (m),AgeSex,Behavior,Stimulus,Confidence In ID,How Identified,Captive,Specimen,Quality,Audio Quality For Video,Cut Length (s),Recorder,Microphone,Accessory,Channels,eBird Checklist ID,Air Temp (C),Water Temp (C),Habitat,Regional Habitat,Physical Feature,Public Note,Subject Note,Equipment Note,Class,Order,Family,Taxonomic Sort
85106,Audio,Picoides villosus,Hairy Woodpecker,,,"Hershberger, Wilbur L",1997,6,6,1147,United States,Maryland,Frederick,SW of Catoctin Mtn Nat. Park; Manahan Road,39.65,-77.4833333,300,Adult Female (1); Adult Male (1),call; emit alarm; establish parent young contact; fly; mate; mechanical sound,Natural,Certain,Sight and Sound,,,5,0,110,SONY TCD-D10 PRO II,Sennheiser ME 62,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Coniferous Forest; Deciduous Forest,,, NOTES: Sony TCD-D10 ProII HPF on.  Maybe some alarm at my presence so close to the nest., Number of individuals=AF1NU2-4; ,,Aves,Piciformes,Picidae,109610
85105,Audio,Picoides villosus,Hairy Woodpecker,,,"Hershberger, Wilbur L",1997,6,6,1125,United States,Maryland,Frederick,SW of Catoctin Mtn Nat. Park; Manahan Road,39.65,-77.4833333,300,,call; emit alarm; establish parent young contact; fly; mechanical sound,Natural,Certain,Sight and Sound,,,5,0,99,SONY TCD-D10 PRO II,Sennheiser ME 62,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Coniferous Forest; Deciduous Forest,,, NOTES: Sony TCD-D10 ProII HPF on.  Maybe some alarm at my presence so close to the nest., Number of individuals=AF1NU2-4; ,,Aves,Piciformes,Picidae,109610
85104,Audio,Picoides villosus,Hairy Woodpecker,,,"Hershberger, Wilbur L",1997,6,6,1125,United States,Maryland,Frederick,SW of Catoctin Mtn Nat. Park; Manahan Road,39.65,-77.4833333,300,,call; establish parent young contact; mechanical sound,Natural,Certain,Sight and Sound,,,5,0,103,SONY TCD-D10 PRO II,Sennheiser ME 62,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Coniferous Forest; Deciduous Forest,,, NOTES: Sony TCD-D10 ProII HPF on., Number of individuals=AF1NU2-4; ,,Aves,Piciformes,Picidae,109610
84889,Audio,Picoides villosus,Hairy Woodpecker,,,"Hershberger, Wilbur L",1997,5,31,1013,United States,Maryland,Frederick,SW of Catoctin Mtn Nat. Park; Manahan Road,39.65,-77.4833333,300,,call; establish parent young contact; mechanical sound,Natural,Certain,Sight and Sound,,,5,0,44,SONY TCD-D10 PRO II,Sennheiser ME 62,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Coniferous Forest; Deciduous Forest,,, NOTES: Sony TCD-D10 ProII HPF on.  Female bringing food to nest.  Nestlings can be heard from in the nest., Number of individuals=NU2-4AF1; ,,Aves,Piciformes,Picidae,109610
49075,Audio,Picoides villosus,Hairy Woodpecker,,,"Colver, Kevin J",1990,6,15,951,United States,California,,Jones Valley,,,,Adult Unknown Sex (2),call; emit alarm,,Certain,Sight,,,5,0,239,SONY TCD-D10,,Roché Parabola 60cm/14.5cm (23.6in/5.7in),Mono,,,,Forest; Coniferous Forest,,Thicket/Brush," NOTES: (RRN: 90-21-35,36; Breeding Status: territorial, breeding?; Sound Delivery Rate: agitated; General Climate: cyclic wet-dry; General Habitat: quaking aspen grove; Temperature: 4-21¡C; Filtering: yes) ***. Breeze in background, call is alarm at my presence.  ML Notes: Is the recording that of a Downy Woodpecker or Williamson's Sapsucker?  CZ 02/03/2004.  BNA: Probably the ""Cheerk"" note is heard throughout the recording.  CZ  02/03/2004. ", Sound stimulation was (other): my presence. ,,Aves,Piciformes,Picidae,109610
44942,Audio,Picoides villosus,Hairy Woodpecker,,,"Keller, Geoffrey A",1989,6,10,656,United States,Oregon,Coos,18.0 km SE of Powers; Eden Valley,,,500,Adult Male (1),advertise; call,Natural,Certain,Sound,,,5,0,89,UHER 4200 REPORT MONITOR,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Coniferous Forest,,," NOTES: dawn +1.25hrs; species cut number 16  BNA:  Possibly ""Peek"" call is heard. Tapping is also heard.  CZ 02/03/2004.  ",,,Aves,Piciformes,Picidae,109610
44394,Audio,Picoides villosus,Hairy Woodpecker,,,"Budney, Gregory F",1989,6,5,1400,United States,California,Sierra,Tahoe National Forest; Jones Valley; Jones Valley Road,39.5583,-120.1209167,,,call,Natural,Certain,Sight and Sound,,,5,0,91,NAGRA IV-SD,Sennheiser MKH 106T,,Mono,,,,,,,Woodpecker nestlings. This recording was made on either June 5 or June 6.,Several nestlings in a nest cavity,,Aves,Piciformes,Picidae,109610
190957,Audio,Picoides villosus,Hairy Woodpecker,Sitta pygmaea -- Pygmy Nuthatch; Chordeiles minor -- Common Nighthawk; Contopus sordidulus -- Western Wood-Pewee; Piranga ludoviciana -- Western Tanager,,"Little, Randolph S",2013,6,7,842,United States,California,Plumas,"4.5 km N of Upper Carman Valley, about 3 miles upstream of the lower meadow",39.73,-120.477,1580,Adult Male (1),call; fly; forage; mechanical sound; scold,Natural,Certain,Sight and Sound,,,4,0,376,NAGRA LB,Sennheiser ME 67,,Mono,,,,,,,Habitat: Open Jeffrey pine knoll.,"""Choi"" calls, drumming and wingbeats.  Cross-index for Sitta pygmaea.",,Aves,Piciformes,Picidae,104680
179926,Audio,Picoides villosus,Hairy Woodpecker,,,"Walker, Bradley M",2013,6,2,828,United States,California,Sierra,12.0 km S of Portola; Carman Valley; Tahoe National Forest,39.6961616,-120.4440165,,Adult Unknown Sex (1),call,Natural,Certain,Sight and Sound,,,4,0,60,NAGRA ARES-BB+,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Mono,,,,,,,"Giving ""whinny"" call in agitation as it leaves the nest.    Same individual as LNS 179928.",,Telinga Hipass filter was in place during this recording.,Aves,Piciformes,Picidae,109610
165811,Audio,Picoides villosus,Hairy Woodpecker,,,"Ross, Jr., David L",1996,4,22,"",Costa Rica,Cartago,,Cerro de la Muerte; Estacion Biologica Cuerici,9.55,-83.6666667,3108,Unknown Age Unknown Sex (1),call; forage,,Certain,,,,4,0,205,MARANTZ PMD 700,Sennheiser ME 64,Parabola 61cm (24in),Stereo,,,,,,,,,,Aves,Piciformes,Picidae,104680
