ML Catalog #,Format,Scientific Name,Common Name,Background Species,Subtitle,Recordist,Year,Month,Day,Time,Country,State,County,Locality,Latitude,Longitude,Elevation (m),AgeSex,Behavior,Stimulus,Confidence In ID,How Identified,Captive,Specimen,Quality,Audio Quality For Video,Cut Length (s),Recorder,Microphone,Accessory,Channels,eBird Checklist ID,Air Temp (C),Water Temp (C),Habitat,Regional Habitat,Physical Feature,Public Note,Subject Note,Equipment Note,Class,Order,Family,Taxonomic Sort
169025,Audio,Catharus guttatus,Hermit Thrush,,,"Medler, Matthew D",2012,6,7,1150,United States,New York,Clinton,Silver Lake Bog Preserve,44.50378,-73.89307,510,Adult Unknown Sex (1),song,Natural,Certain,Sight and Sound,,,5,0,175,NAGRA ARES-BB+,Telinga Pro 8,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,,,,Same individual as ML 169023.,,,Aves,Passeriformes,Turdidae,258140
169023,Audio,Catharus guttatus,Hermit Thrush,,,"Medler, Matthew D",2012,6,7,1128,United States,New York,Clinton,Silver Lake Bog Preserve,44.50378,-73.89307,510,Adult Unknown Sex (1),counter singing; song,Natural,Certain,Sight and Sound,,,5,0,1068,NAGRA ARES-BB+,Telinga Pro 8,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,,,,,,,Aves,Passeriformes,Turdidae,258140
136174,Audio,Catharus guttatus,Hermit Thrush,,,"Medler, Matthew D",2007,6,17,2139,Canada,Quebec,,Route de la Baie-James,53.03811,-77.37247,,Adult Unknown Sex (1),song,Natural,Certain,Sight and Sound,,,5,0,481,MARANTZ PMD 670,,Roché Parabola 60cm/14.5cm (23.6in/5.7in),Mono,,,,,,Thicket/Brush; Scrub,,,,Aves,Passeriformes,Turdidae,258140
126540,Audio,Catharus guttatus,Hermit Thrush,,,"Sander, Thomas G",1988,5,14,715,United States,California,Marin,Bolinas; Fairfax Rd.,,,,,song,,Certain,,,,5,0,137,NAGRA IV-S,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,, NOTES: (NagraMaster: Y.),,,Aves,Passeriformes,Turdidae,258140
118681,Audio,Catharus guttatus,Hermit Thrush,,,"Keller, Geoffrey A",2001,5,6,733,United States,California,Del Norte,9.6 km SE of Smith River; Six Rivers National Forest,,,457,,song,,Certain,Sound,,,5,0,390,HHB PORTADAT PDR 1000,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,," NOTES: ""Bird was vocalizing from unknown location in Douglas Fir stand...""",,,Aves,Passeriformes,Turdidae,258140
111136,Audio,Catharus guttatus,Hermit Thrush,,,"Sander, Thomas G",1990,6,2,0,United States,Oregon,Deschutes,Deschutes National Forest; Black Pine Spring Campground,,,,,,,Not Provided,,,,5,0,45,NAGRA IV-S,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,, NOTES: (AOU #9999. NM: Y.) BNA: Song.,,,Aves,Passeriformes,Turdidae,258140
111085,Audio,Catharus guttatus,Hermit Thrush,,,"Sander, Thomas G",1988,5,22,0,United States,California,,Nicasio; on ridge above house at 669 Nicasio Valley Rd.,38.025586,-122.6648855,,,,,Certain,,,,5,0,548,NAGRA IV-S,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,, NOTES: (AOU #759. NM: Y.),,,Aves,Passeriformes,Turdidae,258140
110232,Audio,Catharus guttatus,Hermit Thrush,,,"Hershberger, Wilbur L",2001,5,25,456,United States,New York,,Ferd's Bog,43.7669444,-74.8172222,200,Adult Male (1),advertise; song,Natural,Certain,Sight and Sound,,,5,0,185,SONY TCD-D10 PRO II,Sennheiser ME 66,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Coniferous Forest; Deciduous Forest; Mixed Coniferous/Deciduous; Pond,,, NOTES:  High Pass Filter on; -20dB pad on., Response to playback: No response.,,Aves,Passeriformes,Turdidae,258140
106612,Audio,Catharus guttatus,Hermit Thrush,Contopus cooperi -- Olive-sided Flycatcher; Cyanocitta stelleri -- Steller's Jay; Empidonax hammondii -- Hammond's Flycatcher; Sitta canadensis -- Red-breasted Nuthatch; Turdus migratorius -- American Robin; Vireo gilvus -- Warbling Vireo,,"Little, Randolph S",1994,6,2,655,United States,California,,5.0 km W of Sattley; Beartrap Meadow,39.6333333,-120.5166667,2100,Adult Male (1),advertise; song,Natural,Certain,Sight and Sound,,,5,0,325,NAGRA IV-D,,Parabola 91.4cm/30.5cm (36in/12in),Mono,,,,Forest; Grassland; Evergreen Forest; Coniferous Forest; Deciduous Forest; Montane Grassland; M,,Second-growth," NOTES: (Species Sound: frequent; Breeding Status: territorial, territorial paired?, breeding?; General Climate: arid; Cover Density: sparse; Strata in Habitat: song perch)",,,Aves,Passeriformes,Turdidae,258140
100860,Audio,Catharus guttatus,Hermit Thrush,,,"Hershberger, Wilbur L",1999,5,29,745,United States,New York,,Brown Tract Ponds,43.7669444,-74.75,200,Adult Male (1),advertise; song,Natural,Certain,Sight and Sound,,,5,0,515,SONY TCD-D10 PRO II,Sennheiser ME 62,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Deciduous Forest; Pond,,, NOTES: May need HPF.  Tendon noise transduction., Response to playback: No response.,,Aves,Passeriformes,Turdidae,258140
