ML Catalog #,Format,Scientific Name,Common Name,Background Species,Subtitle,Recordist,Year,Month,Day,Time,Country,State,County,Locality,Latitude,Longitude,Elevation (m),AgeSex,Behavior,Stimulus,Confidence In ID,How Identified,Captive,Specimen,Quality,Audio Quality For Video,Cut Length (s),Recorder,Microphone,Accessory,Channels,eBird Checklist ID,Air Temp (C),Water Temp (C),Habitat,Regional Habitat,Physical Feature,Public Note,Subject Note,Equipment Note,Class,Order,Family,Taxonomic Sort
167835,Audio,Haemorhous mexicanus,House Finch,,,"Batcheller, Hope J",2012,3,21,845,United States,California,San Bernardino,Mojave National Preserve; Hole-in-the-wall Campground,35.04537,-115.3935,1305,Unknown Age Unknown Sex (1),call,Natural,Certain,Sight and Sound,,,5,0,37,MARANTZ PMD 661,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,,,,,,,Aves,Passeriformes,Fringillidae,305980
56843,Audio,Haemorhous mexicanus,House Finch,Campylorhynchus brunneicapillus -- Cactus Wren; Chordeiles acutipennis -- Lesser Nighthawk; Myiarchus cinerascens -- Ash-throated Flycatcher,,"Keller, Geoffrey A",1991,5,1,540,United States,Arizona,,35.0 km S of Why; Organ Pipe Nat. Monument,,,600,Adult Male (1),song,Natural,Certain,Sound,,,5,0,198,UHER REPORT 4200,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Desert,,Scrub, NOTES: (Breeding status: Territorial; Sp. sound: freq;  Gen. Climate: arid; cover den: open)  BNA: The male song is heard.  CZ  27/07/2004.,,,Aves,Passeriformes,Fringillidae,305980
44967,Audio,Haemorhous mexicanus,House Finch,,,"Keller, Geoffrey A",1989,6,19,741,United States,Oregon,Crook,18.0 km NE of Redmond; Crooked River National Grassland,,,1200,Adult Male (1),advertise; call; scold,Natural,Certain,Sight and Sound,,,5,0,123,UHER 4200 REPORT MONITOR,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Coniferous Forest,,, NOTES: dawn +2.17hrs; species cut number 82  BNA: The typical call note (cheep) is heard.  CZ  23/07/2004                                      ,,,Aves,Passeriformes,Fringillidae,305980
22941,Audio,Haemorhous mexicanus,House Finch,,,"Fish, William R",1955,4,12,0,United States,California,Monterey,HASTINGS RESERVATION; MONTEREY CO.,,,,,song,Natural,Not Provided,Sight and Sound,,,5,0,148,MAGNECORDER UNSPECIFIED MODEL,,Parabola 91.4cm (36in),Mono,,,,Creek; Rural; Yard,,, NOTES:  Range status: NORMAL;  Breeding status: UNKNOWN;  Beh. context: UNKNOWN; Frequency of sound: NORMAL;  General climate: CYCLIC WET-DRY;  Cover density: SPARSE; NORTH OLD BARN.  Age: UNKNOWN AGE; MALE(S)  BNA: The male song as well as the typical call notes (cheep) are heard.  CZ  22/07/2004.,,,Aves,Passeriformes,Fringillidae,305980
22939,Audio,Haemorhous mexicanus,House Finch,,,"Fish, William R",1953,4,28,0,United States,California,Monterey,HASTINGS RESERVATION; MONTEREY CO.,,,,,call; song,Natural,Not Provided,Sight and Sound,,,5,0,78,MAGNECORDER UNSPECIFIED MODEL,,Parabola 91.4cm (36in),Mono,,,,Creek; Rural; Yard,,, NOTES:  Range status: NORMAL;  Breeding status: UNKNOWN;  Beh. context: UNKNOWN; Frequency of sound: NORMAL;  General climate: CYCLIC WET-DRY;  Cover density: SPARSE;   Age: UNKNOWN AGE; MALE(S)  BNA: The male song as well as the typical call note (cheep) are heard.  CZ  21/07/2004.  ,,,Aves,Passeriformes,Fringillidae,305980
22938,Audio,Haemorhous mexicanus,House Finch,,,"Fish, William R",1951,5,16,800,United States,California,Kern,2.5 km W of WALKER PASS LODGE; E KERN CO,,,,,song,Natural,Not Provided,Sight and Sound,,,5,0,185,MAGNECORDER UNSPECIFIED MODEL,,Parabola 91.4cm (36in),Mono,,,,,,, NOTES:  Range status: NORMAL;  Breeding status: UNKNOWN;  Beh. context: UNKNOWN; Frequency of sound: NORMAL;  General climate: CYCLIC WET-DRY;  Cover density: SPARSE; SEMI-DESERT. PARABOLA.  Age: UNKNOWN AGE; MALE(S)  BNA: The male song is heard.  CZ  21/07/2004.  ,,,Aves,Passeriformes,Fringillidae,305980
22937,Audio,Haemorhous mexicanus,House Finch,,,"Fish, William R",1951,5,7,0,United States,California,Kern,NEAR INYOKERN; E KERN CO.,,,,,song,Natural,Not Provided,Sight and Sound,,,5,0,236,MAGNECORDER UNSPECIFIED MODEL,,Parabola 91.4cm (36in),Mono,,,,,,, NOTES:  Range status: NORMAL;  Breeding status: UNKNOWN;  Frequency of sound: NORMAL;  General climate: CYCLIC WET-DRY;  Cover density: SPARSE; WALKER PASS LODGE. PARABOLA. SEMI-DESERT.  Age: UNKNOWN AGE; MALE(S)  BNA: The male song is heard.  CZ  21/07/2004.  ,,,Aves,Passeriformes,Fringillidae,305980
12932,Audio,Haemorhous mexicanus,House Finch,,,"Fish, William R",,5,,"",United States,California,,"",,,,Unknown Age Male (1),song,,Not Provided,,,,5,0,117,,,,Mono,,,,,,,"Original data record is written as ""California (?)"".    BNA: The male song is heard.  (CZ  21Jul2004)    ML: Recording date unknown, but recordist known to be active between 1950 and 1972.",,,Aves,Passeriformes,Fringillidae,305980
5145,Audio,Haemorhous mexicanus,House Finch,,,"Pratt, H. Douglas ",1977,4,26,0,United States,Hawaii,Maui,POLIPOLI SPRINGS,,,1970,Adult Unknown Sex (1),call; forage; song,Natural,Certain,Sight and Sound,,,5,0,86,SONY TC-45,,Parabola 45.7cm (18in),Mono,,,,Forest; Coniferous Forest; Deciduous Forest; Montane Grassland,,, NOTES:  Breeding status: UNKNOWN;  Frequency of sound: NORMAL;  General climate: HUMID;  Cover density: MEDIUM;   1 ADULT(S); Sex: UNKNOWN  BNA: The male song is heard.  CZ  21/07/2004.                                                  ,,,Aves,Passeriformes,Fringillidae,305980
5135,Audio,Haemorhous mexicanus,House Finch,Himatione sanguinea -- Apapane; Leiothrix lutea -- Red-billed Leiothrix,,"Pratt, H. Douglas ",1977,4,26,0,United States,Hawaii,Maui,POLIPOLI SPRINGS,,,1970,Adult Unknown Sex (1),call; forage,Natural,Certain,Sight,,,5,0,56,SONY TC-45,,Parabola 45.7cm (18in),Mono,,,,Forest; Coniferous Forest; Deciduous Forest; Montane Grassland,,, NOTES:  Breeding status: UNKNOWN;  Frequency of sound: NORMAL;  General climate: HUMID;  Cover density: MEDIUM;   1 ADULT(S); Sex: UNKNOWN,,,Aves,Passeriformes,Fringillidae,305980
5132,Audio,Haemorhous mexicanus,House Finch,,,"Pratt, H. Douglas ",1977,4,26,0,United States,Hawaii,Maui,POLIPOLI SPRINGS,,,1970,Adult Unknown Sex (1),forage; song,Natural,Certain,Sight,,,5,0,68,SONY TC-45,,Parabola 45.7cm (18in),Mono,,,,Forest; Coniferous Forest; Deciduous Forest; Montane Grassland,,, NOTES:  Breeding status: UNKNOWN;  Frequency of sound: NORMAL;  General climate: HUMID;  Cover density: MEDIUM;  Strata: SONG PERCH;   1 ADULT(S); Sex: UNKNOWN,,,Aves,Passeriformes,Fringillidae,305980
188845,Audio,Haemorhous mexicanus,House Finch,,,"McGuire, Bob ",2013,6,20,2006,United States,New York,,Town of Dryden; 46 Whitted Rd.,42.41824,-76.43267,,Adult Unknown Sex (2); Immature Unknown Sex (1),beg; call,Natural,Certain,Sight and Sound,,,4,0,338,SOUND DEVICES 702,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,,,,Recorded at feeder at recordist's house.,,,Aves,Passeriformes,Fringillidae,305980
173007,Audio,Haemorhous mexicanus,House Finch,,,"Mundinger, Paul C",1974,,,"",,,,"",,,,,call; song,,Not Provided,,Captive,,4,0,2937,,,,Mono,,,,,,,"74-5 ed.  Box notes: 74-5. Ed. on rog Ap29-May24 (last rec.) B-1 male, B-6 female: Ap29 (1-293). B-6 female: May 7 (312-438). B-1 male, B-6 female, C-5 female: May 24 (438-1050). Side II--Empty.",,,Aves,Passeriformes,Fringillidae,305980
172855,Audio,Haemorhous mexicanus,House Finch,,,"Mundinger, Paul C",1972,,,"",,,,"",,,,,call; song,,Not Provided,,Captive,,4,0,530,,,,Mono,,,,,,,"72-26 ed. H.F. Dub, Side B. Ind. 8. 2/8 - 5/9 1972.  House Finch Dub. Ind. 8.",,,Aves,Passeriformes,Fringillidae,305980
172839,Audio,Haemorhous mexicanus,House Finch,,,"Mundinger, Paul C",,,,"",United States,New York,,"",,,,,call; song,,Certain,Sight and Sound,,,4,0,1273,,,,Mono,,,,,,,"PM 71/JEC 77 Side A    Reel Box Notes:      John de Cuevas Recordings. PM 1971. JEC 1977. HF Songs and Calls.         LNS Note: The only edits made were level-setting and removal of loud bangs at the end and beginning of cuts. There was no change in counter position for these edits. (BMW, 20Nov2013)",,,Aves,Passeriformes,Fringillidae,305980
138541,Audio,Haemorhous mexicanus,House Finch,,,"Budney, Gregory F",1996,6,16,625,United States,California,,Antelop Valley Rd.,,,,Adult Female (1); Adult Male (1),call; mate; song,Natural,Certain,Sight and Sound,,,4,0,447,HHB PORTADAT PDR 1000,,,Mono,,,,,,, NOTES: Male and female nest building in top of scorched Jeff Pine about 25' high.,,,Aves,Passeriformes,Fringillidae,305980
126549,Audio,Haemorhous mexicanus,House Finch,Haemorhous mexicanus -- House Finch,,"Sander, Thomas G",1988,5,21,0,United States,California,Marin,Livermore Hills; Mines Rd.,,,,,advertise; song,,Certain,,,,4,0,51,NAGRA IV-S,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,, NOTES: (NagraMaster: Y.),,,Aves,Passeriformes,Fringillidae,305980
118641,Audio,Haemorhous mexicanus,House Finch,,,"Keller, Geoffrey A",2001,4,16,628,United States,California,Kern,3.0 km S of Woody,,,610,,song,,Certain,Sight,,,4,0,142,HHB PORTADAT PDR 1000,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,,,,,Aves,Passeriformes,Fringillidae,305980
118626,Audio,Haemorhous mexicanus,House Finch,,,"Keller, Geoffrey A",2001,4,13,1843,United States,California,,10.0 km NW of Palo Verde,,,640,Adult Male (1),call; song,,Certain,Sight,,,4,0,121,HHB PORTADAT PDR 1000,,,Mono,,,,Riparian; Desert,,," NOTES: ""Bird was about about 30 inches from the microphone. It was remote-miked with the MKH106 at the end of 100ft of cable.""",,,Aves,Passeriformes,Fringillidae,305980
118605,Audio,Haemorhous mexicanus,House Finch,,,"Keller, Geoffrey A",2001,4,11,658,United States,California,,Anza-Borrego Desert State Park,,,61,Adult Male (1),song,Natural,Certain,Sound,,,4,0,202,HHB PORTADAT PDR 1000,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,," NOTES: ""Singing from a telephone wire..."" ""Area's adjacent to a citrus grove.""",,,Aves,Passeriformes,Fringillidae,305980
111071,Audio,Haemorhous mexicanus,House Finch,,,"Sander, Thomas G",1988,5,21,0,United States,California,Marin,Mt. Hamilton; Mines Rd.,,,,,song,,Certain,,,,4,0,155,NAGRA IV-S,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,, NOTES: (AOU #519. NM: Y.),,,Aves,Passeriformes,Fringillidae,305980
