ML Catalog #,Format,Scientific Name,Common Name,Background Species,Subtitle,Recordist,Year,Month,Day,Time,Country,State,County,Locality,Latitude,Longitude,Elevation (m),AgeSex,Behavior,Stimulus,Confidence In ID,How Identified,Captive,Specimen,Quality,Audio Quality For Video,Cut Length (s),Recorder,Microphone,Accessory,Channels,eBird Checklist ID,Air Temp (C),Water Temp (C),Habitat,Regional Habitat,Physical Feature,Public Note,Subject Note,Equipment Note,Class,Order,Family,Taxonomic Sort
50543,Audio,Passer domesticus,House Sparrow,,,"Herr, David S",1990,8,3,0,United States,Washington,Walla Walla,8.0 km NW of Walla Walla,46.0166667,-117.4333333,335,,Social context: family; beg; call,Natural,Certain,Sight,,,5,0,271,NAGRA IV-D,,,Mono,,,,Deciduous Forest; Rural,,, NOTES: Recordist's note:Made same location as RRN 90-66-1. Mike placed closer to nest box entrance - see photo. Birds are one week older than 90-66-1,Same subject(s) as LNS 50542.  Number of individuals=AM1AF1UUc1; ,,Aves,Passeriformes,Passeridae,310480
14439,Audio,Passer domesticus,House Sparrow,,,"Spaulding, David T",1964,8,22,0,United States,New York,,0.8 km N of ALPINE,,,,Unknown Age Unknown Sex (1),call,Playback Not Specified,Not Provided,Sight,,,5,0,86,NAGRA III-B,,Parabola 91.4cm/30.5cm (36in/12in),Mono,,,,,,, NOTES: 'CHIRP-CHIRP...'.  Sex: 1 UNKNOWN, Sound stimulation was (other): PLAYBACK.  Response to playback: No response.,,Aves,Passeriformes,Passeridae,310480
177264,Audio,Passer domesticus,House Sparrow,,,"Budney, Gregory F",2011,3,26,626,Sri Lanka,Central Province,,Nuwara Eliya; Grand Hotel,6.96917,80.76496,,,call,Natural,Certain,Sight and Sound,,,4,0,187,NAGRA ARES-BB+,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,,,,,,,Aves,Passeriformes,Passeridae,310480
167637,Audio,Passer domesticus,House Sparrow,,,"Erickson, Jon P",2010,4,28,1527,Mauritius,Plaines Wilhems,,Black River Gorges National Park; Plaine Lievre field station,-20.2323,57.2609,353,Unknown Age Unknown Sex (12),,,Certain,Sight and Sound,,,4,0,45,MARANTZ PMD 661,Sennheiser MKH 20,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Mono,,,,,,,,,,Aves,Passeriformes,Passeridae,325060
105556,Audio,Passer domesticus,House Sparrow,Arremonops rufivirgatus -- Olive Sparrow; Columbina inca -- Inca Dove; Leptotila verreauxi -- White-tipped Dove; Zenaida asiatica -- White-winged Dove,,"Keller, Geoffrey A",1995,4,30,746,United States,Texas,Hidalgo,10.0 km SW of McAllen; Bentsen-Rio Grande Valley State Park,,,20,Adult Unknown Sex (1),call,Natural,Certain,Sound,,,4,0,122,UHER 4200 REPORT MONITOR,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Deciduous Forest,,, NOTES: ,,,Aves,Passeriformes,Passeridae,310480
105554,Audio,Passer domesticus,House Sparrow,Pitangus sulphuratus -- Great Kiskadee; Zenaida asiatica -- White-winged Dove,,"Keller, Geoffrey A",1995,4,30,650,United States,Texas,Hidalgo,10.0 km SW of McAllen; Bentsen-Rio Grande Valley State Park,,,20,Adult Unknown Sex (1),call,Natural,Certain,Sound,,,4,0,116,UHER 4200 REPORT MONITOR,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Deciduous Forest,,," NOTES: ""2-parted chirp"" call from mesquite",,,Aves,Passeriformes,Passeridae,310480
44107,Audio,Passer domesticus,House Sparrow,Zenaida macroura -- Mourning Dove; Turdus migratorius -- American Robin; Agelaius phoeniceus -- Red-winged Blackbird; Dryocopus pileatus -- Pileated Woodpecker,,"Budney, Gregory F",1989,4,2,725,United States,New York,Schuyler,Connecticut Hill Wildlife Management Area; Connecticut Hill Road,42.353882,-76.699425,,Adult Male (1),call,Natural,Certain,Sight and Sound,,,4,0,382,,,,Mono,,-1.0,,,,,,,BP-2 filter in cut position.,Aves,Passeriformes,Passeridae,310480
34620,Audio,Passer domesticus,House Sparrow,,,"Morton, Eugene S",1978,11,1,0,Cuba,Santiago de Cuba,,Santiago de Cuba,,,,,call,,Certain,Sight and Sound,,,4,0,48,UHER 4000,,,Mono,,,,,,,NOTES: TAPE 208 CUT B2,,,Aves,Passeriformes,Passeridae,310480
34619,Audio,Passer domesticus,House Sparrow,,,"Morton, Eugene S",1978,11,1,0,Cuba,Santiago de Cuba,,Santiago de Cuba,,,,,call,,Certain,Sight and Sound,,,4,0,80,UHER 4000,,,Mono,,,,,,,NOTES: TAPE 208 CUT B1,,,Aves,Passeriformes,Passeridae,310480
22442,Audio,Passer domesticus,House Sparrow,,,"Davis, William E., Jr. E",,,,"",United States,Massachusetts,Plymouth,Manomet Center for Conservation Biology,,,,,emit distress calls,,Certain,,Captive,,4,0,50,,,,Mono,,,,,,,,,Recordist lists the recorder as a Uher 2000.,Aves,Passeriformes,Passeridae,310480
