ML Catalog #,Format,Scientific Name,Common Name,Background Species,Subtitle,Recordist,Year,Month,Day,Time,Country,State,County,Locality,Latitude,Longitude,Elevation (m),AgeSex,Behavior,Stimulus,Confidence In ID,How Identified,Captive,Specimen,Quality,Audio Quality For Video,Cut Length (s),Recorder,Microphone,Accessory,Channels,eBird Checklist ID,Air Temp (C),Water Temp (C),Habitat,Regional Habitat,Physical Feature,Public Note,Subject Note,Equipment Note,Class,Order,Family,Taxonomic Sort
137567,Audio,Larus canus,Mew Gull,,,"Vyn, Gerrit ",2007,6,2,206,United States,Alaska,Nome,"Safety Sound, about a mile beyond the bridge",,,,Unknown Age Unknown Sex (1),call,,Certain,Sight and Sound,,,5,0,28,NAGRA ARES-BB+,,,Stereo,,,,,,,,,,Aves,Charadriiformes,Laridae,41600
206484,Audio,Larus canus,Mew Gull,,,"McGuire, Bob ",2015,6,5,453,United States,Alaska,,Fairbanks. Peat ponds.,64.9102923,-147.9394913,,Unknown Age Unknown Sex (8),call,Playback Same Species,Certain,Sight and Sound,,,4,0,51,SOUND DEVICES 702,Telinga Pro 7,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Mono,,,,,,,,,Telinga Pro 7 set on mono mode.,Aves,Charadriiformes,Laridae,4314
179518,Audio,Larus canus,Mew Gull,,,"Vyn, Gerrit ",2012,6,29,"",United States,Alaska,,Yukon Delta National Wildlife Refuge; Wishbone Lake,61.3798616,-163.7745667,,,call,Natural,Certain,,,,4,0,68,MARANTZ PMD 661,Telinga Pro 6,,Stereo,,,,,,,Habitat: Tundra,Flock of at least a thousand flying overhead.,,Aves,Charadriiformes,Laridae,41600
174616,Audio,Larus canus brachyrhynchus,Mew Gull (American),,,"DeCicco, Luke ",2012,4,22,1052,United States,Alaska,Valdez-Cordova,1.5 km W of Valdez; Mineral Creek Mouth,61.13291,-146.39342,0,Adult Unknown Sex (3),call,Natural,Certain,Sight,,,4,0,45,MARANTZ PMD 661,Sennheiser MKH 20,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Mono,,10.0,,,,,Habitat: Marine shoreline,,,Aves,Charadriiformes,Laridae,41640
137584,Audio,Larus canus,Mew Gull,Numenius phaeopus -- Whimbrel,,"Vyn, Gerrit ",2007,6,3,0,United States,Alaska,Nome,Council,,,,,,,Certain,Sound,,,4,0,104,NAGRA ARES-BB+,,,Stereo,,,,Pond,,,,,,Aves,Charadriiformes,Laridae,41600
137582,Audio,Larus canus,Mew Gull,Gavia stellata -- Red-throated Loon,,"Vyn, Gerrit ",2007,6,3,0,United States,Alaska,Nome,Council,,,,,call,Natural,Certain,Sound,,,4,0,157,NAGRA ARES-BB+,,,Stereo,,,,Pond,,,,,,Aves,Charadriiformes,Laridae,41600
137557,Audio,Larus canus,Mew Gull,,,"Vyn, Gerrit ",2007,6,1,2223,United States,Alaska,Nome,Safety Sound outlet,,,,,call; fly,,Certain,Sight and Sound,,,4,0,31,NAGRA ARES-BB+,,,Stereo,,,,Marine; Bay/Harbor,,, NOTES: tiding going out.,,,Aves,Charadriiformes,Laridae,41600
136392,Audio,Larus canus brachyrhynchus,Mew Gull (American),,,"Andersen, Michael J",2007,6,3,130,United States,Alaska,Nome,1.7 km S of Council; Council Road,64.8803167,-163.68735,,,call; fly,Natural,Certain,Sight and Sound,,,4,0,844,SOUND DEVICES 744T,,,Stereo,,,,Tundra; Arctic Tundra; Pond,,, NOTES: Recorded in MS stereo along the shore of a pond on an open expanse of tundra surrounded by spruce trees near the limit of boreal forest on the Seward Peninsula.  These segments were pulled from various points in the long ambient recording LNS 136388. Sound  Devices 744T with MP2 in flat and Sennheiser MKH20 and MKH30 microphones. ,,,Aves,Charadriiformes,Laridae,41640
132251,Audio,Larus canus brachyrhynchus,Mew Gull (American),,,"Andersen, Michael J",2006,6,28,410,United States,Alaska,,Quartz Lake State Recreation Area,64.1976333,-145.8257667,310,,,Natural,Certain,Sight and Sound,,,4,0,232,SOUND DEVICES 744T,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Evergreen Forest; Coniferous Forest; Deciduous Forest; Lake,,, NOTES: These birds were recorded under natural conditions along the shoreline of Quartz Lake at the public access beach/RV camp ground.  Archived from the right channel.,,,Aves,Charadriiformes,Laridae,41640
132193,Audio,Larus canus brachyrhynchus,Mew Gull (American),,,"Vyn, Gerrit ",2006,6,28,445,United States,Alaska,,Quartz Lake State Recreation Area,64.1976333,-145.8257667,300,Adult Female (1); Adult Male (1),call; song,Natural,Certain,Sight and Sound,,,4,0,113,NAGRA ARES-BB+,,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,Forest; Evergreen Forest; Deciduous Forest; Lake,,, NOTES: Short calls with one more distant long call.,,,Aves,Charadriiformes,Laridae,41640
