ML Catalog #,Format,Scientific Name,Common Name,Background Species,Subtitle,Recordist,Year,Month,Day,Time,Country,State,County,Locality,Latitude,Longitude,Elevation (m),AgeSex,Behavior,Stimulus,Confidence In ID,How Identified,Captive,Specimen,Quality,Audio Quality For Video,Cut Length (s),Recorder,Microphone,Accessory,Channels,eBird Checklist ID,Air Temp (C),Water Temp (C),Habitat,Regional Habitat,Physical Feature,Public Note,Subject Note,Equipment Note,Class,Order,Family,Taxonomic Sort
190956,Audio,Colaptes auratus,Northern Flicker,Vireo gilvus -- Warbling Vireo; Turdus migratorius -- American Robin,,"Little, Randolph S",2013,6,7,820,United States,California,Plumas,"4.5 km N of Upper Carman Valley, about 3 miles upstream of the lower meadow",39.73,-120.477,1580,Juvenile Unknown Sex (2); Adult Unknown Sex (1),call,Natural,Certain,Sight and Sound,,,5,0,129,NAGRA LB,Sennheiser ME 67,,Mono,,,,,,,Habitat: Aspen at edge of open Jeffrey pine knoll.,Nestlings calling and being fed by adult.,,Aves,Piciformes,Picidae,106150
120406,Audio,Colaptes auratus,Northern Flicker,,,"Keller, Geoffrey A",2002,6,3,614,United States,California,Kern,25.0 km S of Highway 178; Kern River Preserve; Kelso Creek area,,,823,,call,,Certain,Sound,,,5,0,249,HHB PORTADAT PDR 1000,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,," NOTES: ""Bird was vocalizing from unknown location in grove of willow trees...",,,Aves,Piciformes,Picidae,111070
94347,Audio,Colaptes auratus,Northern Flicker,,,"Hershberger, Wilbur L",1998,5,22,1130,United States,New York,Hamilton,Ferd's Bog,43.7669444,-74.8172222,200,Adult Male (1),advertise; bill drumming; mechanical sound; song,Playback Self,Certain,Sight and Sound,,,5,0,80,SONY TCD-D10 PRO II,Sennheiser ME 62,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Wetland; Evergreen Forest; Deciduous Forest; Bog; Creek,,, NOTES: Very long cut.  , Response to playback: Approach.,,Aves,Piciformes,Picidae,111070
94346,Audio,Colaptes auratus,Northern Flicker,,,"Hershberger, Wilbur L",1998,5,22,708,United States,New York,Hamilton,Ferd's Bog,43.7669444,-74.8172222,200,Adult Male (1),advertise; bill drumming; mechanical sound; song,Natural,Certain,Sight and Sound,,,5,0,373,SONY TCD-D10 PRO II,Sennheiser ME 62,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Wetland; Evergreen Forest; Deciduous Forest; Bog; Creek,,, NOTES: Very long cut.  Sunrise at 0620 hours.  ,,,Aves,Piciformes,Picidae,111070
84808,Audio,Colaptes auratus,Northern Flicker,,,"Hershberger, Wilbur L",1997,5,11,610,United States,Maryland,Frederick,6.0 km S of Libertytown; Audrey Carroll Wildlife Sanctuary,39.4166667,-77.2083333,180,Adult Female (1); Adult Male (1),advertise; bill drumming; call; mechanical sound,Natural,Certain,Sight and Sound,,,5,0,252,SONY TCD-D10 PRO II,Sennheiser ME 62,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Deciduous Forest; Rural; Fallow Agricultural; Field,,Hedgerow," NOTES: Sony TCD-D10 Pro II HPF on, -20dB pad on.", Response to playback: No response.,,Aves,Piciformes,Picidae,111070
63098,Audio,Colaptes auratus,Northern Flicker,,,"Herr, David S",1992,6,1,700,United States,California,Sierra,3.0 km N of Sattley,39.6333333,-120.5,2010,Adult Unknown Sex (1),advertise; call,Natural,Certain,Sight,,,5,0,96,NAGRA IV-S,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Coniferous Forest,,, NOTES: Breeding status: territorial   Notes: two calls. dh on data form  BNA: The Long Call is heard.  CZ  12/03/2004.,,,Aves,Piciformes,Picidae,111070
63072,Audio,Colaptes auratus,Northern Flicker,,,"Herr, David S",1992,4,15,830,United States,Oregon,Umatilla,4.0 km SW of Tollgate; Mcdougall Rd.,45.75,-118.2,1222,Adult Male (1),advertise; bill drumming; mechanical sound,Natural,Certain,Sight,,,5,0,102,NAGRA IV-S,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Coniferous Forest,,, NOTES: Breeding status: territorial   Notes: Northern Flicker drumming - at end of cut Williamson's Sapsucker takes over the drumming post. (note written by recordist on data form)  BNA: Drumming is heard.  CZ  12/03/2004.,,,Aves,Piciformes,Picidae,111070
63068,Audio,Colaptes auratus,Northern Flicker,,,"Herr, David S",1992,4,14,1100,United States,Oregon,Umatilla,4.0 km SW of Tollgate; Mcdougall Rd.,45.75,-118.2,1222,Adult Male (1),advertise; call,Natural,Certain,Sight,,,5,0,132,NAGRA IV-S,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Coniferous Forest,,, NOTES: Breeding status: territorial   Notes: Northern Flicker primary call. (note written on data form by recordist.)  BNA: Long Call is heard.  CZ  12/03/2004.,,,Aves,Piciformes,Picidae,111070
49068,Audio,Colaptes auratus,Northern Flicker,,,"Colver, Kevin J",1990,6,15,0,United States,California,,Jones Valley,,,,,call; establish parent young contact,Natural,Not Provided,,,,5,0,119,SONY TCD-D10,,Roché Parabola 60cm/14.5cm (23.6in/5.7in),Mono,,,,Forest; Coniferous Forest,,Thicket/Brush," NOTES: (Cross Reference to Catalog #: 49066; Number of Animals and Sex: 1 adult unknown sex, ? nestlings unknown sex; Species Sound: frequent; Sound Category: nestling hunger calls; General Climate: cyclic wet-dry; General Habitat: quaking aspen grove; Temperature: 4-21¡C; Filtering: yes) LNS# 49066 for reference.  BNA: Nestling Buzzing Calls are heard along with Long Call and Peah Call.  CZ  12/03/2004.",,,Aves,Piciformes,Picidae,111070
22995,Audio,Colaptes auratus,Northern Flicker,,,"Fish, William R",1955,4,19,0,United States,California,Monterey,HASTINGS RESERVATION; MONTEREY CO.,,,,,,,Not Provided,,,,5,0,102,MAGNEMITE UNSPECIFIED MODEL,,Parabola 61cm (24in),Mono,,,,,,, NOTES: BNA: The Long Call is heard.  CZ  11/03/2004. ,,,Aves,Piciformes,Picidae,111070
