ML Catalog #,Format,Scientific Name,Common Name,Background Species,Subtitle,Recordist,Year,Month,Day,Time,Country,State,County,Locality,Latitude,Longitude,Elevation (m),AgeSex,Behavior,Stimulus,Confidence In ID,How Identified,Captive,Specimen,Quality,Audio Quality For Video,Cut Length (s),Recorder,Microphone,Accessory,Channels,eBird Checklist ID,Air Temp (C),Water Temp (C),Habitat,Regional Habitat,Physical Feature,Public Note,Subject Note,Equipment Note,Class,Order,Family,Taxonomic Sort
132185,Audio,Corvus caurinus,Northwestern Crow,,,"Vyn, Gerrit ",2006,6,26,0,United States,Alaska,,Valdez,61.1276667,-146.3375,,,call; emit alarm,Natural,Certain,Sight and Sound,,,5,0,957,NAGRA ARES-BB+,,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,,,, NOTES: SIngle bird then 25-35 birds mobbing me as I entered thicket where several birds were nesting.,,,Aves,Passeriformes,Corvidae,188830
174615,Audio,Corvus caurinus,Northwestern Crow,,,"DeCicco, Luke ",2012,4,22,1048,United States,Alaska,Valdez-Cordova,1.5 km W of Valdez; Mineral Creek Mouth,61.13291,-146.39342,0,Adult Unknown Sex (1),call; emit alarm,Natural,Certain,Sight,,,4,0,110,MARANTZ PMD 661,Sennheiser MKH 20,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Mono,,10.0,,,,,Habitat: Marine shoreline,,,Aves,Passeriformes,Corvidae,188830
136466,Audio,Corvus caurinus,Northwestern Crow,Catharus ustulatus -- Swainson's Thrush; Corvus caurinus -- Northwestern Crow; Haliaeetus leucocephalus -- Bald Eagle; Larus glaucescens -- Glaucous-winged Gull; Oceanodroma leucorhoa -- Leach's Storm-Petrel; Passerella iliaca -- Fox Sparrow; Troglodytes pacificus -- Pacific Wren; Cardellina pusilla -- Wilson's Warbler,,"Andersen, Michael J",2007,6,18,447,United States,Alaska,Sitka,Saint Lazaria Island,56.9868,-135.71255,,,call,Natural,Certain,Sound,,,4,0,2876,SOUND DEVICES 744T,,,Stereo,,,,Forest; Evergreen Forest; Coniferous Forest,,," NOTES: Flock of Corvus caurinus at dawn recorded in Sitka Spruce forest at the north end of Saint Lazaria Island in Sitka Sound, Alaska.  Recorded in 4-channel surround with a Sound Devices 744T with MP-2 with 160Hz HPF and Sennheiser MKH20/MKH30 MS pair in the front channels and MKH20s in channels 3-4 arranged in XY stereo.  This is archived in decoded MS stereo from the front two channels.  This cut is nearly a duplicate of LNS 136465.  This cut is stored on discs MJA268 (0:04-17:32), MJA269 (17:32-35:44), and MJA270(35:44-47:20).  ",,,Aves,Passeriformes,Corvidae,188830
45291,Audio,Corvus caurinus,Northwestern Crow,,,"Robbins, Mark B",1989,6,23,640,United States,Washington,Clallam,Lake Crescent,48.1,-124.35,,Adult Unknown Sex (2),call,Natural; Playback Self,Certain,Sight and Sound,,,4,0,155,SONY TCM-5000,,,Mono,,,,Rainforest; Coniferous Forest,,," NOTES: (Species Sound: frequent; Breeding Status:  Territorial; Cover Density: medium) High pass 160 Hz.  BNA: Call, but type not determined. JN 23May2005",,,Aves,Passeriformes,Corvidae,188830
18715,Audio,Corvus caurinus,Northwestern Crow,,,"Hewitt, Oliver H",1980,5,14,1400,United States,Washington,,Fort Worden State Park,,,,Unknown Age Unknown Sex (30),call; mob; scold,,Certain,Sight and Sound,,,4,0,134,SONY TC-D5,,,Mono,,,,Forest; Evergreen Forest; Coniferous Forest,,," NOTES:  Range status: NORMAL;  Breeding status: UNKNOWN;  Frequency of sound: AGITATED;  General climate: HUMID;  Cover density: THICK; MOBBING STRIX OCCIDENTALIS  Age: 30 UNKNOWN AGE; Sex: UNKNOWN   LNS Note: In the first section of this recording, C. caurinus is heard faintly in the background. JN 23May2005   BNA: Calls, probably Mobbing Call and/or Defensive Call. JN 23May2005",,,Aves,Passeriformes,Corvidae,188830
13141,Audio,Corvus caurinus,Northwestern Crow,,,"Stein, Robert C; Michener, Martin C",1958,6,25,920,United States,Washington,,Fidalgo Is;cap Sante;nw Of Anacortes,,,,,call,,Not Provided,,,,4,0,266,MAGNEMITE UNSPECIFIED MODEL,,Parabola 101.6cm (40in),Mono,,,,Forest,,," NOTES: 3 CAWS; THEN FLOCK.    LNS Note: Unbroken cut with handling noise gain change. JN 23May2005.   BNA: Calls, including Rattle and Cowp. JN 23May2005",,,Aves,Passeriformes,Corvidae,188830
193437,Audio,Corvus caurinus,Northwestern Crow,Cardellina pusilla -- Wilson's Warbler,,"Nelson, Richard ",2013,6,10,518,United States,Alaska,,Glacier Bay National Park and Preserve; Muir Inlet,58.95111,-136.09587,,,,,Not Provided,,,,3,0,217,MARANTZ PMD 661,Sennheiser MKH 20,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Mono,,,,,,,Habitat: Open Cottonwood,"Just south of Goose Cove; Crows flew into top of tall spruce tree, so could hear them scrambling in tree and then flew away.",,Aves,Passeriformes,Corvidae,188830
192183,Audio,Corvus caurinus,Northwestern Crow,Corvus corax -- Common Raven,,"Lentfer, Hank ",2013,7,24,657,United States,Alaska,,Glacier Bay National Park and Preserve; Tenakee Inlet,57.77867,-135.13275,,,call; fly,Natural,Not Provided,,,,3,0,128,MARANTZ PMD 661 MKII,Sennheiser MKH 20,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Mono,,,,,,,Crows calling while foraging in intertidal.,,,Aves,Passeriformes,Corvidae,188830
174613,Audio,Corvus caurinus,Northwestern Crow,Corvus corax -- Common Raven,,"DeCicco, Luke ",2012,4,22,903,United States,Alaska,Valdez-Cordova,Valdez; Small boat harbor,61.12783,-146.3372,0,Unknown Age Unknown Sex (2),call; mob,Natural,Certain,Sight and Sound,,,3,0,52,MARANTZ PMD 661,Sennheiser MKH 20,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Mono,,8.0,,,,,Mobbing Corvus corax. C. corax can be heard briefly in the middle of the cut.    Habitat: Marine shoreline,,,Aves,Passeriformes,Corvidae,188830
58198,Audio,Corvus caurinus,Northwestern Crow,,,"Gunn, William W. H. ",1962,5,20,0,Canada,British Columbia,,Vancouver Island; Miracle Beach Provincial Park,,,,,emit alarm; fly,,Not Provided,,,,3,0,67,NAGRA III,,Parabola 101.6cm (40in),Mono,,,,,,," NOTES: ""a number of northwestern crows heckling a raven"" (WWHG)",,,Aves,Passeriformes,Corvidae,188830
45268,Audio,Corvus caurinus,Northwestern Crow,Troglodytes pacificus -- Pacific Wren,,"Robbins, Mark B",1989,6,21,525,United States,Washington,Clallam,La Push,48.5166667,-125.05,6,,call,Natural,Certain,Sight and Sound,,,3,0,311,SONY TCM-5000,,,Mono,,,,Rainforest; Coniferous Forest,,," NOTES: (Species Sound: frequent; Cover Density: medium)   Notes on tape: ""A couple adult Northwestern Crows...one was seen feeding a young bird approximately 8 meters above the ground...The nasal call was presumably a young bird that was flying high over the canopy."" JN 23May2005  BNA: Calls, but type not determined. JN 23May2005",,,Aves,Passeriformes,Corvidae,188830
