ML Catalog #,Format,Scientific Name,Common Name,Background Species,Subtitle,Recordist,Year,Month,Day,Time,Country,State,County,Locality,Latitude,Longitude,Elevation (m),AgeSex,Behavior,Stimulus,Confidence In ID,How Identified,Captive,Specimen,Quality,Audio Quality For Video,Cut Length (s),Recorder,Microphone,Accessory,Channels,eBird Checklist ID,Air Temp (C),Water Temp (C),Habitat,Regional Habitat,Physical Feature,Public Note,Subject Note,Equipment Note,Class,Order,Family,Taxonomic Sort
206466,Audio,Oreothlypis celata,Orange-crowned Warbler,,,"McGuire, Bob ",2015,6,3,1028,United States,Alaska,,Along Alaska Rt 2 Jan Lake. ,63.5666298,-143.9156628,,Adult Male (1),song,Natural,Certain,Sight and Sound,,,5,0,140,SOUND DEVICES 702,Telinga Pro 7,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Mono,,,,,,,,,Telinga Pro 7 set on mono mode.,Aves,Passeriformes,Parulidae,27793
206459,Audio,Oreothlypis celata,Orange-crowned Warbler,,,"McGuire, Bob ",2015,6,3,556,United States,Alaska,,Along Alaska Rt 2 at Moon Lake. ,63.3784085,-143.5563755,,Adult Male (1),song,Natural,Certain,Sight and Sound,,,5,0,317,SOUND DEVICES 702,Telinga Pro 7,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Mono,,,,,,,,,Telinga Pro 7 set on mono mode.,Aves,Passeriformes,Parulidae,27793
130985,Audio,Oreothlypis celata,Orange-crowned Warbler,,,"Vyn, Gerrit ",2006,6,6,734,United States,Alaska,Fairbanks North Star,10.0 km W of Ester; Standard Creek Road,64.8059667,-148.43795,,Adult Male (1),song,Natural,Certain,Sight and Sound,,,5,0,425,NAGRA ARES-BB+,,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,Forest; Evergreen Forest; Coniferous Forest,,, NOTES: Not the same bird as 130984.,,,Aves,Passeriformes,Parulidae,276010
130984,Audio,Oreothlypis celata,Orange-crowned Warbler,,,"Vyn, Gerrit ",2006,6,6,650,United States,Alaska,Fairbanks North Star,10.0 km W of Ester; Standard Creek Road,64.8059667,-148.43795,,Adult Male (1),song,Natural,Certain,Sight and Sound,,,5,0,157,NAGRA ARES-BB+,,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,Forest; Evergreen Forest; Coniferous Forest,,,,,,Aves,Passeriformes,Parulidae,276010
111064,Audio,Oreothlypis celata,Orange-crowned Warbler,,,"Sander, Thomas G",1988,5,14,715,United States,California,Marin,Bolinas; Fairfax Rd.,,,,,song,,Certain,,,,5,0,179,NAGRA IV-S,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,, NOTES: (AOU #646. NM: Y.),,,Aves,Passeriformes,Parulidae,276010
111023,Audio,Oreothlypis celata,Orange-crowned Warbler,,,"Sander, Thomas G",1988,4,9,0,United States,California,Marin,Point Reyes National Seashore; Muddy Hollow,,,,,song,,Not Provided,,,,5,0,185,NAGRA IV-S,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,, NOTES: (AOU #646. NM: Y.) BNA: Song.,,,Aves,Passeriformes,Parulidae,276010
106680,Audio,Oreothlypis celata,Orange-crowned Warbler,Spinus sp. -- Spinus sp.; Catharus ustulatus -- Swainson's Thrush; Cyanocitta stelleri -- Steller's Jay; Melospiza melodia -- Song Sparrow; Pheucticus melanocephalus -- Black-headed Grosbeak; Zonotrichia leucophrys -- White-crowned Sparrow,,"Little, Randolph S",1995,5,30,1005,United States,Oregon,Polk,10.0 km E of Cape Perpetua; 10 km in on Yachats Loop Rd.,44.3,-124.0,20,Adult Male (1),advertise; song,Natural,Uncertain,Sight and Sound,,,5,0,237,NAGRA IV-D,,Parabola 91.4cm/30.5cm (36in/12in),Mono,,,,Forest; Evergreen Forest; Coniferous Forest; Deciduous Forest,,Second-growth,"NOTES: (Bkground sounds: Carduelis tristis? Species Sound: Frequent. Breeding Status:  Territorial; territorial paired? breeding? Gen. Climate: Humid. Gen. Hab: clearcut, starting to regenerate. Cov. Density: Med. Strata: Song perch.)                 [Twenty songs, all of the same, single-parted song type (one that is identical to that highlighted in LNS #106678).  Quality added (1-2) - CAM - 20 June 2005]",,,Aves,Passeriformes,Parulidae,27793
206487,Audio,Oreothlypis celata,Orange-crowned Warbler,,,"McGuire, Bob ",2015,6,6,1029,United States,Alaska,,Dalton Highway. South end of Chandalar Shelf.,67.7968,-149.8118,,Adult Male (1),call; song,Natural,Certain,Sight and Sound,,,4,0,81,SOUND DEVICES 702,Telinga Pro 7,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Mono,,,,,,,,,Telinga Pro 7 set on mono mode.,Aves,Passeriformes,Parulidae,27793
206467,Audio,Cardellina pusilla; Oreothlypis celata,Wilson's Warbler; Orange-crowned Warbler,,,"McGuire, Bob ",2015,6,3,1040,United States,Alaska,,Along Alaska Rt 2 Jan Lake. ,63.5666298,-143.9156628,,Adult Male (1); Adult Male (1),song,Natural,Certain,Sound,,,4,0,53,SOUND DEVICES 702,Telinga Pro 7,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Mono,,,,,,,,,Telinga Pro 7 set on mono mode.,Aves,Passeriformes,Parulidae,28091
206464,Audio,Empidonax alnorum; Oreothlypis celata,Alder Flycatcher; Orange-crowned Warbler,,,"McGuire, Bob ",2015,6,3,1015,United States,Alaska,,Along Alaska Rt 2 Jan Lake. ,63.5666298,-143.9156628,,Adult Male (1); Unknown Age Unknown Sex (1),call,Natural,Certain,Sight and Sound,,,4,0,191,SOUND DEVICES 702,Telinga Pro 7,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Mono,,,,,,,,,Telinga Pro 7 set on mono mode.,Aves,Passeriformes,Tyrannidae,14575
