ML Catalog #,Format,Scientific Name,Common Name,Background Species,Subtitle,Recordist,Year,Month,Day,Time,Country,State,County,Locality,Latitude,Longitude,Elevation (m),AgeSex,Behavior,Stimulus,Confidence In ID,How Identified,Captive,Specimen,Quality,Audio Quality For Video,Cut Length (s),Recorder,Microphone,Accessory,Channels,eBird Checklist ID,Air Temp (C),Water Temp (C),Habitat,Regional Habitat,Physical Feature,Public Note,Subject Note,Equipment Note,Class,Order,Family,Taxonomic Sort
106651,Audio,Pandion haliaetus,Osprey,Setophaga coronata -- Yellow-rumped Warbler; Poecile gambeli -- Mountain Chickadee,,"Little, Randolph S",1994,6,12,715,United States,California,,12.0 km S of Portola; Carman Valley,39.7166667,-120.4666667,1550,Adult Female (1); Adult Male (1),call; emit alarm; fly; mechanical sound; perform visual display,Natural,Certain,Sight and Sound,,,5,0,438,NAGRA IV-D,,Parabola 91.4cm/30.5cm (36in/12in),Mono,,,,Forest; Evergreen Forest; Coniferous Forest,,Second-growth, NOTES: (Species Sound:  Infrequent. Breeding Status:  Territorial Paired; breeding. Behav. Context: Annoyance. General Climate:  Arid. Cov. Density: High.), Sound stimulation was (other): my presence. ,,Aves,Accipitriformes,Pandionidae,25230
106650,Audio,Pandion haliaetus,Osprey,Empidonax oberholseri -- Dusky Flycatcher; Sitta canadensis -- Red-breasted Nuthatch,,"Little, Randolph S",1994,6,12,710,United States,California,,12.0 km S of Portola; Carman Valley,39.7166667,-120.4666667,1550,Adult Female (1); Adult Male (1),call; emit alarm; fly; mechanical sound; perform visual display,Natural,Certain,Sight and Sound,,,5,0,450,NAGRA IV-D,,Parabola 91.4cm/30.5cm (36in/12in),Mono,,,,Forest; Evergreen Forest; Coniferous Forest,,Second-growth," NOTES: (Species Sound:  Infrequent. Breeding Status:  Territorial Paired; breeding. Behav. Context: Annoyance. General Climate:  Arid. Cov. Density: High.) Nest about 30 m up in dead fir or pine snag that stood above the canopy of the second-growth conifers. Pair of adults flying around the area, landing in the nest tree and calling. One or more chicks could be heard (not seen) peeping in the nest when an adult would approach the nest tree carrying a fish.", Sound stimulation was (other): my presence. ,,Aves,Accipitriformes,Pandionidae,25230
169020,Audio,Pandion haliaetus,Osprey,,,"Medler, Matthew D",2012,6,7,746,United States,New York,Essex,Wickham Marsh Wildlife Management Area,44.533671,-73.420644,30,Adult Unknown Sex (1),call,Natural,Certain,Sight and Sound,,,4,0,435,NAGRA ARES-BB+,Telinga Pro 8,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,,,,"Calls given by an adult Osprey (Pandion haliaetus) at a nesting platform (and in flight in one segment): a single call note at the very start of the recording, series of rapidly-given whistled calls (alarm calls?), and also series of raspy calls, with the raspy calls and whistled calls interspersed in the final segment of the recording.",,,Aves,Accipitriformes,Pandionidae,22560
136252,Audio,Pandion haliaetus,Osprey,,,"Fischer, Martha J",2007,3,7,1130,United States,Florida,Miami-Dade,"Flamingo, Everglades National Park",25.1431333,-80.9247333,1,Adult Unknown Sex (1),,Natural,Certain,Sight and Sound,,,4,0,2173,NAGRA ARES-BB+,,Fiberglass Parabola 76.2cm (30in),Mono,,,,Park/Campus/Cemetery,,," NOTES: Perched bird feeding on a fish, calls infrequently during the 36 minute cut. Good vocs at beginning; very vocal at 20:00 for about three minutes.      Low cut filter on Nagra ARES-B+ was on.",,,Aves,Accipitriformes,Pandionidae,22560
105731,Audio,Pandion haliaetus,Osprey,Buteo lineatus -- Red-shouldered Hawk; Colinus virginianus -- Northern Bobwhite; Dryocopus pileatus -- Pileated Woodpecker; Myiarchus crinitus -- Great Crested Flycatcher; Lithobates grylio -- Pig Frog; Sialia sialis -- Eastern Bluebird; Sturnella magna -- Eastern Meadowlark; Thryothorus ludovicianus -- Carolina Wren,,"Keller, Geoffrey A",1996,5,5,1209,United States,Florida,Polk,35.0 km NE of Avon Park; Avon Park Bombing Range,,,30,Adult Unknown Sex (1),call; fly,Natural,Certain,Sight,,,4,0,233,UHER 4200 REPORT MONITOR,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Coniferous Forest; Lake,,, NOTES: calls from medium high flight and last set on nest site,,,Aves,Accipitriformes,Pandionidae,22560
105396,Audio,Pandion haliaetus,Osprey,Cardinalis cardinalis -- Northern Cardinal; Geothlypis trichas -- Common Yellowthroat; Pandion haliaetus -- Osprey; Setophaga americana -- Northern Parula; Polioptila caerulea -- Blue-gray Gnatcatcher; Tyrannus dominicensis -- Gray Kingbird; Vireo olivaceus -- Red-eyed Vireo,,"Keller, Geoffrey A",1994,5,13,1900,United States,Florida,Pinellas,12.0 km NW of Clearwater; Honeymoon Island State Park,,,5,Adult Unknown Sex (1); Immature Unknown Sex (1),Social context: family; call; establish parent young contact,Natural,Certain,Sight,,,4,0,291,UHER 4200 REPORT MONITOR,,,Mono,,,,Forest; Coniferous Forest,,, NOTES: calls of adult and juvenile from nest site in mature pines,,,Aves,Accipitriformes,Pandionidae,22560
61675,Audio,Pandion haliaetus,Osprey,,,"Gunn, Lucie R; Hewitt, Oliver H",1984,3,2,0,United States,Florida,,"Sanibel Island, Ding Darling Reserve",,,,Juvenile Unknown Sex (1); Adult Unknown Sex (3),Social context: family; call,,Not Provided,,,,4,0,598,,,,,,,,,,," NOTES: 3 adults & young.  1 adult carrying nesting material.  In vicinity of one nest, another not far distant.  Several types of calls; wing beats.  Recorded by Lucie Gunn.  Also: generator, traffic, mic. cable.  Needs filter.  With Ollie Hewitt.",,,Aves,Accipitriformes,Pandionidae,22560
61667,Audio,Pandion haliaetus,Osprey,,,"Gunn, William W. H. ",1962,7,20,0,Canada,Ontario,,"Sibley Provincial Park, Nearl Lizard Lake",,,,,call,,Not Provided,,,,4,0,555,NAGRA III,,,Mono,,,,,,," NOTES: Campbell Library.  Calls of an adult near nest.  wing beats.  100 ft. from nest in spruce tree.  Adult approaching nest nervously with fish, then twig.  Bkgd: comments, reflector sound, annc't.  ",,,Aves,Accipitriformes,Pandionidae,25230
4147,Audio,Pandion haliaetus,Osprey,,,"Ling, Robert G",1969,4,21,1030,United States,Massachusetts,,west bank of west branch of Westport River,41.5368735,-71.1127853,,Juvenile Unknown Sex (1),beg; call,,Not Provided,Sight and Sound,,,4,0,141,UHER 4200,,Parabola 76.2cm/25cm (30in/9.8in),Mono,,,,Wetland; Marine; Salt Marsh; River,,,"ONE IMMATURE CALLING FOR FOOD. FED BY ADULT ONCE DURING RECORDING PERIOD. SAT IN NEST, MOVING ABOUT OCCASIONALLY WITH SOME MOTION OF WINGS. RECORDING LOCATION WAS A SMALL WOODED ISLAND IN TIDAL RIVER SEPARATED FROM MAINLAND BY SALTMARSH. 3.2KM SSW OF ADAMSVILLE, RHODE ISLAND. [The location of 2 miles(3.2km) SSW of Adamsville, Rhode Island given on the original data form by Robert G. Ling is likely a misstatment as that would place the recording well away from the west bank of the west branch of the Westport River (also stated on the original data record by Ling who further describes the location as an island.  The general direction of 2 miles SSE of Adamsville, RI does place the location on the west bank of the west branch and it is this that I have used to create an approximate map position.)  G. BUDNEY 22Nov2012].",,,Aves,Accipitriformes,Pandionidae,22560
4145,Audio,Pandion haliaetus,Osprey,,,"Reynard, George B",1964,5,17,1400,United States,New Jersey,Salem,Canton; Salem County,39.45,-75.4333333,,,call; emit alarm,,Not Provided,Sight and Sound,,,4,0,42,NAGRA III-B,,Parabola 81.3cm (32in),Mono,,,,Wetland; Marine; Salt Marsh,,Edge," NOTES: HARDWOODS, EDGE OF SALT MARSH. ALARM OR DISTURBANCE, IN ACTIVE NEST AREA. THIS IS A COPY, UNFILTERED, BUT WITH DELETIONS OF SECTIONS CONTAINING PARABOLA NOISES, BLANK PERIODS, ETC. SERIES OF SHORT SHARP WHISTLES.  Sex: UNKNOWN",,,Aves,Accipitriformes,Pandionidae,22560
