ML Catalog #,Format,Scientific Name,Common Name,Background Species,Subtitle,Recordist,Year,Month,Day,Time,Country,State,County,Locality,Latitude,Longitude,Elevation (m),AgeSex,Behavior,Stimulus,Confidence In ID,How Identified,Captive,Specimen,Quality,Audio Quality For Video,Cut Length (s),Recorder,Microphone,Accessory,Channels,eBird Checklist ID,Air Temp (C),Water Temp (C),Habitat,Regional Habitat,Physical Feature,Public Note,Subject Note,Equipment Note,Class,Order,Family,Taxonomic Sort
111041,Audio,Empidonax difficilis,Pacific-slope Flycatcher,,,"Sander, Thomas G",1988,4,24,0,United States,California,Marin,Bolinas; Fairfax Rd.,,,,,song,,Not Provided,,,,5,0,130,NAGRA IV-S,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,, NOTES: (AOU #464. NM: Y.) BNA: Song.,,,Aves,Passeriformes,Tyrannidae,143800
110916,Audio,Empidonax difficilis,Pacific-slope Flycatcher,,,"Sander, Thomas G",1986,4,25,0,United States,California,,Carmel Valley; Hastings Reserve,,,,,,,Not Provided,,,,5,0,148,NAGRA IV-S,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,, NOTES: (AOU #464. NM: N.),,,Aves,Passeriformes,Tyrannidae,143800
87908,Audio,Empidonax difficilis,Pacific-slope Flycatcher,,,"Marantz, Curtis A",1996,6,29,739,United States,California,Siskiyou,Goose Nest Mountains; Klamath National Forest; Martin Dairy Campground,,,,Adult Male (1),advertise; forage; song,Natural,Certain,Sight and Sound,,,5,0,96,NAGRA IV-D,,Roché Parabola 60cm/14.5cm (23.6in/5.7in),Mono,,,,Forest; Coniferous Forest; Montane Grassland,,, NOTES: (Breeding Status:  Territorial. General Climate:  Cyclic wet-dry. Cov. Density: Med; thick.) K6 in cut position., Response to playback: Approach.,,Aves,Passeriformes,Tyrannidae,143800
50339,Audio,Empidonax difficilis,Pacific-slope Flycatcher,,,"Keller, Geoffrey A",1990,7,1,610,United States,Oregon,Coos,17.0 km SE of Powers; Eden Valley,,,1000,Adult Unknown Sex (6),advertise; call,Natural,Certain,Sound,,,5,0,131,UHER 4200 REPORT MONITOR,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Evergreen Forest; Coniferous Forest; Deciduous Forest; Stream,,Second-growth," NOTES: dawn +0.5hrs; species cut number 36.      BNA: Male Position Note: ""Pee-IST"" call. ""pee-IST"" or ""peWEAP"" or rising whistle ""pawee!"" or ""pseeyeap!""  Also Advertising Song: ""ps-SEET ptsick seet!"" or ""TSEE-weeÉpttuck-tseep"". mf",,,Aves,Passeriformes,Tyrannidae,143800
50132,Audio,Empidonax difficilis,Pacific-slope Flycatcher,,,"Keller, Geoffrey A",1990,4,29,942,United States,Oregon,Coos,17.0 km SE of Powers; Eden Valley,,,1000,Adult Male (1),call,Natural,Certain,Sound,,,5,0,65,UHER 4200 REPORT MONITOR,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Evergreen Forest; Coniferous Forest; Deciduous Forest; Stream,,Second-growth; Canyon," NOTES: dawn +3.0; species cut number 34.   BNA: Male Position Note: ""Pee-IST"" call. ""pee-IST"" or ""peWEAP"" or rising whistle ""pawee!"" or ""pseeyeap!"". mf",,,Aves,Passeriformes,Tyrannidae,143800
50130,Audio,Empidonax difficilis,Pacific-slope Flycatcher,,,"Keller, Geoffrey A",1990,4,30,732,United States,Oregon,Coos,17.0 km SE of Powers; Eden Valley,,,1000,Adult Male (1),advertise; song,Natural,Certain,Sound,,,5,0,114,UHER 4200 REPORT MONITOR,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Evergreen Forest; Coniferous Forest; Deciduous Forest; Creek,,Second-growth," NOTES: dawn +0.83; species cut number 33          BNA: Advertising Song: ""ps-SEET ptsick seet!"" or ""TSEE-weeÉpttuck-tseep"". mf",,,Aves,Passeriformes,Tyrannidae,143800
22983,Audio,Empidonax difficilis,Pacific-slope Flycatcher,,,"Fish, William R",1954,4,9,0,United States,California,Monterey,HASTINGS RESERVATION; MONTEREY CO.,,,,,,,Not Provided,,,,5,0,47,MAGNECORDER UNSPECIFIED MODEL,,Parabola 91.4cm (36in),Mono,,,,,,," NOTES: BNA: Male Position Note: ""Pee-IST"" call. ""pee-IST"" or ""peWEAP"" or rising whistle ""pawee!"" or ""pseeyeap!"". mf",,,Aves,Passeriformes,Tyrannidae,143800
7611,Audio,Empidonax difficilis,Pacific-slope Flycatcher,,,"Sutherland, Charles A",1961,7,12,900,United States,Washington,,Mount Rainier National Park,,,760,,,,Not Provided,,,,5,0,45,NAGRA III,,Parabola 91.4cm (36in),Mono,,,,Forest; Evergreen Forest; Coniferous Forest,,, NOTES:  Cover density: THICK; WET FOREST.,,,Aves,Passeriformes,Tyrannidae,143800
7600,Audio,Empidonax difficilis,Pacific-slope Flycatcher,,,"Fish, William R",1954,4,16,0,United States,California,Monterey,HASTINGS RESERVATION; SANTA LUCIA MOUNTAINS,,,,,,,Not Provided,,,,5,0,220,,,,Mono,,,,,,,,,,Aves,Passeriformes,Tyrannidae,143800
192458,Audio,Empidonax difficilis,Pacific-slope Flycatcher,,,"McGuire, Bob ",2012,4,17,1059,United States,California,,Quail Ridge Preserve,38.4807,-122.145,,Adult Unknown Sex (1),song,Natural,Certain,Sound,,,4,0,338,SOUND DEVICES 702,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,,,,,,,Aves,Passeriformes,Tyrannidae,143800
126470,Audio,Empidonax difficilis,Pacific-slope Flycatcher,,,"Sander, Thomas G",1988,4,27,600,United States,California,Marin,Marin Municipal Water District; Lagunitas Lake,,,,,song,,Not Provided,,,,4,0,368,NAGRA IV-S,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,, NOTES: BNA: Song.,,,Aves,Passeriformes,Tyrannidae,143800
126424,Audio,Empidonax difficilis,Pacific-slope Flycatcher,,,"Sander, Thomas G",1987,7,20,0,United States,California,Santa Cruz,Big Basin Redwoods State Park,,,,,,,Not Provided,,,,4,0,241,NAGRA IV-S,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,, NOTES: BNA: Song.,,,Aves,Passeriformes,Tyrannidae,143800
118835,Audio,Empidonax difficilis,Pacific-slope Flycatcher,,,"Keller, Geoffrey A",2001,5,21,524,United States,California,Sonoma,9.6 km NE of Healdsburg,,,175,,song,,Certain,Sound,,,4,0,204,HHB PORTADAT PDR 1000,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,," NOTES: ""Bird was vocalizing from unknown location from grove of oak trees...""",,,Aves,Passeriformes,Tyrannidae,143800
87907,Audio,Empidonax difficilis,Pacific-slope Flycatcher,Setophaga coronata -- Yellow-rumped Warbler,,"Marantz, Curtis A",1996,6,29,726,United States,California,Siskiyou,Goose Nest Mountains; Klamath National Forest; Martin Dairy Campground,,,,Adult Male (1),advertise; forage; song,Natural,Certain,Sight and Sound,,,4,0,88,NAGRA IV-D,,Roché Parabola 60cm/14.5cm (23.6in/5.7in),Mono,,,,Forest; Coniferous Forest; Montane Grassland,,, NOTES: (Breeding Status:  Territorial. General Climate:  Cyclic wet-dry. Cov. Density: Med; thick.) K6 in cut position., Response to playback: Approach.,,Aves,Passeriformes,Tyrannidae,143800
59788,Audio,Empidonax difficilis,Pacific-slope Flycatcher,Piranga ludoviciana -- Western Tanager; Regulus satrapa -- Golden-crowned Kinglet,,"Gunn, William W. H. ",1962,5,23,1030,Canada,British Columbia,,Vancouver Island; Miracle Beach Provincial Park,,,,,call,,Not Provided,,,,4,0,182,NAGRA III,,Parabola 101.6cm (40in),Mono,,,,,,," NOTES: ""Assorted calls: pseet pslick,peet (WWHG)",,,Aves,Passeriformes,Tyrannidae,143800
50334,Audio,Empidonax difficilis,Pacific-slope Flycatcher,,,"Keller, Geoffrey A",1990,6,24,602,United States,Oregon,Coos,40.0 km E of Coos Bay; Golden and Silver Falls St. Park,,,100,Adult Male (1),call,Natural,Certain,Sound,,,4,0,52,UHER 4200 REPORT MONITOR,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Evergreen Forest; Coniferous Forest; Deciduous Forest; Stream; Riparian,,Canyon," NOTES: dawn +0.25hrs; species cut number 35           BNA: Male Position Note: ""Pee-IST"" call. ""pee-IST"" or ""peWEAP"" or rising whistle ""pawee!"" or ""pseeyeap!"". mf",,,Aves,Passeriformes,Tyrannidae,143800
44957,Audio,Empidonax difficilis,Pacific-slope Flycatcher,,,"Keller, Geoffrey A",1989,6,17,728,United States,Oregon,Coos,8.0 km S of Charleston; South Slough Sanctuary,,,25,Adult Male (1),advertise; call,Natural,Certain,Sound,,,4,0,231,UHER 4200 REPORT MONITOR,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Coniferous Forest,,," NOTES: dawn +1.75hrs; species cut number 21           BNA: Advertising Song: ""ps-SEET ptsick seet!"" or ""TSEE-weeÉpttuck-tseep"". mf",,,Aves,Passeriformes,Tyrannidae,143800
44956,Audio,Empidonax difficilis,Pacific-slope Flycatcher,,,"Keller, Geoffrey A",1989,6,17,657,United States,Oregon,Coos,8.0 km S of Charleston; South Slough Sanctuary,,,25,Adult Male (1),advertise; call,Natural,Certain,Sound,,,4,0,176,UHER 4200 REPORT MONITOR,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Coniferous Forest,,," NOTES: dawn +1.25hrs; species cut number 20       BNA: Advertising Song: ""ps-SEET ptsick seet!"" or ""TSEE-weeÉpttuck-tseep"". mf",,,Aves,Passeriformes,Tyrannidae,143800
44900,Audio,Empidonax difficilis,Pacific-slope Flycatcher,,,"Keller, Geoffrey A",1989,5,6,649,United States,Oregon,,"",,,,Adult Unknown Sex (1),,Natural,Certain,Sound,,,4,0,188,UHER 4200 REPORT MONITOR,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Evergreen Forest; Coniferous Forest; Deciduous Forest; Stream,,," NOTES: dawn +0.50hrs;species cut number 19; location and bio/behavior same as GAK89-11-06     BNA: Advertising Song: ""ps-SEET ptsick seet!"" or ""TSEE-weeÉpttuck-tseep"". Could be Dawn Song. mf",,,Aves,Passeriformes,Tyrannidae,143800
