ML Catalog #,Format,Scientific Name,Common Name,Background Species,Subtitle,Recordist,Year,Month,Day,Time,Country,State,County,Locality,Latitude,Longitude,Elevation (m),AgeSex,Behavior,Stimulus,Confidence In ID,How Identified,Captive,Specimen,Quality,Audio Quality For Video,Cut Length (s),Recorder,Microphone,Accessory,Channels,eBird Checklist ID,Air Temp (C),Water Temp (C),Habitat,Regional Habitat,Physical Feature,Public Note,Subject Note,Equipment Note,Class,Order,Family,Taxonomic Sort
192423,Audio,Troglodytes pacificus,Pacific Wren,,,"McGuire, Bob ",2012,4,14,733,United States,California,,Point Reyes National Seashore,37.9301,-122.7362,,Adult Male (1),song,Natural,Certain,Sight and Sound,,,5,0,154,SOUND DEVICES 702,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,,,,,,,Aves,Passeriformes,Troglodytidae,209290
119457,Audio,Troglodytes pacificus [pacificus Group],Pacific Wren (pacificus Group),,,"Keller, Geoffrey A",2002,3,23,823,United States,Oregon,,South Slough Marine Estuarine Research Reserve,,,,,call,Pish,Certain,Sight,,,5,0,259,HHB PORTADAT PDR 1000,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,," NOTES: ""Scold and regular call notes... Bird was vocalizing from brush pile... Scold was in response to pishing.""",,,Aves,Passeriformes,Troglodytidae,21239
119456,Audio,Troglodytes pacificus [pacificus Group],Pacific Wren (pacificus Group),,,"Keller, Geoffrey A",2002,3,23,810,United States,Oregon,,South Slough Marine Estuarine Research Reserve,,,,,call,,Certain,Sight,,,5,0,82,HHB PORTADAT PDR 1000,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,," NOTES: ""Bird was vocalizing on ground as well as understory under large Sitka Spruce tree... Area contained sword ferns and thimbleberry.""",,,Aves,Passeriformes,Troglodytidae,21239
110970,Audio,Troglodytes pacificus [pacificus Group],Pacific Wren (pacificus Group),,,"Sander, Thomas G",1987,5,5,0,United States,California,Santa Cruz,Big Basin Redwoods State Park,,,,,,,Not Provided,,,,5,0,196,NAGRA IV-S,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,, NOTES: (AOU #722.) BNA: Song. Perched in redwood tree. This is recorded on half-track mono.  M+LFA.,,,Aves,Passeriformes,Troglodytidae,21239
109126,Audio,Troglodytes pacificus [pacificus Group],Pacific Wren (pacificus Group),Patagioenas fasciata -- Band-tailed Pigeon; Corvus corax -- Common Raven; Troglodytes pacificus -- Pacific Wren,,"Keller, Geoffrey A",2000,4,8,800,United States,Oregon,Coos,"8.0 km E of Coos Bay, Blue ridge Rd",,,230,Adult Male (1),advertise; song,Natural,Certain,Sound,,,5,0,609,HHB PORTADAT PDR 1000,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest,,Second-growth, NOTES:           ,,,Aves,Passeriformes,Troglodytidae,21239
50129,Audio,Troglodytes pacificus [pacificus Group],Pacific Wren (pacificus Group),Empidonax difficilis -- Pacific-slope Flycatcher,,"Keller, Geoffrey A",1990,4,30,623,United States,Oregon,Coos,17.0 km SE of Powers; Eden Valley,,,1000,Adult Male (1),advertise; song,Natural,Certain,Sound,,,5,0,287,UHER 4200 REPORT MONITOR,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Evergreen Forest; Coniferous Forest; Deciduous Forest,,Second-growth, NOTES: dawn -0.33; species cut number 48 BNA: Song.,,,Aves,Passeriformes,Troglodytidae,21239
42201,Audio,Troglodytes pacificus [pacificus Group],Pacific Wren (pacificus Group),,,"Keller, Geoffrey A",1988,5,22,545,United States,Oregon,Coos,7.0 km S of Charleston; South Slough Sanctuary,,,30,Adult Unknown Sex (1),song,Natural,Certain,Sound,,,5,0,213,UHER 4200 REPORT IC,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Coniferous Forest,,," NOTES: BNA: Song. LNS NOTE: Unbroken cut with internal recordist announcement/handling noise gain change (MJA, 18 April 2005).",,,Aves,Passeriformes,Troglodytidae,21239
42192,Audio,Troglodytes pacificus [pacificus Group],Pacific Wren (pacificus Group),Haemorhous purpureus -- Purple Finch; Corvus brachyrhynchos -- American Crow; Troglodytes pacificus -- Pacific Wren,,"Keller, Geoffrey A",1988,5,22,545,United States,Oregon,Coos,7.0 km S of Charleston; South Slough Sanctuary,,,30,Adult Unknown Sex (1),song,Natural,Certain,Sound,,,5,0,421,UHER 4200 REPORT IC,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Evergreen Forest; Coniferous Forest,,Second-growth," NOTES: BNA: Song. LNS NOTE: Unbroken cut with internal recordist announcement/handling noise gain change (MJA, 18 April 2005).",,,Aves,Passeriformes,Troglodytidae,21239
195202,Audio,Troglodytes pacificus,Pacific Wren,,,"Nelson, Richard ",2013,9,13,1510,United States,Alaska,,Gustavus Forelands,58.45619,-135.86786,,,call,,Not Provided,,,,4,0,130,MARANTZ PMD 661,Sennheiser MKH 20,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Mono,,,,,,,Habitat: Herbaceous,,,Aves,Passeriformes,Troglodytidae,209290
195045,Audio,Troglodytes pacificus,Pacific Wren,,,"McGuire, Bob ",2012,5,1,634,United States,Washington,,3.0 km N of Aberdeen,47.0493,-123.817,,Adult Male (1),song,Natural,Certain,Sight and Sound,,,4,0,578,SOUND DEVICES 702,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,,,,,,,Aves,Passeriformes,Troglodytidae,209290
