ML Catalog #,Format,Scientific Name,Common Name,Background Species,Subtitle,Recordist,Year,Month,Day,Time,Country,State,County,Locality,Latitude,Longitude,Elevation (m),AgeSex,Behavior,Stimulus,Confidence In ID,How Identified,Captive,Specimen,Quality,Audio Quality For Video,Cut Length (s),Recorder,Microphone,Accessory,Channels,eBird Checklist ID,Air Temp (C),Water Temp (C),Habitat,Regional Habitat,Physical Feature,Public Note,Subject Note,Equipment Note,Class,Order,Family,Taxonomic Sort
191163,Audio,Dryocopus pileatus,Pileated Woodpecker,Seiurus aurocapilla -- Ovenbird,,"Hershberger, Wilbur L",2012,5,31,1959,United States,West Virginia,Berkeley,Sleepy Creek Wildlife Management Area,39.488773,-78.103595,183,Adult Male (1),advertise; mechanical sound,Natural,Certain,Sight and Sound,,,5,0,119,SOUND DEVICES 702,Telinga Pro 7,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,23.0,,,,,Habitat: Yard,,Telinga Stereo HPF on,Aves,Piciformes,Picidae,106940
190889,Audio,Dryocopus pileatus,Pileated Woodpecker,,,"Rivas Fuenzalida, Francisco ",2014,6,13,610,United States,California,Sierra,Haskell Peak Road,39.6424561,-120.60662,,Adult Female (1); Adult Male (1); Juvenile Unknown Sex (1),beg; call; forage; mechanical sound,Natural,Certain,Sight and Sound,,,5,0,5934,TASCAM HD-P2,Sennheiser MKH 8070,,Mono,,,,,,,,,,Aves,Piciformes,Picidae,111930
119461,Audio,Dryocopus pileatus,Pileated Woodpecker,,,"Keller, Geoffrey A",2002,3,24,800,United States,Oregon,,8.0 km E of Coos Bay; Blue Ridge Road,,,,Adult Female (1); Adult Male (1),,,Certain,Sight,,,5,0,1215,HHB PORTADAT PDR 1000,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,," NOTES: ""Bird was vocalizing from a couple of snags on slope containing saplings of Douglas Fir and Red Alder trees...""                [This exceptionally long recording contains a series of ""Wuk"" Calls (following BNA) at 0:16-0:30 and ""songs"", described on p. 420 of Short [1982. Woodpeckers of the World. Delaware Mus. Nat. Hist. 4:1-676] as fast Wuk Series Calls, at 8:25, 9:10 (distant bird in background), and 20:06.  By contrast, series of calls at 8:07-8:26, 9:45-9:53, 10:01-10:05, 10:18-10:21, 10:59, 11:10-11:15, 11:22-11:25, 11:35-11:39, 11:45-11:48, 11:49-11:52, 15:18-15:20, and 15:51-15:53 instead represent the ""Wok"" Call of Short 1982 (also p. 420).  Tapping is scattered almost throughout recording, with the best examples at 10:35-10:48 and 14:02-14:37, and there is some wing rustling at 18:14-18:16 and 19:26-19:28 when bird made brief flights.  There appear to be ""cryptic"" stop-starts at 5:26 and 12:57.  Quality changed from 1 to 2, 1-2 (the songs at 8:25 and 20:06 are the only parts in this recording even approaching quality 1) - CAM - 6 May 2005]",,,Aves,Piciformes,Picidae,111930
63085,Audio,Dryocopus pileatus,Pileated Woodpecker,,,"Herr, David S",1992,5,9,750,United States,Oregon,Deschutes,32.0 km NW of La Pine; Little Cultus Lake,43.7,-122.8666667,1370,Adult Male (1),bill drumming; mechanical sound; scold,Playback Same Species,Certain,Sight,,,5,0,853,NAGRA IV-S,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Coniferous Forest,,," NOTES: response to playback: drumming      Breeding status: territorial       Cut 29A = 7:38     Cut29B = 6:30         Notes: Played pileated call - this bird resonded flew to my location, gave a few calls I could not record and started drumming from top of Ponderosa snag - entire tape drumming.            BNA: Drumming is heard throughout the recording.  CZ  10/03/2004.     [Twenty-nine examples of the Drum.  There may be a ""cryptic"" stop-start at 10:21.  Quality changed from 1 to 1-2, 2-1 (the part at 7:42-8:44 has more background noise than the rest, but most of this approaches quality 1 - BEST part is at 9:40-11:30) - CAM - 9 May 2005]", Response to playback: Approach.,,Aves,Piciformes,Picidae,111930
191184,Audio,Dryocopus pileatus,Pileated Woodpecker,,,"Hershberger, Wilbur L",2012,6,10,2015,United States,West Virginia,Berkeley,Burnt Mill Road,39.644326,-78.08955,182,Adult Male (1),advertise; mechanical sound,Natural,Certain,Sight and Sound,,,4,0,50,SOUND DEVICES 702,Telinga Pro 7,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,14.0,,,,,Habitat: Deciduous forest,Drumming of Pileated Woodpecker.,Telinga Stereo HPF on,Aves,Piciformes,Picidae,106940
105732,Audio,Dryocopus pileatus,Pileated Woodpecker,Buteo lineatus -- Red-shouldered Hawk; Dryocopus pileatus -- Pileated Woodpecker; Melanerpes carolinus -- Red-bellied Woodpecker; Myiarchus crinitus -- Great Crested Flycatcher; Setophaga americana -- Northern Parula; Lithobates grylio -- Pig Frog,,"Keller, Geoffrey A",1996,5,5,1257,United States,Florida,Polk,35.0 km NE of Avon Park; Avon Park Bombing Range,,,30,Adult Male (1),advertise; bill drumming; call; mechanical sound,Natural,Certain,Sight,,,4,0,50,UHER 4200 REPORT MONITOR,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Swamp,,," NOTES: call and drum from unknown location in cypress swamp; call is rather poor quality, drum is fair                [One ""song"" described on p. 420 of Short [1982. Woodpeckers of the World. Delaware Mus. Nat. Hist. 4:1-676] as a fast Wuk Series Call (0:07), and one Drum (0:27).  Quality changed from ""P to F"" to 2 - CAM - 6 May 2005]",,,Aves,Piciformes,Picidae,111930
102016,Audio,Dryocopus pileatus,Pileated Woodpecker,,,"Serafin, Lauren A",2002,6,5,621,United States,California,,12.0 km S of Portola; Carman Valley,39.43,-120.28,1550,Juvenile Unknown Sex (2),Social context: family; bill drumming; call; emit alarm; mechanical sound,Natural,Certain,Sight and Sound,,,4,0,508,HHB PORTADAT PDR 1000,,,Mono,,,,Forest; Coniferous Forest,,," NOTES: [These vocalizations represent primarily the ""Wuk"" Call of BNA, in this case given as an alarm call near a nest.  I further suspect the soft, squeaking calls (e.g., 4:455-4:515) were given by the nestlings.  Three Drums are also heard (1:51, 3:27, 3:48).  Quality changed from 1 to 2, 1-2 (BEST after 3:27) - CAM - 5 May 2005]",,,Aves,Piciformes,Picidae,111930
69265,Audio,Dryocopus pileatus,Pileated Woodpecker,,,"Budney, Gregory F",1981,7,6,1046,United States,New York,Tompkins,Ithaca; Cornell Laboratory of Ornithology,,,,Immature Unknown Sex (1),call; mechanical sound,Natural,Certain,Sight and Sound,,,4,0,583,NAGRA III-B,,,Mono,,,,,,," NOTES: Captive bird.     Recordist's note on data form: This bird had been brought into the Lab and was being hand reared by Helen Lapham, the CLO librarian at the time.                        [These are the somewhat buzzy, grating calls and fluttering wings of a captive ""nestling.""  Quality added (2, 1-2) - CAM - 10 May 2005]",,,Aves,Piciformes,Picidae,111930
63121,Audio,Dryocopus pileatus,Pileated Woodpecker,,,"Herr, David S",1992,6,19,1230,United States,Oregon,Wallowa,19.0 km N of Wallowa,45.7333333,-117.5333333,1300,Immature Female (1),beg; call,Natural,Certain,Sight,,,4,0,39,NAGRA IV-S,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Coniferous Forest,,," NOTES: Notes: same set-up as 92-26-2. Cut is full juvenile call.        BNA: Rasping Begging calls as well as ""Wuk"" calls are heard.  CZ  10/03/2004.           [Agreed, these are the rasping/buzzy calls of nestlings combined with ""Wuk"" Calls that, based on notes above, appear to have been given by the juvenile.   I am not sure whether the song or fast ""Wuk Series Call"" at 0:30 (see p. 420 of Short, L. L. 1982. Woodpeckers of the World. Delaware Mus. Nat. Hist. 4:1-676), was given by the juvenile or an adult, but all of this seems to have been given by the same individual.  Quality changed from 1 to 1-2 - CAM - 9 May 2005]",,,Aves,Piciformes,Picidae,111930
63120,Audio,Dryocopus pileatus,Pileated Woodpecker,,,"Herr, David S",1992,6,19,945,United States,Oregon,Wallowa,19.0 km N of Wallowa,45.7333333,-117.5333333,1300,Juvenile Female (1),beg; call; establish parent young contact; song,Natural,Certain,Sight,,,4,0,297,NAGRA IV-S,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Coniferous Forest,,," NOTES: Breeding status: breeding       Notes: parabola set under nest hole approx. 25 m. in a larch snag. 200' cable to recorder. dh on data form.      BNA: Rasping Begging calls are heard as well as ""Wuk Calls"" .  CZ  10/03/2004.    [Agreed, these are mostly the rasping/buzzy calls of the nestlings combined with ""Wuk"" Calls that were presumably given by the adult.   I am relatively certain that the songs or fast ""Wuk Series Calls"" at 1:06, 2:11, and 3:23, the latter in the background (see p. 420 of Short, L. L. 1982. Woodpeckers of the World. Delaware Mus. Nat. Hist. 4:1-676), were given by an adult bird.  The BEST begging calls are at 3:15-4:45.  There is either a food pass or a ""cryptic"" stop-start at 4:25, but it is difficult to determine which.  Quality changed from 2 to 2-1 - CAM - 9 May 2005]",,,Aves,Piciformes,Picidae,111930
