ML Catalog #,Format,Scientific Name,Common Name,Background Species,Subtitle,Recordist,Year,Month,Day,Time,Country,State,County,Locality,Latitude,Longitude,Elevation (m),AgeSex,Behavior,Stimulus,Confidence In ID,How Identified,Captive,Specimen,Quality,Audio Quality For Video,Cut Length (s),Recorder,Microphone,Accessory,Channels,eBird Checklist ID,Air Temp (C),Water Temp (C),Habitat,Regional Habitat,Physical Feature,Public Note,Subject Note,Equipment Note,Class,Order,Family,Taxonomic Sort
176161,Audio,Spinus pinus,Pine Siskin,Sialia sialis -- Eastern Bluebird,,"Keller, Geoffrey A",2009,2,15,826,United States,Indiana,Brown,"3.0 km NE of Nashville; ""Frog Ranch""",39.2132295,-86.2079573,,,call; song,,Certain,,,,5,0,250,HHB PORTADAT PDR 1000,Sennheiser MKH 106,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,,,Flock,,Aves,Passeriformes,Fringillidae,307280
201717,Audio,Spinus pinus,Pine Siskin,,,"Mundinger, Paul C",1971,3,,"",,,,"",,,,,call,,Certain,,Captive,,4,0,2000,,,,Mono,,,,,,,"Tape 71-3, Side A.    Box notes:  71-3, Pine Siskin.  Redpoll * x Pine Siskin.",,,Aves,Passeriformes,Fringillidae,322430
176160,Audio,Spinus pinus,Pine Siskin,,,"Keller, Geoffrey A",2009,2,4,851,United States,Indiana,Brown,"3.0 km NE of Nashville; ""Frog Ranch""",39.2132295,-86.2079573,,Adult Unknown Sex (1),call,,Certain,,,,4,0,194,HHB PORTADAT PDR 1000,Sennheiser MKH 106,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,,,,,Aves,Passeriformes,Fringillidae,307280
171648,Audio,Spinus pinus,Pine Siskin,,,"Mundinger, Paul C",1969,6,4,1120,United States,New York,Bronx,"Bronx Zoo. Institute for Research in Animal Behavior (IRAB) facility in ""Bay Tree house recording area""",40.8511278,-73.8720542,,Adult Male (1),call; song,,Certain,,Captive,,4,0,575,,,,Mono,,,,,,,"Data on paper forms available as PDF.  Mundinger wrote down Wollensak counter numbers in reference to what was happening on tape. The only edits I made were changes in amplitude. mf    Counter number 0 = 0:04 from beginning of ML specimen. Counters 0-17 = 0:04-0:52: recordist info about this tape, including statement that he was recording ""hybrid siskin pair"" that consisted of a male S. pinus orange orange and female S. spinus red red. This specimen is recordings of the male S. pinus.  Counter 46-50 = 2:11-2:21: ""I'm going to catch up the female and take five minutes of recordings once he has seen and heard the female...""   Counter 178-187 = 7:18-7:38: ""...The female wasn't very active...Stop for the time being until we get a bout of flight calls or he is removed."" Recording of the male ends here as he removes the male in order to record the female S. spinus (see ML 171649.)",,Wollensak recorder and microphone.,Aves,Passeriformes,Fringillidae,307280
171602,Audio,Spinus pinus,Pine Siskin,,,"Mundinger, Paul C",1968,3,18,1545,United States,New York,Bronx,Bronx Zoo; Institute for Research in Animal Behavior (IRAB) facility,40.8511278,-73.8720542,,,,,Certain,,Captive,,4,0,690,,,,Mono,,,,,,,"This recording contains all of the audio recorded on tape 68-13B; Mundinger wrote down Wollensak counter numbers in reference to what was happening on tape. The only edits I made were increases in amplitude. mf   Counter number 1 = 0:04 from beginning of specimen: ""I'm sitting watching the pine siskins ... at about 3:45. End of the recording on March 18 at Wollensak meter 398"" (7"" reel).  Counter 190 = 6:21 from beginning: ""March 20th at 1 o'clock those were short flight call given by orange yellow male...""  Counter ~240 = 7:58 from beginning: ""flight calls by orange yellow male had begun when female flew up to a perch...""  Audio ends at counter number 399.",,Wollensak recorder and microphone.,Aves,Passeriformes,Fringillidae,307280
169864,Audio,Spinus pinus,Pine Siskin,,,"Mundinger, Paul C",1967,1,22,1635,United States,New York,Bronx,Bronx Zoo; Institute for Research in Animal Behavior (IRAB) facility,40.8511278,-73.8720542,,Adult Female (1),call; fly,,Certain,,Captive,,4,0,156,,,,Mono,,,,,,,Data are available in PDF.,purple female isolated in sound chamber. two kinds of social calls. flight calls.,equipment unknown.,Aves,Passeriformes,Fringillidae,307280
163369,Audio,Spinus pinus,Pine Siskin,,,"Medler, Matthew D",2012,4,12,1028,United States,New York,St. Lawrence,Massawepie Mire,44.23056,-74.69152,470,Unknown Age Unknown Sex (1),call; song,Natural,Certain,Sound,,,4,0,190,NAGRA ARES-BB+,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,,,,,,,Aves,Passeriformes,Fringillidae,307280
133397,Audio,Spinus pinus,Pine Siskin,,,"Fischer, Martha J",2007,7,3,0,Canada,Newfoundland and Labrador,,10.0 km NE of Deer Lake; Newfoundland,49.3698667,-57.3961167,,Adult Male (1),advertise; call; song,Natural,Certain,Sight and Sound,,,4,0,95,NAGRA ARES-BB+,,,Mono,,,,Forest; Coniferous Forest,,Second-growth,,,,Aves,Passeriformes,Fringillidae,307280
133352,Audio,Spinus pinus,Pine Siskin,,,"Keller, Geoffrey A",2007,7,2,843,Canada,Newfoundland and Labrador,,15.0 km S of Plum Point; Newfoundland,,,,Adult Male (1),advertise; call; song,Natural,Certain,Sight and Sound,,,4,0,127,HHB PORTADAT PDR 1000,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Coniferous Forest; Deciduous Forest,,Second-growth,,,,Aves,Passeriformes,Fringillidae,307280
120288,Audio,Spinus pinus,Pine Siskin,,,"Keller, Geoffrey A",2002,5,31,1129,United States,California,,Inyo National Forest; Gardinsky Lake Trailhead,,,2900,,song,,Certain,Sight,,,4,0,172,HHB PORTADAT PDR 1000,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,," NOTES: ""Bird was vocalizing from lower portion of large Lodgepole Pine tree...""",,,Aves,Passeriformes,Fringillidae,307280
