ML Catalog #,Format,Scientific Name,Common Name,Background Species,Subtitle,Recordist,Year,Month,Day,Time,Country,State,County,Locality,Latitude,Longitude,Elevation (m),AgeSex,Behavior,Stimulus,Confidence In ID,How Identified,Captive,Specimen,Quality,Audio Quality For Video,Cut Length (s),Recorder,Microphone,Accessory,Channels,eBird Checklist ID,Air Temp (C),Water Temp (C),Habitat,Regional Habitat,Physical Feature,Public Note,Subject Note,Equipment Note,Class,Order,Family,Taxonomic Sort
195714,Audio,Haemorhous purpureus,Purple Finch,,,"McGuire, Bob ",2012,6,15,604,United States,New York,Ulster,Slide Mountain summit,41.9989,-74.3874,,Adult Unknown Sex (1),song,Natural,Certain,Sight and Sound,,,5,0,166,SOUND DEVICES 702,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,,,,,,,Aves,Passeriformes,Fringillidae,305940
119470,Audio,Haemorhous purpureus,Purple Finch,,,"Keller, Geoffrey A",2002,4,7,857,United States,Oregon,Coos,4.8 km NW of Coos Bay; on the North Spit,,,3,,song,,Certain,Sight,,,5,0,250,HHB PORTADAT PDR 1000,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,," NOTES: ""Bird was vocalizing from very top of Shore Pine tree... Area contained wax myrtle and black huckleberry, in addition to Shore Pines.""",,,Aves,Passeriformes,Fringillidae,305940
50343,Audio,Haemorhous purpureus,Purple Finch,,,"Keller, Geoffrey A",1990,7,4,539,United States,Oregon,Coos,13.0 km SW of Coos Bay; South Slough Sanctuary,,,10,Adult Unknown Sex (6),advertise; song,Natural,Certain,Sound,,,5,0,225,UHER 4200 REPORT MONITOR,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Wetland; Evergreen Forest; Coniferous Forest; Deciduous Forest,,Edge, NOTES: dawn -0.1hrs; species cut number 40  BNA: The Territory Song is heard.  CZ 29/07/2004.,,,Aves,Passeriformes,Fringillidae,305940
12939,Audio,Haemorhous purpureus,Purple Finch,,,"Allen, Arthur A; Kellogg, Peter Paul ",1951,6,15,0,United States,New York,Tompkins,Ithaca; Cornell Laboratory of Ornithology,,,,,song,,Not Provided,,,,5,0,402,,,Parabola (Unknown Diameter/Focal Length),Mono,,,,,,, NOTES: CONTINUATION OF LNS 12938. 16 SONGS AND SOME SHORT SONGS. USED PART IN 'AMERICAN BIRD SONGS' VOL. I. ALSO RRN 51-37-5 THROUGH 7. Other recordist(s): ALLEN D.G.;   BNA: The Territory Song  with elements of vocal mimicry is heard.  There is a nice example of an Eastern Bluebird and Eastern Phoebe being mimicked (at 58 sec). A robin may also be mimicked. CZ  27/07/2004.,Same subject(s) as LNS 12938. ,,Aves,Passeriformes,Fringillidae,305940
12938,Audio,Haemorhous purpureus,Purple Finch,Spizella passerina -- Chipping Sparrow,,"Allen, Arthur A; Kellogg, Peter Paul ",1951,6,15,0,United States,New York,Tompkins,Ithaca; Cornell Laboratory of Ornithology,,,,,song,,Not Provided,,,,5,0,244,,,Parabola (Unknown Diameter/Focal Length),Mono,,,,,,, NOTES: SHORT SONG - NO 'PHOEBE' NOTE. USED PART IN 'AMERICAN BIRD SONGS' VOL. I. ALSO RRN 51-37-5 THROUGH 7. Other recordist(s): ALLEN D.G.;   BNA: The Territory Song as well as vocal mimicry is heard.  There is a nice example of an Eastern Bluebird nd Eastern Phoebe being mimicked (at 22 sec and 1:12). A robin may also be mimicked. CZ  27/07/2004.,Same subject(s) as LNS 12939. ,,Aves,Passeriformes,Fringillidae,305940
197050,Audio,Haemorhous purpureus purpureus,Purple Finch (Eastern),Coccothraustes vespertinus -- Evening Grosbeak; Cyanocitta cristata -- Blue Jay; Troglodytes hiemalis -- Winter Wren; Sphyrapicus varius -- Yellow-bellied Sapsucker; Setophaga coronata coronata -- Yellow-rumped Warbler (Myrtle); Seiurus aurocapilla -- Ovenbird,,"McGuire, Bob ",2011,5,7,700,Canada,Ontario,,Algonquin Provincial Park; Achray Campground,45.8683776,-77.7481842,,Adult Male (1),song,Natural,Certain,Sight and Sound,,,4,0,44,SOUND DEVICES 702,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,,,,,,,Aves,Passeriformes,Fringillidae,320870
188840,Audio,Haemorhous purpureus,Purple Finch,,,"McGuire, Bob ",2013,6,10,749,United States,New York,,Town of North Elba; Connery Pond,44.3065,-73.9377,,Adult Unknown Sex (1),song,Natural,Certain,Sound,,,4,0,159,SOUND DEVICES 702,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,,,,,,,Aves,Passeriformes,Fringillidae,305940
136599,Audio,Haemorhous purpureus,Purple Finch,,,"Stein, Robert C; Angstadt, Robert B",1961,5,27,"",United States,California,,3.0 km E of Yosemite National Park; Crane Flat,,,2160,,song,,Not Provided,,,,4,0,124,NAGRA III-B,,Parabola 101.6cm (40in),Mono,,,,,,,"The basic data for this record was copied from ML 12943, which is from the same recordist, date and location.",,,Aves,Passeriformes,Fringillidae,320860
125342,Audio,Haemorhous purpureus,Purple Finch,,,"Sander, Thomas G",1988,3,27,0,United States,California,Marin,Devil's Gulch,,,,,,,Not Provided,,,,4,0,45,UHER UNSPECIFIED MODEL,,Sony PBR-330 Parabola 32.8cm/6.5cm(12.9in/2.6in),Mono,,,,,,,,,,Aves,Passeriformes,Fringillidae,305940
119466,Audio,Haemorhous purpureus,Purple Finch,,,"Keller, Geoffrey A",2002,3,31,652,United States,California,Del Norte,8.0 km N of Crescent City; Lake Earl Wildlife Management Area,,,3,,mimicry; song,,Certain,Sight,,,4,0,665,HHB PORTADAT PDR 1000,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,7.0,,,,," NOTES: ""Bird was vocalizing from very top of Sitka Spruce tree... Area contained willows, Sitka Spruce, and Shore Pine.""",,,Aves,Passeriformes,Fringillidae,305940
