ML Catalog #,Format,Scientific Name,Common Name,Background Species,Subtitle,Recordist,Year,Month,Day,Time,Country,State,County,Locality,Latitude,Longitude,Elevation (m),AgeSex,Behavior,Stimulus,Confidence In ID,How Identified,Captive,Specimen,Quality,Audio Quality For Video,Cut Length (s),Recorder,Microphone,Accessory,Channels,eBird Checklist ID,Air Temp (C),Water Temp (C),Habitat,Regional Habitat,Physical Feature,Public Note,Subject Note,Equipment Note,Class,Order,Family,Taxonomic Sort
166693,Audio,Sitta canadensis,Red-breasted Nuthatch,Poecile gambeli [baileyae Group] -- Mountain Chickadee (Sierra Nevada); Regulus satrapa -- Golden-crowned Kinglet; Piranga ludoviciana -- Western Tanager,,"McGowan, Jay W",2012,6,10,805,United States,California,Sierra,12.0 km S of Portola; Carman Valley,39.6961601,-120.4503411,,Unknown Age Unknown Sex (2),call,Other; Pish,Certain,Sight and Sound,,,4,0,168,NAGRA ARES-BB+,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,,,,Nuthatch and other birds agitated after my pishing and imitation of a pygmy-owl.,After imitation of Northern Pygmy-Owl,,Aves,Passeriformes,Sittidae,204500
143991,Audio,Sitta canadensis,Red-breasted Nuthatch,Piranga ludoviciana -- Western Tanager,,"Little, Randolph S",2001,5,28,825,United States,California,Sierra,6.0 km NW of Sattley; ridge SE above Beartrap Meadow,39.6386111,-120.4955556,2232,Adult Unknown Sex (1),bill drumming; call; emit alarm; mate; mechanical sound,Natural,Certain,Sight and Sound,,,4,0,116,NAGRA IV-D,Sennheiser MKH 404,Parabola 91.4cm/30.5cm (36in/12in),Mono,,,,Forest; Evergreen Forest; Coniferous Forest; Montane Grassland,,,,,,Aves,Passeriformes,Sittidae,204500
120428,Audio,Sitta canadensis,Red-breasted Nuthatch,,,"Keller, Geoffrey A",2002,6,7,724,United States,California,Sierra,Yuba Pass; Webber Lake Road,,,2070,,song,,Certain,Sight,,,4,0,70,HHB PORTADAT PDR 1000,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,," NOTES: ""Bird was vocalizing from several locations in large fir tree... Bird was about 1/3 of the way up.""",,,Aves,Passeriformes,Sittidae,204500
119424,Audio,Sitta canadensis,Red-breasted Nuthatch,,,"Keller, Geoffrey A",2001,5,30,835,United States,California,Tulare,30.6 km NW of Kernville; Sequoia National Forest; Trail of One Hundred Giants,,,2070,Adult Unknown Sex (1),song,,Certain,Sight,,,4,0,157,HHB PORTADAT PDR 1000,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,," NOTES: ""Bird was vocalizing from snag of coniferous tree...""",,,Aves,Passeriformes,Sittidae,204500
110377,Audio,Sitta canadensis,Red-breasted Nuthatch,,,"Hershberger, Wilbur L",2001,11,10,738,United States,West Virginia,Berkeley,Tomahawk Run Rd at west end,39.5372222,-78.0822222,300,,call; establish flock contact; forage; mechanical sound,Natural,Certain,Sight and Sound,,,4,0,684,SONY TCD-D10 PRO II,Sennheiser ME 66,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Coniferous Forest,,, NOTES: Sound devices MP-2 High Pass Filter on; , Number of individuals=AUc8; ,,Aves,Passeriformes,Sittidae,204500
100885,Audio,Sitta canadensis,Red-breasted Nuthatch,,,"Hershberger, Wilbur L",1999,5,31,630,United States,New York,Hamilton,Ferd's Bog,43.7669444,-74.8172222,200,Adult Female (1); Adult Male (1),call; court; mate,Natural,Certain,Sight and Sound,,,4,0,114,SONY TCD-D10 PRO II,Sennheiser ME 62,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Lake,,, NOTES: Pair interaction.  Interesting vocalizations., Response to playback: No response.,,Aves,Passeriformes,Sittidae,204500
94204,Audio,Sitta canadensis,Red-breasted Nuthatch,,,"Hershberger, Wilbur L",1997,12,28,827,United States,Maryland,Frederick,6.0 km S of Libertytown; Audrey Carroll Wildlife Sanctuary,39.4166667,-77.2083333,180,Adult Female (1); Adult Male (1),call; forage,Natural,Certain,Sight and Sound,,,4,0,144,SONY TCD-D10 PRO II,Sennheiser ME 62,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Riparian; Lake,,," NOTES: ""Pair"" calling to one another while foraging on Red pine trunk.  They never got more than 15 meters from one another.  Neat interactions.", Response to playback: No response.,,Aves,Passeriformes,Sittidae,204500
94203,Audio,Sitta canadensis,Red-breasted Nuthatch,,,"Hershberger, Wilbur L",1997,12,28,810,United States,Maryland,Frederick,6.0 km S of Libertytown; Audrey Carroll Wildlife Sanctuary,39.4166667,-77.2083333,180,Adult Female (1); Adult Male (1),call; forage,Natural,Certain,Sight and Sound,,,4,0,192,SONY TCD-D10 PRO II,Sennheiser ME 62,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Riparian; Lake,,," NOTES: ""Pair"" calling to one another while foraging on Red pine trunk.", Response to playback: No response.,,Aves,Passeriformes,Sittidae,204500
63006,Audio,Sitta canadensis,Red-breasted Nuthatch,,,"Herr, David S",1991,6,5,610,United States,California,Sierra,3.0 km W of Sattley; Yuba Pass,39.6333333,-120.5,2010,Adult Unknown Sex (1),advertise; song,Natural,Certain,Sight and Sound,,,4,0,56,NAGRA IV-D,,,Mono,,,,Forest; Coniferous Forest,,, NOTES: BNA: Agonistic song and/or Courtship song. mf,,,Aves,Passeriformes,Sittidae,204500
50328,Audio,Sitta canadensis,Red-breasted Nuthatch,,,"Keller, Geoffrey A",1990,6,23,713,United States,Oregon,Hood River,35.0 km S of Hood River; Mt. Hood Nat. Forest,,,1700,Adult Male (1),advertise; song,Natural,Certain,Sound,,,4,0,109,UHER 4200 REPORT MONITOR,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Evergreen Forest; Coniferous Forest; Montane Grassland,,,NOTES: dawn +1.5hrs.   BNA: Agonistic song.  mf,,,Aves,Passeriformes,Sittidae,204500
