ML Catalog #,Format,Scientific Name,Common Name,Background Species,Subtitle,Recordist,Year,Month,Day,Time,Country,State,County,Locality,Latitude,Longitude,Elevation (m),AgeSex,Behavior,Stimulus,Confidence In ID,How Identified,Captive,Specimen,Quality,Audio Quality For Video,Cut Length (s),Recorder,Microphone,Accessory,Channels,eBird Checklist ID,Air Temp (C),Water Temp (C),Habitat,Regional Habitat,Physical Feature,Public Note,Subject Note,Equipment Note,Class,Order,Family,Taxonomic Sort
63011,Audio,Sphyrapicus ruber,Red-breasted Sapsucker,,,"Herr, David S",1991,6,6,1000,United States,California,Sierra,16.0 km SE of Loyalton; Jones Valley,39.5833333,-120.1166667,2100,Adult Female (1); Adult Male (1),advertise; bill drumming; mechanical sound; song,Natural,Certain,Sight,,,5,0,692,NAGRA IV-D,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Coniferous Forest; Montane Grassland,,, NOTES: Breeding status: territorial   Notes: Recordings of sapsucker at snag and some interaction between 2 species - 91-9-1 better cut of some individuals. dsh.  BNA: Drumming is heard throughout the recording.  CZ  04/03/2004.,,,Aves,Piciformes,Picidae,107370
195038,Audio,Sphyrapicus ruber,Red-breasted Sapsucker,,,"McGuire, Bob ",2012,4,29,710,United States,Oregon,,Sisters; Calliope Crossing,44.3504,-121.5528,,Adult Unknown Sex (1),mechanical sound,Natural,Certain,Sight and Sound,,,4,0,95,SOUND DEVICES 702,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,,,,,,,Aves,Piciformes,Picidae,107370
195002,Audio,Sphyrapicus ruber,Red-breasted Sapsucker,Sitta canadensis -- Red-breasted Nuthatch,,"McGuire, Bob ",2012,4,24,708,United States,Oregon,,Bend; Skyliner Road,44.03152,-101.5151,,Adult Unknown Sex (1),call; mechanical sound,Playback Same Species,Certain,Sight and Sound,,,4,0,551,SOUND DEVICES 702,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,,,,,,,Aves,Piciformes,Picidae,107370
194996,Audio,Sphyrapicus ruber,Red-breasted Sapsucker,Ixoreus naevius -- Varied Thrush; Troglodytes pacificus -- Pacific Wren; Regulus calendula -- Ruby-crowned Kinglet,,"DeCicco, Lucas ",2013,5,13,648,United States,Alaska,Haines,Chilkat River Valley; Klehini River,59.41454,-136.09241,102,Adult Male (1),mechanical sound,Natural,Certain,Sight,,,4,0,72,MARANTZ PMD 661,Sennheiser MKH 20,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Mono,,,,,,,"Habitat: Mature cottonwood mixed with sitka spruce, riparian stand.    Drumming from dead snag.    ML: Subject changed from recordist's original identification of Sphyrapicus ruber ruber to Sphyrapicus ruber to conform to eBird Taxonomy (v. 1.55). -Jay McGowan/Matt Medler, July 2015.",,,Aves,Piciformes,Picidae,102330
181538,Audio,Sphyrapicus ruber,Red-breasted Sapsucker,,,"Budney, Gregory F",2013,6,5,618,United States,California,Sierra,6.0 km SE of Loyalton; Antelope Valley,39.61825,-120.2748333,,Adult Unknown Sex (2),call; mechanical sound,Natural,Certain,Sight and Sound,,,4,0,209,NAGRA ARES-BB+,Telinga Pro 8,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,6.0,,,,,,,,Aves,Piciformes,Picidae,107370
168976,Audio,Sphyrapicus ruber,Red-breasted Sapsucker,,,"Little, Randolph S",2012,6,14,902,United States,California,Sierra,5.5 km W of Sattley (Beartrap Meadows Road at FS 09),39.645833,-120.517,2140,Adult Male (1),,Natural,Certain,Sight and Sound,,,4,0,171,NAGRA LB,Sennheiser ME 67,,Mono,,15.6,,Coniferous Forest,,,,Drumming from top of 10m dead snag.  Simultaneously recorded by Bill McQuay.,,Aves,Piciformes,Picidae,107370
119418,Audio,Sphyrapicus ruber,Red-breasted Sapsucker,,,"Keller, Geoffrey A",2001,5,30,610,United States,California,Tulare,27.4 km NW of Kernville; Sequoia National Forest; Holy Meadow Campground,,,2060,Unknown Age Unknown Sex (5),bill drumming; call; mechanical sound,,Certain,Sight,,,4,0,403,HHB PORTADAT PDR 1000,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,," NOTES: ""Five birds, at one point, were present in very large coniferous tree...""",,,Aves,Piciformes,Picidae,107370
44519,Audio,Sphyrapicus ruber,Red-breasted Sapsucker,Contopus sordidulus -- Western Wood-Pewee,,"Budney, Gregory F",1989,6,7,615,United States,California,Sierra,Tahoe National Forest; Yuba Pass; North of Sno Park,39.6235,-120.4889,6700,Adult Unknown Sex (1),forage; mechanical sound,Natural,Certain,Sight and Sound,,,4,0,171,NAGRA IV-S,Sennheiser MKH 106T,Roché Parabola 60cm/14.5cm (23.6in/5.7in),Mono,,11.0,,,,,,,,Aves,Piciformes,Picidae,107370
6953,Audio,Sphyrapicus ruber,Red-breasted Sapsucker,Aphelocoma californica -- Western Scrub-Jay; Pheucticus melanocephalus -- Black-headed Grosbeak; Troglodytes aedon -- House Wren; Zonotrichia leucophrys -- White-crowned Sparrow,,"Allen, Arthur A; Allen, David G",1959,4,7,0,United States,California,,MILLCREEK CANYON NEAR REDLAND,,,,,bill drumming; mechanical sound,,Not Provided,,,,4,0,9,MAGNEMITE UNSPECIFIED MODEL,,Parabola (Unknown Diameter/Focal Length),Mono,,,,,,Canyon," NOTES: S. V. DAGGETTI. LNS- This form was formerly treated as Sphyrapicus varius daggetti, but it is now treated as Sphyrapicus ruber daggetti.  -Matt Medler, 6 February 2001.    ML: Subject changed from recordist's original identification of Sphyrapicus ruber daggetti to Sphyrapicus ruber to conform to eBird Taxonomy (v. 1.55). -Jay McGowan/Matt Medler, July 2015.",,,Aves,Piciformes,Picidae,102330
205451,Audio,Sphyrapicus ruber,Red-breasted Sapsucker,,,"Budney, Gregory F",2000,6,18,947,United States,California,Sierra,Tahoe National Forest; Chapman's Saddle,39.6474472,-120.515726,,Unknown Age Unknown Sex (1),call,,Not Provided,,,,3,0,149,HHB PORTADAT PDR 1000,Sennheiser MKH 20,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Mono,,,,,,,,,,Aves,Piciformes,Picidae,10360
