ML Catalog #,Format,Scientific Name,Common Name,Background Species,Subtitle,Recordist,Year,Month,Day,Time,Country,State,County,Locality,Latitude,Longitude,Elevation (m),AgeSex,Behavior,Stimulus,Confidence In ID,How Identified,Captive,Specimen,Quality,Audio Quality For Video,Cut Length (s),Recorder,Microphone,Accessory,Channels,eBird Checklist ID,Air Temp (C),Water Temp (C),Habitat,Regional Habitat,Physical Feature,Public Note,Subject Note,Equipment Note,Class,Order,Family,Taxonomic Sort
166694,Audio,Buteo jamaicensis calurus/alascensis,Red-tailed Hawk (calurus/alascensis),,,"McGowan, Jay W",2012,6,10,814,United States,California,Sierra,12.0 km S of Portola; Carman Valley,39.6961717,-120.4503062,,Adult Unknown Sex (1); Immature Unknown Sex (1),call,Natural,Certain,Sight and Sound,,,5,0,174,NAGRA ARES-BB+,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,,,,"Adult in the top of a pine. Calling in agitation at our presence, probably because juveniles were in the vicinity.",,,Aves,Accipitriformes,Accipitridae,2990
202297,Audio,Buteo jamaicensis,Red-tailed Hawk,,,"McGowan, Jay W",2015,6,26,709,United States,Montana,Lake,Moiese Valley Road,47.46381,-114.28386,,Adult Unknown Sex (1); Immature Unknown Sex (1); Unknown Age Unknown Sex (1),call; fly,Natural,Certain,Sight and Sound,,,4,0,82,MARANTZ PMD 661,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,S24062301,,,,,,,,Telinga filter engaged.,Aves,Accipitriformes,Accipitridae,31560
202280,Audio,Buteo jamaicensis,Red-tailed Hawk,,,"McGowan, Jay W",2015,6,26,547,United States,Montana,Lake,Moiese Valley Road,47.45964,-114.292,,Adult Unknown Sex (1),call; fly; perch,Natural,Certain,Sight and Sound,,,4,0,91,MARANTZ PMD 661,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,S24062301,,,,,,,,Telinga filter engaged.,Aves,Accipitriformes,Accipitridae,31560
196813,Audio,Buteo jamaicensis,Red-tailed Hawk,Cyanocitta stelleri -- Steller's Jay; Sturnella neglecta -- Western Meadowlark,,"Little, Randolph S",2014,6,5,801,United States,California,Sierra,"Carman Valley, base of hill just W. of Basque camp",39.696977,-120.45,1520,Adult Unknown Sex (1),call; emit alarm; scold,Natural,Certain,Sight and Sound,,,4,0,67,NAGRA LB,Sennheiser ME 67,,Mono,,10.0,,,,,Habitat: Mature Jeffrey Pine at edge of meadow,Calling from canopy in response to my presence.  Final call given as bird flew to another treetop.,,Aves,Accipitriformes,Accipitridae,27910
190894,Audio,Buteo jamaicensis,Red-tailed Hawk,,,"Rivas Fuenzalida, Francisco ",2014,6,10,"",United States,California,Sierra,Carman Valley,39.6953372,-120.4486513,,Adult Unknown Sex (1),call; fly,Natural,Certain,Sight and Sound,,,4,0,702,TASCAM HD-P2,Sennheiser MKH 8070,,Mono,,,,,,,An adult calling around the nest. One chick sight on the nest. ,,,Aves,Accipitriformes,Accipitridae,31560
164412,Audio,Buteo jamaicensis,Red-tailed Hawk,,,"DeFonso, Eric ",2010,6,14,745,United States,California,Sierra,Carman Valley,39.703381,-120.4748726,,Adult Unknown Sex (1),call; perch,Natural,Certain,Sight and Sound,,,4,0,102,MARANTZ PMD 660,Sennheiser ME 66,,Mono,,,,,,,,,,Aves,Accipitriformes,Accipitridae,27910
138203,Audio,Buteo jamaicensis,Red-tailed Hawk,,,"Vyn, Gerrit ",2007,7,9,1013,United States,Alaska,,Ester;Mile 16 of Standard Creek Road,,,,Adult Female (1); Adult Male (1),call,,Certain,Sight and Sound,,,4,0,90,NAGRA ARES-BB+,,,Stereo,,,,Coniferous Forest,,, NOTES: Screams in flight by pair.,,,Aves,Accipitriformes,Accipitridae,27910
120264,Audio,Buteo jamaicensis,Red-tailed Hawk,,,"Keller, Geoffrey A",2002,5,29,0,United States,California,Modoc,"Modoc National Forest, just north of Lava Beds National Monument,",,,1830,,call,,Certain,Sight,,,4,0,67,HHB PORTADAT PDR 1000,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,,,,,Aves,Accipitriformes,Accipitridae,27910
118836,Audio,Buteo jamaicensis,Red-tailed Hawk,,,"Keller, Geoffrey A",2001,5,21,832,United States,California,Sonoma,16.0 km NE of Healdsburg; on the Pine Flat,,,175,,,,Certain,Sight,,,4,0,311,HHB PORTADAT PDR 1000,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest,,," NOTES: ""Bird was vocalizing from high tension wire...  Presumed nesting site was in the area. The area is basically wooded with Douglas Fir, pine trees, madrone, and manzanita species in the understory.""",,,Aves,Accipitriformes,Accipitridae,27910
113773,Audio,Buteo jamaicensis,Red-tailed Hawk,Megaceryle alcyon -- Belted Kingfisher; Cyanocitta cristata -- Blue Jay; Dumetella carolinensis -- Gray Catbird; Geothlypis trichas -- Common Yellowthroat; Melospiza melodia -- Song Sparrow; Thryothorus ludovicianus -- Carolina Wren; Zenaida macroura -- Mourning Dove,,"Marantz, Curtis A",1995,5,21,602,United States,Massachusetts,Nantucket,"0.4 km E of Nantucket Island; Nantucket Field Station, .5 mi. N Polpis Road",,,,Adult Unknown Sex (2),call; dawn song; emit alarm,Natural,Certain,Sight and Sound,,,4,0,317,NAGRA IV-D,,,Mono,,,,Forest; Deciduous Forest,,Island," NOTES: Range Status: normal. Breeding Status: breeding?. Sound Delivery Rate: normal, high. General Climate: humid, cyclic wet-dry.  Season: spring. Cover Density: open.  Species Sound or Social Contact: frequent.  Behavioral Context of Sound:  Distress.  Notes: ""Cut began with singing Blackburnian Warbler (see cut 95-104-06).  Cut continues after announcement to end of tape (ending at 605am) when bird was perched 50-60m away.  Also in background: American Crow, Blackburnian Warbler, woodpecker drum."" -SBA  25/11/02 ",,,Aves,Accipitriformes,Accipitridae,27910
105690,Audio,Buteo jamaicensis,Red-tailed Hawk,Contopus cooperi -- Olive-sided Flycatcher; Contopus sordidulus -- Western Wood-Pewee; Molothrus ater -- Brown-headed Cowbird; Turdus migratorius -- American Robin; Vireo cassinii -- Cassin's Vireo; Xanthocephalus xanthocephalus -- Yellow-headed Blackbird,,"Keller, Geoffrey A",1995,6,11,546,United States,Oregon,Klamath,22.0 km SE of Diamond Lake Junction; Upper Klamath Marsh N,,,1330,Adult Female (1); Adult Male (1),call; emit alarm,Natural,Certain,Sound,,,4,0,180,UHER 4200 REPORT MONITOR,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Coniferous Forest,,, NOTES: (typical) alarm calls from top of medium sized Ponderosa Pine,,,Aves,Accipitriformes,Accipitridae,27910
105680,Audio,Buteo jamaicensis,Red-tailed Hawk,Callipepla californica -- California Quail; Haemorhous mexicanus -- House Finch; Catherpes mexicanus -- Canyon Wren; Corvus corax -- Common Raven; Petrochelidon pyrrhonota -- Cliff Swallow; Molothrus ater -- Brown-headed Cowbird; Myiarchus cinerascens -- Ash-throated Flycatcher; Pipilo ocai -- Collared Towhee; Salpinctes obsoletus -- Rock Wren,,"Keller, Geoffrey A",1995,6,10,757,United States,California,Siskiyou,12.0 km SW of Tulelake; Sheepy Ridge Road,,,1300,Adult Unknown Sex (1); Unknown Age Unknown Sex (1),call,Natural,Certain,Sound,,,4,0,261,UHER 4200 REPORT MONITOR,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Desert,,," NOTES: typical scream and ""osprey-like"" whistle of possible juvenile from top of juniper; for weather it was misting",,,Aves,Accipitriformes,Accipitridae,27910
105673,Audio,Buteo jamaicensis,Red-tailed Hawk,Agelaius phoeniceus -- Red-winged Blackbird; Anas strepera -- Gadwall; Cistothorus palustris -- Marsh Wren; Fulica americana -- American Coot; Petrochelidon pyrrhonota -- Cliff Swallow; Larus sp. -- Larus sp.; Melospiza melodia -- Song Sparrow; Plegadis chihi -- White-faced Ibis; Sturnella neglecta -- Western Meadowlark; Xanthocephalus xanthocephalus -- Yellow-headed Blackbird,,"Keller, Geoffrey A",1995,6,9,1115,United States,California,Siskiyou,20.0 km E of Dorris; Lower Klamath National Wildlife Refuge,,,1300,Adult Female (1); Adult Male (1),call; emit alarm,Natural,Certain,Sound,,,4,0,177,UHER 4200 REPORT MONITOR,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Grassland,,, NOTES: alarm calls (typical scream) of pair at nest site from low flight,,,Aves,Accipitriformes,Accipitridae,2989
105615,Audio,Buteo jamaicensis,Red-tailed Hawk,Cardinalis cardinalis -- Northern Cardinal; Corvus brachyrhynchos -- American Crow; Cyanocitta cristata -- Blue Jay; Icteria virens -- Yellow-breasted Chat; Icterus galbula -- Baltimore Oriole; Melospiza melodia -- Song Sparrow; Passerina cyanea -- Indigo Bunting; Polioptila caerulea -- Blue-gray Gnatcatcher; Vermivora cyanoptera -- Blue-winged Warbler; Zenaida macroura -- Mourning Dove,,"Keller, Geoffrey A",1995,5,23,720,United States,Indiana,Brown,19.0 km NE of Nashville,,,330,Adult Unknown Sex (1),advertise; call; court,Natural,Certain,Sound,,,4,0,95,UHER 4200 REPORT MONITOR,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Riparian,,," NOTES: ""typical scream"" call from top of deciduous tree",,,Aves,Accipitriformes,Accipitridae,27910
51214,Audio,Buteo jamaicensis,Red-tailed Hawk,,,"Peyton, Leonard J; Shields, Gerald F",1975,5,30,1500,United States,Alaska,,Wood River Southwest of Fairbanks,64.55,-148.4666667,140,Adult Female (1),,,Certain,Sight and Sound,,,4,0,79,NAGRA III,,Parabola 99.1cm/30.5cm (39in/12in),Mono,,,,,,,"Nest 35ft. in dead Cottonwood tree; Female chased Male off nest; Male, dark like Harloon's hawk; Female light like typical red-tailed hawk; Purpose of sound: female calling in defense of nesting territory; Behavior accompanying vocalization: perched 75ft. up in top of Spruce tree",,,Aves,Accipitriformes,Accipitridae,27910
51143,Audio,Buteo jamaicensis,Red-tailed Hawk,,,"Colver, Kevin J",1990,7,20,0,United States,Utah,Utah,2.0 km S of Elk Ridge at Loafer Canyon gate,,,1676,Adult Unknown Sex (1); Immature Unknown Sex (2),Social context: family; call; establish parent young contact,Natural,Not Provided,,,,4,0,90,SONY TCD-D10,,Roché Parabola 60cm/14.5cm (23.6in/5.7in),Mono,,,,Forest; Deciduous Forest,,Grove; Canyon; Rocky, NOTES: (Cross Reference to Catalog #: 51140A; Breeding Status: breeding; General Climate: cyclic wet-dry; Cover Density: medium; General Habitat: hillside with cliffs; Filtering: yes) LNS #51140A for reference.,,,Aves,Accipitriformes,Accipitridae,27910
47538,Audio,Buteo jamaicensis,Red-tailed Hawk,,,"Herr, David S",1990,5,16,2030,United States,Washington,,"39.0 km N of Walla Walla, WA; Smith Spring Rd.",46.4,-118.1166667,548,Adult Female (1); Adult Male (1),call; emit alarm,Natural,Certain,Sight,,,4,0,220,NAGRA IV-D,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Grassland; Field,,," NOTES: BREEDING STATUS: Territorial paired.        Other  Habitat Type: Tree in open field  NOTES ON DATA FORM: Two birds around nest along road, calls stimulated by stopping vehicle. Recording made of flying birds.", Sound stimulation was (other): [my being] near nest. ,,Aves,Accipitriformes,Accipitridae,27910
4177,Audio,Buteo jamaicensis,Red-tailed Hawk,Turdus migratorius -- American Robin,,"Stein, Robert C; Angstadt, Robert B",1961,5,30,0,United States,Oregon,,W Of Fort Klamath; Nicholson Ranch,,,,,call; fly,,Not Provided,,,,4,0,407,NAGRA III-B,,Parabola 101.6cm (40in),Mono,,,,Forest,,, NOTES: FIRST SERIES RECORDED WHILE BIRD WAS IN FLIGHT. LAST SERIES WHILE BIRD WAS APPARENTLY PERCHED. WE WERE APPARENTLY NEAR THE NEST. WOODLOT ON CATTLE RANGE.  Sex: 1 UNKNOWN Other recordist(s): O'DONAHUE J;,,,Aves,Accipitriformes,Accipitridae,27910
