ML Catalog #,Format,Scientific Name,Common Name,Background Species,Subtitle,Recordist,Year,Month,Day,Time,Country,State,County,Locality,Latitude,Longitude,Elevation (m),AgeSex,Behavior,Stimulus,Confidence In ID,How Identified,Captive,Specimen,Quality,Audio Quality For Video,Cut Length (s),Recorder,Microphone,Accessory,Channels,eBird Checklist ID,Air Temp (C),Water Temp (C),Habitat,Regional Habitat,Physical Feature,Public Note,Subject Note,Equipment Note,Class,Order,Family,Taxonomic Sort
191788,Audio,Agelaius phoeniceus,Red-winged Blackbird,,,"McGuire, Bob ",2014,4,23,620,United States,Colorado,,Thurston Reservoir,38.22048,-102.63299,,Adult Male (1),song,Natural,Certain,Sight and Sound,,,5,0,151,SOUND DEVICES 702,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,,,,,,,Aves,Passeriformes,Icteridae,300750
191235,Audio,Agelaius phoeniceus,Red-winged Blackbird,,,"Hershberger, Wilbur L",2012,7,13,559,United States,New Jersey,Cape May,Wetlands Institute,39.060114,-74.766092,1,Adult Male (1),call; emit alarm,Natural,Certain,Sight and Sound,,,5,0,157,SOUND DEVICES 702,Telinga Pro 7,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,18.0,,,,,Habitat: Wetland,,Telinga Stereo HPF on  ,Aves,Passeriformes,Icteridae,314650
191179,Audio,Agelaius phoeniceus,Red-winged Blackbird,,,"Hershberger, Wilbur L",2012,6,6,632,United States,West Virginia,Morgan,Stauffer's Marsh,39.431025,-78.135993,147,Adult Male (1),advertise; call; song,Natural,Certain,Sight and Sound,,,5,0,136,SOUND DEVICES 702,Telinga Pro 7,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,,,,Habitat: Wetland,"""Male Red-winged Blackbird calling and singing very close to recordist.  One example of high-pitched call that is not clipped.""",Telinga Stereo HPF on,Aves,Passeriformes,Icteridae,314650
176240,Audio,Agelaius phoeniceus,Red-winged Blackbird,,,"Keller, Geoffrey A",2009,7,2,702,United States,Indiana,Brown,Lake Monroe; Crooked Creek boat ramp,39.0940373,-86.3291073,,Adult Unknown Sex (1),call; song,,Certain,,,,5,0,215,HHB PORTADAT PDR 1000,Sennheiser MKH 106,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,,,Two song types and calls,,Aves,Passeriformes,Icteridae,300750
168307,Audio,Agelaius phoeniceus,Red-winged Blackbird,,,"Hershberger, Wilbur L",2011,6,25,430,United States,West Virginia,Berkeley,Stauffer's marsh,39.43043,-78.13818,152,Adult Male (1),call,Natural,Certain,Sight and Sound,,,5,0,78,SOUND DEVICES 702,Telinga Pro 7,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,Freshwater Marsh,,,,,,Aves,Passeriformes,Icteridae,300750
164058,Audio,Agelaius phoeniceus,Red-winged Blackbird,,,"Ross, Jr., David L",1996,4,3,754,Costa Rica,Guanacaste,,Solimar; Estero Madrigal,10.2833333,-85.15,,Adult Male (1),call; song,Natural,Certain,Sight and Sound,,,5,0,665,MARANTZ PMD 700,Sennheiser ME 64,Parabola 61cm (24in),Mono,,,,,,,,,,Aves,Passeriformes,Icteridae,300750
118691,Audio,Agelaius phoeniceus,Red-winged Blackbird,,,"Keller, Geoffrey A",2001,5,6,1146,United States,California,Del Norte,4.8 km NW of Crescent City; Lake Earl Wildlife Area,,,6,Adult Male (1),call,,Certain,Sight,,,5,0,138,HHB PORTADAT PDR 1000,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,," NOTES: ""Bird was vocalizing from canopy of willow tree...""   2nd section: ""Bird was vocalizing from canopy of alder tree...""",,,Aves,Passeriformes,Icteridae,300750
118666,Audio,Agelaius phoeniceus,Red-winged Blackbird,,,"Keller, Geoffrey A",2001,4,18,1011,United States,California,Kern,Kern River Preserve,,,823,,call; forage; song,,Certain,Sight,,,5,0,285,HHB PORTADAT PDR 1000,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,," NOTES: ""Bird was vocalizing from ground as well as mid-level canopy of willow trees..."" ""Call notes in this case did not seem to express alarm. Bird was foraging in trees and on ground.""",,,Aves,Passeriformes,Icteridae,300750
118634,Audio,Agelaius phoeniceus,Red-winged Blackbird,,,"Keller, Geoffrey A",2001,4,14,830,United States,California,,5.0 km NW of Palo Verde,,,91,,call; counter singing; song,,Certain,Sight and Sound,,,5,0,372,HHB PORTADAT PDR 1000,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Riparian; Desert; Active Agricultural,,Edge," NOTES: ""All the individuals birds here... the eppaulets were quite red with just a hint of yellow at the base of the eppaulets."" ", Number of individuals=UU1+; ,,Aves,Passeriformes,Icteridae,300750
109008,Audio,Agelaius phoeniceus,Red-winged Blackbird,,,"Keller, Geoffrey A",1999,5,17,905,United States,Arizona,Pima,"1.0 km E of Arivaca, Arivaca Cienega",,,910,,advertise; call; song,Natural,Certain,Sound,,,5,0,146,NAGRA E,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,, NOTES:           , Number of individuals=AM1+AF1+; ,,Aves,Passeriformes,Icteridae,300750
100777,Audio,Agelaius phoeniceus,Red-winged Blackbird,,,"Hershberger, Wilbur L",1999,4,22,1900,United States,Maryland,Frederick,6.0 km S of Libertytown; Audrey Carroll Wildlife Sanctuary,39.4166667,-77.2083333,180,Adult Male (1),advertise; call; song,Natural,Certain,Sight and Sound,,,5,0,293,SONY TCD-D10 PRO II,Sennheiser ME 62,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Deciduous Forest,,, NOTES: Piping calls like those in the flight song., Response to playback: No response.,,Aves,Passeriformes,Icteridae,300750
100761,Audio,Agelaius phoeniceus,Red-winged Blackbird,,,"Hershberger, Wilbur L",1999,4,10,648,United States,Maryland,Frederick,6.0 km S of Libertytown; Audrey Carroll Wildlife Sanctuary,39.4166667,-77.2083333,180,Adult Male (1),advertise; call; song,Natural,Certain,Sight and Sound,,,5,0,243,SONY TCD-D10 PRO II,Sennheiser ME 62,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Deciduous Forest; River,,," NOTES: Songs with ""piping"" between.Possibly annoyed at E. starling sitting near him.", Response to playback: No response.,,Aves,Passeriformes,Icteridae,300750
100740,Audio,Agelaius phoeniceus,Red-winged Blackbird,,,"Hershberger, Wilbur L",1999,3,28,1730,United States,Maryland,Frederick,6.0 km S of Libertytown; Audrey Carroll Wildlife Sanctuary,39.4166667,-77.2083333,180,Adult Male (1),advertise; call; emit alarm; song,Natural,Certain,Sight and Sound,,,5,0,370,SONY TCD-D10 PRO II,Sennheiser ME 62,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Deciduous Forest,,," NOTES: Calls and song from male.  Same bird and now sounds horse.  Also, very high pitched alarm calls.  I was hopeing that he would do a flight display, no luck.  Needs HPF to reduce ATV and planes in background.  Add notes at 3805-3835 (30 sec).", Response to playback: No response.,,Aves,Passeriformes,Icteridae,300750
100739,Audio,Agelaius phoeniceus,Red-winged Blackbird,,,"Hershberger, Wilbur L",1999,3,28,1730,United States,Maryland,Frederick,6.0 km S of Libertytown; Audrey Carroll Wildlife Sanctuary,39.4166667,-77.2083333,180,Adult Male (1),advertise; call; emit alarm; song,Natural,Certain,Sight and Sound,,,5,0,123,SONY TCD-D10 PRO II,Sennheiser ME 62,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Deciduous Forest,,, NOTES: Calls and song from male., Response to playback: No response.,,Aves,Passeriformes,Icteridae,300750
94447,Audio,Agelaius phoeniceus,Red-winged Blackbird,,,"Hershberger, Wilbur L",1998,7,12,710,United States,Maryland,Frederick,6.0 km E of Adamstown; Lilypons Water Gardens,39.3,-77.4166667,150,Adult Male (1),call; scold,Natural,Certain,Sight and Sound,,,5,0,138,SONY TCD-D10 PRO II,Sennheiser ME 62,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Freshwater; Pond; Rural; Field,,Hedgerow, NOTES: Nest defense display by male.,,,Aves,Passeriformes,Icteridae,300750
94328,Audio,Agelaius phoeniceus,Red-winged Blackbird,,,"Hershberger, Wilbur L",1998,5,17,523,United States,Maryland,Frederick,5.0 km E of Adamstown; Lily Pons Road At Route 85,39.3,-77.4333333,150,Adult Male (1),call; emit alarm,Natural,Certain,Sight and Sound,,,5,0,393,SONY TCD-D10 PRO II,Sennheiser ME 62,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Rural; Field,,, NOTES: Male Red-winged blackbirds were heard to deliver this vocalization when the fields that they were nesting in were mowed.  The birds would fly around as if looking for clues to the location of their nest and give this call type in seeming frustration.  Very sad.  Add announcement at 4954 - 5034.  Filtered at 250 Hz.,,,Aves,Passeriformes,Icteridae,300750
94266,Audio,Agelaius phoeniceus,Red-winged Blackbird,,,"Hershberger, Wilbur L",1998,4,7,1907,United States,Maryland,Frederick,6.0 km S of Libertytown; Audrey Carroll Wildlife Sanctuary,39.4166667,-77.2083333,180,Adult Male (1),advertise; call; song,Natural,Certain,Sight and Sound,,,5,0,216,SONY TCD-D10 PRO II,Sennheiser ME 62,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Grassland; Deciduous Forest; Creek; Lake; Rural; Field,,Hedgerow; Edge, NOTES:  ,,,Aves,Passeriformes,Icteridae,300750
94252,Audio,Agelaius phoeniceus,Red-winged Blackbird,,,"Hershberger, Wilbur L",1998,3,29,1827,United States,Maryland,Frederick,6.0 km S of Libertytown; Audrey Carroll Wildlife Sanctuary,39.4166667,-77.2083333,180,Adult Male (1),fly; song,Natural,Certain,Sight and Sound,,,5,0,20,SONY TCD-D10 PRO II,Sennheiser ME 62,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Grassland; Deciduous Forest; Pond; Rural; Field,,Hedgerow; Edge, NOTES: Flight song.  Bird flying away from my location.,Same subject(s) as LNS 94251. ,,Aves,Passeriformes,Icteridae,300750
94251,Audio,Agelaius phoeniceus,Red-winged Blackbird,,,"Hershberger, Wilbur L",1998,3,29,1827,United States,Maryland,Frederick,6.0 km S of Libertytown; Audrey Carroll Wildlife Sanctuary,39.4166667,-77.2083333,180,Adult Male (1),advertise; call; counter singing; fly; song,Natural,Certain,Sight and Sound,,,5,0,436,SONY TCD-D10 PRO II,Sennheiser ME 62,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Grassland; Deciduous Forest; Pond; Rural; Field,,Hedgerow; Edge, NOTES: Second male nearby.  Unusually high pitched phrases.,,,Aves,Passeriformes,Icteridae,300750
94242,Audio,Agelaius phoeniceus,Red-winged Blackbird,,,"Hershberger, Wilbur L",1998,3,15,1708,United States,Maryland,Frederick,6.0 km S of Libertytown; Audrey Carroll Wildlife Sanctuary,39.4166667,-77.2083333,180,Adult Male (1),emit alarm,Natural,Certain,Sight and Sound,,,5,0,313,SONY TCD-D10 PRO II,Sennheiser ME 62,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Grassland; Deciduous Forest; Pond; Rural; Field,,Thicket/Brush; Hedgerow, NOTES: Distress calls.  ,,,Aves,Passeriformes,Icteridae,300750
94241,Audio,Agelaius phoeniceus,Red-winged Blackbird,,,"Hershberger, Wilbur L",1998,3,15,1708,United States,Maryland,Frederick,6.0 km S of Libertytown; Audrey Carroll Wildlife Sanctuary,39.4166667,-77.2083333,180,Adult Male (1),emit alarm,Natural,Certain,Sight and Sound,,,5,0,121,SONY TCD-D10 PRO II,Sennheiser ME 62,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Grassland; Deciduous Forest; Pond; Rural; Field,,Thicket/Brush; Hedgerow, NOTES: Distress calls.  Flight song.  Needs filtering to remove airplane.,,,Aves,Passeriformes,Icteridae,300750
94234,Audio,Agelaius phoeniceus,Red-winged Blackbird,,,"Hershberger, Wilbur L",1998,3,7,1744,United States,Maryland,Frederick,6.0 km S of Libertytown; Audrey Carroll Wildlife Sanctuary,39.4166667,-77.2083333,180,Adult Male (1),advertise; call; song,Natural,Certain,Sight and Sound,,,5,0,226,SONY TCD-D10 PRO II,Sennheiser ME 62,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Deciduous Forest; Rural; Field,,Hedgerow, NOTES: Canada geese flyby at 2145.  Wind in trees at 2250.,,,Aves,Passeriformes,Icteridae,300750
94233,Audio,Agelaius phoeniceus,Red-winged Blackbird,,,"Hershberger, Wilbur L",1998,3,7,1740,United States,Maryland,Frederick,6.0 km S of Libertytown; Audrey Carroll Wildlife Sanctuary,39.4166667,-77.2083333,180,Adult Male (1),advertise; call; song,Natural,Certain,Sight and Sound,,,5,0,77,SONY TCD-D10 PRO II,Sennheiser ME 62,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Deciduous Forest; Rural; Field,,Hedgerow, NOTES:  ,,,Aves,Passeriformes,Icteridae,300750
94230,Audio,Agelaius phoeniceus,Red-winged Blackbird,,,"Hershberger, Wilbur L",1998,3,7,1632,United States,Maryland,Frederick,6.0 km S of Libertytown; Audrey Carroll Wildlife Sanctuary,39.4166667,-77.2083333,180,Adult Male (1),advertise; call; song,Natural,Certain,Sight and Sound,,,5,0,110,SONY TCD-D10 PRO II,Sennheiser ME 62,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Deciduous Forest; Rural; Field,,Hedgerow, NOTES:  ,,,Aves,Passeriformes,Icteridae,300750
94215,Audio,Agelaius phoeniceus,Red-winged Blackbird,,,"Hershberger, Wilbur L",1998,2,27,1642,United States,Maryland,Frederick,6.0 km S of Libertytown; Audrey Carroll Wildlife Sanctuary,39.4166667,-77.2083333,180,Adult Male (1),advertise; call; scold,Natural,Certain,Sight and Sound,,,5,0,106,SONY TCD-D10 PRO II,Sennheiser ME 62,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Deciduous Forest; Rural; Field,,Hedgerow,,,,Aves,Passeriformes,Icteridae,300750
84698,Audio,Agelaius phoeniceus,Red-winged Blackbird,,,"Hershberger, Wilbur L",1997,2,23,830,United States,Maryland,Frederick,6.0 km E of Adamstown; Lilypons Water Gardens,39.3,-77.4166667,150,Adult Male (1),advertise; song,Natural,Certain,Sight and Sound,,,5,0,101,SONY TCD-D10 PRO II,Sennheiser ME 62,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Wetland; Riparian,,Thicket/Brush; Hedgerow,,,,Aves,Passeriformes,Icteridae,300750
48818,Audio,Agelaius phoeniceus,Red-winged Blackbird,,,"Colver, Kevin J",1990,6,10,0,United States,California,Plumas,Dyson Lane,39.75,-120.3333333,,Adult Male (1),song,,Not Provided,,,,5,0,10,SONY TCD-D10,,Roché Parabola 60cm/14.5cm (23.6in/5.7in),Mono,,,,Wetland; Pond,,," NOTES: BNA: Male Song.  (Cross Reference to Catalog #: 48803; General Climate: wet; Cover Density: open; Temperature: 2-4¡ C; Filtering: yes, III) LNS# 48803 for reference.",,,Aves,Passeriformes,Icteridae,300750
27181,Audio,Agelaius phoeniceus,Red-winged Blackbird,Agelaius phoeniceus -- Red-winged Blackbird; Charadrius vociferus -- Killdeer; Phasianus colchicus -- Ring-necked Pheasant; Turdus migratorius -- American Robin,,"Little, Randolph S",1980,5,12,810,United States,Ohio,Fairfield,WRIGHT RD. POND; FAIRFIELD CO.,39.8333333,-82.8,280,Adult Male (1),call,Natural,Certain,Sight and Sound,,,5,0,277,NAGRA IV-D,,Parabola 45.7cm (18in),Mono,,,,Wetland; Freshwater; Pond,,Edge," NOTES: BNA: Contact Calls.  LNS NOTE: Unbroken cut with internal recordist announcement/handling noise gain change (MJA, 15 March 2005).   Range status: NORMAL;  Breeding status: TERRITORIAL PAIRED;  Frequency of sound: HIGH;  General climate: HUMID;  Cover density: OPEN;  Strata: SONG PERCH; TAIL FLASHING ACCOMPANIED CALLS.", Sound stimulation was (other): NATURAL(NO PLAYBACK). ,,Aves,Passeriformes,Icteridae,300750
22994,Audio,Agelaius phoeniceus,Red-winged Blackbird,,,"Fish, William R",1961,4,29,0,United States,California,,Folsom Lake; Dam B,,,,,call,Natural,Not Provided,Sight and Sound,,,5,0,185,NAGRA UNSPECIFIED MODEL,,Parabola 61cm (24in),Mono,,,,Grassland; Lake,,Thicket/Brush, NOTES: BNA: Contact Call.   Range status: NORMAL;  Breeding status: UNKNOWN;  Beh. context: UNKNOWN; General climate: CYCLIC WET-DRY;  Cover density: SPARSE;   Age: UNKNOWN AGE; MALE(S),,,Aves,Passeriformes,Icteridae,300750
22990,Audio,Agelaius phoeniceus,Red-winged Blackbird,,,"Fish, William R",1951,5,26,0,United States,California,Mono,LITTLE LAKE; SOUTHERN MONO CO.,,,,,call; song,Natural,Not Provided,Sight,,,5,0,488,MAGNECORDER UNSPECIFIED MODEL,,Parabola 91.4cm (36in),Mono,,,,Wetland; Lake,,," NOTES: BNA: Male Song, Contact Calls.   Range status: NORMAL;  Beh. context: UNKNOWN; Frequency of sound: NORMAL;  General climate: DRY; ",,,Aves,Passeriformes,Icteridae,300750
12354,Audio,Agelaius phoeniceus,Red-winged Blackbird,,,"Simmers, Richard W",,,,630,,,,"",,,,,call,,Not Provided,,,,5,0,142,,,,Mono,,,,,,," NOTES: BNA: Contact Calls (with off-mic Male Song).  LNS NOTE: Unbroken cut with internal recordist announcement/handling noise gain change (MJA, 11 March 2005). ",,,Aves,Passeriformes,Icteridae,300750
12341,Audio,Agelaius phoeniceus,Red-winged Blackbird,,,"Simmers, Richard W",1965,6,9,0,United States,Vermont,,Londonderry,,,,,call,,Not Provided,Sight and Sound,,,5,0,94,NAGRA III-B,,,Mono,,,,,,," NOTES: BNA: Contact Calls.  LNS NOTE: Unbroken cut with internal recordist announcement/handling noise gain change (MJA, 11 March 2005).  'TK'; 'SI-FEE'; 'TYUUU'. MALE NO. 16.  1 MALE(S)",,,Aves,Passeriformes,Icteridae,300750
12013,Audio,Agelaius phoeniceus,Red-winged Blackbird,Agelaius phoeniceus -- Red-winged Blackbird; Catharus fuscescens -- Veery; Setophaga fusca -- Blackburnian Warbler; Lithobates clamitans -- Green Frog; Vireo olivaceus -- Red-eyed Vireo; Melospiza georgiana -- Swamp Sparrow,,"Simmers, Richard W",1962,7,3,504,United States,Maine,Kennebec,ROME; W OF MOUTH OF TURNER'S BROOK,,,,,call; song,,Not Provided,Sight and Sound,,,5,0,93,NAGRA III-B,,Parabola 91.4cm (36in),Mono,,,,Forest; Wetland; Evergreen Forest; Coniferous Forest; Deciduous Forest,,, NOTES:  Background: AGELAIUS PHOENICEUS (FEMALE-RAPID CALLS); SONGS-'O-KA-LEEE'. LOUD SHARP METALLIC 'TEK' CALLS. NASAL 'ZAY-INK' WHISTLES. MARSH BORDERED BY HEMLOCK-HARDWOOD FOREST.  MALE(S),,,Aves,Passeriformes,Icteridae,300750
12007,Audio,Agelaius phoeniceus,Red-winged Blackbird,Agelaius phoeniceus -- Red-winged Blackbird; Catharus fuscescens -- Veery; Colaptes auratus -- Northern Flicker; Cyanocitta cristata -- Blue Jay; Setophaga fusca -- Blackburnian Warbler; Hylocichla mustelina -- Wood Thrush; Lithobates clamitans -- Green Frog; Vireo olivaceus -- Red-eyed Vireo; Melospiza melodia -- Song Sparrow,,"Simmers, Richard W",1962,6,29,740,United States,Maine,Kennebec,ROME; W OF MOUTH OF TURNER'S BROOK,,,75,Unknown Age Female (1); Unknown Age Male (1),call; song,,Not Provided,Sight and Sound,,,5,0,145,NAGRA III-B,,Parabola 91.4cm (36in),Mono,,,,Forest; Wetland; Evergreen Forest; Coniferous Forest; Deciduous Forest,,, NOTES: SONGS-'O-KA-LEE'. METALLIC CALLS-'TUT'AND 'TOONK'. FEMALES-HIGH PITCHED RAPID NOTES ENDING LOW. HARSH NOTES IN SERIES. MARSH BORDERED BY FOREST.  1 MALE(S); FEMALE(S),,,Aves,Passeriformes,Icteridae,300750
204833,Audio,Agelaius phoeniceus,Red-winged Blackbird,Xanthocephalus xanthocephalus -- Yellow-headed Blackbird,,"McGowan, Jay W",2015,6,29,543,United States,Montana,Lake,Moiese; Moiese Marshes,47.374777,-114.263321,,Adult Male (1),call,Natural,Certain,Sight and Sound,,,4,0,87,MARANTZ PMD 661,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,S24098384,,,,,,,,Telinga filter engaged.,Aves,Passeriformes,Icteridae,314650
197972,Audio,Agelaius phoeniceus,Red-winged Blackbird,Melospiza melodia -- Song Sparrow,,"McGuire, Bob ",2010,3,25,701,United States,New York,Schuyler,Finger Lakes National Forest,42.5106272,-76.7896763,,Adult Male (1),call; song,Natural,Certain,Sight and Sound,,,4,0,200,SOUND DEVICES 702,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,,,,,,,Aves,Passeriformes,Icteridae,314650
196811,Audio,Agelaius phoeniceus,Red-winged Blackbird,Cyanocitta stelleri -- Steller's Jay; Turdus migratorius -- American Robin,,"Little, Randolph S",2014,6,5,658,United States,California,Sierra,"Carman Valley, edge of pond at head of main meadow",39.697715,-120.458028,1522,Adult Female (1); Adult Male (1),call; emit alarm; scold,Natural,Certain,Sight and Sound,,,4,0,118,NAGRA LB,Sennheiser ME 67,,Mono,,8.0,,,,,Habitat: Willow bushes at edge of pond,Male and female vocalizations described at end of cut,,Aves,Passeriformes,Icteridae,300750
