ML Catalog #,Format,Scientific Name,Common Name,Background Species,Subtitle,Recordist,Year,Month,Day,Time,Country,State,County,Locality,Latitude,Longitude,Elevation (m),AgeSex,Behavior,Stimulus,Confidence In ID,How Identified,Captive,Specimen,Quality,Audio Quality For Video,Cut Length (s),Recorder,Microphone,Accessory,Channels,eBird Checklist ID,Air Temp (C),Water Temp (C),Habitat,Regional Habitat,Physical Feature,Public Note,Subject Note,Equipment Note,Class,Order,Family,Taxonomic Sort
172969,Audio,Loxia curvirostra,Red Crossbill,,,"Mundinger, Paul C",1970,5,,"",,,,"",,,,,call; song,,Not Provided,,Captive,,4,0,1997,,,,Mono,,,,,,,"70-23 Red Crossbills.  Box notes: 70-23. Red Crosbillls, male, female. Female w/ bad feet. Red Crossbills: Female 21-166-213 (bad feet). 0-174. Male -/Al 29-166-260. 175-564.",,,Aves,Passeriformes,Fringillidae,306920
169732,Audio,Loxia curvirostra (type 2),Red Crossbill (Ponderosa Pine or type 2),Junco hyemalis [oreganus Group] -- Dark-eyed Junco (Oregon); Poecile gambeli -- Mountain Chickadee; Sitta carolinensis -- White-breasted Nuthatch; Contopus sordidulus -- Western Wood-Pewee,,"McGowan, Jay W",2012,6,15,810,United States,California,Sierra,12.0 km S of Portola; Carman Valley,39.7027685,-120.4395747,,Adult Unknown Sex (1),call; song,Natural,Certain,Sight and Sound,,,4,0,410,NAGRA ARES-BB+,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,,,,"One bird flying in, then singing from the top of a pine on the edge of the pine forest.",,,Aves,Passeriformes,Fringillidae,30996
138318,Audio,Loxia curvirostra,Red Crossbill,,,"Goetz, James E",2006,8,6,1024,United States,New York,Madison,"Muller Hill Rd., Muller Hill State Forest",42.7696,-75.7865833,595,Adult Male (1),call; song,,Certain,Sound,,,4,0,127,NAGRA ARES-BB+,,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Mono,,,,,,," NOTES: ""Pretty red male""",,,Aves,Passeriformes,Fringillidae,306920
138310,Audio,Loxia curvirostra (type 1),Red Crossbill (Appalachian or type 1),,,"Budney, Gregory F; Young, Matthew A",2006,8,6,840,United States,New York,Madison,"Muller Hill Rd., Muller Hill State Forest",42.7696,-75.7865833,595,Adult Male (1),call; song,,Certain,Sound,,,4,0,268,NAGRA ARES-BB+,,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Mono,,,,Forest; Coniferous Forest,,,,,,Aves,Passeriformes,Fringillidae,30995
138309,Audio,Loxia curvirostra,Red Crossbill,,,"Budney, Gregory F; Young, Matthew A",2006,8,6,834,United States,New York,Madison,"Muller Hill Rd., Muller Hill State Forest",42.7696,-75.7865833,595,Adult Male (1),call; song,,Certain,Sound,,,4,0,181,NAGRA ARES-BB+,,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Mono,,,,Forest; Coniferous Forest,,,,,,Aves,Passeriformes,Fringillidae,306920
138303,Audio,Loxia curvirostra,Red Crossbill,,,"Budney, Gregory F; Young, Matthew A",2006,8,6,737,United States,New York,Madison,"Muller Hill Rd., Muller Hill State Forest",42.7696,-75.7865833,595,Unknown Age Unknown Sex (1),song,Natural,Certain,Sound,,,4,0,151,NAGRA ARES-BB+,,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Mono,,,,Forest; Coniferous Forest,,,,,,Aves,Passeriformes,Fringillidae,306920
137498,Audio,Loxia curvirostra,Red Crossbill,,,"Budney, Gregory F; Young, Matthew A",2006,8,5,740,United States,New York,Madison,Muller Hill Rd,42.7696,-75.7865833,595,Unknown Age Unknown Sex (2),song,Natural,Not Provided,,,,4,0,176,NAGRA ARES-BB+,,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Mono,,,,Forest; Coniferous Forest,,,"NOTES: Recorded with stereo mic, but to only one channel. mf",,,Aves,Passeriformes,Fringillidae,306920
137497,Audio,Loxia curvirostra (type 1),Red Crossbill (Appalachian or type 1),,,"Budney, Gregory F; Young, Matthew A",2006,8,5,726,United States,New York,Madison,Muller Hill Rd,42.7696,-75.7865833,595,Unknown Age Unknown Sex (2),call; mechanical sound,Natural,Not Provided,,,,4,0,606,NAGRA ARES-BB+,,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Mono,,,,Forest; Coniferous Forest,,,"NOTES: Recorded with stereo mic, but to only one channel. mf",,,Aves,Passeriformes,Fringillidae,30995
134103,Audio,Loxia curvirostra,Red Crossbill,,,"Fischer, Martha J",2007,7,5,1330,Canada,Newfoundland and Labrador,,"Whitbourne, at Lester Rees' home",47.4159333,-53.5204833,,Adult Male (1),call; song,Natural,Certain,Sight and Sound,,,4,0,950,NAGRA ARES-BB+,,,Mono,,,,Coniferous Forest; Deciduous Forest; Suburban; Yard,,Second-growth," NOTES: ZSys lo shelf filter -95db @180Hz.   Used Greg Clark 30"" cut off parabola.",,,Aves,Passeriformes,Fringillidae,306920
133370,Audio,Loxia curvirostra,Red Crossbill,Spinus pinus -- Pine Siskin; Haemorhous purpureus -- Purple Finch,,"Keller, Geoffrey A",2007,7,5,1330,Canada,Newfoundland and Labrador,,"Newfoundland; Whitbourne, at Lester Rees' house",47.4159333,-53.5204833,50,Adult Male (2),advertise; call; song,Natural,Certain,Sight and Sound,,,4,0,1248,HHB PORTADAT PDR 1000,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Coniferous Forest; Deciduous Forest; Suburban; Yard,,,,,,Aves,Passeriformes,Fringillidae,306920
120423,Audio,Loxia curvirostra (type 2),Red Crossbill (Ponderosa Pine or type 2),,,"Keller, Geoffrey A",2002,6,7,558,United States,California,Sierra,1.6 km S of Yuba Pass; on the Ridge Trail,,,2070,,call,,Certain,Sight,,,4,0,63,HHB PORTADAT PDR 1000,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,," NOTES: ""Brief vocalization of flight calls of a small flock... Birds were vocalizing from high in canopy of large fir tree...""",,,Aves,Passeriformes,Fringillidae,30996
119400,Audio,Loxia curvirostra (type 2),Red Crossbill (Ponderosa Pine or type 2),,,"Keller, Geoffrey A",2001,5,29,538,United States,California,,27.4 km S of Onyx; Piute Mountains,,,1950,,,,Certain,Sight,,,4,0,190,HHB PORTADAT PDR 1000,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,," NOTES: ""A pair of Red Crossbills... Two birds were present in very top of 80 foot Ponderosa Pine tree... Sunrise will be at approximately 5:50.""",,,Aves,Passeriformes,Fringillidae,30996
111131,Audio,Loxia curvirostra,Red Crossbill,,,"Sander, Thomas G",1990,6,1,0,United States,Oregon,Deschutes,N of Sisters; forest road,,,,,,,Not Provided,,,,4,0,194,NAGRA IV-S,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Pond,,," NOTES: (AOU #9999. NM: Y.) BNA: Calls. T. G. Sander notes from reel box: ""I don't know if these double-note calls belong to immatures or what.  There were two distant males and two females or immatures.  When I was recording the double-note calls the only birds present were the non-red birds.  After some thought, I'm sure these vocs. belong to an immature.  transcribed by MJA, 25 July 2005.",,,Aves,Passeriformes,Fringillidae,306920
111104,Audio,Loxia curvirostra (type 2),Red Crossbill (Ponderosa Pine or type 2),,,"Sander, Thomas G",1990,4,20,0,United States,Oregon,Deschutes,near Sisters,,,,,,,Not Provided,,,,4,0,50,NAGRA IV-S,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Evergreen Forest; Coniferous Forest,,," NOTES: (AOU #9999.  NM: Y. Habitat: ponderosa Pine, mixed canopy.) Single individual.",,,Aves,Passeriformes,Fringillidae,30996
111103,Audio,Loxia curvirostra (type 2),Red Crossbill (Ponderosa Pine or type 2),,,"Sander, Thomas G",1990,4,20,0,United States,Oregon,Deschutes,near Sisters,,,,,call,,Not Provided,,,,4,0,112,NAGRA IV-S,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,," NOTES: (AOU #9999. NM: Y.) ""pick-pick"" call notes",,,Aves,Passeriformes,Fringillidae,30996
106640,Audio,Loxia curvirostra,Red Crossbill,Poecile gambeli -- Mountain Chickadee; Troglodytes aedon -- House Wren,,"Little, Randolph S",1994,6,11,545,United States,California,,12.0 km S of Portola; Carman Valley,39.7166667,-120.4666667,1550,Adult Male (1),advertise; song,Natural,Certain,Sight and Sound,,,4,0,74,NAGRA IV-D,,Parabola 91.4cm/30.5cm (36in/12in),Mono,,,,Forest; Evergreen Forest; Coniferous Forest,,Second-growth,"NOTES: (Species Sound: frequent; Social Contact: flock?, family?; Breeding Status: not territorial, not breeding?; General Climate: arid; Cover Density: medium)",,,Aves,Passeriformes,Fringillidae,306920
105470,Audio,Loxia curvirostra,Red Crossbill,Setophaga pensylvanica -- Chestnut-sided Warbler; Setophaga virens -- Black-throated Green Warbler; Passerina cyanea -- Indigo Bunting; Pipilo erythrophthalmus -- Eastern Towhee; Regulus satrapa -- Golden-crowned Kinglet,,"Keller, Geoffrey A",1994,6,6,842,United States,North Carolina,,48.0 km SW of Asheville; Blue Ridge Parkway; Haywood Co./Transylvania Co.,,,1880,,call,Natural,Certain,Sound,,,4,0,154,UHER 4200 REPORT MONITOR,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Coniferous Forest; Deciduous Forest; Mixed Coniferous/Deciduous,,, NOTES: calls and song? from top of spruce; small flock but may be one adult male singing, Number of individuals=AUc5-10; ,,Aves,Passeriformes,Fringillidae,306920
