ML Catalog #,Format,Scientific Name,Common Name,Background Species,Subtitle,Recordist,Year,Month,Day,Time,Country,State,County,Locality,Latitude,Longitude,Elevation (m),AgeSex,Behavior,Stimulus,Confidence In ID,How Identified,Captive,Specimen,Quality,Audio Quality For Video,Cut Length (s),Recorder,Microphone,Accessory,Channels,eBird Checklist ID,Air Temp (C),Water Temp (C),Habitat,Regional Habitat,Physical Feature,Public Note,Subject Note,Equipment Note,Class,Order,Family,Taxonomic Sort
179521,Audio,Hydroprogne caspia; Larus delawarensis,Caspian Tern; Ring-billed Gull,,,"McCartt, David A",2008,6,21,942,United States,New York,Jefferson,Lake Ontario; Little Galloo Island,43.8856866,-76.3954926,,,call; emit alarm; scold,Natural,Certain,Sight and Sound,,,4,0,1356,FOSTEX FR-2,Sennheiser MKH 20; Sennheiser MKH 30,,Stereo,,,,,,,,Breeding colony.; Breeding colony.,Decoded MS stereo,Aves,Charadriiformes,Laridae,42910
122644,Audio,Larus delawarensis,Ring-billed Gull,,,"Macaulay, Linda R",2003,3,,900,United States,Connecticut,Fairfield,S of Greenwich,,,,,call,Natural,Certain,Sight and Sound,,,4,0,131,,,,Mono,,,,,,," NOTES: at edge of water on beach, tide out, large flock", Number of individuals=UU45+; ,,Aves,Charadriiformes,Laridae,41650
59269,Audio,Larus delawarensis,Ring-billed Gull,Larus argentatus -- Herring Gull,,"Gunn, William W. H. ; Gunn, Lucie R",1963,7,20,0,Canada,Ontario,,Lake Ontario; Long Point Beach,,,,,call,,Certain,Sight and Sound,Captive,,4,0,141,,,,,,,,Lake,,,NOTES: Distress sounds from individuals captured in net and held in hand in banders' cottage  Take 1:      0:50  adult ring-bill;      Take 2:      1:18  adult rbg.        Take 3:    immature rbg  0:40.  Also: Herring Gull in bkgd. take 1  N.B. Call of immature different from adults',Sound stimulation was (other): hand held birds.,,Aves,Charadriiformes,Laridae,41650
3334,Audio,Larus delawarensis,Ring-billed Gull,,,"Little, Randolph S; Brockelman, Warren Y",1961,7,2,1000,United States,Montana,,BOWDOIN NAT. WILDLIFE REFUGE,,,685,,Social context: colony; call; fly,,Not Provided,,,,4,0,128,NAGRA III-B,,Parabola 91.4cm (36in),Mono,,,,Lake,,, NOTES: PURE COLONY OF RING-BILLED GULLS. CALLING ABOVE NESTING AREA.,,,Aves,Charadriiformes,Laridae,41650
190963,Audio,Larus delawarensis,Ring-billed Gull,Corvus brachyrhynchos -- American Crow; Branta canadensis -- Canada Goose,,"Little, Randolph S",2013,3,26,1112,United States,New Jersey,Hunterdon,Spruce Run Reservoir; main boat launching and storage area,40.661333,-74.926666,80,Adult Unknown Sex (40),call; emit alarm; establish flock contact; fly,Natural,Certain,Sight and Sound,,,3,0,357,NAGRA LB,Sennheiser ME 67,,Mono,,,,,,,Habitat: Sandy beach on fresh water reservoir,,,Aves,Charadriiformes,Laridae,44550
177653,Audio,Larus delawarensis,Ring-billed Gull,,,"McGowan, Jay W",2013,7,29,620,United States,New York,Tompkins,Town of Lansing; Myers Point,42.5366989,-76.5496659,,Unknown Age Unknown Sex (1),call,Natural,Certain,Sight and Sound,,,3,0,33,Roland R-26,Sennheiser MKH 20,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Mono,,,,,,,Long call.  LNS: 100Hz AUHipass filter applied in soundBlade.,,,Aves,Charadriiformes,Laridae,41650
169780,Audio,Larus delawarensis; Larus argentatus,Ring-billed Gull; Herring Gull,,,"McGowan, Jay W",2012,11,29,1243,United States,New York,Tompkins,5.0 km E of Ithaca; Town of Dryden; Cornell University compost facility,42.4469322,-76.4377642,,Unknown Age Unknown Sex (50); Unknown Age Unknown Sex (15),call,Natural,Certain,Sight and Sound,,,3,0,605,NAGRA ARES-BB+,Telinga Pro 8,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,,,,Flock of mostly Ring-billed with a few Herring gulls foraging on ground between compost piles.,,,Aves,Charadriiformes,Laridae,41650
59270,Audio,Larus delawarensis,Ring-billed Gull,,,"Gunn, William W. H. ; Gunn, Lucie R",1963,7,20,0,Canada,Ontario,,Lake Ontario; Long Point Beach,,,,Adult Unknown Sex (1),call,,Certain,Sight and Sound,Captive,,3,0,330,NAGRA III,,Parabola 61cm (24in),,,,,Lake,,,Distress sounds from adult released after overnight captivity. It was too weak to fly and walked into long sedges which impeded it and it called when I approached and followed it.  ,,Nagra61-1281.,Aves,Charadriiformes,Laridae,44550
3336,Audio,Larus delawarensis,Ring-billed Gull,,,"Stein, Robert C; Gunn, William W. H. ",1963,4,21,"",United States,Florida,,PORT CANAVERAL,,,,,call; fly,,Not Provided,,,,3,0,10,NAGRA III-B,,Parabola 91.4cm/30.5cm (36in/12in),Mono,,,,,,Sand, NOTES:  Weather: WIND; SANDY HARBOR. EVENING. A FEW BIRDS. USUAL CALL.,,,Aves,Charadriiformes,Laridae,41650
3335,Audio,Larus delawarensis,Ring-billed Gull,Larus delawarensis -- Ring-billed Gull,,"Little, Randolph S; Brockelman, Warren Y",1961,7,2,0,United States,Montana,,BOWDOIN NAT. WILDLIFE REFUGE,,,685,,call,,Not Provided,,Captive,,3,0,55,NAGRA III-B,,Parabola 91.4cm (36in),Mono,,,,Lake,,,Hand-held bird.,,,Aves,Charadriiformes,Laridae,41650
3333,Audio,Larus delawarensis,Ring-billed Gull,,,"Moynihan, Martin ",1955,7,7,0,,,,"",,,,,,,Not Provided,,,,3,0,41,,,,,,,,,,,,,,Aves,Charadriiformes,Laridae,41650
3332,Audio,Larus delawarensis,Ring-billed Gull,,,"Moynihan, Martin ",1955,7,,0,,,,"",,,,,,,Not Provided,,,,3,0,46,,,,,,,,,,,,,,Aves,Charadriiformes,Laridae,41650
3328,Audio,Larus delawarensis,Ring-billed Gull,,,"Allen, Arthur A; Kellogg, Peter Paul ",1953,6,7,0,Canada,Quebec,,Gull Island; Mouth Of Foreman's River,,,,,,,Not Provided,,,,3,0,296,MAGNEMITE UNSPECIFIED MODEL,,,,,,,,,, NOTES:  Weather: WIND; FLOCK SOUNDS. RECORDED ON NESTING GOUND. PART 1: WITH PARABOLA; 5:00. PART 2: WITHOUT PARABOLA; 0:45.,,,Aves,Charadriiformes,Laridae,41650
59272,Audio,Larus delawarensis,Ring-billed Gull,,,"Gunn, William W. H. ; Gunn, Lucie R",1967,1,9,0,United States,Florida,,Sanibel Island beach,,,,,call; fly; forage,,Certain,Sight and Sound,,,2,0,382,,,,,,,,,,, NOTES: About 10 - 12 birds coming for foodsurf in backgroundAlso: vehicle traffic or boats., Number of individuals=UU10-12; ,,Aves,Charadriiformes,Laridae,41650
59268,Audio,Larus delawarensis,Ring-billed Gull,Sterna sp. -- Sterna sp.,,"Gunn, William W. H. ; Gunn, Lucie R",1963,7,8,0,Canada,Ontario,,Lake Ontario ; Toronto Bay - Mugg's Island,,,,Juvenile Unknown Sex (1),call,,Certain,Sight and Sound,,,2,0,55,NAGRA III,,,,,,,Lake,,," NOTES: Distress calls from yg. bird, unable to fly.  Held in hand  Also: gull colony, terns, voices; Nagra61-1281.",,,Aves,Charadriiformes,Laridae,4319
59267,Audio,Larus delawarensis,Ring-billed Gull,Sterna hirundo -- Common Tern,,"Gunn, William W. H. ; Gunn, Lucie R",1963,7,8,0,Canada,Ontario,,Lake Ontario ; Toronto Bay - Mugg's Island,,,,,Social context: colony; call; fly; roost,,Certain,Sight and Sound,,,2,0,555,NAGRA III,,Parabola 61cm (24in),,,,,Lake,,," NOTES: Some birds in air, some on water, land.  General sounds of birds at breeding colony. Banders intruding. A number of takes. Yg. birds present. Better after 3 min   and    8 min. Some overloading of louder screams.  Also: Common terns, wind, wash of small waves on shore, power boat (distant)  Q 2-3; Nagra61-1281.", Number of individuals=AU1+IU1+; ,,Aves,Charadriiformes,Laridae,41650
3339,Audio,Larus delawarensis,Ring-billed Gull,,,"Allen, Arthur A",,,,"",Canada,,,"",,,,,,,Not Provided,,,,2,0,82,,,,,,,,,,,Colony of Larus argentatus mews and L. delawarensis. ,,,Aves,Charadriiformes,Laridae,41650
3337,Audio,Larus delawarensis,Ring-billed Gull,,,"Stein, Robert C; Gunn, William W. H. ",1963,5,1,600,United States,Florida,,MERRITT ISLAND; NEAR TITUSVILLE,,,,,fly,,Not Provided,Sight and Sound,,,2,0,13,NAGRA III-B,,Parabola 61cm/15cm (24in/6in),Mono,,,,Wetland; Marine; Salt Marsh,,,,,,Aves,Charadriiformes,Laridae,41650
3331,Audio,Larus delawarensis,Ring-billed Gull,,,"Moynihan, Martin ",1955,7,,0,,,,"",,,,,,,Not Provided,,,,2,0,55,,,,Mono,,,,,,,NOTES: CHICK JUST HATCHING--THROUGH THE SHELL BUT NOT THROUGH THE MEMBRANE.  PRENATAL,,,Aves,Charadriiformes,Laridae,41650
3330,Audio,Larus delawarensis,Ring-billed Gull,,,"Moynihan, Martin ",1955,7,27,0,,,,"",,,,,,,Not Provided,,,,2,0,267,,,,Mono,,,,,,,NOTES: TAME GULLS--YOUNG.,,,Aves,Charadriiformes,Laridae,41650
3338,Audio,Larus delawarensis,Ring-billed Gull,Agelaius phoeniceus -- Red-winged Blackbird,,"Stein, Robert C",1963,5,3,"",United States,South Carolina,,St. Johns,,,,Adult Male (1),advertise; court; fly,,Not Provided,Sight and Sound,,,1,0,20,NAGRA III-B,,Parabola 61cm (24in),Mono,,,,Wetland; Marine; Salt Marsh,,Edge,,,,Aves,Charadriiformes,Laridae,41650
3329,Audio,Larus delawarensis,Ring-billed Gull,,,"Moynihan, Martin ",1955,7,17,0,,,,"",,,,,,,Not Provided,,,,1,0,58,,,,Mono,,,,,,,NOTES: TAME GULLS--'BLUE TAIL' IS YOUNG RING-BILLED GULL.,,,Aves,Charadriiformes,Laridae,41650
