ML Catalog #,Format,Scientific Name,Common Name,Background Species,Subtitle,Recordist,Year,Month,Day,Time,Country,State,County,Locality,Latitude,Longitude,Elevation (m),AgeSex,Behavior,Stimulus,Confidence In ID,How Identified,Captive,Specimen,Quality,Audio Quality For Video,Cut Length (s),Recorder,Microphone,Accessory,Channels,eBird Checklist ID,Air Temp (C),Water Temp (C),Habitat,Regional Habitat,Physical Feature,Public Note,Subject Note,Equipment Note,Class,Order,Family,Taxonomic Sort
206445,Audio,Regulus calendula,Ruby-crowned Kinglet,,,"McGuire, Bob ",2015,6,2,550,United States,Alaska,,Deadman Lake. Tetlin NWR.,62.8906001,-141.5481949,,Adult Male (1),song,Natural,Certain,Sight and Sound,,,5,0,459,SOUND DEVICES 702,Telinga Pro 7,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Mono,,,,,,,,,Telinga Pro 7 set on mono mode.,Aves,Passeriformes,Regulidae,21939
206437,Audio,Regulus calendula,Ruby-crowned Kinglet,,,"McGuire, Bob ",2015,6,1,1046,United States,Alaska,,Highway 2. Tetlin NWR. Hidden Lake Trail.,62.79432,-141.30109,,Adult Male (1),song,Natural,Certain,Sight and Sound,,,5,0,189,SOUND DEVICES 702,Telinga Pro 7,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Mono,,,,,,,,,Telinga Pro 7 set on mono mode.,Aves,Passeriformes,Regulidae,21939
197097,Audio,Regulus calendula,Ruby-crowned Kinglet,,,"McGuire, Bob ",2011,7,4,535,Canada,Quebec,,Parc d'Aiguebelle,48.4490162,-78.6998749,,Adult Male (1),song,Natural,Certain,Sight and Sound,,,5,0,209,SOUND DEVICES 702,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,,,,,,,Aves,Passeriformes,Regulidae,216450
136164,Audio,Regulus calendula,Ruby-crowned Kinglet,,,"Medler, Matthew D",2007,6,17,732,Canada,Quebec,,Route de la Baie-James,50.82592,-77.61951,,Adult Male (1),song,Natural,Certain,Sight and Sound,,,5,0,371,MARANTZ PMD 670,,Roché Parabola 60cm/14.5cm (23.6in/5.7in),Mono,,,,Coniferous Forest,,,,,,Aves,Passeriformes,Regulidae,216450
120415,Audio,Regulus calendula,Ruby-crowned Kinglet,,,"Keller, Geoffrey A",2002,6,5,623,United States,California,Kern,Inyo National Forest; near Horseshoe Campground,,,3050,,song,,Certain,Sight,,,5,0,610,HHB PORTADAT PDR 1000,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,," NOTES: ""Bird was vocalizing from very top   of medium  sized Bristle-cone Pine tree...",,,Aves,Passeriformes,Regulidae,216450
94354,Audio,Regulus calendula,Ruby-crowned Kinglet,,,"Hershberger, Wilbur L",1998,5,24,640,United States,New York,,Wakely Mountain,43.7333333,-74.5155556,1124,Adult Male (1),call; establish flock contact; scold,Pish,Certain,Sight and Sound,,,5,0,121,SONY TCD-D10 PRO II,Sennheiser ME 62,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Coniferous Forest; Deciduous Forest,,," NOTES: Filtered at 250 Hz for wind.   [This represents primarily a rather atypical call, if not subsong - CAM - 10 November 2004]",,,Aves,Passeriformes,Regulidae,216450
49741,Audio,Regulus calendula,Ruby-crowned Kinglet,,,"Colver, Kevin J",1990,6,29,657,United States,Utah,Utah,"",39.3,-111.75,3000,Adult Male (1),advertise; forage; song,Natural,Certain,Sight and Sound,,,5,0,38,SONY TCD-D10,,Roché Parabola 60cm/14.5cm (23.6in/5.7in),Mono,,,,Forest; Coniferous Forest; Montane Grassland; Meadow; Stream,,," NOTES: (RRN: 90-22-2,18; Cut#: 2, 18; General Climate: cyclic wet-dry; Cover Denstiy: medium; Weather: breeze; Filtering: no) **** Good call but only 1 sequence recorded before bird flew away on cut 2.  Cut 18 **.           BNA: Song. mf",,,Aves,Passeriformes,Regulidae,216450
47706,Audio,Regulus calendula,Ruby-crowned Kinglet,,,"Herr, David S",1990,6,23,715,United States,Washington,,19.0 km NE of Walla Walla; Lewis Peak Rd.,46.1666667,-118.1166667,1060,Adult Unknown Sex (1),advertise; song,Natural,Certain,Sound,,,5,0,57,NAGRA IV-D,,Parabola 76.2cm (30in),Mono,,,,Forest; Coniferous Forest,,, NOTES: NOTES ON DATA FORM: Nice recording.         BNA: Song. Chatter call. mf,,,Aves,Passeriformes,Regulidae,216450
14580,Audio,Regulus calendula,Ruby-crowned Kinglet,Turdus migratorius -- American Robin,,"Stein, Robert C; Little, Randolph S",1962,6,8,1830,Canada,New Brunswick,,Grand Manan Island; Middle Dam Pond,,,,Adult Male (1),call; song,,Not Provided,Sight and Sound,,,5,0,440,NAGRA III-B,,Parabola 91.4cm/30.5cm (36in/12in),Mono,,,,,,, NOTES: JUMBLEOF MUSICAL NOTES AND NON-MUSICAL NOTES. ADVERTISEMENT (AND DEFENSE ?). Other recordist(s): BONDESEN P.;,,,Aves,Passeriformes,Regulidae,216450
204494,Audio,Regulus calendula,Ruby-crowned Kinglet,,,"Budney, Gregory F",1998,6,4,530,United States,New York,Franklin,Adirondack Park; Boreal Heritage Preserve,,,,,song,,Not Provided,,,,4,0,150,HHB PORTADAT PDR 1000,Sennheiser MKH 70,Roché Parabola 60cm/14.5cm (23.6in/5.7in),Mono,,,,,,,,,,Aves,Passeriformes,Regulidae,21939
203151,Audio,Regulus calendula,Ruby-crowned Kinglet,,,"Binning, Adele ",2012,5,23,1430,United States,Minnesota,,Superior National Forest; Cloquet Line,,,,Adult Male (1),song,Natural,Certain,Sound,,,4,0,151,MARANTZ PMD 661,Sennheiser,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Mono,,,,,,,"Singing song with many repeated phrases, more than the average song.",,,Aves,Passeriformes,Regulidae,226990
199005,Audio,Regulus calendula,Ruby-crowned Kinglet,,,"McGuire, Bob ",2010,4,20,754,United States,New York,Tompkins,Shindagin Hollow State Forest,42.3302505,-76.338501,,Adult Male (1); Adult Unknown Sex (1),call; song,Natural,Certain,,,,4,0,523,SOUND DEVICES 702,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,,,,,,,Aves,Passeriformes,Regulidae,226990
197111,Audio,Regulus calendula,Ruby-crowned Kinglet,Sitta canadensis -- Red-breasted Nuthatch; Zonotrichia albicollis -- White-throated Sparrow,,"McGuire, Bob ",2011,7,5,554,Canada,Quebec,,Parc d'Aiguebelle,48.4490162,-78.6998749,,Adult Male (1),song,Natural,Certain,Sight and Sound,,,4,0,195,SOUND DEVICES 702,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,,,,,,,Aves,Passeriformes,Regulidae,216450
133328,Audio,Regulus calendula,Ruby-crowned Kinglet,,,"Keller, Geoffrey A",2007,6,28,610,Canada,Nova Scotia,,Cape Breton; Cape Breton Highlands National Park; trail to Lake Benjies,,,,Adult Male (1),advertise; song,Natural,Certain,Sound,,,4,0,190,NAGRA ARES-BB+,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Coniferous Forest,,,,,,Aves,Passeriformes,Regulidae,216450
130933,Audio,Regulus calendula,Ruby-crowned Kinglet,Setophaga coronata -- Yellow-rumped Warbler,,"Vyn, Gerrit ",2006,5,31,446,United States,Alaska,Fairbanks North Star,Ester; Standard Creek Road,,,,Adult Male (1),advertise; call; song,Natural,Certain,Sight and Sound,,,4,0,209,NAGRA ARES-BB+,,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,Forest; Evergreen Forest; Coniferous Forest; Deciduous Forest; Bog,,,,,,Aves,Passeriformes,Regulidae,216450
130926,Audio,Regulus calendula,Ruby-crowned Kinglet,Poecile hudsonicus -- Boreal Chickadee,,"Vyn, Gerrit ",2006,5,30,1038,United States,Alaska,Fairbanks North Star,Ester; Standard Creek Road,,,,,call; emit alarm,Natural,Certain,Sight and Sound,,,4,0,230,NAGRA ARES-BB+,,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,Forest; Evergreen Forest; Coniferous Forest; Deciduous Forest,,, NOTES: Bird giving alarm calls in response to two fly-through Accipiter striatus. This bird gives song in LNS130926.,,,Aves,Passeriformes,Regulidae,216450
