ML Catalog #,Format,Scientific Name,Common Name,Background Species,Subtitle,Recordist,Year,Month,Day,Time,Country,State,County,Locality,Latitude,Longitude,Elevation (m),AgeSex,Behavior,Stimulus,Confidence In ID,How Identified,Captive,Specimen,Quality,Audio Quality For Video,Cut Length (s),Recorder,Microphone,Accessory,Channels,eBird Checklist ID,Air Temp (C),Water Temp (C),Habitat,Regional Habitat,Physical Feature,Public Note,Subject Note,Equipment Note,Class,Order,Family,Taxonomic Sort
206450,Audio,Euphagus carolinus,Rusty Blackbird,,,"McGuire, Bob ",2015,6,2,622,United States,Alaska,,Deadman Lake. Tetlin NWR.,62.8906001,-141.5481949,,Adult Unknown Sex (1),call; wing flaps,Natural,Certain,Sight and Sound,,,5,0,18,SOUND DEVICES 702,Telinga Pro 7,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Mono,,,,,,,,,Telinga Pro 7 set on mono mode.,Aves,Passeriformes,Icteridae,30416
206460,Audio,Euphagus carolinus,Rusty Blackbird,,,"McGuire, Bob ",2015,6,3,656,United States,Alaska,,Along Alaska Rt 2 at Moon Lake. ,63.3784085,-143.5563755,,Adult Male (1),song,Natural,Certain,Sight and Sound,,,4,0,56,SOUND DEVICES 702,Telinga Pro 7,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Mono,,,,,,,,,Telinga Pro 7 set on mono mode.,Aves,Passeriformes,Icteridae,30416
206444,Audio,Euphagus carolinus,Rusty Blackbird,,,"McGuire, Bob ",2015,6,2,529,United States,Alaska,,Deadman Lake. Tetlin NWR.,62.8906001,-141.5481949,,Adult Male (1),call,Natural,Certain,Sight and Sound,,,4,0,151,SOUND DEVICES 702,Telinga Pro 7,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Mono,,,,,,,,,Telinga Pro 7 set on mono mode.,Aves,Passeriformes,Icteridae,30416
170757,Audio,Euphagus carolinus,Rusty Blackbird,,,"McCartt, David A",2012,3,21,851,United States,New York,Jefferson,Henderson; Military Rd.,43.8682095,-76.2587643,,Adult Unknown Sex (20),,,Certain,,,,4,0,185,NAGRA ARES-BB+,Telinga Pro 6,,Stereo,,,,Mixed Coniferous/Deciduous; Field,,,,,,Aves,Passeriformes,Icteridae,301510
136172,Audio,Euphagus carolinus,Rusty Blackbird,,,"Medler, Matthew D",2007,6,17,1112,Canada,Quebec,,Route de la Baie-James,50.91111,-77.64709,,Adult Female (1); Adult Male (1),call; emit alarm; song,Natural,Certain,Sight and Sound,,,4,0,154,MARANTZ PMD 670,,Roché Parabola 60cm/14.5cm (23.6in/5.7in),Mono,,,,Forest; Coniferous Forest; Pond,,," NOTES: Two sequences of calls, with one song at end of second sequence (but noise from approaching car in background of song).",,,Aves,Passeriformes,Icteridae,301510
57525,Audio,Euphagus carolinus,Rusty Blackbird,Troglodytes hiemalis -- Winter Wren; Cardellina canadensis -- Canada Warbler,,"Gunn, William W. H. ",1956,7,5,0,Canada,Ontario,,E of Long Lac,,,,Adult Female (1),call; emit alarm,Natural,Certain,Sight and Sound,,,4,0,180,,,Parabola 101.6cm (40in),,,,,,,,"NOTES: 35 miles East of Long Lac, on Hwy 11.  ""Alarm notes of male carrying food.""    [This contains both the ""Check"" calls and what appear to be the ""downslurred whistles"" of BNA.  Both calls occur throughout the recording, with whistles at 0:11, 0:15, 0:19, 0:22, 0:25, 0:28, 0:30, 0:34, 0:41, 0:46, 0:49, 0:53, 0:57, 1:15-2:02 (11 distant examples), 2:10, 2:17, 2:23, 2:40, 2:48, and 2:53.  The BEST ""Check"" Calls alone are at 2:26-2:39 and BEST whistles are at 0:15-0:35.  Note, however, that the whistles are different from that shown in Figure 2C of BNA account both structurally and in the sound frequency of the note.  Quality added (2-1, but with quite a bit of hiss) - CAM - 19 January 2005]",,,Aves,Passeriformes,Icteridae,301510
12458,Audio,Euphagus carolinus,Rusty Blackbird,Agelaius phoeniceus -- Red-winged Blackbird; Melospiza georgiana -- Swamp Sparrow,,"Stein, Robert C; Morton, Eugene S",1964,4,24,830,United States,New York,Tompkins,S. END OF DRYDEN LAKE; DRYDEN TWP.,,,,,court; perform visual display,,Not Provided,Sight and Sound,,,4,0,124,NAGRA III-B,,Parabola 101.6cm/30.5cm (40in/12in),Mono,,,,Deciduous Forest; Lake,,Edge," NOTES: TAIL AND WING SPREAD.  3 MALE(S); 1 FEMALE(S)  LNS Note: Unbroken cut with internal recordist announcement/handling noise gain change (MJA, 14Feb2005).  BNA: [This appears to represent the ""less rhythmic"" song of BNA.  Although all examples end with a pure tone, none begin with one.  Scattered throughout the recording are ""check"" calls.  There is an odd alternating between right and left channels in this recording, especially in the first part.  Quality unchanged (2-1, apart from the sound alternating between channels when using a stereo head; use a full-track mono head to play this recording (original recording is a full-track mono)) - CAM - 19 January 2005]",,,Aves,Passeriformes,Icteridae,315440
12456,Audio,Euphagus carolinus,Rusty Blackbird,Parkesia noveboracensis -- Northern Waterthrush; Zonotrichia albicollis -- White-throated Sparrow; Melospiza georgiana -- Swamp Sparrow,,"Kellogg, Peter Paul ; Miller, John ",1959,5,31,0,United States,New York,,LITTLE SIMON POND; NEAR TUPPER LAKE,,,,,call; scold; song,,Not Provided,,,,4,0,583,MAGNEMITE UNSPECIFIED MODEL,,Parabola 101.6cm (40in),Mono,,,,Pond,,," NOTES: LNS Note: Unbroken cut with internal recordist announcement/handling noise gain change (MJA, 14Feb2005).   Background: SEIURUS NOVABORACENSIS (FLIGHT SONG); MALE AND FEMALE FEEDING YOUNG. SCOLDING OF BOTH MALE AND FEMALE. RUSTY-GATE SONGS AT 0:18; 2:26; 3:57; 7:36; 7:45.  JUVENILE(S); ADULT(S); MALE(S); FEMALE(S)  BNA: [This represents primarily the ""check"" calls of BNA but with single songs at 0:15, 2:23, 3:52, 7:29, and 7:38 (slightly earlier than noted above).  All five of these songs appear to be the ""less rhythmic"" songs of BNA, but all include pure tones at the end.  Harsh grating calls 8:23-8:26 and 8:34-9:35 were apparently given in nest defense, and soft begging calls in the background between 4:04 and 4:39 were presumably given by nestlings based on a voice announcement that bird was ""feeding"" at this time.  Quality unchanged (2-1, apparently a weak signal) - CAM - 19 January 2005]",,,Aves,Passeriformes,Icteridae,301510
12454,Audio,Euphagus carolinus,Rusty Blackbird,Haemorhous purpureus -- Purple Finch,,"Kellogg, Peter Paul ; Miller, John ",1959,6,,0,United States,New York,,LITTLE SIMON POND; NEAR TUPPER LAKE,,,,,call,Pish,Not Provided,,,,4,0,150,MAGNEMITE UNSPECIFIED MODEL,,Parabola 101.6cm (40in),Mono,,,,Deciduous Forest; Bog; Lake,,Edge," NOTES: MALE AND FEMALE CALLS AT NEST IN RESPONSE TO SQUEAKING.  MALE(S); FEMALE(S)LNS Note: Unbroken cut with internal recordist announcement/handling noise gain change (MJA, 14Feb2005).BNA: [In addition to the ""Check"" Calls described in BNA, this recording contains two other vocalizations that are not mentioned in the account, an upslurred whistle (1:51), and a harsh ""churring.""  The latter two vocalizations were given following ""squeaking"" at an already agitated pair near their nest.  Quality unchanged (1-2) - CAM - 19 January 2005]",,,Aves,Passeriformes,Icteridae,301510
170756,Audio,Euphagus carolinus,Rusty Blackbird,,,"McCartt, David A",2012,3,21,846,United States,New York,Jefferson,Henderson; Military Rd.,43.8682095,-76.2587643,,Adult Unknown Sex (20),,,Certain,,,,3,0,100,NAGRA ARES-BB+,Telinga Pro 6,,Stereo,,,,Mixed Coniferous/Deciduous; Field,,,,,,Aves,Passeriformes,Icteridae,301510
170755,Audio,Euphagus carolinus,Rusty Blackbird,,,"McCartt, David A",2012,3,21,832,United States,New York,Jefferson,Henderson; Military Rd.,43.8682095,-76.2587643,,Adult Unknown Sex (6),call; perch; song,Natural,Certain,,,,3,0,88,NAGRA ARES-BB+,Telinga Pro 6,,Stereo,,,,Mixed Coniferous/Deciduous; Field,,,,,,Aves,Passeriformes,Icteridae,301510
163307,Audio,Euphagus carolinus,Rusty Blackbird,,,"Medler, Matthew D",2010,5,26,819,United States,New York,Franklin,Spring Pond Bog Preserve; Windfall Brook,44.3781043,-74.5018718,,Adult Male (1),song,,Certain,Sight and Sound,,,3,0,298,NAGRA ARES-BB+,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,,,,"A second individual Euphagus carolinus is heard in the background at 2:58 of this recording. I am unsure if the last three songs of this recording, given in rapid succession, are all given by the focal individual, or if the second (higher-pitched) song in the series is given by a second individual.",,,Aves,Passeriformes,Icteridae,301510
163305,Audio,Euphagus carolinus,Rusty Blackbird,,,"Medler, Matthew D",2010,5,26,730,United States,New York,Franklin,Spring Pond Bog Preserve; Windfall Brook,44.3781043,-74.5018718,,Adult Male (1),song,,Certain,Sight and Sound,,,3,0,165,NAGRA ARES-BB+,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,21.0,,Coniferous Forest; Stream Edge,,,,,,Aves,Passeriformes,Icteridae,301510
147832,Audio,Euphagus carolinus,Rusty Blackbird,,,"Clock, Benjamin M",2005,3,22,"",United States,Arkansas,,White River National Wildlife Refuge,34.057271,-91.132536,,,call,,Certain,,,,3,0,92,HHB PORTADAT PDR 1000,Telinga Pro 5,,Stereo,,,,,,,,,,Aves,Passeriformes,Icteridae,301510
