ML Catalog #,Format,Scientific Name,Common Name,Background Species,Subtitle,Recordist,Year,Month,Day,Time,Country,State,County,Locality,Latitude,Longitude,Elevation (m),AgeSex,Behavior,Stimulus,Confidence In ID,How Identified,Captive,Specimen,Quality,Audio Quality For Video,Cut Length (s),Recorder,Microphone,Accessory,Channels,eBird Checklist ID,Air Temp (C),Water Temp (C),Habitat,Regional Habitat,Physical Feature,Public Note,Subject Note,Equipment Note,Class,Order,Family,Taxonomic Sort
174099,Audio,Accipiter striatus,Sharp-shinned Hawk,,,"Budney, Gregory F",1993,5,23,755,United States,New York,Tompkins,Newfield Township; Connecticut Hill Wildlife Management Area; Van Lone Road,,,,Adult Unknown Sex (1),call; emit alarm,Natural,Certain,Sight and Sound,,,4,0,531,NAGRA IV-SD,Telinga Pro III,Parabola (Unknown Diameter/Focal Length),Mono,,7.0,,,,,"Bird's nest was apparently nearby in the surrounding spruce grove plantation. Sharp-shins were found at that same precise location (2-3 birds) as late as 25Jul1993.    Environmental Zone: Temperate  General Habitat: Woods  Habitat Types: Coniferous, Evergreen, Edge  Dominant Plant: Spruce  Strata in Habitat: High, Trunks/limbs  Weather: Clear",Near the nest.,,Aves,Accipitriformes,Accipitridae,26440
130750,Audio,Accipiter striatus,Sharp-shinned Hawk,,,"Budney, Gregory F",1993,5,22,805,United States,New York,Tompkins,Newfield Township; Connecticut Hill Wildlife Management Area; Van Lone Road; Near Newfield Town line marker,,,,Adult Unknown Sex (1),call; emit alarm,Playback Same Species,Certain,Sight and Sound,,,4,0,428,NAGRA IV-SD,Telinga Pro III,Parabola (Unknown Diameter/Focal Length),Mono,,9.0,,,,,,"Response to playback of Sharp-shinned Hawk alarm calls from the Peterson Western Field Guide, Second Edition.",Telinga Pro III was in cut.,Aves,Accipitriformes,Accipitridae,26440
139421,Audio,Accipiter striatus,Sharp-shinned Hawk,,,"D'Alessandro, Anthony ",1996,,,"",United States,New York,Tompkins,"Hawk Barn, Lab of Ornithology",42.4792621,-76.4504671,,Adult Female (1); Adult Male (1),call,Natural,Certain,,Captive,,3,0,1329,,,,Mono,,,,,,,Breeding calls from adult pair at egg-laying stage of breeding; calls primarily from male.,,,Aves,Accipitriformes,Accipitridae,26440
137605,Audio,Accipiter striatus,Sharp-shinned Hawk,Cyanocitta cristata -- Blue Jay,,"McCartt, David A",2007,9,2,1200,United States,New York,Tioga,5.6 km E of Richford,42.3482057,-76.1648387,396,Immature Unknown Sex (1),,,Certain,Sight and Sound,,,3,0,395,NAGRA ARES-BB+,Sennheiser MKH 20,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Mono,,,,Coniferous Forest; Deciduous Forest; Rural,,Second-growth,NOTES: This was a prolonged interaction between an immature A. striaus and up to eight Cyanocitta cristata.  Both species alternated the role of aggressor.,,,Aves,Accipitriformes,Accipitridae,26440
92485,Audio,Accipiter striatus,Sharp-shinned Hawk,,,"Schulenberg, Thomas S",1994,7,15,1135,Peru,Amazonas,,"Upper Rio Comaina, Cordillera del Condor, Puesto Vigilancia 3",-3.9,-78.4166667,1600,,,Natural; Playback Self,Not Provided,,,,3,0,141,SONY TCM-5000EV,,,Mono,,,,River,,, NOTES: Announcement at approximately 11:30 of cassette.  ,,,Aves,Accipitriformes,Accipitridae,26440
59298,Audio,Accipiter striatus,Sharp-shinned Hawk,,,"Gunn, William W. H. ",1970,8,15,0,Canada,Ontario,,Port Sydney,,,,Juvenile Unknown Sex (2); Adult Unknown Sex (1),,,Certain,Sight and Sound,,,3,0,488,,,,,,,,,,,"NOTES: Voices of three birds, with different pitches - probably 1 adult and 2 yg. Adult briefly at 4:25 (food cries?) Good level, but ambient noise also high.  Also: children's voices, hammering, dog bark, crickets, leaf rustle  Q 2-3, 2, 3",,,Aves,Accipitriformes,Accipitridae,26440
27071,Audio,Accipiter striatus,Sharp-shinned Hawk,,,"Plymire, Margery R",1981,9,21,930,United States,Maine,Knox,Port Clyde,43.8333333,-69.1666667,7,Juvenile Male (1),call; emit distress calls; mechanical sound,Natural,Not Provided,,Captive,,3,0,387,NAGRA E,,,Mono,,,,Forest; Coniferous Forest; Riparian,,,"Hand-held bird during banding operation.    The calls of the nuthatches, chickadee(s), raven and the Red Breasted Nuthatch caught in the net were recorded as the hawk was carried toward Marshall Point where it was released.  The hawk's calls during this trip may have been elicited by one or two other Sharp-shinned Hawks overhead.  I was not very successful in capturing these calls as they were usually made when I turned off the microphone.",,,Aves,Accipitriformes,Accipitridae,29670
4153,Audio,Accipiter striatus,Sharp-shinned Hawk,,,"Kellogg, Peter Paul ",1953,7,10,"",United States,New York,Tompkins,Ithaca,,,,,,,Not Provided,,,,3,0,112,MAGNEMITE UNSPECIFIED MODEL,,Parabola 101.6cm (40in),Mono,,,,Forest,,, NOTES: BIRDS NEAR NEST. RECORDED WITH EITHER HEINZ MENG OR RANDY LITTLE. YEAR IS UNCERTAIN BUT IS PROBABLY 1953. BETWEEN BULL PASTURE POND AND RIFLE RANGE.,,,Aves,Accipitriformes,Accipitridae,26440
137606,Audio,Accipiter striatus,Sharp-shinned Hawk,Cyanocitta cristata -- Blue Jay; Cyanocitta cristata -- Blue Jay,,"McCartt, David A",2007,9,3,940,United States,New York,Tioga,5.6 km E of Richford,42.3482057,-76.1648387,396,Immature Unknown Sex (1),,,Certain,Sight and Sound,,,2,0,544,NAGRA ARES-BB+,Sennheiser MKH 20,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Mono,,,,,,,"NOTES: This was a prolonged interaction between one, possibly two, immature A. striaus and up to eight Cyanocitta cristata.  Both species alternated the role of aggressor.",,,Aves,Accipitriformes,Accipitridae,26440
57644,Audio,Accipiter striatus,Sharp-shinned Hawk,,,"Cox, Dorn A",,8,14,1000,United States,Alaska,,Denali Lodge,,,,,call,,Not Provided,,,,2,0,422,,,,Mono,,,,Forest,,,"High, thin keeeeeep vocalization. (Sibley 2000).    Bird annoyed by a squirrel at the bottom of the Spruce tree that it is calling from.",,,Aves,Accipitriformes,Accipitridae,26440
