ML Catalog #,Format,Scientific Name,Common Name,Background Species,Subtitle,Recordist,Year,Month,Day,Time,Country,State,County,Locality,Latitude,Longitude,Elevation (m),AgeSex,Behavior,Stimulus,Confidence In ID,How Identified,Captive,Specimen,Quality,Audio Quality For Video,Cut Length (s),Recorder,Microphone,Accessory,Channels,eBird Checklist ID,Air Temp (C),Water Temp (C),Habitat,Regional Habitat,Physical Feature,Public Note,Subject Note,Equipment Note,Class,Order,Family,Taxonomic Sort
196446,Audio,Melospiza melodia,Song Sparrow,,,"McGuire, Bob ",2014,8,8,720,United States,New York,Cayuga,Summerhill State Forest; Salt Road,42.6597798,-76.3269997,,Adult Unknown Sex (1),call,Natural,Certain,Sight and Sound,,,5,0,425,SOUND DEVICES 702,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,,,,,,,Aves,Passeriformes,Emberizidae,295770
191231,Audio,Melospiza melodia,Song Sparrow,,,"Hershberger, Wilbur L",2012,7,6,617,United States,West Virginia,Berkeley,Stauffer's Marsh,39.431321,-78.138109,147,Adult Male (1),advertise; song,Natural,Certain,Sight and Sound,,,5,0,397,SOUND DEVICES 702,Telinga Pro 7,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,22.0,,,,,Habitat: Wetland,,Telinga Stereo HPF on  ,Aves,Passeriformes,Emberizidae,309430
191230,Audio,Melospiza melodia,Song Sparrow,,,"Hershberger, Wilbur L",2012,7,6,606,United States,West Virginia,Berkeley,Stauffer's Marsh,39.431321,-78.138109,147,Adult Male (1),advertise; song,Natural,Certain,Sight and Sound,,,5,0,150,SOUND DEVICES 702,Telinga Pro 7,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,22.0,,,,,Habitat: Wetland,,Telinga Stereo HPF on  ,Aves,Passeriformes,Emberizidae,309430
176250,Audio,Melospiza melodia,Song Sparrow,,,"Keller, Geoffrey A",2009,7,3,1217,United States,Indiana,Brown,Orchard Road; Colors of the Wind,39.1161497,-86.1766291,,Adult Unknown Sex (1),song,,Certain,,,,5,0,196,HHB PORTADAT PDR 1000,Sennheiser MKH 106,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,,,Two song types,,Aves,Passeriformes,Emberizidae,295770
144013,Audio,Melospiza melodia,Song Sparrow,,,"Little, Randolph S",2001,5,31,555,United States,California,Sierra,4.0 km NW of Calpine; Carman Valley,39.6972222,-120.4594444,1525,Adult Unknown Sex (1),call; scold,Natural,Certain,Sight and Sound,,,5,0,191,NAGRA IV-D,Sennheiser MKH 404,Parabola 91.4cm/30.5cm (36in/12in),Mono,,,,Forest; Grassland; Freshwater; Evergreen Forest; Coniferous Forest; Deciduous Forest; Montane ,,Second-growth,,,,Aves,Passeriformes,Emberizidae,295770
144005,Audio,Melospiza melodia,Song Sparrow,Cyanocitta stelleri -- Steller's Jay; Piranga ludoviciana -- Western Tanager; Troglodytes aedon -- House Wren; Zenaida macroura -- Mourning Dove,,"Little, Randolph S",2001,5,30,0,United States,California,Sierra,6.0 km S of Loyalton; Antelope Valley - East across saddle,39.6222222,-120.2469444,1713,Adult Male (1),advertise; song,Natural,Certain,Sight and Sound,,,5,0,143,NAGRA IV-D,Sennheiser MKH 404,Parabola 91.4cm/30.5cm (36in/12in),Mono,,,,Forest; Grassland; Park/Campus/Cemetery; Evergreen Forest; Coniferous Forest; Deciduous Forest,,Second-growth; Scrub,,,,Aves,Passeriformes,Emberizidae,295770
138157,Audio,Melospiza melodia,Song Sparrow,,,"Batcheller, Hope J",2008,7,3,1843,United States,Vermont,Rutland,Bird's Eye Road,43.597093,-73.128537,200,Juvenile Unknown Sex (1); Adult Unknown Sex (1),Social context: family; call; emit alarm; establish parent young contact,Natural,Certain,Sight and Sound,,,5,0,320,MARANTZ PMD 670,,Dan Gibson Parabola 45.7cm/11cm (18in/4.3in),Mono,,,,,,, NOTES: First part of recording is adult bird only. Section after announcement also has fledgling calls.,,,Aves,Passeriformes,Emberizidae,295770
127084,Audio,Melospiza melodia,Song Sparrow,,,"Hershberger, Wilbur L",2009,6,14,644,United States,West Virginia,Berkeley,5.0 km S of Shanghi; Stauffer Miller's Marsh,39.432,-78.1364,,Adult Male (1),advertise; song,Natural,Certain,Sight and Sound,,,5,0,1634,SOUND DEVICES 702,Telinga Pro 7,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,Wetland,,,,,,Aves,Passeriformes,Emberizidae,295770
112660,Audio,Melospiza melodia [fallax Group],Song Sparrow (fallax Group),Icteria virens -- Yellow-breasted Chat; Melospiza melodia -- Song Sparrow; Molothrus ater -- Brown-headed Cowbird; Oreothlypis luciae -- Lucy's Warbler; Vireo bellii -- Bell's Vireo,,"Marantz, Curtis A",1998,6,27,709,United States,Arizona,La Paz,Bill Williams National Wildlife Refuge,34.2726667,-114.0533333,,,song,,Certain,Sight and Sound,,,5,0,109,HHB PORTADAT PDR 1000,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,,"NOTES: Notes: ""song of same bird as above cuts.  10 m away, 5 m (3/4) up in open, dead branches of willow; recorded with bird in same spot as in cut #98-RDAT06-29, LNS 112656.  Recorded with HHb PDR-1000, Sennheiser MKH-20 microphone inside a 30"" Roche fiberglass parabole, HHb filters in cut position and attenuators off unless noted otherwise."" HPF@180. -SBA 04/11/02    BNA: The Song is heard.  CZ  28/06/2004.  ML: Subject changed from Melospiza melodia saltonis to M. m. fallax to reflect current taxonomy. --Jay McGowan 14Sep2013    ML: Subject changed from recordist's original identification of Melospiza melodia fallax to Melospiza melodia [fallax Group] to conform to eBird Taxonomy (v. 1.55). -Jay McGowan/Matt Medler, July 2015.",,,Aves,Passeriformes,Emberizidae,29984
112657,Audio,Melospiza melodia [fallax Group],Song Sparrow (fallax Group),Catherpes mexicanus -- Canyon Wren; Passerina caerulea -- Blue Grosbeak; Icteria virens -- Yellow-breasted Chat; Melospiza melodia -- Song Sparrow; Vireo bellii -- Bell's Vireo; Zenaida asiatica -- White-winged Dove,,"Marantz, Curtis A",1998,6,27,623,United States,Arizona,La Paz,Bill Williams National Wildlife Refuge,34.2726667,-114.0533333,,,song,,Certain,Sight and Sound,,,5,0,94,HHB PORTADAT PDR 1000,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,,"NOTES: Notes: ""Well seen 18-20 m away, 8 m (2/3) up dead tree at edge of lush willow, aspen, cottonwood riparian; some songs overloaded on left channel.  Recorded with HHb PDR-1000, Sennheiser MKH-20 microphone inside a 30"" Roche fiberglass parabole, HHb filters in cut position and attenuators off unless noted otherwise."" HPF@180. -SBA 04/11/02    BNA: The Song is heard.  CZ  28/06/2004.  ML: Subject changed from Melospiza melodia saltonis to M. m. fallax to reflect current taxonomy. --Jay McGowan 14Sep2013    ML: Subject changed from recordist's original identification of Melospiza melodia fallax to Melospiza melodia [fallax Group] to conform to eBird Taxonomy (v. 1.55). -Jay McGowan/Matt Medler, July 2015.",,,Aves,Passeriformes,Emberizidae,29984
