ML Catalog #,Format,Scientific Name,Common Name,Background Species,Subtitle,Recordist,Year,Month,Day,Time,Country,State,County,Locality,Latitude,Longitude,Elevation (m),AgeSex,Behavior,Stimulus,Confidence In ID,How Identified,Captive,Specimen,Quality,Audio Quality For Video,Cut Length (s),Recorder,Microphone,Accessory,Channels,eBird Checklist ID,Air Temp (C),Water Temp (C),Habitat,Regional Habitat,Physical Feature,Public Note,Subject Note,Equipment Note,Class,Order,Family,Taxonomic Sort
125378,Audio,Strix occidentalis caurina,Spotted Owl (Northern),,,"Sander, Thomas G",1992,6,4,2100,United States,Oregon,Lane,H. J. Andrews Experimental Forest; Budworm Creek,,,,,,,Certain,,,,5,0,150,NAGRA IV-S,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,," NOTES: BNA: Contact Call, Agitated four-note bark series.",,,Aves,Strigiformes,Strigidae,73280
125374,Audio,Strix occidentalis caurina,Spotted Owl (Northern),,,"Sander, Thomas G",1992,5,31,2130,United States,Oregon,Lane,H. J. Andrews Experimental Forest; Cougar Creek,,,,Adult Female (1),,,Certain,,,,5,0,179,NAGRA IV-S,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,, NOTES: Lower Lookout Creek female. BNA: Agitated Contact Calls.,,,Aves,Strigiformes,Strigidae,73280
125373,Audio,Strix occidentalis caurina,Spotted Owl (Northern),,,"Sander, Thomas G",1992,5,31,0,United States,Oregon,Lane,H. J. Andrews Experimental Forest; Cougar Creek,,,,,,,Certain,,,,5,0,106,NAGRA IV-S,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,," NOTES: BNA: Series of four barking notes, preceded by two decapitated barks.",,,Aves,Strigiformes,Strigidae,73280
125377,Audio,Strix occidentalis caurina,Spotted Owl (Northern),,,"Sander, Thomas G",1992,6,3,0,United States,Oregon,Lane,H. J. Andrews Experimental Forest; Upper Kink Creek,,,,Adult Female (1); Adult Male (1),,,Certain,,,,4,0,385,NAGRA IV-S,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,," NOTES: BNA: Female Four-note Location Call with Contact Calls.  The first segment of four-note calls could use a bump in dB if the last Contact Call (2:11) is removed. LNS NOTE: Unbroken cut with internal recordist announcement/handling noise gain change (MJA, 29 July 2005).",,,Aves,Strigiformes,Strigidae,73280
125375,Audio,Strix occidentalis caurina,Spotted Owl (Northern),,,"Sander, Thomas G",1992,5,31,0,United States,Oregon,Lane,H. J. Andrews Experimental Forest; Cougar Creek,,,,Adult Female (1); Adult Male (1),,,Certain,,,,4,0,260,NAGRA IV-S,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,, NOTES: BNA: Contact Call and Four-note Location Call.,,,Aves,Strigiformes,Strigidae,73280
125372,Audio,Strix occidentalis caurina,Spotted Owl (Northern),,,"Sander, Thomas G",1992,5,31,0,United States,Oregon,Lane,H. J. Andrews Experimental Forest; Cougar Creek,,,,,,,Certain,,,,4,0,80,NAGRA IV-S,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,, NOTES: BNA: Female Contact Calls.,,,Aves,Strigiformes,Strigidae,73280
125366,Audio,Strix occidentalis caurina,Spotted Owl (Northern),,,"Sander, Thomas G",1992,5,29,0,United States,Oregon,Lane,H. J. Andrews Experimental Forest; Cougar Creek,,,,,,,Certain,,,,4,0,115,NAGRA IV-S,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,, NOTES: BNA: Female Contact Calls. Band: White Left.,,,Aves,Strigiformes,Strigidae,73280
125361,Audio,Strix occidentalis caurina,Spotted Owl (Northern),Picoides villosus -- Hairy Woodpecker; Poecile sp. -- chickadee sp.,,"Sander, Thomas G",1992,5,28,0,United States,Oregon,Lane,NW of H. J. Andrews Experimental Forest,,,,Adult Female (1),,,Not Provided,,,,4,0,905,NAGRA IV-S,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,," NOTES: Lookout Ridge Pair BNA: Contact Calls.  Female is written on the reel box, but it is uncertain whether these represent male or female calls. - MJA, 27 July 2005.",,,Aves,Strigiformes,Strigidae,7522
125379,Audio,Strix occidentalis caurina,Spotted Owl (Northern),,,"Sander, Thomas G",1992,6,4,2100,United States,Oregon,Lane,H. J. Andrews Experimental Forest; Budworm Creek,,,,,,Human,Certain,,,,3,0,86,NAGRA IV-S,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,, NOTES: BNA: Contact Call + Barking Series.,,,Aves,Strigiformes,Strigidae,73280
125376,Audio,Strix occidentalis caurina,Spotted Owl (Northern),,,"Sander, Thomas G",1992,6,3,2100,United States,Oregon,Lane,H. J. Andrews Experimental Forest; Upper Kink Creek,,,,Adult Female (1); Adult Male (1),,,Certain,,,,3,0,268,NAGRA IV-S,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,," NOTES: BNA: Four-note Location Call and Contact Call by male and female.  Some baiting with mice was used to bring these birds in.  Also, there is some human immitation inbetween bird vocalizations.  The birds are always much higher in volume, -MJA, 29 July 2005.",,,Aves,Strigiformes,Strigidae,73280
