ML Catalog #,Format,Scientific Name,Common Name,Background Species,Subtitle,Recordist,Year,Month,Day,Time,Country,State,County,Locality,Latitude,Longitude,Elevation (m),AgeSex,Behavior,Stimulus,Confidence In ID,How Identified,Captive,Specimen,Quality,Audio Quality For Video,Cut Length (s),Recorder,Microphone,Accessory,Channels,eBird Checklist ID,Air Temp (C),Water Temp (C),Habitat,Regional Habitat,Physical Feature,Public Note,Subject Note,Equipment Note,Class,Order,Family,Taxonomic Sort
202271,Audio,Pipilo maculatus,Spotted Towhee,,,"McGowan, Jay W",2015,6,21,749,United States,Montana,Sanders,National Bison Range,47.33835,-114.23614,,Adult Male (1),song,Natural,Certain,Sight and Sound,,,5,0,174,MARANTZ PMD 661,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,S23997429,,,,,,,,Telinga filter engaged.,Aves,Passeriformes,Emberizidae,306440
188443,Audio,Pipilo maculatus,Spotted Towhee,,,"McGuire, Bob ",2013,5,14,812,United States,California,,Bishop; Buttermilk Rd.,37.3156,-118.597,,,song,,Not Provided,,,,5,0,71,SOUND DEVICES 702,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,,,,,,,Aves,Passeriformes,Emberizidae,292940
187098,Audio,Pipilo maculatus arcticus,Spotted Towhee (arcticus),,,"McGuire, Bob ",2013,5,21,508,United States,Colorado,,Dinosaur National Monument; Deerlodge Park Campground,40.4499,-108.5227,,Adult Unknown Sex (1),,,Certain,,,,5,0,256,SOUND DEVICES 702,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,,,,Different individual from ML 187097.,,,Aves,Passeriformes,Emberizidae,29985
177208,Audio,Pipilo maculatus,Spotted Towhee,,,"Johnson, Andrew S",2013,3,24,835,United States,California,Kern,"Los Padres National Forest; Cerro Noroeste Road, Valle Vista Campground",34.8777458,-119.3414783,,Adult Male (1),song,Natural,Certain,Sight and Sound,,,5,0,65,NAGRA ARES-BB+,Telinga Pro 8,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,,,,,,,Aves,Passeriformes,Emberizidae,292940
167849,Audio,Pipilo maculatus,Spotted Towhee,,,"Batcheller, Hope J",2012,3,23,"",United States,California,Ventura,Los Padres National Forest; Valle Vista Campground,34.877747,-119.34148,1470,Unknown Age Unknown Sex (2),song,Natural,Certain,Sight and Sound,,,5,0,100,MARANTZ PMD 661,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,,,,Different individual from LNs 167848 but singing from almost the same perch. First bird returned during cut (wing sounds heard) but did not vocalize.,,,Aves,Passeriformes,Emberizidae,292940
167848,Audio,Pipilo maculatus,Spotted Towhee,,,"Batcheller, Hope J",2012,3,23,820,United States,California,Ventura,Los Padres National Forest; Valle Vista Campground,34.877747,-119.34148,1470,Unknown Age Unknown Sex (1),song,Natural,Certain,Sight and Sound,,,5,0,150,MARANTZ PMD 661,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,,,,Bird singing from a deciduous tree,,,Aves,Passeriformes,Emberizidae,292940
125344,Audio,Pipilo maculatus,Spotted Towhee,,,"Sander, Thomas G",1988,5,14,0,United States,California,Marin,Bolinas; Fairfax Rd.,,,,,,,Not Provided,,,,5,0,97,UHER UNSPECIFIED MODEL,,Sony PBR-330 Parabola 32.8cm/6.5cm(12.9in/2.6in),Mono,,,,,,,,,,Aves,Passeriformes,Emberizidae,292940
119455,Audio,Pipilo maculatus,Spotted Towhee,,,"Keller, Geoffrey A",2002,3,23,737,United States,Oregon,,South Slough Marine Estuarine Research Reserve,,,,,song,,Certain,Sight,,,5,0,360,HHB PORTADAT PDR 1000,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,," NOTES: ""Bird was vocalizing from canopy of young Douglas Fir tree...""  BNA: The Primary Song is heard.  CZ  15/06/2004.",,,Aves,Passeriformes,Emberizidae,292940
118679,Audio,Pipilo maculatus,Spotted Towhee,,,"Keller, Geoffrey A",2001,5,6,551,United States,California,Del Norte,9.6 km E of Smith River; Six Rivers National Forest,,,701,Unknown Age Unknown Sex (2),call; song,,Certain,Sound,,,5,0,128,HHB PORTADAT PDR 1000,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,," NOTES: ""Bird was vocalizing from unknown location on hillside containing scattered trees of Nob Cone Pine and Douglas Fir...""   ""Song was from one bird; call notes from a different individual.""  BNA: The Primary Song is heard as well as possibly a Whinny ""Chatter"" Call (at :40 sec) and Mew Calls.  CZ  15/06/2004.",,,Aves,Passeriformes,Emberizidae,292940
118621,Audio,Pipilo maculatus,Spotted Towhee,Zenaida macroura -- Mourning Dove,,"Keller, Geoffrey A",2001,4,13,658,United States,Arizona,,Organ Pipe Cactus National Monument,,,610,,song,,Certain,Sight,,,5,0,70,HHB PORTADAT PDR 1000,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Desert,,, NOTES: BNA: The Primary Song is heard.  CZ  15/06/2004.,,,Aves,Passeriformes,Emberizidae,292940
111110,Audio,Pipilo maculatus,Spotted Towhee,,,"Sander, Thomas G",1990,4,21,0,United States,Oregon,Deschutes,N of Sisters,,,,,song,,Not Provided,,,,5,0,354,NAGRA IV-S,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,," NOTES: (AOU #9999. NM: Y.) Changes tune from ""whip-dee-doo: to Rufous-sided Towhee trill at 11.10.",,,Aves,Passeriformes,Emberizidae,292940
