ML Catalog #,Format,Scientific Name,Common Name,Background Species,Subtitle,Recordist,Year,Month,Day,Time,Country,State,County,Locality,Latitude,Longitude,Elevation (m),AgeSex,Behavior,Stimulus,Confidence In ID,How Identified,Captive,Specimen,Quality,Audio Quality For Video,Cut Length (s),Recorder,Microphone,Accessory,Channels,eBird Checklist ID,Air Temp (C),Water Temp (C),Habitat,Regional Habitat,Physical Feature,Public Note,Subject Note,Equipment Note,Class,Order,Family,Taxonomic Sort
112612,Audio,Cyanocitta stelleri,Steller's Jay,Catharus guttatus -- Hermit Thrush; Colaptes auratus -- Northern Flicker; Pipilo maculatus -- Spotted Towhee; Vireo gilvus -- Warbling Vireo,,"Marantz, Curtis A",1998,6,11,851,United States,New Mexico,Grant,"Gila National Forest, McMillan Campground",,,,,scold,,Certain,Sight and Sound,,,5,0,320,HHB PORTADAT PDR 1000,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,," NOTES: Notes: ""scold calls of flock"", ""flocks of birds initially being scolded at by Warbling Vireo, later attracted to spishing; well seen in mid and upper levels of conifers along small stream bed."" Recorded with HHb PDR-1000, Sennheiser MKH-20 microphone inside a 30"" Roche fiberglass parabole, HHb filters in cut position and attenuators off unless noted otherwise. HPF @180  -SBA 31/10/2002", Number of individuals=AUc4; ,,Aves,Passeriformes,Corvidae,186160
56865,Audio,Cyanocitta stelleri,Steller's Jay,Setophaga graciae -- Grace's Warbler; Empidonax occidentalis -- Cordilleran Flycatcher; Vireo gilvus -- Warbling Vireo,,"Keller, Geoffrey A",1991,5,6,615,United States,Arizona,,33.0 km NE of Tucson; Rose Canyon Campground,,,3300,Adult Unknown Sex (1),call,Natural,Certain,Sound,,,5,0,63,UHER REPORT 4200,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Coniferous Forest; Montane Grassland,,Canyon," NOTES: (Breeding status: ?Territorial, ?breeding;  Sp. sound: infreq; Sound Deliv: ?normal;  Gen. Climate: cyclic wet-dry; cover den: med)   BNA: ""Wah"" Call. JN 24Jun2005",,,Aves,Passeriformes,Corvidae,186160
49586,Audio,Cyanocitta stelleri,Steller's Jay,,,"Peyton, Leonard J",1970,5,2,1645,United States,Alaska,,Cardova - Mile 25 on the 27 Mile Road,60.45,-145.1166667,1020,Adult Male (1),,,Certain,Sight,,,5,0,405,NAGRA III,,Parabola 99.1cm/30.5cm (39in/12in),Mono,,,,,,,,,,Aves,Passeriformes,Corvidae,186160
42204,Audio,Cyanocitta stelleri,Steller's Jay,Empidonax difficilis -- Pacific-slope Flycatcher; Geothlypis tolmiei -- MacGillivray's Warbler; Oreortyx pictus -- Mountain Quail; Sitta canadensis -- Red-breasted Nuthatch; Oreothlypis ruficapilla -- Nashville Warbler,,"Keller, Geoffrey A",1988,5,22,700,United States,Oregon,Coos,7.0 km S of Charleston; South Slough Sanctuary,,,30,Adult Unknown Sex (2),call,Natural,Certain,Sight and Sound,,,5,0,53,UHER 4200 REPORT IC,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Coniferous Forest,,," NOTES: BNA: ""Wek"" Call. JN 23Jun2005",,,Aves,Passeriformes,Corvidae,195790
22898,Audio,Cyanocitta stelleri,Steller's Jay,,,"Fish, William R",1956,6,2,0,United States,California,Tulare,HOLEY MEADOW; TULARE CO.,,,,,call,Natural,Not Provided,Sight and Sound,,,5,0,13,MAGNEMITE UNSPECIFIED MODEL,,Parabola 76.2cm (30in),Mono,,,,Forest; Coniferous Forest; Montane Grassland,,Scrub," NOTES:  Range status: NORMAL;  Breeding status: UNKNOWN;  General climate: CYCLIC WET-DRY;  Cover density: MEDIUM;   Age: UNKNOWN AGE   BNA: ""Wah"" Call. JN 23Jun2005",,,Aves,Passeriformes,Corvidae,186160
13468,Audio,Cyanocitta stelleri,Steller's Jay,Calypte anna -- Anna's Hummingbird; Zenaida macroura -- Mourning Dove,,"Sutherland, Charles A; Tramer, Elliot ",1961,6,22,800,United States,California,,BIG SUR,,,600,,call,,Not Provided,,,,5,0,46,NAGRA III,,Parabola 91.4cm (36in),Mono,,,,,,Scrub," NOTES: BNA: ""Wah"" and Wek"" Calls. JN 15Jun2005",,,Aves,Passeriformes,Corvidae,186160
205415,Audio,Cyanocitta stelleri,Steller's Jay,,,"Budney, Gregory F",2000,6,4,856,United States,California,Sierra,Antelope Valley,39.6193784,-120.2723765,,Unknown Age Unknown Sex (1),call; fly,,Not Provided,Sound,,,4,0,42,HHB PORTADAT PDR 1000,Sennheiser MKH 20,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Mono,,,,,,,,,,Aves,Passeriformes,Corvidae,18816
203609,Audio,Cyanocitta stelleri,Steller's Jay,Sitta carolinensis -- White-breasted Nuthatch; Piranga ludoviciana -- Western Tanager; Tamiasciurus hudsonicus -- Red Squirrel,,"Robbins, Mark B",2013,6,27,538,United States,Arizona,Coconino,NE of Pine; Coconino National Forest,34.475,-111.415,2075,Adult Unknown Sex (1),call; contact,Natural,Certain,Sight and Sound,,,4,0,180,NAGRA ARES-BB+,Sennheiser ME 67,,Mono,,,,,,,Weather: Clear.   Habitat: Ponderosa Pine dominated forest.    ML: 100 Hz AUHipass filter applied in soundBlade HD to both segments.,,,Aves,Passeriformes,Corvidae,195790
197964,Audio,Cyanocitta stelleri,Steller's Jay,,,"McGuire, Bob ",2010,3,15,805,United States,Arizona,Pima,Mount Lemmon; Mount Bigelow trailhead,32.4127189,-110.7305145,,Adult Male (1),call; song; subsong,Playback Same Species,Certain,Sight and Sound,,,4,0,412,SOUND DEVICES 702,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,,,,"Long call series, then whisper song.",,,Aves,Passeriformes,Corvidae,195790
192457,Audio,Cyanocitta stelleri,Steller's Jay,,,"McGuire, Bob ",2012,4,17,934,United States,California,,Quail Ridge Preserve,38.4807,-122.145,,Adult Unknown Sex (1),call,Natural,Certain,Sight and Sound,,,4,0,73,SOUND DEVICES 702,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,,,,,,,Aves,Passeriformes,Corvidae,186160
