ML Catalog #,Format,Scientific Name,Common Name,Background Species,Subtitle,Recordist,Year,Month,Day,Time,Country,State,County,Locality,Latitude,Longitude,Elevation (m),AgeSex,Behavior,Stimulus,Confidence In ID,How Identified,Captive,Specimen,Quality,Audio Quality For Video,Cut Length (s),Recorder,Microphone,Accessory,Channels,eBird Checklist ID,Air Temp (C),Water Temp (C),Habitat,Regional Habitat,Physical Feature,Public Note,Subject Note,Equipment Note,Class,Order,Family,Taxonomic Sort
206453,Audio,Catharus ustulatus,Swainson's Thrush,,,"McGuire, Bob ",2015,6,2,918,United States,Alaska,,Tetlin NWR. Seaton House Roadside Area. ,62.7356219,-141.2098503,,Adult Male (1),song,Natural,Certain,Sight and Sound,,,5,0,307,SOUND DEVICES 702,Telinga Pro 7,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Mono,,,,,,,,,Telinga Pro 7 set on mono mode.,Aves,Passeriformes,Turdidae,24602
133353,Audio,Catharus ustulatus,Swainson's Thrush,,,"Keller, Geoffrey A",2007,7,2,910,Canada,Newfoundland and Labrador,,15.0 km S of Plum Point; Newfoundland,,,,Adult Male (1),advertise; song,Natural,Certain,Sight and Sound,,,5,0,208,HHB PORTADAT PDR 1000,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Coniferous Forest; Deciduous Forest,,Second-growth,,,,Aves,Passeriformes,Turdidae,258080
130994,Audio,Catharus ustulatus,Swainson's Thrush,,,"Vyn, Gerrit ",2006,6,8,37,United States,Alaska,,Dalton Highway,65.6319333,-149.0288333,408,,advertise; call; song,Natural,Certain,Sight and Sound,,,5,0,463,NAGRA ARES-BB+,,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,Forest; Evergreen Forest; Coniferous Forest,,,,,,Aves,Passeriformes,Turdidae,258080
119447,Audio,Catharus ustulatus,Swainson's Thrush,,,"Keller, Geoffrey A",2001,7,8,627,United States,California,Del Norte,8.0 km N of Crescent City; Lake Earl Wildlife Area,,,15,,call; song,,Certain,Sound,,,5,0,374,HHB PORTADAT PDR 1000,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,," NOTES: BNA: 2 different call types. ""Bird was vocalizing from unknown location in area containing Shore Pine, Douglas Fir and Wax Myrtle...""",,,Aves,Passeriformes,Turdidae,258080
119444,Audio,Catharus ustulatus,Swainson's Thrush,,,"Keller, Geoffrey A",2001,7,8,551,United States,California,Del Norte,Lake Earl Wildlife Area near Crescent City,,,21,,call; song,,Certain,Sound,,,5,0,624,HHB PORTADAT PDR 1000,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,," NOTES: ""Bird was vocalizing from unknown location in dune containing Douglas Fir trees...""",,,Aves,Passeriformes,Turdidae,258080
100877,Audio,Catharus ustulatus,Swainson's Thrush,,,"Hershberger, Wilbur L",1999,5,30,2032,United States,New York,,Brown Tract Ponds,43.7669444,-74.75,200,Adult Male (1),advertise; dusk song; song,Natural,Certain,Sight and Sound,,,5,0,289,SONY TCD-D10 PRO II,Sennheiser ME 62,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Coniferous Forest; Deciduous Forest; Mixed Coniferous/Deciduous; Lake,,,, Response to playback: No response.,,Aves,Passeriformes,Turdidae,258080
93794,Audio,Catharus ustulatus,Swainson's Thrush,Catharus guttatus -- Hermit Thrush; Setophaga coronata -- Yellow-rumped Warbler; Zonotrichia albicollis -- White-throated Sparrow,,"Medler, Matthew D",1998,5,30,2013,United States,New York,Franklin,Spring Pond Bog Preserve; Esker Interpretive Trail,44.373352,-74.501675,,Adult Unknown Sex (1),song,Natural,Certain,Sight and Sound,,,5,0,262,HHB PORTADAT PDR 1000,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Coniferous Forest; Deciduous Forest; Mixed Coniferous/Deciduous,,, NOTES: Possibly the same individual as the previous recording.,Same subject(s) as LNS 93793. ,,Aves,Passeriformes,Turdidae,258080
93793,Audio,Catharus ustulatus,Swainson's Thrush,Catharus guttatus -- Hermit Thrush; Catharus ustulatus -- Swainson's Thrush,,"Medler, Matthew D",1998,5,30,2001,United States,New York,Franklin,Spring Pond Bog Preserve; Esker Interpretive Trail,44.373352,-74.501675,,Adult Unknown Sex (1),song,Natural,Certain,Sight and Sound,,,5,0,408,HHB PORTADAT PDR 1000,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Coniferous Forest; Deciduous Forest; Mixed Coniferous/Deciduous,,,,Same subject(s) as LNS 93794. ,,Aves,Passeriformes,Turdidae,258080
4240,Audio,Catharus ustulatus,Swainson's Thrush,Zonotrichia albicollis -- White-throated Sparrow,,"Stein, Robert C; Little, Randolph S",1962,6,4,855,United States,Vermont,,Mt. Mansfield,,,,,advertise; court; song,,Not Provided,Sight and Sound,,,5,0,168,NAGRA III-B,,Parabola 91.4cm/30.5cm (36in/12in),Mono,,,,,,Edge, NOTES: SONG-SERIES OF CLEAR SYLLABLES INCREASING IN AVERAGE PITCH. EDGE OF SKI SLOPE.  1 MALE(S); Other recordist(s): BONDESEN P.;,,,Aves,Passeriformes,Turdidae,258080
4237,Audio,Catharus ustulatus,Swainson's Thrush,,,"Sutherland, Charles A",1961,7,21,800,United States,Washington,,16.0 km S of Raymond,,,,,song,,Not Provided,,,,5,0,34,NAGRA III,,Parabola 91.4cm (36in),Mono,,,,Forest,,, NOTES: BIRD SINGING FROM STUMP 1M OFF THE GROUND. CUT OVER FOREST.,,,Aves,Passeriformes,Turdidae,258080
