ML Catalog #,Format,Scientific Name,Common Name,Background Species,Subtitle,Recordist,Year,Month,Day,Time,Country,State,County,Locality,Latitude,Longitude,Elevation (m),AgeSex,Behavior,Stimulus,Confidence In ID,How Identified,Captive,Specimen,Quality,Audio Quality For Video,Cut Length (s),Recorder,Microphone,Accessory,Channels,eBird Checklist ID,Air Temp (C),Water Temp (C),Habitat,Regional Habitat,Physical Feature,Public Note,Subject Note,Equipment Note,Class,Order,Family,Taxonomic Sort
50314,Audio,Setophaga townsendi,Townsend's Warbler,,,"Keller, Geoffrey A",1990,6,20,1222,United States,Montana,Glacier,15.0 km NW of West Glacier; Glacier Nat. Park,,,1000,Adult Unknown Sex (1),advertise; song,Natural,Uncertain,Sound,,,5,0,164,UHER 4200 REPORT MONITOR,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Evergreen Forest; Coniferous Forest; Deciduous Forest; Montane Grassland,,," NOTES: noon +0.0hrs; species cut number 11; for weather, light rain  [A single song-type is represented in these 12 songs, one that is unlike any pictured by D. J. Borror and W. W. H. Gunn (1985. Songs of the Warblers of North America.  Cornell Lab. of Ornithology).  These songs are almost identical to those in LNS #50312.  Quality changed from 1 to 1/1-2 - CAM - 21 January 2005]",,,Aves,Passeriformes,Parulidae,277690
47707,Audio,Setophaga townsendi,Townsend's Warbler,,,"Herr, David S",1990,6,23,730,United States,Washington,,19.0 km NE of Walla Walla; Lewis Peak Rd.,46.1666667,-118.1166667,1060,Adult Male (1),advertise; song,Natural,Certain,Sight and Sound,,,5,0,241,NAGRA IV-D,,Parabola 76.2cm (30in),Mono,,,,Forest; Coniferous Forest,,," NOTES: NOTES ON DATA FORM: nice recording!  [A single song-type is represented in these 19 songs, one that is unlike any pictured by D. J. Borror and W. W. H. Gunn (1985. Songs of the Warblers of North America.  Cornell Lab. of Ornithology).  These songs are similar to the second song-type in LNS #47702 recorded at this same site earlier this same day.  Quality changed from 1 to 2-1, 1-2 (BEST part is at 1:08-2:10) - CAM - 21 January 2005]",,,Aves,Passeriformes,Parulidae,277690
195218,Audio,Setophaga townsendi,Townsend's Warbler,,,"Nelson, Richard ",2013,5,25,"",United States,Alaska,,Bartlett River,58.6014075,-135.6351893,,,song,,Not Provided,,,,4,0,174,MARANTZ PMD 661,Sennheiser MKH 70,,Mono,,,,,,,Coordinates estimated by ML archivist,,,Aves,Passeriformes,Parulidae,277690
136451,Audio,Setophaga townsendi,Townsend's Warbler,Catharus guttatus -- Hermit Thrush; Catharus ustulatus -- Swainson's Thrush,,"Andersen, Michael J",2007,6,16,1315,United States,Alaska,Sitka,Saint Lazaria Island,56.9868,-135.71255,,Adult Male (1),call,Natural,Certain,Sound,,,4,0,101,SOUND DEVICES 744T,,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,Forest; Evergreen Forest; Coniferous Forest,,," NOTES: Songs recorded in Sitka Spruce forest at the north end of Saint Lazaria Island in Sitka Sound, Alaska with a Sound Devices 744T and Telinga Pro5B in cut.",,,Aves,Passeriformes,Parulidae,277690
130942,Audio,Setophaga townsendi,Townsend's Warbler,,,"Vyn, Gerrit ",2006,6,1,550,United States,Alaska,Fairbanks North Star,Ester; Standard Creek Road,64.8112833,-148.2868333,280,Adult Male (1),advertise; song,Natural,Certain,Sight and Sound,,,4,0,267,NAGRA ARES-BB+,,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,Forest; Evergreen Forest; Coniferous Forest; Deciduous Forest; Bog,,, NOTES: Type II song LNS NOTE: Unbroken cut with internal recordist handling noise gain change.  MJA 15 Aug 2006.,,,Aves,Passeriformes,Parulidae,277690
118756,Audio,Setophaga townsendi,Townsend's Warbler,Setophaga coronata -- Yellow-rumped Warbler; Passerella iliaca -- Fox Sparrow,,"DeCicco, Luke ",2013,6,1,642,United States,Alaska,Anchorage,Anchorage; Chugach Mountains; Arctic Valley Road,61.23818,-149.62711,248,Adult Male (1),song,Natural,Certain,Sight,,,4,0,123,MARANTZ PMD 661,Sennheiser MKH 20,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Mono,,,,,,,"Habitat: White spruce stand in mixed subalpine boreal, dominated by willow and alder thickets.",,,Aves,Passeriformes,Parulidae,290790
111134,Audio,Setophaga townsendi,Townsend's Warbler,,,"Sander, Thomas G",1990,6,1,0,United States,Oregon,Deschutes,near Sisters,,,,,song,,Not Provided,,,,4,0,110,NAGRA IV-S,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,, NOTES: (Location: central Oregon. AOU #9999. NM: Y.) Three songs.,,,Aves,Passeriformes,Parulidae,277690
62230,Audio,Setophaga townsendi,Townsend's Warbler,Setophaga townsendi -- Townsend's Warbler; Melospiza melodia -- Song Sparrow,,"Gunn, William W. H. ",1962,6,2,0,Canada,British Columbia,,Manning Prov. Park,,,,,song,Natural,Certain,Sight and Sound,,,4,0,207,NAGRA III,,Parabola 101.6cm (40in),,,,,,,,"NOTES: Reel 1; Cut 4; HQ campsite road; songs: 1x11x1x1/annc't./ 11111111/(2:55) / 11;  Within sound of Townsend's warbler cut 3 (x); different pattern - and changes to another in songs 8 & 9; Nagra61-1281.    [Two song-types are represented here.  Most are of the type pictured in Figure 19G of D. J. Borror and W. W. H. Gunn (1985. Songs of the Warblers of North America.  Cornell Lab. of Ornithology)), but two of them are different (like Figure 19H; 1:57, 2:15).  Neither of these song-types are similar to that in LNS #62229, which was recorded on the same day at the same site.  Quality changed from ~2-3 to 1-2 (maybe 1 for the two songs in the last part) - CAM - 20 January 2005]",,,Aves,Passeriformes,Parulidae,277690
62229,Audio,Setophaga townsendi,Townsend's Warbler,,,"Gunn, William W. H. ",1962,6,2,0,Canada,British Columbia,,Manning Prov. Park,,,,,song,Natural,Certain,Sight and Sound,,,4,0,85,NAGRA III,,Parabola 101.6cm (40in),,,,,,,,"NOTES: Reel 1; Cut 3; songs 1/1/1/1/1/1/(1:25) annc't; ""zee-zee-zee zee-zee"" ; also: stream noise; HQ campsite ; road; Nagra61-1281.    [A single song-type is represented here (closest to Figure 19F of D. J. Borror and W. W. H. Gunn (1985. Songs of the Warblers of North America.  Cornell Lab. of Ornithology)).  These songs do not sound much like those of other recordings, including LNS #62230, which was recorded on the same day at the same site.  Note also that these songs sound much more like those of D. virens than do those in most recordings of this species.  Quality changed from ~2-3 to 2-1, 2-3 (five parts, all contaiing a single song - the second and third parts are the best) - CAM - 20 January 2005]",,,Aves,Passeriformes,Parulidae,277690
62228,Audio,Setophaga townsendi,Townsend's Warbler,Poecile rufescens -- Chestnut-backed Chickadee; Turdus migratorius -- American Robin,,"Gunn, William W. H. ",1962,5,22,0,Canada,British Columbia,,Vancouver Island; Miracle Beach Provincial Park,,,,,song,Natural,Certain,Sight and Sound,,,4,0,87,NAGRA III,,Parabola 101.6cm (40in),,,,,,,,"NOTES: Reel 1; Cut 2;  Songs: 11i/111/ ""the sea-level pattern;"" campsite #3; Nagra61-1281.    [A single song-type is represented here (closest to Figure 19E of D. J. Borror and W. W. H. Gunn (1985. Songs of the Warblers of North America.  Cornell Lab. of Ornithology)).  These songs are much like those in LNS #51239, recorded at Skagway, Alaska.  Quality added (2, 2-1 - much tape hiss, especially in first part) - CAM - 20 January 2005]",,,Aves,Passeriformes,Parulidae,277690
