ML Catalog #,Format,Scientific Name,Common Name,Background Species,Subtitle,Recordist,Year,Month,Day,Time,Country,State,County,Locality,Latitude,Longitude,Elevation (m),AgeSex,Behavior,Stimulus,Confidence In ID,How Identified,Captive,Specimen,Quality,Audio Quality For Video,Cut Length (s),Recorder,Microphone,Accessory,Channels,eBird Checklist ID,Air Temp (C),Water Temp (C),Habitat,Regional Habitat,Physical Feature,Public Note,Subject Note,Equipment Note,Class,Order,Family,Taxonomic Sort
94428,Audio,Tachycineta bicolor,Tree Swallow,,,"Hershberger, Wilbur L",1998,6,27,610,United States,Pennsylvania,Lancaster,E of Middle Creek WMA,40.1644444,-76.3994444,150,Adult Male (1),call; fly; mechanical sound; scold,Natural,Certain,Sight and Sound,,,5,0,123,SONY TCD-D10 PRO II,Sennheiser ME 62,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Park/Campus/Cemetery; Rural,,Hedgerow, NOTES: Nest defense display by male.  He was swooping to within inches of the parabola.  Steve Rannels and I couldn't help by laugh as I was being boombarded by this persistent parent.  Filtered at 250 Hz.,,,Aves,Passeriformes,Hirundinidae,197740
94295,Audio,Tachycineta bicolor,Tree Swallow,,,"Hershberger, Wilbur L",1998,5,3,548,United States,Maryland,Frederick,6.0 km S of Libertytown; Audrey Carroll Wildlife Sanctuary,39.4166667,-77.2083333,180,Adult Male (1),dawn song; fly; song,Natural,Certain,Sight and Sound,,,5,0,95,SONY TCD-D10 PRO II,Sennheiser ME 62,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Deciduous Forest; Field,,Hedgerow; Edge, NOTES:  ,,,Aves,Passeriformes,Hirundinidae,197740
84826,Audio,Tachycineta bicolor,Tree Swallow,,,"Hershberger, Wilbur L",1997,5,22,540,United States,Maryland,Frederick,6.0 km S of Libertytown; Audrey Carroll Wildlife Sanctuary,39.4166667,-77.2083333,180,Unknown Age Unknown Sex (1),advertise; fly; song,Natural,Certain,Sight and Sound,,,5,0,102,SONY TCD-D10 PRO II,Sennheiser ME 62,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Rural; Fallow Agricultural; Field,,Hedgerow, NOTES: Sont TCD-D10 Pro II HPF on.,,,Aves,Passeriformes,Hirundinidae,197740
141107,Audio,Tachycineta bicolor,Tree Swallow,,,"Clock, Benjamin M",2009,6,10,0,United States,Alaska,,Sue's tent cabin,64.5527,-165.509,,,song,Natural,Certain,Sight and Sound,,,4,0,69,NAGRA ARES-BB+,Telinga Pro 6,,Stereo,,,,,,,,,,Aves,Passeriformes,Hirundinidae,197740
137594,Audio,Tachycineta bicolor,Tree Swallow,,,"Vyn, Gerrit ",2007,6,4,0,United States,Alaska,Nome,"Pilgrim Hot Springs Rd, off Kougarok Rd.",,,,Unknown Age Unknown Sex (1),fly; song,,Certain,Sight and Sound,,,4,0,270,NAGRA ARES-BB+,,,Stereo,,,,Creek,,,,,,Aves,Passeriformes,Hirundinidae,197740
136400,Audio,Tachycineta bicolor,Tree Swallow,,,"Andersen, Michael J",2007,6,4,1900,United States,Alaska,Nome,Pilgrim Hot Springs,65.0868667,-164.9221667,,Adult Female (1); Adult Male (1),advertise; song,Natural,Certain,Sight and Sound,,,4,0,458,SOUND DEVICES 744T,,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,Forest; Deciduous Forest; Swamp; Active Agricultural,,Thicket/Brush, NOTES: Song from one male perched on a fence post near a nest box plus some interactive calling between male and female at the box.  Recorded at Pilgrim Hot Springs north of the Kigluaik Mountains on the Seward Peninsula.  Sound Devices 744T with 160Hz HPF and Telinga Pro5B in flat.,,,Aves,Passeriformes,Hirundinidae,197740
120299,Audio,Tachycineta bicolor,Tree Swallow,,,"Keller, Geoffrey A",2002,6,2,503,United States,California,Kern,near Kern River Preserve and Weldon; along Fay Ranch Rd,,,823,,dawn song; song,,Certain,Sight,,,4,0,310,HHB PORTADAT PDR 1000,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,," NOTES: ""Bird was vocalizing on the wing...  This was an aerial display, and the bird was probably 10 to 15 meters above the ground. The area was an open meadow adjacent to extensive riparian woodland.""",,,Aves,Passeriformes,Hirundinidae,197740
118689,Audio,Tachycineta bicolor,Tree Swallow,,,"Keller, Geoffrey A",2001,5,6,1134,United States,California,Del Norte,4.8 km NW of Crescent City; Lake Earl Wildlife Area,,,6,,song,,Certain,Sound,,,4,0,231,HHB PORTADAT PDR 1000,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,," NOTES: ""Bird was vocalizing from top of dead probable Sitka Spruce tree...""",,,Aves,Passeriformes,Hirundinidae,197740
118653,Audio,Tachycineta bicolor,Tree Swallow,,,"Keller, Geoffrey A",2001,4,17,936,United States,California,Kern,Kern River Preserve,,,823,,call; song,,Certain,Sight,,,4,0,106,HHB PORTADAT PDR 1000,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Riparian,,Thicket/Brush," NOTES: ""Bird was vocalizing from dead willow tree...""",,,Aves,Passeriformes,Hirundinidae,197740
113765,Audio,Tachycineta bicolor,Tree Swallow,Corvus brachyrhynchos -- American Crow; Geothlypis trichas -- Common Yellowthroat; Melospiza melodia -- Song Sparrow; Phasianus colchicus -- Ring-necked Pheasant; Turdus migratorius -- American Robin; Zenaida macroura -- Mourning Dove,,"Marantz, Curtis A",1995,5,21,459,United States,Massachusetts,Nantucket,Nantucket Island; Nantucket Field Station,,,,Unknown Age Male (1),advertise; dawn song; song,Natural,Certain,Sight and Sound,,,4,0,194,NAGRA IV-D,,,Mono,,,,Wetland; Coniferous Forest; Deciduous Forest; Pond; Field,,Thicket/Brush; Island; Scrub; Edge," NOTES: Range Status: normal, migration. Breeding Status: breeding. Sound Delivery Rate: normal. General Climate: humid, cyclic wet-dry.  Season: spring. Cover Density:open. Species Sound or Social Contact: isolated.  One Adult Male? bird singing. Notes: ""singing from a post next to a bird box."" -SBA  25/11/02 ",,,Aves,Passeriformes,Hirundinidae,197740
