ML Catalog #,Format,Scientific Name,Common Name,Background Species,Subtitle,Recordist,Year,Month,Day,Time,Country,State,County,Locality,Latitude,Longitude,Elevation (m),AgeSex,Behavior,Stimulus,Confidence In ID,How Identified,Captive,Specimen,Quality,Audio Quality For Video,Cut Length (s),Recorder,Microphone,Accessory,Channels,eBird Checklist ID,Air Temp (C),Water Temp (C),Habitat,Regional Habitat,Physical Feature,Public Note,Subject Note,Equipment Note,Class,Order,Family,Taxonomic Sort
193557,Audio,Ixoreus naevius,Varied Thrush,,,"Nelson, Richard ",2013,6,22,2119,United States,Alaska,,Glacier Bay National Park and Preserve; Beardslee Islands,58.52234,-135.88712,,,song,,Not Provided,,,,4,0,303,MARANTZ PMD 661,Sennheiser MKH 20,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Mono,,,,,,,Habitat: Closed Coniferous,,,Aves,Passeriformes,Turdidae,261340
132253,Audio,Ixoreus naevius,Varied Thrush,,,"Andersen, Michael J",2006,6,28,608,United States,Alaska,,Quartz Lake State Recreation Area,64.1976333,-145.8257667,310,Adult Male (1),advertise; song,Natural,Certain,Sight and Sound,,,4,0,382,SOUND DEVICES 744T,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Evergreen Forest; Coniferous Forest; Deciduous Forest,,,,,,Aves,Passeriformes,Turdidae,261340
132171,Audio,Ixoreus naevius,Varied Thrush,,,"Vyn, Gerrit ",2006,6,24,429,United States,Alaska,,Dalton Highway,66.9306333,-149.8461333,151,Adult Male (1),advertise; song,Natural,Certain,Sight and Sound,,,4,0,526,NAGRA ARES-BB+,,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,,,,,,,Aves,Passeriformes,Turdidae,261340
118810,Audio,Ixoreus naevius,Varied Thrush,,,"Keller, Geoffrey A",2001,5,19,739,United States,California,Del Norte,6.4 km NE of Crescent City; Jedediah Smith Redwood State Park,,,5,,song,,Certain,Sound,,,4,0,113,HHB PORTADAT PDR 1000,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Coniferous Forest,,," NOTES: ""Bird was vocalizing from unknown location in canopy of mature redwood forest...""   ""I'm fairly certain the bird was in the lower third of the canopy.""",,,Aves,Passeriformes,Turdidae,261340
118683,Audio,Ixoreus naevius,Varied Thrush,,,"Keller, Geoffrey A",2001,5,6,929,United States,California,Del Norte,9.6 km E of Crescent City; Jedediah Smith Redwoods State Park,,,61,,song,,Certain,Sound,,,4,0,358,HHB PORTADAT PDR 1000,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest,,," NOTES: ""Bird was vocalizing from unknown location in mature Redwood forest...""  ""Bird was probably in lower third of canopy.""",,,Aves,Passeriformes,Turdidae,261340
105663,Audio,Ixoreus naevius,Varied Thrush,Catharus ustulatus -- Swainson's Thrush; Certhia americana -- Brown Creeper; Empidonax hammondii -- Hammond's Flycatcher; Troglodytes pacificus -- Pacific Wren; Cardellina pusilla -- Wilson's Warbler,,"Keller, Geoffrey A",1995,6,8,743,United States,Oregon,Coos,8.0 km SE of Powers; Coquille Falls,,,300,Adult Male (1),advertise; court; song,Natural,Certain,Sound,,,4,0,322,UHER 4200 REPORT MONITOR,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Coniferous Forest,,, NOTES: song from top of of dead Port Orford Cedar,,,Aves,Passeriformes,Turdidae,261340
66086,Audio,Ixoreus naevius,Varied Thrush,Agelaius phoeniceus -- Red-winged Blackbird; Ixoreus naevius -- Varied Thrush,,"Gunn, William W. H. ",1970,6,3,0,Canada,Alberta,,Waterton Lakes National Park; Cameron Lake,,,,Adult Male (1),song,,Not Provided,Sound,,,4,0,260,,,,,,,,,,," NOTES: No. songs: lllillilillllii/(2.25) i /iiiiiiiiiiiiiii/4.20  songs in first part strong; in last part faint - for bkgd.  Also: water run-off, other varied thrushes, redwing check  faintly  ",,,Aves,Passeriformes,Turdidae,273610
42254,Audio,Ixoreus naevius,Varied Thrush,Spinus pinus -- Pine Siskin; Odocoileus; Sitta canadensis -- Red-breasted Nuthatch,,"Keller, Geoffrey A",1988,6,10,640,United States,Idaho,,"48.0 km SW of Lolo, Montana; Lolo Pass On US 12",,,1750,Adult Unknown Sex (1),song,Natural,Certain,Sound,,,4,0,246,UHER 4200 REPORT IC,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Coniferous Forest; Montane Grassland; Meadow,,Thicket/Brush; Edge,NOTES: (MLNS Notes: HPF@225 hz when digitized. CZ 18/09/03),,,Aves,Passeriformes,Turdidae,261340
14148,Audio,Ixoreus naevius,Varied Thrush,,,"Allen, Arthur A; Allen, David G",1959,5,7,0,Canada,British Columbia,,Above Nanmio,,,,,,,Not Provided,,,,4,0,637,MAGNEMITE UNSPECIFIED MODEL,,Parabola 76.2cm (30in),Mono,,,,Coniferous Forest; Creek,,,,,,Aves,Passeriformes,Turdidae,261340
14147,Audio,Ixoreus naevius,Varied Thrush,Setophaga coronata -- Yellow-rumped Warbler,,"Stein, Robert C; Michener, Martin C",1958,7,1,1021,Canada,British Columbia,,24.0 km E of Quesnel; Barkerville Rd.,,,,,song,,Not Provided,,,,4,0,407,MAGNEMITE UNSPECIFIED MODEL,,Parabola 101.6cm (40in),Mono,,,,Deciduous Forest,,,,,,Aves,Passeriformes,Turdidae,261340
195051,Audio,Ixoreus naevius,Varied Thrush,,,"McGuire, Bob ",2012,5,2,834,United States,Washington,,Olympic National Park; Queets River,47.5527,-124.264,,Adult Male (1),song,Natural,Certain,Sound,,,3,0,519,SOUND DEVICES 702,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,,,,,,,Aves,Passeriformes,Turdidae,261340
193427,Audio,Ixoreus naevius,Varied Thrush,,,"Nelson, Richard ",2013,6,2,800,United States,Alaska,,Glacier Bay National Park and Preserve; Near parking lot on Towers Road,58.4107333,-135.7659833,,,song,,Not Provided,,,,3,0,237,MARANTZ PMD 661,Sennheiser ME 62,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Mono,,,,,,,Habitat: Sikta Spruce,Standing in low understory of spruce and coniferous and deciduous shrubs,,Aves,Passeriformes,Turdidae,261340
191307,Audio,Ixoreus naevius,Varied Thrush,Catharus guttatus -- Hermit Thrush; Regulus calendula -- Ruby-crowned Kinglet; Setophaga townsendi -- Townsend's Warbler,,"Lentfer, Hank ",2013,6,2,940,United States,Alaska,,Gustavus Forelands,58.4635,-135.7765,,Unknown Age Unknown Sex (1),song,Natural,Not Provided,,,,3,0,264,MARANTZ PMD 661 MKII,Sennheiser MKH 20,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Mono,,,,,,,ML: 150 Hz AUHipass filter applied in soundBlade HD.,,,Aves,Passeriformes,Turdidae,261340
181602,Audio,Ixoreus naevius,Varied Thrush,,,"Budney, Gregory F",2013,5,30,343,United States,Alaska,Skagway-Hoonah-Angoon,Gustavus; Good River Road,,,,Adult Male (1),song,Natural,Certain,Sight and Sound,,,3,0,1122,NAGRA ARES-BB+,Telinga Pro 8,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,6.0,,,,,,,,Aves,Passeriformes,Turdidae,261340
