ML Catalog #,Format,Scientific Name,Common Name,Background Species,Subtitle,Recordist,Year,Month,Day,Time,Country,State,County,Locality,Latitude,Longitude,Elevation (m),AgeSex,Behavior,Stimulus,Confidence In ID,How Identified,Captive,Specimen,Quality,Audio Quality For Video,Cut Length (s),Recorder,Microphone,Accessory,Channels,eBird Checklist ID,Air Temp (C),Water Temp (C),Habitat,Regional Habitat,Physical Feature,Public Note,Subject Note,Equipment Note,Class,Order,Family,Taxonomic Sort
188350,Audio,Tachycineta thalassina,Violet-green Swallow,,,"Hite, Justin M",2013,6,22,830,United States,California,Mono,Lee Vining Creek Trail,37.964274,-119.116561,2000,Adult Female (1); Adult Male (4),call; perch,Natural,Certain,Sight and Sound,,,5,0,455,MARANTZ PMD 661,Sennheiser MKH 20,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Mono,,,,,,,,"Recording of perch that Swallows were frequenting.  A female sat silently on the perch for a long time, with the males doing the calling.",,Aves,Passeriformes,Hirundinidae,197830
120232,Audio,Tachycineta thalassina,Violet-green Swallow,,,"Keller, Geoffrey A",2002,5,12,1058,United States,California,,Lava Beds National Monument,,,,,,,Certain,Sight,,,5,0,683,HHB PORTADAT PDR 1000,,,Mono,,,,,,," NOTES: ""Bird was vocalizing from dead Juniper tree at edge of collapsed lava tube where nesting site was... Some vocalizations were from in flight.""", Number of individuals=UU1+; ,,Aves,Passeriformes,Hirundinidae,197830
130725,Audio,Tachycineta thalassina,Violet-green Swallow,,,"Herr, David S; Budney, Gregory F",2006,6,7,0,United States,California,Mono,Mono Lake: South Tufa Area,,,1945,,call; song,Natural,Certain,Sight and Sound,,,4,0,133,SOUND DEVICES 722,,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,Lake,,,,,,Aves,Passeriformes,Hirundinidae,197830
130724,Audio,Tachycineta thalassina,Violet-green Swallow,,,"Herr, David S; Budney, Gregory F",2006,6,7,0,United States,California,Mono,Mono Lake: South Tufa Area,,,1945,,call; song,Natural,Certain,Sight and Sound,,,4,0,329,SOUND DEVICES 722,,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,Lake,,,,,,Aves,Passeriformes,Hirundinidae,197830
130723,Audio,Tachycineta thalassina,Violet-green Swallow,,,"Herr, David S; Budney, Gregory F",2006,6,7,0,United States,California,Mono,Mono Lake: South Tufa Area,,,1945,,call; song,Natural,Certain,Sight and Sound,,,4,0,222,SOUND DEVICES 722,,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,Lake,,,,,,Aves,Passeriformes,Hirundinidae,197830
130722,Audio,Tachycineta thalassina,Violet-green Swallow,,,"Herr, David S; Budney, Gregory F",2006,6,7,0,United States,California,Mono,Mono Lake: South Tufa Area,,,1945,,call; song,Natural,Certain,Sight and Sound,,,4,0,260,SOUND DEVICES 722,,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,Lake,,,,,,Aves,Passeriformes,Hirundinidae,197830
130721,Audio,Tachycineta thalassina,Violet-green Swallow,,,"Herr, David S; Budney, Gregory F",2006,6,7,0,United States,California,Mono,Mono Lake: South Tufa Area,,,1945,,call; song,Natural,Certain,Sight and Sound,,,4,0,146,SOUND DEVICES 722,,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,Lake,,,,,,Aves,Passeriformes,Hirundinidae,197830
130716,Audio,Tachycineta thalassina,Violet-green Swallow,Agelaius phoeniceus -- Red-winged Blackbird; Larus californicus -- California Gull; Melospiza melodia -- Song Sparrow; Molothrus ater -- Brown-headed Cowbird,,"Herr, David S",2006,6,6,530,United States,California,Mono,Mono Lake: South Tufa Area,,,1945,Adult Male (1),song,Natural,Certain,Sight and Sound,,,4,0,480,SOUND DEVICES 722,,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,Lake,,," NOTES: Stereo Telinga.  Nice bits of gurgling song at 1:00, 1:48, 5:43.",,,Aves,Passeriformes,Hirundinidae,197830
130715,Audio,Tachycineta thalassina,Violet-green Swallow,,,"Herr, David S",2006,6,6,0,United States,California,Mono,Mono Lake: South Tufa Area,,,1945,,song,Natural,Certain,Sight and Sound,,,4,0,92,SOUND DEVICES 722,,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,Lake,,, NOTES: Stereo Telinga.  Time approximately 0500.,,,Aves,Passeriformes,Hirundinidae,197830
130714,Audio,Tachycineta thalassina,Violet-green Swallow,,,"Herr, David S",2006,6,6,0,United States,California,Mono,Mono Lake: South Tufa Area,,,1945,,call; song,Natural,Certain,Sight and Sound,,,4,0,734,SOUND DEVICES 722,,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,Lake,,, NOTES: Stereo Telinga.  Time approximately 0500.,,,Aves,Passeriformes,Hirundinidae,197830
130711,Audio,Tachycineta thalassina,Violet-green Swallow,Charadrius vociferus -- Killdeer; Larus californicus -- California Gull; Passerculus sandwichensis -- Savannah Sparrow,,"Herr, David S",2006,6,5,0,United States,California,Mono,Mono Lake: South Tufa Area,,,1945,,call; song,Natural,Certain,Sight and Sound,,,4,0,595,SOUND DEVICES 722,,,Stereo,,,,,,," NOTES: Remote microphone MS stereo with Sennheiser MKH50 over MKH30.  Decoded to XY stereo on Sound Devices 722.  MKH50 pointed towards a tufa tower with good vocal activity, possibly nesting activity as well.",,,Aves,Passeriformes,Hirundinidae,197830
130710,Audio,Tachycineta thalassina,Violet-green Swallow,Larus californicus -- California Gull; Passerculus sandwichensis -- Savannah Sparrow,,"Herr, David S",2006,6,5,0,United States,California,Mono,Mono Lake: South Tufa Area,,,1945,,call; song,Natural,Certain,Sight and Sound,,,4,0,209,SOUND DEVICES 722,,,Stereo,,,,,,," NOTES: Remote microphone MS stereo with Sennheiser MKH50 over MKH30.  Decoded to XY stereo on Sound Devices 722.  MKH50 pointed towards a tufa tower with good vocal activity, possibly nesting activity as well.",,,Aves,Passeriformes,Hirundinidae,197830
130709,Audio,Tachycineta thalassina,Violet-green Swallow,Charadrius vociferus -- Killdeer; Larus californicus -- California Gull,,"Herr, David S",2006,6,5,0,United States,California,Mono,Mono Lake: South Tufa Area,,,1945,,call; song,Natural,Certain,Sight and Sound,,,4,0,277,SOUND DEVICES 722,,,Stereo,,,,,,," NOTES: Remote microphone MS stereo with Sennheiser MKH50 over MKH30.  Decoded to XY stereo on Sound Devices 722.  MKH50 pointed towards a tufa tower with good vocal activity, possibly nesting activity as well.",,,Aves,Passeriformes,Hirundinidae,197830
130707,Audio,Tachycineta thalassina,Violet-green Swallow,,,"Herr, David S",2006,6,5,0,United States,California,Mono,Mono Lake: South Tufa Area,,,1945,,call; song,Natural,Certain,Sight and Sound,,,4,0,361,SOUND DEVICES 722,,,Stereo,,,,,,, NOTES: Remote microphone MS stereo with Sennheiser MKH50 over MKH30.  Decoded to XY stereo on Sound Devices 722.,,,Aves,Passeriformes,Hirundinidae,197830
130702,Audio,Tachycineta thalassina,Violet-green Swallow,Larus californicus -- California Gull; Passerculus sandwichensis -- Savannah Sparrow,,"Herr, David S",2006,6,4,0,United States,California,Mono,Mono Lake,,,1945,,call; fly,Natural,Certain,Sound,,,4,0,528,SOUND DEVICES 722,,,Stereo,,,,,,, NOTES: Flock of Tachycineta thalassina vocalizing in flight as they circle the microphones.  Good dopler shift at times.  MS stereo with Sennheiser MKH50 over MKH30.  Decoded to XY stereo on Sound Devices 722.,,,Aves,Passeriformes,Hirundinidae,197830
130701,Audio,Tachycineta thalassina,Violet-green Swallow,Larus californicus -- California Gull; Passerculus sandwichensis -- Savannah Sparrow; Sayornis saya -- Say's Phoebe; Spizella breweri -- Brewer's Sparrow; Hydroprogne caspia -- Caspian Tern,,"Herr, David S",2006,6,4,0,United States,California,Mono,Mono Lake,,,1945,,call; fly,Natural,Certain,Sound,,,4,0,354,SOUND DEVICES 722,,,Stereo,,,,,,, NOTES: Flock of Tachycineta thalassina vocalizing in flight as they circle the microphones.  Good dopler shift at times.  MS stereo with Sennheiser MKH50 over MKH30.  Decoded to XY stereo on Sound Devices 722.,,,Aves,Passeriformes,Hirundinidae,197830
120252,Audio,Tachycineta thalassina,Violet-green Swallow,,,"Keller, Geoffrey A",2002,5,29,527,United States,California,Modoc,Lava Beds National Monument,,,1310,,fly,,Certain,Sight,,,4,0,89,HHB PORTADAT PDR 1000,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,," NOTES: ""Birds were vocalizing mostly on the wing, however would sometimes would perch near nesting site at the edge of a collapsed lava tube.""",,,Aves,Passeriformes,Hirundinidae,197830
106657,Audio,Tachycineta thalassina,Violet-green Swallow,,,"Little, Randolph S",1995,5,28,530,United States,Oregon,Lincoln,2.0 km W of Newport; Yaquina Head,44.6666667,-124.0333333,,Adult Unknown Sex (2),call; fly; mate,Natural,Certain,Sight and Sound,,,4,0,168,NAGRA IV-D,,Parabola 91.4cm/30.5cm (36in/12in),Mono,,,,Marine; Bay/Harbor,,Cliff; Rocky,NOTES: (Species sound: Frequent. Breed. Status: Breeding? Gen. Climate: Arid. Cov. Density: None. Strata: Song Perch.),,,Aves,Passeriformes,Hirundinidae,197830
105657,Audio,Tachycineta thalassina,Violet-green Swallow,Haemorhous purpureus -- Purple Finch; Corvus brachyrhynchos -- American Crow; Geothlypis trichas -- Common Yellowthroat; Hirundo rustica -- Barn Swallow; Melospiza melodia -- Song Sparrow; Molothrus ater -- Brown-headed Cowbird; Sturnus vulgaris -- European Starling; Zonotrichia leucophrys -- White-crowned Sparrow,,"Keller, Geoffrey A",1995,6,4,535,United States,Oregon,Coos,Riverton,,,10,Adult Male (1),advertise; court; song,Natural,Certain,Sight,,,4,0,48,UHER 4200 REPORT MONITOR,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Suburban,,, NOTES: song from telephone wire in residential area,,,Aves,Passeriformes,Hirundinidae,197830
105656,Audio,Tachycineta thalassina,Violet-green Swallow,Corvus brachyrhynchos -- American Crow; Cyanocitta stelleri -- Steller's Jay; Geothlypis trichas -- Common Yellowthroat; Hirundo rustica -- Barn Swallow; Melospiza melodia -- Song Sparrow; Molothrus ater -- Brown-headed Cowbird; Sturnus vulgaris -- European Starling; Tachycineta thalassina -- Violet-green Swallow; Turdus migratorius -- American Robin; Zonotrichia leucophrys -- White-crowned Sparrow,,"Keller, Geoffrey A",1995,6,4,532,United States,Oregon,Coos,Riverton,,,10,Adult Male (1),advertise; court; song,Natural,Uncertain,Sound,,,4,0,128,UHER 4200 REPORT MONITOR,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Suburban,,, NOTES: song from telephone wire in residential area; 90% certain of ID,,,Aves,Passeriformes,Hirundinidae,197830
50341,Audio,Tachycineta thalassina,Violet-green Swallow,,,"Keller, Geoffrey A",1990,7,4,455,United States,Oregon,Coos,13.0 km SW of Coos Bay; South Slough Sanctuary,,,10,Adult Unknown Sex (6),call,Natural,Certain,Sound,,,4,0,116,UHER 4200 REPORT MONITOR,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Wetland; Evergreen Forest; Coniferous Forest; Deciduous Forest,,Edge," NOTES: LNS NOTE: Unbroken cut with internal recordist announcement/handling noise gain change (MJA,22Feb2005).  dawn -0.83hrs; species cut number 10",,,Aves,Passeriformes,Hirundinidae,197830
8622,Audio,Tachycineta thalassina,Violet-green Swallow,,,"Angstadt, Robert B",1961,5,17,0,United States,Arizona,,Hart Prairie; San Francisco Mt.,,,,,call,,Not Provided,,,,4,0,36,NAGRA III-B,,Parabola 101.6cm (40in),Mono,,,,Forest,,, NOTES: CALLS NEAR NEST HOLE.,,,Aves,Passeriformes,Hirundinidae,197830
8617,Audio,Tachycineta thalassina,Violet-green Swallow,,,"Michener, Martin C",1958,6,23,1820,United States,Washington,,FIDALGO ISLAND; S. END ROSARIO BEACH,,,,,call,,Not Provided,,,,4,0,61,MAGNEMITE UNSPECIFIED MODEL,,,Mono,,,,,,," NOTES: CALLS OF YOUNG, READY TO FLEDGE. SOUND SIMILAR (OR IDENTICAL TO?) ADULT. NEST IN ROOF OF CABIN. MICROPHONEAT NEST HOLE.  JUVENILE(S); Sex: UNKNOWN",,,Aves,Passeriformes,Hirundinidae,197830
188344,Audio,Tachycineta thalassina,Violet-green Swallow,,,"Hite, Justin M",2013,6,22,"",United States,California,Mono,Lee Vining Creek Trail,37.964274,-119.116561,2000,Adult Male (1),call,Natural,Certain,,,,3,0,13,MARANTZ PMD 661,Sennheiser MKH 20,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Mono,,,,,,,,,,Aves,Passeriformes,Hirundinidae,197830
130720,Audio,Tachycineta thalassina,Violet-green Swallow,,,"Herr, David S; Budney, Gregory F",2006,6,7,415,United States,California,Mono,Mono Lake: South Tufa Area,,,1945,,call; song,Natural,Certain,Sight and Sound,,,3,0,174,SOUND DEVICES 722,,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,Lake,,," NOTES: Recordist mentions that the gain was ""pegged"" on the Sound Devices 722 recorder (i.e. turned up all the way to 70dB).",,,Aves,Passeriformes,Hirundinidae,197830
80314,Audio,Tachycineta thalassina,Violet-green Swallow,,,"Little, Randolph S",1991,6,2,635,United States,Nevada,,"17.0 km SE of Doyle, California",39.9,-119.9833333,1550,Adult Unknown Sex (1),call; court; mate,Natural,Uncertain,Sight and Sound,,,3,0,19,NAGRA IV-D,,Parabola 91.4cm/30.5cm (36in/12in),Mono,,,,Freshwater; Evergreen Forest; Coniferous Forest; Deciduous Forest,,Scrub; Canyon; Cliff,"Species Sound: infrequent; Breeding Status: territorial paired, breeding?; General Climate: arid",,,Aves,Passeriformes,Hirundinidae,197830
66830,Audio,Tachycineta thalassina,Violet-green Swallow,Setophaga coronata -- Yellow-rumped Warbler,,"Gunn, William W. H. ",1982,5,22,0,Canada,British Columbia,,"Hwy 16, West Of Smithers",,,,,,,Certain,Sight and Sound,,,3,0,200,,,,,,,,,,," NOTES: Description and location 0:00 - 0:14  70+/-  VGS plus a few Barn Swallows  Also: Yellow-rumped (Audubon's) Warblers, traffic, wind, stream  Q 2-3", Number of individuals=UUc70; ,,Aves,Passeriformes,Hirundinidae,207850
44954,Audio,Tachycineta thalassina,Violet-green Swallow,,,"Keller, Geoffrey A",1989,6,17,556,United States,Oregon,Coos,8.0 km S of Charleston; South Slough Sanctuary,,,25,Adult Male (1),advertise; call,Natural,Certain,Sight and Sound,,,3,0,69,UHER 4200 REPORT MONITOR,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Coniferous Forest; Deciduous Forest; Meadow; Rural,,Edge, NOTES: dawn +0.17hrs; species cut number 8,,,Aves,Passeriformes,Hirundinidae,197830
18726,Audio,Tachycineta thalassina,Violet-green Swallow,Certhia americana -- Brown Creeper; Turdus migratorius -- American Robin,,"Hewitt, Oliver H",1980,5,30,545,United States,Washington,,Port Hadlock,,,,,call; establish flock contact; fly; forage,Natural,Not Provided,Sight and Sound,,,3,0,138,SONY TC-D5,,,Mono,,,,Coniferous Forest; Deciduous Forest; Pond; Suburban,,," NOTES: LNS NOTE: Unbroken cut with internal recordist announcement/handling noise gain change (MJA,22Feb2005).   Range status: NORMAL;  Breeding status: UNKNOWN;  Frequency of sound: NORMAL;  General climate: HUMID;  Cover density: THICK; HAWKING INSECTS OVER WOODS  Sex: UNKNOWN; Age: UNKNOWN AGE",,,Aves,Passeriformes,Hirundinidae,197830
8621,Audio,Tachycineta thalassina,Violet-green Swallow,,,"Booth, Ernest S",1952,7,,0,United States,Washington,,Anacortes,,,,,,,Not Provided,,,,3,0,30,MAGNECORDER UNSPECIFIED MODEL,,,Mono,,,,,,, NOTES: YOUNG VIOLET-GREEN SWALLOWS THE DAY BEFORE THEY LEFT THE NEST.  NESTLING(S),,,Aves,Passeriformes,Hirundinidae,197830
8620,Audio,Tachycineta thalassina,Violet-green Swallow,Spinus pinus -- Pine Siskin; Contopus sordidulus -- Western Wood-Pewee; Corvus brachyrhynchos -- American Crow; Setophaga ruticilla -- American Redstart; Turdus migratorius -- American Robin,,"Little, Randolph S",1959,6,20,800,Canada,British Columbia,,Smithers,,,460,,,,Not Provided,,,,3,0,154,MAGNEMITE UNSPECIFIED MODEL,,Parabola 101.6cm (40in),Mono,,,,Lake,,, NOTES: SEVERAL BIRDS FLYING AROUND THE CABIN WHERE THEY WERE NESTING.,,,Aves,Passeriformes,Hirundinidae,197830
8619,Audio,Tachycineta thalassina,Violet-green Swallow,,,"Michener, Martin C",1958,1,25,0,United States,Washington,,FIDALGO ISLAND; S. END AT DECEPTION PASS,,,,Adult Unknown Sex (1),song,,Not Provided,,,,3,0,14,MAGNEMITE UNSPECIFIED MODEL,,Parabola 101.6cm (40in),Mono,,,,,,, NOTES:   1 ADULT(S),,,Aves,Passeriformes,Hirundinidae,197830
