ML Catalog #,Format,Scientific Name,Common Name,Background Species,Subtitle,Recordist,Year,Month,Day,Time,Country,State,County,Locality,Latitude,Longitude,Elevation (m),AgeSex,Behavior,Stimulus,Confidence In ID,How Identified,Captive,Specimen,Quality,Audio Quality For Video,Cut Length (s),Recorder,Microphone,Accessory,Channels,eBird Checklist ID,Air Temp (C),Water Temp (C),Habitat,Regional Habitat,Physical Feature,Public Note,Subject Note,Equipment Note,Class,Order,Family,Taxonomic Sort
144024,Audio,Vireo gilvus,Warbling Vireo,Oreortyx pictus -- Mountain Quail; Passerella iliaca -- Fox Sparrow; Sitta canadensis -- Red-breasted Nuthatch,,"Little, Randolph S",2001,6,1,550,United States,California,Sierra,7.0 km NW of Sattley; Beartrap Meadow,39.6416667,-120.5058333,1687,Adult Male (1),advertise; song,Natural,Certain,Sight and Sound,,,5,0,108,NAGRA IV-D,Sennheiser MKH 404,Parabola 91.4cm/30.5cm (36in/12in),Mono,,,,Forest; Freshwater; Evergreen Forest; Coniferous Forest; Deciduous Forest; Montane Grassland,,Second-growth,,,,Aves,Passeriformes,Vireonidae,185400
110999,Audio,Vireo gilvus,Warbling Vireo,Poecile rufescens -- Chestnut-backed Chickadee,,"Sander, Thomas G",1988,3,27,0,United States,California,Marin,Limintour Ridge; Devil's Gulch,,,,,song,,Not Provided,,,,5,0,286,NAGRA IV-S,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,, NOTES: (AOU #627. NM: Y.),,,Aves,Passeriformes,Vireonidae,176490
49793,Audio,Vireo gilvus,Warbling Vireo,,,"Colver, Kevin J",1990,7,14,0,United States,Utah,,15.0 km S of Payson,,,2591,Adult Unknown Sex (1),forage; song,Natural,Not Provided,,,,5,0,482,SONY TCD-D10,,Roché Parabola 60cm/14.5cm (23.6in/5.7in),Mono,,,,Forest; Coniferous Forest; Deciduous Forest; Montane Grassland,,," NOTES: (Cross Reference to Catalog #: 49788 Breeding Status: territorial; General Climate: cyclic wet-dry; Cover Density: sparse; Filtering: yes) LNS# 49788 for reference. BNA: Song. LNS NOTE: Unbroken cut with internal recordist announcement/handling noise gain change (MJA, 19 May 2005).",,,Aves,Passeriformes,Vireonidae,176490
48836,Audio,Vireo gilvus,Warbling Vireo,,,"Colver, Kevin J",1990,6,12,1015,United States,California,,6.0 km W of Sattley; Yuba Pass,39.6166667,-120.5,2050,,song,,Not Provided,Sound,,,5,0,53,SONY TCD-D10,,Roché Parabola 60cm/14.5cm (23.6in/5.7in),Mono,,,,Forest; Coniferous Forest; Montane Grassland,,, NOTES: (Time: about 1015 - 1059; General Climate: cyclic wet-dry; Cover Density: sparse; Noise Reduction System: none)  BNA: Song.,,,Aves,Passeriformes,Vireonidae,176490
22906,Audio,Vireo gilvus,Warbling Vireo,,,"Fish, William R",1957,6,22,0,United States,Arizona,,SOUTHWEST RESEARCH STATION; PORTAL,,,,,song,Playback Self,Not Provided,Sound,,,5,0,183,MAGNEMITE UNSPECIFIED MODEL,,Parabola 76.2cm (30in),Mono,,,,Forest; Deciduous Forest,,, NOTES:  Range status: NORMAL;  Breeding status: UNKNOWN;  Frequency of sound: NORMAL;   Age: UNKNOWN AGE; MALE(S) BNA: Song., Response to playback: Normal song.,,Aves,Passeriformes,Vireonidae,176490
22904,Audio,Vireo gilvus,Warbling Vireo,,,"Fish, William R",1954,4,15,0,United States,California,Monterey,HASTINGS RESERVATION; MONTEREY CO.,,,,,call; song,,Not Provided,Sound,,,5,0,98,MAGNECORDER UNSPECIFIED MODEL,,Parabola 91.4cm (36in),Mono,,,,Forest; Deciduous Forest; Creek,,, NOTES:  Range status: NORMAL;  Breeding status: UNKNOWN;  General climate: CYCLIC WET-DRY; NE OF NORTH BARN.  Age: UNKNOWN AGE; MALE(S) BNA: Song and Calls.,,,Aves,Passeriformes,Vireonidae,176490
22902,Audio,Vireo gilvus,Warbling Vireo,,,"Fish, William R",1953,5,2,0,United States,California,Monterey,HASTINGS RESERVATION; MONTEREY CO.,,,,,song,,Not Provided,Sound,,,5,0,244,MAGNECORDER UNSPECIFIED MODEL,,Parabola 91.4cm (36in),Mono,,,,,,, NOTES:  Range status: NORMAL;  Breeding status: UNKNOWN;  Frequency of sound: NORMAL;  General climate: CYCLIC WET-DRY;   Age: UNKNOWN AGE; MALE(S) BNA: Song.,,,Aves,Passeriformes,Vireonidae,176490
196812,Audio,Vireo gilvus,Warbling Vireo,Melospiza melodia -- Song Sparrow; Sturnella neglecta -- Western Meadowlark; Cyanocitta stelleri -- Steller's Jay,,"Little, Randolph S",2014,6,5,744,United States,California,Sierra,"Carman Valley, midway along S. edge",39.696977,-120.454,1521,Adult Male (1),advertise; forage; song,Natural,Certain,Sight and Sound,,,4,0,78,NAGRA LB,Sennheiser ME 67,,Mono,,10.0,,,,,Habitat: Mature Jeffrey Pine at edge of meadow,,,Aves,Passeriformes,Vireonidae,176490
195760,Audio,Vireo gilvus gilvus,Warbling Vireo (Eastern),,,"McGuire, Bob ",2014,5,23,614,United States,New York,Tompkins,Cornell Plantations; F. R. Newman Arboretum,42.4506314,-76.4546728,,Adult Male (1),song,Natural,Certain,Sight and Sound,,,4,0,920,SOUND DEVICES 702,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,,,,,,,Aves,Passeriformes,Vireonidae,176500
194992,Audio,Vireo gilvus [swainsoni Group],Warbling Vireo (Western),Turdus migratorius -- American Robin; Passerella iliaca -- Fox Sparrow,,"DeCicco, Lucas ",2013,5,12,739,United States,Alaska,Haines,Chilkat River Valley; Klehini River,59.40228,-135.94485,44,Adult Male (1),song,Natural,Certain,Sight,,LHDs_376,4,0,103,MARANTZ PMD 661,Sennheiser MKH 20,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Mono,,,,,,,"Early migrant, singing from alluvial cottonwood forests. Final segment recorded at 8:46 a.m.    ML: Subject changed from recordist's original identification of Vireo gilvus swainsoni to Vireo gilvus [swainsoni Group] to conform to eBird Taxonomy (v. 1.55). -Jay McGowan/Matt Medler, July 2015.",,,Aves,Passeriformes,Vireonidae,185420
190936,Audio,Vireo gilvus,Warbling Vireo,Oreortyx pictus -- Mountain Quail; Contopus sordidulus -- Western Wood-Pewee; Turdus migratorius -- American Robin; Zenaida macroura -- Mourning Dove; Chordeiles minor -- Common Nighthawk,,"Little, Randolph S",2013,6,5,550,United States,California,Sierra,"1.0 km NE of Antelope Valley, log landing 1Km NW of saddle",39.6195,-120.27,1750,Adult Male (1),advertise; song,Natural,Certain,Sight and Sound,,,4,0,315,NAGRA LB,Sennheiser ME 67,,Mono,,,,,,,Habitat: Incense Cedar in log landing amid Jeffrey Pine forest,Singing from an Incense Cedar at clearing.,,Aves,Passeriformes,Vireonidae,185400
188497,Audio,Vireo gilvus [swainsoni Group],Warbling Vireo (Western),,,"McGuire, Bob ",2013,5,18,616,United States,California,,Tahoe National Forest; Yuba Pass,39.6172,-120.4898,,Adult Male (1),song,Natural,Certain,Sight and Sound,,,4,0,311,SOUND DEVICES 702,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,,,,,,,Aves,Passeriformes,Vireonidae,176510
179938,Audio,Vireo gilvus [swainsoni Group],Warbling Vireo (Western),,,"Walker, Bradley M",2013,6,3,604,United States,California,Sierra,Yuba Pass; Tahoe National Forest,39.621162,-120.4878116,,Adult Male (1),song,Natural,Certain,Sight and Sound,,,4,0,48,NAGRA ARES-BB+,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Mono,,,,,,,Gives a single song phrase before flying off.,,Telinga Hipass filter was in place during this recording.,Aves,Passeriformes,Vireonidae,176510
176239,Audio,Vireo gilvus,Warbling Vireo,,,"Keller, Geoffrey A",2009,7,2,655,United States,Indiana,Brown,Lake Monroe; Crooked Creek boat ramp,39.0940373,-86.3291073,,Adult Unknown Sex (1),song,,Certain,,,,4,0,120,HHB PORTADAT PDR 1000,Sennheiser MKH 106,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,,,,,Aves,Passeriformes,Vireonidae,176490
176232,Audio,Vireo gilvus,Warbling Vireo,,,"Keller, Geoffrey A",2009,7,1,704,United States,Indiana,Brown,Lake Monroe; Crooked Creek boat ramp,39.0940373,-86.3291073,,Adult Unknown Sex (1),song,,Certain,,,,4,0,158,HHB PORTADAT PDR 1000,Sennheiser MKH 106,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,,,,,Aves,Passeriformes,Vireonidae,176490
