ML Catalog #,Format,Scientific Name,Common Name,Background Species,Subtitle,Recordist,Year,Month,Day,Time,Country,State,County,Locality,Latitude,Longitude,Elevation (m),AgeSex,Behavior,Stimulus,Confidence In ID,How Identified,Captive,Specimen,Quality,Audio Quality For Video,Cut Length (s),Recorder,Microphone,Accessory,Channels,eBird Checklist ID,Air Temp (C),Water Temp (C),Habitat,Regional Habitat,Physical Feature,Public Note,Subject Note,Equipment Note,Class,Order,Family,Taxonomic Sort
110914,Audio,Larus occidentalis,Western Gull,,,"Sander, Thomas G",1986,7,13,0,United States,California,,SE Farallon Islands; periphery of water collection pad,,,,,,,Not Provided,,,,5,0,880,NAGRA IV-S,,,Stereo,,,,,,, NOTES: (AOU #49. NM: N. Bkground Sounds: Generator.),,,Aves,Charadriiformes,Laridae,41660
110913,Audio,Larus occidentalis,Western Gull,,,"Sander, Thomas G",1986,7,13,0,United States,California,,SE Farallon Islands; water collection pad at east side of island,,,,,,,Not Provided,,,,5,0,938,NAGRA IV-S,,,Stereo,,,,,,, NOTES: (AOU #49. NM: N.) Ambiance.,,,Aves,Charadriiformes,Laridae,41660
3361,Audio,Larus occidentalis,Western Gull,,,"Sutherland, Charles A",1961,7,25,900,United States,Washington,,WESTPORT,,,,,call; fly,,Not Provided,,,,5,0,50,NAGRA III,,Parabola 91.4cm (36in),Mono,,,,Bay/Harbor,,Sand, NOTES: THE BIRD FLEW ROUND AND ROUND MY HEAD CALLING.  Sex: 1 UNKNOWN,,,Aves,Charadriiformes,Laridae,41660
125387,Audio,Larus occidentalis,Western Gull,Cerorhinca monocerata -- Rhinoceros Auklet,,"Sander, Thomas G",1986,8,1,1045,United States,California,,SE Farallon Islands; NW side of carpenter shop,,,,,Social context: colony,,Not Provided,,,,4,0,1470,UHER UNSPECIFIED MODEL,,Sony PBR-330 Parabola 32.8cm/6.5cm(12.9in/2.6in),Stereo,,,,,,," NOTES: Best Larus occidentalis vocalizations start at about 11:00 and continue to 21:30. Cerorhinca monocerata chick vocalizes incessantly throughout. -MJA, 18 August 2005.",,,Aves,Charadriiformes,Laridae,41660
110906,Audio,Larus occidentalis,Western Gull,,,"Sander, Thomas G",1986,11,14,0,United States,California,,SE Farallon Islands,,,,,,,Not Provided,,,,4,0,963,NAGRA IV-S,,Roché Parabola 74cm/17.7cm (29.1in/7in),Stereo,,,,,,, NOTES: (AOU #49. NM: N.) At approximately 10.20 there is a noise made by W. Gull that souds diruptive. Gull stepped on box or something.,,,Aves,Charadriiformes,Laridae,41660
3360,Audio,Larus occidentalis,Western Gull,,,"Sutherland, Charles A",1961,7,20,700,United States,Washington,,WESTPORT,,,,,depart,,Not Provided,,,,4,0,28,NAGRA III,,Parabola 91.4cm (36in),Mono,,,,Bay/Harbor,,Sand, NOTES: BIRD FLUSHED FROM A GROUP.,,,Aves,Charadriiformes,Laridae,41660
189313,Audio,Larus occidentalis,Western Gull,,,"McGuire, Bob ",2012,3,30,1722,United States,California,,Channel Islands National Park; Santa Barbara Island,33.4815,-119.03,,Adult Unknown Sex (5),call,Natural,Certain,Sight and Sound,,,3,0,66,SOUND DEVICES 702,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,,,,,,,Aves,Charadriiformes,Laridae,41660
189312,Audio,Larus occidentalis,Western Gull,,,"McGuire, Bob ",2012,3,30,1719,United States,California,,Channel Islands National Park; Santa Barbara Island,33.4815,-119.03,,Adult Unknown Sex (20),call,Natural,Certain,Sight and Sound,,,3,0,49,SOUND DEVICES 702,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,,,,,,,Aves,Charadriiformes,Laridae,41660
189311,Audio,Larus occidentalis,Western Gull,,,"McGuire, Bob ",2012,3,30,1706,United States,California,,Channel Islands National Park; Santa Barbara Island,33.4815,-119.03,,Adult Unknown Sex (2),call,Natural,Certain,,,,3,0,43,SOUND DEVICES 702,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,,,,,,,Aves,Charadriiformes,Laridae,41660
189310,Audio,Larus occidentalis,Western Gull,,,"McGuire, Bob ",2012,3,30,1657,United States,California,,Channel Islands National Park; Santa Barbara Island,33.4815,-119.03,,Adult Female (1); Adult Male (2),call,Natural,Certain,Sight and Sound,,,3,0,333,SOUND DEVICES 702,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,,,,,,,Aves,Charadriiformes,Laridae,41660
