ML Catalog #,Format,Scientific Name,Common Name,Background Species,Subtitle,Recordist,Year,Month,Day,Time,Country,State,County,Locality,Latitude,Longitude,Elevation (m),AgeSex,Behavior,Stimulus,Confidence In ID,How Identified,Captive,Specimen,Quality,Audio Quality For Video,Cut Length (s),Recorder,Microphone,Accessory,Channels,eBird Checklist ID,Air Temp (C),Water Temp (C),Habitat,Regional Habitat,Physical Feature,Public Note,Subject Note,Equipment Note,Class,Order,Family,Taxonomic Sort
188254,Audio,Aphelocoma californica,Western Scrub-Jay,,,"McGuire, Bob ",2013,5,6,645,United States,Arizona,,Coronado National Forest; Cave Creek Canyon; South Fork area; outside of restricted area ,31.8725,-109.2352,,Adult Unknown Sex (1),call,Natural,Certain,Sight and Sound,,,5,0,39,SOUND DEVICES 702,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,,,,,,,Aves,Passeriformes,Corvidae,186430
120228,Audio,Aphelocoma californica,Western Scrub-Jay,,,"Keller, Geoffrey A",2002,5,12,919,United States,California,,Lava Beds National Monument,,,,,,,Certain,Sight,,,5,0,382,HHB PORTADAT PDR 1000,,,Mono,,,,,,," NOTES: ""Several birds were present, but the one I was recording vocalized from several juniper trees... """,,,Aves,Passeriformes,Corvidae,186430
109099,Audio,Aphelocoma californica,Western Scrub-Jay,Geococcyx californianus -- Greater Roadrunner; Thryomanes bewickii -- Bewick's Wren,,"Keller, Geoffrey A",1999,5,27,527,United States,Arizona,Cochise,5.0 km W of Portal,,,1450,Adult Unknown Sex (1),call,Natural,Certain,Sight,,,5,0,49,NAGRA E,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Coniferous Forest,,,NOTES:,,,Aves,Passeriformes,Corvidae,186430
56917,Audio,Aphelocoma californica,Western Scrub-Jay,Pipilo maculatus -- Spotted Towhee; Sturnella neglecta -- Western Meadowlark,,"Keller, Geoffrey A",1991,6,2,726,United States,California,,25.0 km SW of Newell; Lava Beds Nat. Monument,,,1800,Adult Unknown Sex (1),call; fly,Natural,Certain,Sight and Sound,,,5,0,137,UHER REPORT 4200,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Evergreen Forest; Coniferous Forest,,,"NOTES: (Sp. sound: freq; Breeding stat: ?territorial, ?breeding; Gen Climate: arid; Cover den: sparse)",,,Aves,Passeriformes,Corvidae,196070
56912,Audio,Aphelocoma californica,Western Scrub-Jay,Sturnella neglecta -- Western Meadowlark,,"Keller, Geoffrey A",1991,6,1,1600,United States,California,,25.0 km S of Newell,,,1200,Adult Unknown Sex (1),call,Natural,Not Provided,Sight and Sound,,,5,0,56,UHER REPORT 4200,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Evergreen Forest; Coniferous Forest,,,"NOTES: (Sp. sound: infreq; Breeding stat: ?territorial, ?breeding; Gen climate: arid; Cover den: sparse)",,,Aves,Passeriformes,Corvidae,186430
50181,Audio,Aphelocoma californica,Western Scrub-Jay,,,"Keller, Geoffrey A",1990,5,18,1145,United States,California,San Luis Obispo,"13.0 km SE of Pozo; Los Padres Nat. Forest; American Canyon Campground,",,,300,Adult Unknown Sex (1),advertise; call,Natural,Certain,Sight and Sound,,,5,0,191,UHER 4200 REPORT MONITOR,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Evergreen Forest; Coniferous Forest; Deciduous Forest,,Canyon, NOTES: noon -0.5hrs; species cut number 21,,,Aves,Passeriformes,Corvidae,186430
21245,Audio,Aphelocoma californica,Western Scrub-Jay,,,"Zimmerman, Dale A",1980,3,8,800,United States,New Mexico,Grant,SILVER CITY; GRANT COUNTY,35.7166667,-108.2666667,1828,Adult Unknown Sex (2),call; scold,Natural,Certain,,,,5,0,48,PANASONIC RQ-413S,,,Mono,,,,Suburban,,Scrub, NOTES:  Range status: NORMAL;  Breeding status: NON BREEDING;  Frequency of sound: SPORADIC;  General climate: DRY;  Cover density: MEDIUM;   2-3 ADULT(S); Sex: UNKNOWN, Response to playback: No response.,,Aves,Passeriformes,Corvidae,186430
176421,Audio,Aphelocoma californica,Western Scrub-Jay,Colaptes auratus -- Northern Flicker,,"Pegan, Teresa M",2013,3,18,714,United States,California,San Bernardino,Mojave Preserve; Midhills Campground,35.13077,-115.43576,,Adult Unknown Sex (1),call,Natural,Certain,Sight,,,4,0,361,NAGRA ARES-BB+,Telinga Pro 8,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,,,,,,,Aves,Passeriformes,Corvidae,186430
167825,Audio,Aphelocoma californica,Western Scrub-Jay,,,"Batcheller, Hope J",2012,3,20,814,United States,California,San Bernardino,Mojave National Preserve; Mid Hills Campground,35.131176,-115.43524,1650,Unknown Age Unknown Sex (2),call,Natural,Certain,,,,4,0,93,MARANTZ PMD 661,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,,,,,,,Aves,Passeriformes,Corvidae,186430
121966,Audio,Aphelocoma californica,Western Scrub-Jay,Callipepla californica -- California Quail; Chamaea fasciata -- Wrentit; Pipilo maculatus -- Spotted Towhee,,"Marantz, Curtis A",2005,6,6,946,United States,California,San Luis Obispo,"Montana de Oro State Park, Coon Creek",35.2566667,-120.875,,,Social context: family; advertise; beg; call; establish flock contact; establish parent young contact; forage,Natural,Certain,Sight and Sound,,,4,0,164,HHB PORTADAT PDR 1000,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Evergreen Forest,,Scrub; Grove," NOTES: Same family group as in cut #05-RDAT04-05 recorded at same spot, a small grove of three or four large (8-10 m tall but with 1+ m dbh trunks) Coast Live Oak (Quercus agrifolia) trees with an understory of grass and Sticky Monkey Flower (Mimulus aurantiacus), all on a steep, east-facing slope surrounded by Coastal Sage Scrub along Rattlesnake Flats Trail just below saddle; at least three birds were seen at this time, and those giving what sounded like begging calls were indeed full-tailed, but rather scruffy-headed juveniles; birds were moving about between the ground and 5 m up; clear, onshore breeze (apparently from NW), mid- 60s.", Number of individuals=AU1+JF2+; ,,Aves,Passeriformes,Corvidae,186430
121961,Audio,Aphelocoma californica,Western Scrub-Jay,Callipepla californica -- California Quail; Chamaea fasciata -- Wrentit; Colaptes auratus -- Northern Flicker; Pipilo maculatus -- Spotted Towhee; Thryomanes bewickii -- Bewick's Wren; Oreothlypis ruficapilla -- Nashville Warbler,,"Marantz, Curtis A",2005,6,6,834,United States,California,San Luis Obispo,"Montana de Oro State Park, Coon Creek",35.2566667,-120.875,,,Social context: family; advertise; beg; call; establish flock contact; establish parent young contact; forage,Natural,Certain,Sight and Sound,,,4,0,312,HHB PORTADAT PDR 1000,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Forest; Evergreen Forest,,Scrub; Grove," NOTES: Birds were 2-6 m up and 15-25 m away in a small stand of three or four large Coast Live Oak trees (Quercus agrifolia) with an understory of grass and Sticky Monkey Flower (Mimulus aurantiacus), all surrounded by Coastal Sage Scrub on east-facing slope just below saddle along Rattlesnake Flats Trail; although I saw four or five birds at the time, I was unable to differentiate between adults and immatures, but when I later recorded these same birds in cut #05-RDAT03-11, I was able to confirm that the begging calls were indeed given by juveniles being tended by their presumed parents; there may also have been an interaction with the flicker; clear and still breezy but recorded in a somewhat sheltered spot, mid-60s.", Number of individuals=UU4-5; ,,Aves,Passeriformes,Corvidae,186430
118868,Audio,Aphelocoma californica,Western Scrub-Jay,,,"Keller, Geoffrey A",2001,5,25,940,United States,California,,Chimney Creek Campground,,,1520,,call,,Certain,Sound,,,4,0,118,HHB PORTADAT PDR 1000,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,," NOTES: ""Bird was vocalizing from unknown location in riparian habitat...  Area was forested with Gray Pine, Pinion Pine, some type of juniper or cedar tree, and willows in the riparian habitat.""",,,Aves,Passeriformes,Corvidae,186430
118848,Audio,Aphelocoma californica,Western Scrub-Jay,,,"Keller, Geoffrey A",2001,5,22,629,United States,California,Mendocino,Hopland Research Experimental Range,,,732,,,,Certain,Sight,,,4,0,54,HHB PORTADAT PDR 1000,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,,,," NOTES: ""Small flock of 3 to 4 birds were foraging through chaparral vegetation...""", Number of individuals=UU3-4; ,,Aves,Passeriformes,Corvidae,186430
56899,Audio,Aphelocoma californica,Western Scrub-Jay,Oreothlypis ruficapilla -- Nashville Warbler,,"Keller, Geoffrey A",1991,5,28,750,United States,California,,40.0 km N of King City; Pinnacles Nat. Monument,,,300,Adult Unknown Sex (1),call,Natural,Certain,Sight and Sound,,,4,0,34,UHER REPORT 4200,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Evergreen Forest; Coniferous Forest; Deciduous Forest; Stream; Riparian,,Canyon," NOTES: (Sp. Sound: infreq; Breeding stat: ?territorial, ?breeding; Sound Deliv: sporadic; Gen climate: Cyclic wet-dry; Cover den: med)",,,Aves,Passeriformes,Corvidae,186430
43712,Audio,Aphelocoma californica,Western Scrub-Jay,,,"Budney, Gregory F",1988,6,9,1255,United States,California,,Carmel Valley; Hastings Reserve,,,,,,,Not Provided,,,,4,0,110,NAGRA UNSPECIFIED MODEL,,Parabola 61cm (24in),,,,,,,," NOTES: [""Shrek"" calls.  Quality added 2, 1-2 - CAM - 9 December 2004]",,,Aves,Passeriformes,Corvidae,186430
13028,Audio,Aphelocoma californica,Western Scrub-Jay,,,"Stein, Robert C; Angstadt, Robert B",1961,6,9,0,United States,Utah,,Santa Clara Creek; 5mi S Of Gunlock,,,,,call,,Not Provided,,,,4,0,20,NAGRA UNSPECIFIED MODEL,,Parabola 101.6cm (40in),Mono,,,,Creek; Riparian,,, NOTES: FEW SQUAWKS.,,,Aves,Passeriformes,Corvidae,186430
197172,Audio,Aphelocoma californica [woodhouseii Group],Western Scrub-Jay (Woodhouse's),Cyanocitta stelleri -- Steller's Jay,,"McGuire, Bob ",2010,2,19,904,United States,Arizona,Pinal,Coronado National Forest; Peppersauce Canyon,32.53744,-110.71912,,Unknown Age Unknown Sex (2),call,Natural,Certain,Sight and Sound,,,3,0,40,SOUND DEVICES 702,Telinga Pro 6,Telinga Parabola 54.7cm/15.5cm (21.5in/6.1in),Stereo,,,,,,,,,,Aves,Passeriformes,Corvidae,186520
175789,Audio,Aphelocoma californica,Western Scrub-Jay,,,"Budney, Gregory F",1988,6,10,600,United States,California,Sacramento,Consumnes River Preserve,38.26542,-121.439463,,,call,Natural,Certain,Sight and Sound,,,3,0,119,NAGRA IV-SD,Sennheiser MKH 106T,Roché Parabola 60cm/14.5cm (23.6in/5.7in),Mono,,,,,,,,,,Aves,Passeriformes,Corvidae,186430
172132,Audio,Aphelocoma californica,Western Scrub-Jay,Pipilo maculatus -- Spotted Towhee; Pheucticus melanocephalus -- Black-headed Grosbeak; Corvus corax -- Common Raven,,"Robbins, Mark B",2010,6,4,625,United States,Colorado,Las Animas,"Comache National Grasslands, SW Kim, Mesa de Maya",37.18,-103.6183333,1700,Unknown Age Unknown Sex (3),call; contact; emit alert call,Natural,Certain,Sight and Sound,,,3,0,38,NAGRA ARES-BB+,Sennheiser ME 67,,Mono,,,,,,,Habitat: Pinyon-juniper with few small oaks  Weather: Clear    LNS: 75 Hz AUHipass filter applied in soundBlade,,,Aves,Passeriformes,Corvidae,186430
164423,Audio,Aphelocoma californica,Western Scrub-Jay,Oreothlypis celata -- Orange-crowned Warbler,,"DeFonso, Eric ",2010,6,15,730,United States,California,Sierra,6.3 km SW of Loyalton (Antelope Valley),39.6199104,-120.270896,,Adult Unknown Sex (1),call; fly,Natural,Certain,Sight and Sound,,,3,0,76,MARANTZ PMD 660,Sennheiser ME 66,,Mono,,,,,,,Studio Tech. Note: HPF @ 150Hz via soundBlade. mf,,,Aves,Passeriformes,Corvidae,186430
121986,Audio,Aphelocoma californica,Western Scrub-Jay,Chamaea fasciata -- Wrentit; Pipilo maculatus -- Spotted Towhee,,"Marantz, Curtis A",2005,6,7,905,United States,California,San Luis Obispo,"Montana de Oro State Park, Rattlesnake Flats Trail",,,,,Social context: family; beg; call; establish flock contact; establish parent young contact,Natural,Certain,Sight and Sound,,,3,0,85,HHB PORTADAT PDR 1000,,Roché Parabola 74cm/17.7cm (29.1in/7in),Mono,,,,Evergreen Forest,,Canyon," NOTES: This recording began with a bird, apparently an adult, seen in flight but never really heard (initially 20-25 m, later as far as 120 m); this was followed by an announcement, then several calls of a family group, initially at a distance of 60 m, later at 120 m; apparently a second adult came in, followed by two or three young birds that were seen and heard begging about 2 m up from tops of Coyote Brush (Baccharis pilularis), California Sagebrush (Artemisia californica), Sticky Monkey Flower (Mimulus aurantiacus), and an unidentified lupine (Lupinus sp.) down in a steep draw with rocky slopes on either side.", Number of individuals=AU2JU2-3; ,,Aves,Passeriformes,Corvidae,186430
59833,Audio,Aphelocoma californica,Western Scrub-Jay,Aphelocoma wollweberi -- Mexican Jay,,"Gunn, William W. H. ; Gunn, Lucie R",1979,12,16,0,United States,Arizona,,"The Cottage, Portal",,,,Unknown Age Unknown Sex (2),call; mechanical sound,,Certain,Sight and Sound,,,3,0,32,STELLAVOX SP7,,,Mono,,,,,,," NOTES: 2 birds calling and wing soundsAlso: Mexican Jays calling just after 1st annct.    2nd annct: ""Scurb jays interacting with Mexican Jays""",,,Aves,Passeriformes,Corvidae,186430
21250,Audio,Aphelocoma californica,Western Scrub-Jay,Zenaida macroura -- Mourning Dove,,"Zimmerman, Dale A",1980,3,16,900,United States,New Mexico,Grant,SILVER CITY; GRANT COUNTY,35.75,-108.2666667,1828,Adult Female (1),call,Natural,Certain,,,,3,0,87,PANASONIC RQ-413S,,,Mono,,,,Suburban,,Scrub, NOTES:  Breeding status: NON BREEDING;  Beh. context: UNKNOWN; Frequency of sound: SPORADIC;  General climate: DRY;  Cover density: MEDIUM;   1 ADULT(S); FEMALE(S), Response to playback: No response.,,Aves,Passeriformes,Corvidae,186430
13029,Audio,Aphelocoma californica,Western Scrub-Jay,,,"Davis, L. Irby ; Davis, Douglas ",1960,5,19,1730,Mexico,Oaxaca,,66.0 km N of TLAXIACO,,,2330,,call; scold,,Not Provided,Sight,,,3,0,55,NAGRA III,,Parabola 101.6cm (40in),Mono,,,,Forest; Montane Grassland; Creek; Riparian,,, NOTES: BIRD WAS APPARENTLY SCOLDING A HORNED OWL OR AT LEAST WAS DISTURBED BY THE OWL. PINE AND OAK ON SURROUNDING MOUNTAIN SLOPES.,,,Aves,Passeriformes,Corvidae,186430
13026,Audio,Aphelocoma californica,Western Scrub-Jay,,,"Stein, Robert C; Angstadt, Robert B",1961,5,20,0,United States,California,,WILDERNESS PARK; ARCADIA,,,,,call,,Not Provided,,,,3,0,7,NAGRA UNSPECIFIED MODEL,,Parabola 101.6cm (40in),Mono,,,,,,, NOTES: ONE CALL. Other recordist(s): POWERS D.R.; ,,,Aves,Passeriformes,Corvidae,186430
13025,Audio,Aphelocoma californica,Western Scrub-Jay,Zonotrichia leucophrys -- White-crowned Sparrow,,"Allen, Arthur A; Allen, David G",1959,4,7,0,United States,California,,MILL CREEK CANYON NEAR REDLANDS,,,,,call,,Not Provided,,,,3,0,24,MAGNEMITE UNSPECIFIED MODEL,,Parabola (Unknown Diameter/Focal Length),Mono,,,,Yard,,Canyon,,,,Aves,Passeriformes,Corvidae,186430
